,Musicas,Acordes
0,quando-chuva-passar,F
1,quando-chuva-passar,G
2,quando-chuva-passar,Am
3,quando-chuva-passar,Dm
4,quando-chuva-passar,Dm/C
5,quando-chuva-passar,G
6,quando-chuva-passar,F
7,quando-chuva-passar,G
8,quando-chuva-passar,Am
9,quando-chuva-passar,Am7
10,quando-chuva-passar,F
11,quando-chuva-passar,G
12,quando-chuva-passar,Am
13,quando-chuva-passar,F
14,quando-chuva-passar,G
15,quando-chuva-passar,Am
16,quando-chuva-passar,Bb9
17,quando-chuva-passar,G/B
18,quando-chuva-passar,Bb9
19,quando-chuva-passar,G/B
20,quando-chuva-passar,F
21,quando-chuva-passar,G
22,quando-chuva-passar,Am
23,quando-chuva-passar,F
24,quando-chuva-passar,G
25,quando-chuva-passar,Am
26,quando-chuva-passar,F
27,quando-chuva-passar,G
28,quando-chuva-passar,Am
29,quando-chuva-passar,Bb9
30,quando-chuva-passar,G/B
31,quando-chuva-passar,Bb9
32,quando-chuva-passar,G/B
33,quando-chuva-passar,F
34,quando-chuva-passar,G
35,quando-chuva-passar,Am7
36,quando-chuva-passar,F
37,quando-chuva-passar,G
38,quando-chuva-passar,Am
39,quando-chuva-passar,F
40,quando-chuva-passar,G
41,quando-chuva-passar,G#º
42,quando-chuva-passar,Am7
43,quando-chuva-passar,Bb9
44,quando-chuva-passar,G/B
45,quando-chuva-passar,Am
46,quando-chuva-passar,Am/G
47,quando-chuva-passar,D/F#
48,quando-chuva-passar,D/F
49,quando-chuva-passar,C/E
50,quando-chuva-passar,D9
51,quando-chuva-passar,Am7
52,quando-chuva-passar,Am7/G
53,quando-chuva-passar,F
54,quando-chuva-passar,G
55,quando-chuva-passar,Am
56,quando-chuva-passar,F
57,quando-chuva-passar,G/B
58,quando-chuva-passar,Am
59,quando-chuva-passar,F
60,quando-chuva-passar,G
61,quando-chuva-passar,Am
62,quando-chuva-passar,Bb9
63,quando-chuva-passar,G/B
64,quando-chuva-passar,Bb9
65,quando-chuva-passar,G/B
66,quando-chuva-passar,F
67,quando-chuva-passar,G
68,quando-chuva-passar,Am
69,quando-chuva-passar,F
70,quando-chuva-passar,G
71,quando-chuva-passar,Am
72,quando-chuva-passar,F
73,quando-chuva-passar,G
74,quando-chuva-passar,G#º
75,quando-chuva-passar,Am
76,quando-chuva-passar,Bb9
77,quando-chuva-passar,G/B
78,quando-chuva-passar,F
79,quando-chuva-passar,G
80,quando-chuva-passar,Am
81,quando-chuva-passar,F
82,quando-chuva-passar,G
83,quando-chuva-passar,Am
84,quando-chuva-passar,F
85,quando-chuva-passar,G
86,quando-chuva-passar,G#º
87,quando-chuva-passar,Am
88,quando-chuva-passar,Bb9
89,quando-chuva-passar,G/B
206,se-eu-nao-te-amasse-tanto-assim,Bm7/9
207,se-eu-nao-te-amasse-tanto-assim,Em7/9
208,se-eu-nao-te-amasse-tanto-assim,D/C
209,se-eu-nao-te-amasse-tanto-assim,C
210,se-eu-nao-te-amasse-tanto-assim,Am7
211,se-eu-nao-te-amasse-tanto-assim,A/G
212,se-eu-nao-te-amasse-tanto-assim,G
213,se-eu-nao-te-amasse-tanto-assim,D/E
214,se-eu-nao-te-amasse-tanto-assim,Em
215,se-eu-nao-te-amasse-tanto-assim,Bm7/9
216,se-eu-nao-te-amasse-tanto-assim,Em7/9
217,se-eu-nao-te-amasse-tanto-assim,G/A
218,se-eu-nao-te-amasse-tanto-assim,F#m7
219,se-eu-nao-te-amasse-tanto-assim,Bm7/9
220,se-eu-nao-te-amasse-tanto-assim,Em7/9
221,se-eu-nao-te-amasse-tanto-assim,G/A
222,se-eu-nao-te-amasse-tanto-assim,F#m7
223,se-eu-nao-te-amasse-tanto-assim,Bm7/9
224,se-eu-nao-te-amasse-tanto-assim,Em7/9
225,se-eu-nao-te-amasse-tanto-assim,G/A
226,se-eu-nao-te-amasse-tanto-assim,F#m7
227,se-eu-nao-te-amasse-tanto-assim,Bm7/9
228,se-eu-nao-te-amasse-tanto-assim,Em7/9
229,se-eu-nao-te-amasse-tanto-assim,G/A
230,se-eu-nao-te-amasse-tanto-assim,F#m7
231,se-eu-nao-te-amasse-tanto-assim,G7+
232,se-eu-nao-te-amasse-tanto-assim,F#m7
233,se-eu-nao-te-amasse-tanto-assim,D/F#
234,se-eu-nao-te-amasse-tanto-assim,Em7
235,se-eu-nao-te-amasse-tanto-assim,G/A
236,se-eu-nao-te-amasse-tanto-assim,G7+
237,se-eu-nao-te-amasse-tanto-assim,F#m7
238,se-eu-nao-te-amasse-tanto-assim,D/F#
239,se-eu-nao-te-amasse-tanto-assim,Em7/9
240,se-eu-nao-te-amasse-tanto-assim,G/A
241,se-eu-nao-te-amasse-tanto-assim,D
242,se-eu-nao-te-amasse-tanto-assim,A/C#
