,Musicas,Palavras
0,quando-chuva-passar,Se
1,quando-chuva-passar,você
2,quando-chuva-passar,não
3,quando-chuva-passar,quer
4,quando-chuva-passar,me
5,quando-chuva-passar,ouvir?
6,quando-chuva-passar,Fugir
7,quando-chuva-passar,agora
8,quando-chuva-passar,não
9,quando-chuva-passar,resolve
10,quando-chuva-passar,nada
11,quando-chuva-passar,Mas
12,quando-chuva-passar,não
13,quando-chuva-passar,vou
14,quando-chuva-passar,chorar
15,quando-chuva-passar,Se
16,quando-chuva-passar,você
17,quando-chuva-passar,quiser
18,quando-chuva-passar,partir
19,quando-chuva-passar,Às
20,quando-chuva-passar,vezes
21,quando-chuva-passar,a
22,quando-chuva-passar,distância
23,quando-chuva-passar,ajuda
24,quando-chuva-passar,E
25,quando-chuva-passar,essa
26,quando-chuva-passar,tempestade
27,quando-chuva-passar,um
28,quando-chuva-passar,dia
29,quando-chuva-passar,vai
30,quando-chuva-passar,acabar
31,quando-chuva-passar,De
32,quando-chuva-passar,quando
33,quando-chuva-passar,a
34,quando-chuva-passar,gente
35,quando-chuva-passar,andava
36,quando-chuva-passar,nas
37,quando-chuva-passar,estrelas
38,quando-chuva-passar,Nas
39,quando-chuva-passar,horas
40,quando-chuva-passar,lindas
41,quando-chuva-passar,que
42,quando-chuva-passar,passamos
43,quando-chuva-passar,juntos
44,quando-chuva-passar,A
45,quando-chuva-passar,gente
46,quando-chuva-passar,só
47,quando-chuva-passar,queria
48,quando-chuva-passar,amar
49,quando-chuva-passar,e
50,quando-chuva-passar,amar
51,quando-chuva-passar,e
52,quando-chuva-passar,hoje
53,quando-chuva-passar,eu
54,quando-chuva-passar,tenho
55,quando-chuva-passar,certeza
56,quando-chuva-passar,A
57,quando-chuva-passar,nossa
58,quando-chuva-passar,história
59,quando-chuva-passar,não
60,quando-chuva-passar,termina
61,quando-chuva-passar,agora
62,quando-chuva-passar,Pois
63,quando-chuva-passar,essa
64,quando-chuva-passar,tempestade
65,quando-chuva-passar,um
66,quando-chuva-passar,dia
67,quando-chuva-passar,vai
68,quando-chuva-passar,acabar
69,quando-chuva-passar,Quando
70,quando-chuva-passar,o
71,quando-chuva-passar,tempo
72,quando-chuva-passar,abrir
73,quando-chuva-passar,Abra
74,quando-chuva-passar,a
75,quando-chuva-passar,janela
76,quando-chuva-passar,e
77,quando-chuva-passar,veja
78,quando-chuva-passar,eu
79,quando-chuva-passar,sou
80,quando-chuva-passar,o
81,quando-chuva-passar,sol
82,quando-chuva-passar,Eu
83,quando-chuva-passar,sou
84,quando-chuva-passar,céu
85,quando-chuva-passar,e
86,quando-chuva-passar,mar
87,quando-chuva-passar,Eu
88,quando-chuva-passar,sou
89,quando-chuva-passar,seu
90,quando-chuva-passar,e
91,quando-chuva-passar,fim
92,quando-chuva-passar,E
93,quando-chuva-passar,o
94,quando-chuva-passar,meu
95,quando-chuva-passar,amor
96,quando-chuva-passar,é
97,quando-chuva-passar,imensidão
98,quando-chuva-passar,De
99,quando-chuva-passar,quando
100,quando-chuva-passar,a
101,quando-chuva-passar,gente
102,quando-chuva-passar,andava
103,quando-chuva-passar,nas
104,quando-chuva-passar,estrelas
105,quando-chuva-passar,Nas
106,quando-chuva-passar,horas
107,quando-chuva-passar,lindas
108,quando-chuva-passar,que
109,quando-chuva-passar,passamos
110,quando-chuva-passar,juntos
111,quando-chuva-passar,A
112,quando-chuva-passar,gente
113,quando-chuva-passar,só
114,quando-chuva-passar,queria
115,quando-chuva-passar,amar
116,quando-chuva-passar,e
117,quando-chuva-passar,amar
118,quando-chuva-passar,e
119,quando-chuva-passar,hoje
120,quando-chuva-passar,eu
121,quando-chuva-passar,tenho
122,quando-chuva-passar,certeza
