,Musicas,Acordes
0,canto-da-ema,C
1,canto-da-ema,C
2,canto-da-ema,F
3,canto-da-ema,G
4,canto-da-ema,C
5,canto-da-ema,C
6,canto-da-ema,F
7,canto-da-ema,G
8,canto-da-ema,C
9,canto-da-ema,F
10,canto-da-ema,C
11,canto-da-ema,F
12,canto-da-ema,C
13,canto-da-ema,F
14,canto-da-ema,C
15,canto-da-ema,F
16,canto-da-ema,C
17,canto-da-ema,F
18,canto-da-ema,C
19,canto-da-ema,F
20,canto-da-ema,G
21,canto-da-ema,C
22,canto-da-ema,F
23,canto-da-ema,C
24,canto-da-ema,G
25,canto-da-ema,C
26,canto-da-ema,F
27,canto-da-ema,C
28,canto-da-ema,G
29,canto-da-ema,C
76,chiclete-com-banana,Bm7
77,chiclete-com-banana,E7/9-
78,chiclete-com-banana,A7/13
79,chiclete-com-banana,A7/5+
80,chiclete-com-banana,G7/13
81,chiclete-com-banana,G7/5+
82,chiclete-com-banana,Bm7
83,chiclete-com-banana,E7/9-
84,chiclete-com-banana,Am7
85,chiclete-com-banana,A7/13
86,chiclete-com-banana,G
87,chiclete-com-banana,Eb7/9+
88,chiclete-com-banana,D7/9+
89,chiclete-com-banana,G
90,chiclete-com-banana,E7/9-
91,chiclete-com-banana,A7/13
92,chiclete-com-banana,A7/5+
93,chiclete-com-banana,Am7
94,chiclete-com-banana,D7/9
95,chiclete-com-banana,G
96,chiclete-com-banana,E7/9-
97,chiclete-com-banana,A7/13
98,chiclete-com-banana,D7/9
99,chiclete-com-banana,G7
100,chiclete-com-banana,G7
101,chiclete-com-banana,F#7
102,chiclete-com-banana,F7
103,chiclete-com-banana,E7
104,chiclete-com-banana,A7
105,chiclete-com-banana,D7/9
106,chiclete-com-banana,G
107,chiclete-com-banana,E7/9-
108,chiclete-com-banana,A7/13
109,chiclete-com-banana,D7/9
110,chiclete-com-banana,G
111,chiclete-com-banana,Gb
112,chiclete-com-banana,G
113,chiclete-com-banana,C7/9
114,chiclete-com-banana,Bm7
115,chiclete-com-banana,E7/9
116,chiclete-com-banana,Am7
117,chiclete-com-banana,D7/9
118,chiclete-com-banana,G
119,chiclete-com-banana,Gb
120,chiclete-com-banana,G
121,chiclete-com-banana,C7/9
122,chiclete-com-banana,Bm7
123,chiclete-com-banana,E7/9
124,chiclete-com-banana,Am7
125,chiclete-com-banana,D7/9
126,chiclete-com-banana,G
127,chiclete-com-banana,G
128,chiclete-com-banana,G#º
129,chiclete-com-banana,Am7
130,chiclete-com-banana,A#º
131,chiclete-com-banana,E7/9-
132,chiclete-com-banana,A7
133,chiclete-com-banana,D7/9
134,chiclete-com-banana,Dm7/9
135,chiclete-com-banana,G7/13
136,chiclete-com-banana,C7+
137,chiclete-com-banana,C#º
138,chiclete-com-banana,G6
139,chiclete-com-banana,E7/9-
140,chiclete-com-banana,A7
141,chiclete-com-banana,D7/9
142,chiclete-com-banana,Dm7/9
143,chiclete-com-banana,G7/13
144,chiclete-com-banana,C7+
145,chiclete-com-banana,C#º
146,chiclete-com-banana,G6
147,chiclete-com-banana,E7/9-
148,chiclete-com-banana,A7
149,chiclete-com-banana,D7/9
150,chiclete-com-banana,Dm7/9
151,chiclete-com-banana,G7/13
152,sebastiana,A
153,sebastiana,E7
154,sebastiana,A
155,sebastiana,E7
156,sebastiana,A
157,sebastiana,D
158,sebastiana,E7
159,sebastiana,A
160,sebastiana,D
161,sebastiana,A
162,sebastiana,E7
163,sebastiana,A
164,sebastiana,E7
165,sebastiana,A
166,sebastiana,D
167,sebastiana,E7
168,sebastiana,A
228,cantiga-do-sapo,A
229,cantiga-do-sapo,D
230,cantiga-do-sapo,A
231,cantiga-do-sapo,E
232,cantiga-do-sapo,A
233,cantiga-do-sapo,A
234,cantiga-do-sapo,D7
235,cantiga-do-sapo,A
236,cantiga-do-sapo,Em
237,cantiga-do-sapo,D
238,cantiga-do-sapo,A
239,cantiga-do-sapo,Em
240,cantiga-do-sapo,D7
241,cantiga-do-sapo,A
242,cantiga-do-sapo,D7
243,cantiga-do-sapo,A
244,cantiga-do-sapo,D
245,cantiga-do-sapo,E7
246,cantiga-do-sapo,A
247,cantiga-do-sapo,A7
248,cantiga-do-sapo,Em
249,cantiga-do-sapo,D
250,cantiga-do-sapo,A
251,cantiga-do-sapo,Em
252,cantiga-do-sapo,A7
253,cantiga-do-sapo,D7
254,cantiga-do-sapo,G
255,cantiga-do-sapo,A
256,cantiga-do-sapo,D7
257,cantiga-do-sapo,A
304,capoeira-mata-um,G#m7
305,capoeira-mata-um,C#m7
306,capoeira-mata-um,G#m7
307,capoeira-mata-um,F#
308,capoeira-mata-um,G#m7
309,capoeira-mata-um,G#m7
310,capoeira-mata-um,E7
311,capoeira-mata-um,D#7
312,capoeira-mata-um,G#m7
313,capoeira-mata-um,G#m7
314,capoeira-mata-um,E7
315,capoeira-mata-um,D#7
316,capoeira-mata-um,G#m7
317,capoeira-mata-um,G#m7
318,capoeira-mata-um,C#7(9)
319,capoeira-mata-um,G#m7
320,capoeira-mata-um,D#7
321,capoeira-mata-um,G#m7
322,capoeira-mata-um,G#m7
323,capoeira-mata-um,C#7(9)
324,capoeira-mata-um,G#m7
325,capoeira-mata-um,D#7
326,capoeira-mata-um,G#m7
327,capoeira-mata-um,G#m7
328,capoeira-mata-um,C#7(9)
329,capoeira-mata-um,G#m7
330,capoeira-mata-um,D#7
331,capoeira-mata-um,G#m7
332,capoeira-mata-um,G#m7
333,capoeira-mata-um,C#7(9)
334,capoeira-mata-um,G#m7
335,capoeira-mata-um,D#7
336,capoeira-mata-um,G#m7
337,capoeira-mata-um,G#m7
338,capoeira-mata-um,C#7(9)
339,capoeira-mata-um,G#m7
340,capoeira-mata-um,D#7
341,capoeira-mata-um,G#m7
342,capoeira-mata-um,G#m7
343,capoeira-mata-um,C#7(9)
344,capoeira-mata-um,G#m7
345,capoeira-mata-um,D#7
346,capoeira-mata-um,G#m7
347,capoeira-mata-um,C#7
348,capoeira-mata-um,G#m7
349,capoeira-mata-um,C#7
350,capoeira-mata-um,G#m7
351,capoeira-mata-um,D#7
352,capoeira-mata-um,G#m7
353,capoeira-mata-um,C#7
354,capoeira-mata-um,G#m7
355,capoeira-mata-um,C#7
