,Musicas,Palavras
0,canto-da-ema,No
1,canto-da-ema,tronco
2,canto-da-ema,do
3,canto-da-ema,juremá
4,canto-da-ema,(2x)
5,canto-da-ema,Fiquei
6,canto-da-ema,a
7,canto-da-ema,imaginar
8,canto-da-ema,Será
9,canto-da-ema,que
10,canto-da-ema,o
11,canto-da-ema,nosso
12,canto-da-ema,"amor,"
13,canto-da-ema,morena
14,canto-da-ema,Que
15,canto-da-ema,vai
16,canto-da-ema,se
17,canto-da-ema,acabar?
18,canto-da-ema,Que
19,canto-da-ema,a
20,canto-da-ema,ema
21,canto-da-ema,quando
22,canto-da-ema,canta
23,canto-da-ema,Vem
24,canto-da-ema,trazendo
25,canto-da-ema,no
26,canto-da-ema,seu
27,canto-da-ema,canto
28,canto-da-ema,Um
29,canto-da-ema,bucado
30,canto-da-ema,de
31,canto-da-ema,azar
32,canto-da-ema,Pois
33,canto-da-ema,acho
34,canto-da-ema,que
35,canto-da-ema,é
36,canto-da-ema,muito
37,canto-da-ema,cedo
38,canto-da-ema,Muito
39,canto-da-ema,"cedo,"
40,canto-da-ema,meu
41,canto-da-ema,benzinho
42,canto-da-ema,Para
43,canto-da-ema,esse
44,canto-da-ema,amor
45,canto-da-ema,se
46,canto-da-ema,acabar
47,canto-da-ema,Me
48,canto-da-ema,beijar
49,canto-da-ema,(me
50,canto-da-ema,beijar)
51,canto-da-ema,Dá-me
52,canto-da-ema,um
53,canto-da-ema,beijo
54,canto-da-ema,(dá-me
55,canto-da-ema,um
56,canto-da-ema,beijo)
57,canto-da-ema,Pra
58,canto-da-ema,esse
59,canto-da-ema,medo
60,canto-da-ema,(se
61,canto-da-ema,acabar)
62,canto-da-ema,None
308,chiclete-com-banana,Quando
309,chiclete-com-banana,Tio
310,chiclete-com-banana,Sam
311,chiclete-com-banana,tocar
312,chiclete-com-banana,um
313,chiclete-com-banana,tamborim
314,chiclete-com-banana,Quando
315,chiclete-com-banana,ele
316,chiclete-com-banana,pegar
317,chiclete-com-banana,No
318,chiclete-com-banana,pandeiro
319,chiclete-com-banana,e
320,chiclete-com-banana,no
321,chiclete-com-banana,zabumba
322,chiclete-com-banana,Quando
323,chiclete-com-banana,ele
324,chiclete-com-banana,aprender
325,chiclete-com-banana,Que
326,chiclete-com-banana,o
327,chiclete-com-banana,samba
328,chiclete-com-banana,não
329,chiclete-com-banana,é
330,chiclete-com-banana,rumba
331,chiclete-com-banana,Miami
332,chiclete-com-banana,com
333,chiclete-com-banana,Copacabana
334,chiclete-com-banana,Chiclete
335,chiclete-com-banana,eu
