,Musicas,Acordes
0,o-bebado-a-equilibrista,Bm7
1,o-bebado-a-equilibrista,E4(7/9)
2,o-bebado-a-equilibrista,E7(9-/13)
3,o-bebado-a-equilibrista,A9
4,o-bebado-a-equilibrista,C#m7/G#
5,o-bebado-a-equilibrista,F#m7/C#
6,o-bebado-a-equilibrista,Cº
7,o-bebado-a-equilibrista,Bm7
8,o-bebado-a-equilibrista,F#9-
9,o-bebado-a-equilibrista,F#7
10,o-bebado-a-equilibrista,Dm6
11,o-bebado-a-equilibrista,G7(9)
12,o-bebado-a-equilibrista,G6(11+)
13,o-bebado-a-equilibrista,F#9-
14,o-bebado-a-equilibrista,F#m6
15,o-bebado-a-equilibrista,Bm7
16,o-bebado-a-equilibrista,E4(7/9)
17,o-bebado-a-equilibrista,E7(9-/13)
18,o-bebado-a-equilibrista,A9
19,o-bebado-a-equilibrista,Bm7
20,o-bebado-a-equilibrista,E4(7/9)
21,o-bebado-a-equilibrista,E7(9-/13)
22,o-bebado-a-equilibrista,A9
23,o-bebado-a-equilibrista,C#m7/G#
24,o-bebado-a-equilibrista,F#m7/C#
25,o-bebado-a-equilibrista,Cº
26,o-bebado-a-equilibrista,Bm7
27,o-bebado-a-equilibrista,F#9-
28,o-bebado-a-equilibrista,F#7
29,o-bebado-a-equilibrista,Dm6
30,o-bebado-a-equilibrista,G7(9)
31,o-bebado-a-equilibrista,G6(11+)
32,o-bebado-a-equilibrista,F#9-
33,o-bebado-a-equilibrista,F#m6
34,o-bebado-a-equilibrista,Bm7
35,o-bebado-a-equilibrista,E4(7/9/13)
36,o-bebado-a-equilibrista,E7(9-/13)
37,o-bebado-a-equilibrista,A9
38,o-bebado-a-equilibrista,E
39,o-bebado-a-equilibrista,A9
40,o-bebado-a-equilibrista,C#m7/G#
41,o-bebado-a-equilibrista,F#m7/C#
42,o-bebado-a-equilibrista,Cº
43,o-bebado-a-equilibrista,Bm7
44,o-bebado-a-equilibrista,F#9-
45,o-bebado-a-equilibrista,F#7
46,o-bebado-a-equilibrista,Dm6
47,o-bebado-a-equilibrista,G7(9)
48,o-bebado-a-equilibrista,G6(11+)
49,o-bebado-a-equilibrista,F#9-
50,o-bebado-a-equilibrista,F#m6
51,o-bebado-a-equilibrista,Bm7
52,o-bebado-a-equilibrista,E4(7/9)
53,o-bebado-a-equilibrista,E7(9-/13)
54,o-bebado-a-equilibrista,A9
55,o-bebado-a-equilibrista,C#m7/G#
56,o-bebado-a-equilibrista,F#m7
57,o-bebado-a-equilibrista,G6(11+)
58,o-bebado-a-equilibrista,F#7(13-)
59,o-bebado-a-equilibrista,Bm7(9)
60,o-bebado-a-equilibrista,C4+(7/9)
61,o-bebado-a-equilibrista,A9
62,o-bebado-a-equilibrista,C#m7/G#
63,o-bebado-a-equilibrista,F#m7
64,o-bebado-a-equilibrista,G6(11+)
65,o-bebado-a-equilibrista,F#7(13-)
66,o-bebado-a-equilibrista,Bm7(9)
67,o-bebado-a-equilibrista,C4+(7/9)
68,o-bebado-a-equilibrista,D7M
69,o-bebado-a-equilibrista,C#m7
70,o-bebado-a-equilibrista,Bm7
71,o-bebado-a-equilibrista,D7M
72,o-bebado-a-equilibrista,C#m7
73,o-bebado-a-equilibrista,Bm7
74,o-bebado-a-equilibrista,F7M(11+)
75,o-bebado-a-equilibrista,E7
76,o-bebado-a-equilibrista,E4(7)
77,o-bebado-a-equilibrista,E7/G#
78,o-bebado-a-equilibrista,C#m7(9)
79,o-bebado-a-equilibrista,C7(9)
80,o-bebado-a-equilibrista,Bm7(9/11)
81,o-bebado-a-equilibrista,Bb7(9/11+)
82,o-bebado-a-equilibrista,D7M
83,o-bebado-a-equilibrista,C#m7
84,o-bebado-a-equilibrista,Bm7
85,o-bebado-a-equilibrista,D7M
86,o-bebado-a-equilibrista,C#m7
87,o-bebado-a-equilibrista,Bm7
88,o-bebado-a-equilibrista,F7M(11+)
89,o-bebado-a-equilibrista,E7
90,o-bebado-a-equilibrista,E4(7)
91,o-bebado-a-equilibrista,E7/G#
92,o-bebado-a-equilibrista,C#m7(9)
93,o-bebado-a-equilibrista,C7(9)
94,o-bebado-a-equilibrista,Bm7(9)
95,o-bebado-a-equilibrista,Bb7(9)
96,o-bebado-a-equilibrista,A9
97,o-bebado-a-equilibrista,C#m7/G#
98,o-bebado-a-equilibrista,G6(11+)
99,o-bebado-a-equilibrista,F#7
100,o-bebado-a-equilibrista,G6(11+)
101,o-bebado-a-equilibrista,F#7(13-)
102,o-bebado-a-equilibrista,Bm7(9/11)
103,o-bebado-a-equilibrista,A9
104,o-bebado-a-equilibrista,C#m7/G#
105,o-bebado-a-equilibrista,G6(11+)
106,o-bebado-a-equilibrista,F#7
107,o-bebado-a-equilibrista,G6(11+)
108,o-bebado-a-equilibrista,F#7(13-)
109,o-bebado-a-equilibrista,Bm7(9)
110,o-bebado-a-equilibrista,Dm6(9)
111,o-bebado-a-equilibrista,Aº
112,o-bebado-a-equilibrista,Cº
113,o-bebado-a-equilibrista,A/C#
114,o-bebado-a-equilibrista,A7M/C#
115,o-bebado-a-equilibrista,C7(9)
116,o-bebado-a-equilibrista,F#7(13-)
117,o-bebado-a-equilibrista,Bm7(9)
118,o-bebado-a-equilibrista,Bm7
119,o-bebado-a-equilibrista,E4(7/9)
120,o-bebado-a-equilibrista,E7(9-/13)
121,o-bebado-a-equilibrista,A9
122,o-bebado-a-equilibrista,E7(9-/13)
123,o-bebado-a-equilibrista,Dm6(9)
124,o-bebado-a-equilibrista,Aº
125,o-bebado-a-equilibrista,Cº
126,o-bebado-a-equilibrista,A/C#
127,o-bebado-a-equilibrista,A7M/C#
128,o-bebado-a-equilibrista,C7(9)
129,o-bebado-a-equilibrista,F#7(13-)
130,o-bebado-a-equilibrista,Bm7(9)
131,o-bebado-a-equilibrista,Bm7
132,o-bebado-a-equilibrista,E4(7/9)
133,o-bebado-a-equilibrista,E7(9-/13)
134,o-bebado-a-equilibrista,A9
135,o-bebado-a-equilibrista,E7(9-/13)
136,o-bebado-a-equilibrista,A9
137,o-bebado-a-equilibrista,C#m7/G#
138,o-bebado-a-equilibrista,F#m7
139,o-bebado-a-equilibrista,G6(11+)
140,o-bebado-a-equilibrista,F#7(13-)
141,o-bebado-a-equilibrista,Bm7(9)
142,o-bebado-a-equilibrista,C4+(7/9)
143,o-bebado-a-equilibrista,D7M
144,o-bebado-a-equilibrista,C#m7
145,o-bebado-a-equilibrista,Bm7
146,o-bebado-a-equilibrista,D7M
147,o-bebado-a-equilibrista,C#m7
148,o-bebado-a-equilibrista,Bm7
149,o-bebado-a-equilibrista,F7M(11+)
