,Musicas,Palavras
0,o-bebado-a-equilibrista,E
1,o-bebado-a-equilibrista,um
2,o-bebado-a-equilibrista,bêbado
3,o-bebado-a-equilibrista,trajando
4,o-bebado-a-equilibrista,luto
5,o-bebado-a-equilibrista,Me
6,o-bebado-a-equilibrista,lembrou
7,o-bebado-a-equilibrista,Carlitos
8,o-bebado-a-equilibrista,Pedia
9,o-bebado-a-equilibrista,a
10,o-bebado-a-equilibrista,cada
11,o-bebado-a-equilibrista,estrela
12,o-bebado-a-equilibrista,fria
13,o-bebado-a-equilibrista,Um
14,o-bebado-a-equilibrista,brilho
15,o-bebado-a-equilibrista,de
16,o-bebado-a-equilibrista,aluguel
17,o-bebado-a-equilibrista,Chupavam
18,o-bebado-a-equilibrista,manchas
19,o-bebado-a-equilibrista,torturadas
20,o-bebado-a-equilibrista,Que
21,o-bebado-a-equilibrista,sufoco!
22,o-bebado-a-equilibrista,"Louco,"
23,o-bebado-a-equilibrista,o
24,o-bebado-a-equilibrista,bêbado
25,o-bebado-a-equilibrista,com
26,o-bebado-a-equilibrista,chapéu
27,o-bebado-a-equilibrista,coco
28,o-bebado-a-equilibrista,Fazia
29,o-bebado-a-equilibrista,irreverências
30,o-bebado-a-equilibrista,mil
31,o-bebado-a-equilibrista,Pra
32,o-bebado-a-equilibrista,noite
33,o-bebado-a-equilibrista,do
34,o-bebado-a-equilibrista,"Brasil,"
35,o-bebado-a-equilibrista,meu
36,o-bebado-a-equilibrista,Brasil
37,o-bebado-a-equilibrista,Com
38,o-bebado-a-equilibrista,tanta
39,o-bebado-a-equilibrista,gente
40,o-bebado-a-equilibrista,que
41,o-bebado-a-equilibrista,partiu
42,o-bebado-a-equilibrista,Num
43,o-bebado-a-equilibrista,rabo
44,o-bebado-a-equilibrista,de
45,o-bebado-a-equilibrista,foguete
46,o-bebado-a-equilibrista,Choram
47,o-bebado-a-equilibrista,Marias
48,o-bebado-a-equilibrista,e
49,o-bebado-a-equilibrista,Clarisses
50,o-bebado-a-equilibrista,No
51,o-bebado-a-equilibrista,solo
52,o-bebado-a-equilibrista,do
53,o-bebado-a-equilibrista,Brasil
54,o-bebado-a-equilibrista,Não
55,o-bebado-a-equilibrista,há
56,o-bebado-a-equilibrista,de
57,o-bebado-a-equilibrista,ser
58,o-bebado-a-equilibrista,inutilmente
59,o-bebado-a-equilibrista,A
60,o-bebado-a-equilibrista,esperança
61,o-bebado-a-equilibrista,dança
62,o-bebado-a-equilibrista,Na
63,o-bebado-a-equilibrista,corda
64,o-bebado-a-equilibrista,bamba
65,o-bebado-a-equilibrista,de
66,o-bebado-a-equilibrista,sombrinha
