,Musicas,Acordes
0,espelho,D6
1,espelho,G#m7(5-)
2,espelho,Gm6
3,espelho,D/F#
4,espelho,Gm6
5,espelho,D/F#
6,espelho,Gm6
7,espelho,D/F#
8,espelho,Gº
9,espelho,Bbº
10,espelho,Eº
11,espelho,C#º
12,espelho,D/F#
13,espelho,D/C
14,espelho,G/B
15,espelho,C7(9)
16,espelho,Am7
17,espelho,D7
18,espelho,G7M
19,espelho,C7(9)
20,espelho,D/F#
21,espelho,Gm6
22,espelho,C7(9)
23,espelho,D/F#
24,espelho,D7/F#
25,espelho,Gm6
26,espelho,C7(9)
27,espelho,D/F#
28,espelho,Gm6
29,espelho,C7(9)
30,espelho,Am7
31,espelho,D7
32,espelho,G7M
33,espelho,C7(9)
34,espelho,D/F#
35,espelho,D/C
36,espelho,G/B
37,espelho,C7(9)
38,espelho,D6
39,espelho,G#m7(5-)
40,espelho,Gm6
41,espelho,D/F#
42,espelho,Gm6
43,espelho,D/F#
44,espelho,D/F#
45,espelho,Gm6
46,espelho,D/F#
47,espelho,Gº
48,espelho,A#º
49,espelho,C#º
50,espelho,Eº
51,espelho,D/F#
52,espelho,D/C
53,espelho,G/B
54,espelho,C7(9)
55,espelho,D/F#
56,espelho,D/C
57,espelho,G/B
58,espelho,C7(9)
59,espelho,D/F#
60,espelho,Gm6
61,espelho,D/F#
62,espelho,Gm6
63,espelho,C7(9)
64,espelho,D/F#
65,espelho,Gm6
66,espelho,C7(9)
67,espelho,Am7
68,espelho,D7(9)
69,espelho,G7M
70,espelho,C7(9)
71,espelho,D/F#
72,espelho,D/C
73,espelho,G/B
74,espelho,C7(9)
75,espelho,D/F#
76,espelho,G#m7(5-)
77,espelho,Gm6
78,espelho,D/F#
79,espelho,Gm6
80,espelho,G9/A
81,espelho,D/F#
82,espelho,Gm6
83,espelho,D/F#
84,espelho,Eº
85,espelho,Gº
86,espelho,Bbº
87,espelho,Gº
88,espelho,D/F#
89,espelho,D/C
90,espelho,G/B
91,espelho,C7(9)
92,espelho,D/F#
93,espelho,D7
94,espelho,G7M
95,espelho,C7(9)
96,espelho,D/F#
97,espelho,Gm6
98,espelho,D/F#
99,espelho,Gm6
100,espelho,C7(9)
101,espelho,D/F#
102,espelho,Gm6
103,espelho,C7(9)
104,espelho,Am7
105,espelho,D7
106,espelho,G7M
107,espelho,C7(9)
108,espelho,D/F#
109,espelho,D/C
110,espelho,G/B
111,espelho,C7(9)
112,espelho,D/F#
113,espelho,Gm6
114,espelho,C7(9)
115,espelho,Gm6
116,espelho,D/F#
117,espelho,Gm6
118,espelho,D/F#
119,espelho,D/C
120,espelho,G/B
121,espelho,C7(9)
122,espelho,D/F#
123,espelho,D/C
124,espelho,G/B
125,espelho,C7(9)
126,espelho,D/F#
127,espelho,D/C
128,espelho,G/B
129,espelho,C7(9)
130,espelho,D/F#
160,poder-da-criacao,Bm7(5-)
161,poder-da-criacao,E7
162,poder-da-criacao,Am7
163,poder-da-criacao,Am/C
164,poder-da-criacao,Bm7(5-)
165,poder-da-criacao,E7
166,poder-da-criacao,Am7
167,poder-da-criacao,F
168,poder-da-criacao,Bb
169,poder-da-criacao,E7
170,poder-da-criacao,Am7
171,poder-da-criacao,G7
172,poder-da-criacao,Am7
173,poder-da-criacao,Am7/G
174,poder-da-criacao,F7M
175,poder-da-criacao,F#º
176,poder-da-criacao,E7
177,poder-da-criacao,Dm
178,poder-da-criacao,Dm/C
179,poder-da-criacao,Bm7(5-)
180,poder-da-criacao,E7
181,poder-da-criacao,Am7
182,poder-da-criacao,Dm
183,poder-da-criacao,E7
184,poder-da-criacao,Am
185,poder-da-criacao,C7
186,poder-da-criacao,B7
187,poder-da-criacao,E7
188,poder-da-criacao,Am7
189,poder-da-criacao,G7
190,poder-da-criacao,Am
191,poder-da-criacao,Am7/G
192,poder-da-criacao,F7M
193,poder-da-criacao,F#º
194,poder-da-criacao,E7
195,poder-da-criacao,Dm
196,poder-da-criacao,Dm7/C
197,poder-da-criacao,Bm7(5-)
198,poder-da-criacao,E7
199,poder-da-criacao,Am7
200,poder-da-criacao,Gm6
201,poder-da-criacao,A7
202,poder-da-criacao,A7/G
203,poder-da-criacao,Dm
204,poder-da-criacao,Bm7(5-)
205,poder-da-criacao,E7
206,poder-da-criacao,Am7
207,poder-da-criacao,A7
208,poder-da-criacao,Dm
209,poder-da-criacao,Dm/C
210,poder-da-criacao,Bm7(5-)
211,poder-da-criacao,E7
212,poder-da-criacao,Am7
213,poder-da-criacao,C
214,poder-da-criacao,Bm7(5-)
215,poder-da-criacao,E7
216,poder-da-criacao,Am7
217,poder-da-criacao,C7
218,poder-da-criacao,F7M
219,poder-da-criacao,E7
220,poder-da-criacao,Am7
221,poder-da-criacao,C7
222,poder-da-criacao,F7M
223,poder-da-criacao,E7
224,poder-da-criacao,Am7
225,poder-da-criacao,E7
226,poder-da-criacao,Am7
227,poder-da-criacao,G7
228,poder-da-criacao,Am7
229,poder-da-criacao,Am7/G
230,poder-da-criacao,F7M
231,poder-da-criacao,F#º
232,poder-da-criacao,E7
233,poder-da-criacao,Dm
234,poder-da-criacao,Dm/C
235,poder-da-criacao,Bm7(5-)
236,poder-da-criacao,E7
237,poder-da-criacao,Am7
238,poder-da-criacao,Dm
239,poder-da-criacao,E7
240,poder-da-criacao,Am
241,poder-da-criacao,C7
242,poder-da-criacao,B7
243,poder-da-criacao,E7
244,poder-da-criacao,Am7
245,poder-da-criacao,G7
246,poder-da-criacao,Am
247,poder-da-criacao,Am7/G
248,poder-da-criacao,F7M
249,poder-da-criacao,F#º
250,poder-da-criacao,E7
251,poder-da-criacao,Dm
252,poder-da-criacao,Dm7/C
253,poder-da-criacao,Bm7(5-)
254,poder-da-criacao,E7
255,poder-da-criacao,Am7
256,poder-da-criacao,Gm6
257,poder-da-criacao,A7
258,poder-da-criacao,A7/G
259,poder-da-criacao,Dm
260,poder-da-criacao,Bm7(5-)
261,poder-da-criacao,E7
262,poder-da-criacao,Am7
263,poder-da-criacao,A7
264,poder-da-criacao,Dm
265,poder-da-criacao,Dm/C
266,poder-da-criacao,Bm7(5-)
267,poder-da-criacao,E7
268,poder-da-criacao,Am7
269,poder-da-criacao,C
270,poder-da-criacao,Bm7(5-)
271,poder-da-criacao,E7
272,poder-da-criacao,Am7
273,poder-da-criacao,C7
274,poder-da-criacao,F7M
275,poder-da-criacao,E7
276,poder-da-criacao,Am7
277,poder-da-criacao,C7
278,poder-da-criacao,F7M
279,poder-da-criacao,E7
280,poder-da-criacao,Am7
281,poder-da-criacao,C7
282,poder-da-criacao,F7M
283,poder-da-criacao,E7
284,poder-da-criacao,Am7
320,minha-missao,Am
321,minha-missao,G7
322,minha-missao,C7M
323,minha-missao,F7M
324,minha-missao,E7
325,minha-missao,F7
326,minha-missao,E7
327,minha-missao,Am
328,minha-missao,Am7
329,minha-missao,G7
