,Musicas,Palavras
0,espelho,Com
1,espelho,votos
2,espelho,da
3,espelho,família
4,espelho,de
5,espelho,vida
6,espelho,feliz
7,espelho,Andar
8,espelho,e
9,espelho,pilotar
10,espelho,um
11,espelho,pássaro
12,espelho,de
13,espelho,aço
14,espelho,Sonhava
15,espelho,ao
16,espelho,fim
17,espelho,do
18,espelho,"dia,"
19,espelho,ao
20,espelho,me
21,espelho,descer
22,espelho,cansaço
23,espelho,Com
24,espelho,as
25,espelho,fardas
26,espelho,mais
27,espelho,bonitas
28,espelho,desse
29,espelho,meu
30,espelho,país
31,espelho,O
32,espelho,pai
33,espelho,de
34,espelho,anel
35,espelho,no
36,espelho,dedo
37,espelho,e
38,espelho,dedo
39,espelho,na
40,espelho,viola
41,espelho,Sorria
42,espelho,e
43,espelho,parecia
44,espelho,mesmo
45,espelho,ser
46,espelho,feliz
47,espelho,Quanto
48,espelho,tempo
49,espelho,faz
50,espelho,Que
51,espelho,felicidade
52,espelho,E
53,espelho,que
54,espelho,vontade
55,espelho,de
56,espelho,tocar
57,espelho,viola
58,espelho,de
59,espelho,verdade
60,espelho,E
61,espelho,de
62,espelho,fazer
63,espelho,canções
64,espelho,como
65,espelho,as
66,espelho,que
67,espelho,fez
68,espelho,meu
69,espelho,pai
70,espelho,(E
71,espelho,de
72,espelho,fazer
73,espelho,canções
74,espelho,como
75,espelho,as
76,espelho,que
77,espelho,fez
78,espelho,meu
79,espelho,pai)
80,espelho,(E
81,espelho,de
82,espelho,fazer
83,espelho,canções
84,espelho,como
85,espelho,as
86,espelho,que
87,espelho,fez
88,espelho,meu
89,espelho,pai)
90,espelho,E
91,espelho,falta
92,espelho,lhe
93,espelho,"confesso,"
94,espelho,que
95,espelho,ainda
96,espelho,hoje
97,espelho,faz
98,espelho,E
99,espelho,me
100,espelho,abracei
101,espelho,na
102,espelho,bola
103,espelho,e
104,espelho,pensei
105,espelho,ser
106,espelho,um
107,espelho,dia
108,espelho,Um
109,espelho,craque
110,espelho,da
111,espelho,pelota
112,espelho,ao
113,espelho,me
114,espelho,tornar
115,espelho,rapaz
116,espelho,Um
117,espelho,dia
118,espelho,chutei
119,espelho,mal
120,espelho,e
121,espelho,machuquei
122,espelho,o
123,espelho,dedo
124,espelho,E
125,espelho,sem
126,espelho,ter
127,espelho,mais
128,espelho,o
129,espelho,velho
130,espelho,pra
131,espelho,tirar
132,espelho,o
133,espelho,medo
134,espelho,Foi
135,espelho,mais
136,espelho,uma
137,espelho,vontade
138,espelho,que
139,espelho,ficou
140,espelho,pra
141,espelho,trás
142,espelho,Vai
143,espelho,no
144,espelho,"tempo,"
145,espelho,vai
146,espelho,E
147,espelho,eu
148,espelho,sem
149,espelho,ter
150,espelho,maldade
151,espelho,Na
152,espelho,inocência
153,espelho,de
154,espelho,criança
155,espelho,de
156,espelho,tão
157,espelho,pouca
158,espelho,idade
159,espelho,Troquei
160,espelho,de
161,espelho,mal
162,espelho,com
163,espelho,Deus
164,espelho,por
165,espelho,me
166,espelho,levar
167,espelho,meu
168,espelho,pai
169,espelho,(Troquei
170,espelho,de
171,espelho,mal
172,espelho,com
173,espelho,Deus
174,espelho,por
175,espelho,me
176,espelho,levar
177,espelho,meu
178,espelho,pai)
