,Musicas,Acordes
0,chove-chuva,Am7
1,chove-chuva,Dm7
2,chove-chuva,Cm7
3,chove-chuva,Am7
4,chove-chuva,A7(b13)
5,chove-chuva,D7(9)
6,chove-chuva,Am7
7,chove-chuva,D7(9)
8,chove-chuva,Am7
9,chove-chuva,A7(b13)
10,chove-chuva,D7(9)
11,chove-chuva,G7
12,chove-chuva,Am7
13,chove-chuva,A7(b13)
14,chove-chuva,D7(9)
15,chove-chuva,G7
16,chove-chuva,Am7
17,chove-chuva,D7(9)
18,chove-chuva,Am7
19,chove-chuva,D7(9)
20,chove-chuva,Am7
21,chove-chuva,A7(b13)
22,chove-chuva,Dm7(9)
23,chove-chuva,G7
24,chove-chuva,Am7
25,chove-chuva,A7(b13)
26,chove-chuva,D7(9)
27,chove-chuva,G7
28,chove-chuva,Am7
29,chove-chuva,A7(b13)
30,chove-chuva,D7(9)
31,chove-chuva,G7
32,chove-chuva,Am7
33,chove-chuva,D7(9)
34,chove-chuva,Am7
35,chove-chuva,D7(9)
36,chove-chuva,Am7
331,pais-tropical,G7
332,pais-tropical,C7
333,pais-tropical,D7
334,pais-tropical,Em7
335,pais-tropical,D
336,pais-tropical,C
337,pais-tropical,D7
338,pais-tropical,Em7
339,pais-tropical,D
340,pais-tropical,C
341,pais-tropical,D7
342,pais-tropical,Em7
343,pais-tropical,D
344,pais-tropical,C
345,pais-tropical,D7
346,pais-tropical,Em7
347,pais-tropical,D
348,pais-tropical,C
349,pais-tropical,D7
350,pais-tropical,Em7
351,pais-tropical,D
352,pais-tropical,C
353,pais-tropical,D7
354,pais-tropical,Em7
355,pais-tropical,D
356,pais-tropical,C
357,pais-tropical,D7
358,pais-tropical,Em7
359,pais-tropical,D
360,pais-tropical,C
361,pais-tropical,D7
362,pais-tropical,G7
363,pais-tropical,C7
364,pais-tropical,G7
365,pais-tropical,C7
366,pais-tropical,G7
367,pais-tropical,C7
368,pais-tropical,D7
369,pais-tropical,Em7
370,pais-tropical,D
371,pais-tropical,C
372,pais-tropical,D7
373,pais-tropical,Em7
374,pais-tropical,D
375,pais-tropical,C
376,pais-tropical,D7
377,pais-tropical,Em7
378,pais-tropical,D
379,pais-tropical,C
380,pais-tropical,D7
381,pais-tropical,Em7
382,pais-tropical,D
383,pais-tropical,C
384,pais-tropical,D7
385,pais-tropical,Em7
386,pais-tropical,D
387,pais-tropical,C
388,pais-tropical,D7
389,pais-tropical,Em7
390,pais-tropical,D
391,pais-tropical,C
392,pais-tropical,D7
393,pais-tropical,Em7
394,pais-tropical,D
395,pais-tropical,C
396,pais-tropical,D7
397,pais-tropical,G7
398,pais-tropical,C7
399,pais-tropical,G7
400,pais-tropical,C7
401,pais-tropical,G7
402,pais-tropical,C7
403,pais-tropical,D7
404,pais-tropical,Em7
405,pais-tropical,D
406,pais-tropical,C
407,pais-tropical,D7
408,pais-tropical,Em7
409,pais-tropical,D
410,pais-tropical,C
411,pais-tropical,D7
412,pais-tropical,Em7
413,pais-tropical,D
414,pais-tropical,C
415,pais-tropical,D7
416,pais-tropical,Em7
417,pais-tropical,D
418,pais-tropical,C
419,pais-tropical,D7
420,pais-tropical,Em7
421,pais-tropical,D
422,pais-tropical,C
423,pais-tropical,D7
424,pais-tropical,Em7
425,pais-tropical,D
426,pais-tropical,C
427,pais-tropical,D7
428,pais-tropical,Em7
429,pais-tropical,D
430,pais-tropical,C
431,pais-tropical,D7
432,pais-tropical,G7
433,pais-tropical,C7
