,Musicas,Palavras
0,chove-chuva,Chove
1,chove-chuva,sem
2,chove-chuva,parar
3,chove-chuva,Pra
4,chove-chuva,"Deus,"
5,chove-chuva,nosso
6,chove-chuva,Senhor
7,chove-chuva,Pra
8,chove-chuva,a
9,chove-chuva,chuva
10,chove-chuva,parar
11,chove-chuva,De
12,chove-chuva,molhar
13,chove-chuva,o
14,chove-chuva,meu
15,chove-chuva,divino
16,chove-chuva,amor
17,chove-chuva,É
18,chove-chuva,mais
19,chove-chuva,que
20,chove-chuva,o
21,chove-chuva,infinito
22,chove-chuva,É
23,chove-chuva,puro
24,chove-chuva,e
25,chove-chuva,belo
26,chove-chuva,Inocente
27,chove-chuva,como
28,chove-chuva,a
29,chove-chuva,flor
30,chove-chuva,Não
31,chove-chuva,molhe
32,chove-chuva,mais
33,chove-chuva,O
34,chove-chuva,meu
35,chove-chuva,amor
36,chove-chuva,assim
37,chove-chuva,Chove
38,chove-chuva,sem
39,chove-chuva,parar
40,chove-chuva,"Imboró,"
41,chove-chuva,congá
42,chove-chuva,"Dombim,"
43,chove-chuva,dombém
44,chove-chuva,"Agouê,"
45,chove-chuva,obá
46,chove-chuva,"Sacundim,"
47,chove-chuva,sacundém
48,chove-chuva,"Imboró,"
49,chove-chuva,congá
50,chove-chuva,"Dombim,"
51,chove-chuva,dombém
52,chove-chuva,Agouê
53,chove-chuva,"Agouê,"
54,chove-chuva,oh!
55,chove-chuva,Oh!
56,chove-chuva,Oh!
57,chove-chuva,Obá
58,chove-chuva,"Agouê,"
59,chove-chuva,oh!
60,chove-chuva,Oh!
61,chove-chuva,Oh!
62,chove-chuva,Obá
63,chove-chuva,"Agouê,"
64,chove-chuva,oh!
65,chove-chuva,Oh!
66,chove-chuva,Oh!
67,chove-chuva,Obá
68,chove-chuva,None
443,mas-que-nada,Obá
444,mas-que-nada,obá
445,mas-que-nada,obá
446,mas-que-nada,O
447,mas-que-nada,ariá
448,mas-que-nada,raió
449,mas-que-nada,Obá
450,mas-que-nada,obá
451,mas-que-nada,obá
452,mas-que-nada,Sai
453,mas-que-nada,da
454,mas-que-nada,minha
455,mas-que-nada,frente
456,mas-que-nada,Eu
457,mas-que-nada,quero
458,mas-que-nada,passar
459,mas-que-nada,Pois
460,mas-que-nada,o
461,mas-que-nada,samba
462,mas-que-nada,está
463,mas-que-nada,animado
464,mas-que-nada,O
465,mas-que-nada,que
466,mas-que-nada,eu
467,mas-que-nada,quero
468,mas-que-nada,é
469,mas-que-nada,sambar
470,mas-que-nada,Que
471,mas-que-nada,é
472,mas-que-nada,misto
473,mas-que-nada,de
474,mas-que-nada,maracatu
475,mas-que-nada,É
476,mas-que-nada,samba
477,mas-que-nada,de
478,mas-que-nada,preto
479,mas-que-nada,velho
480,mas-que-nada,Samba
481,mas-que-nada,de
482,mas-que-nada,preto
483,mas-que-nada,tú
484,mas-que-nada,Um
485,mas-que-nada,samba
486,mas-que-nada,como
487,mas-que-nada,este
488,mas-que-nada,tão
489,mas-que-nada,legal
490,mas-que-nada,Você
491,mas-que-nada,não
492,mas-que-nada,vai
493,mas-que-nada,querer
494,mas-que-nada,Que
495,mas-que-nada,eu
496,mas-que-nada,chegue
497,mas-que-nada,no
498,mas-que-nada,final
499,mas-que-nada,Obá
500,mas-que-nada,obá
501,mas-que-nada,obá
502,mas-que-nada,O
