,Musicas,Acordes
0,louca-de-saudade,C
1,louca-de-saudade,Em7
2,louca-de-saudade,F9
3,louca-de-saudade,Fm
4,louca-de-saudade,C
5,louca-de-saudade,Em7
6,louca-de-saudade,F9/C
7,louca-de-saudade,Fm
8,louca-de-saudade,C
9,louca-de-saudade,Em7
10,louca-de-saudade,F9
11,louca-de-saudade,Fm
12,louca-de-saudade,C
13,louca-de-saudade,Em7
14,louca-de-saudade,F9/C
15,louca-de-saudade,Fm
16,louca-de-saudade,F9/C
17,louca-de-saudade,G
18,louca-de-saudade,F9/C
19,louca-de-saudade,C
20,louca-de-saudade,F9/C
21,louca-de-saudade,G
22,louca-de-saudade,F9/C
23,louca-de-saudade,C
24,louca-de-saudade,G
25,louca-de-saudade,F9/C
26,louca-de-saudade,G
27,louca-de-saudade,F9/C
28,louca-de-saudade,C
29,louca-de-saudade,F9/C
30,louca-de-saudade,G
31,louca-de-saudade,F9/C
32,louca-de-saudade,C
33,louca-de-saudade,G
34,louca-de-saudade,F9/C
35,louca-de-saudade,C
36,louca-de-saudade,G
37,louca-de-saudade,F9/C
38,louca-de-saudade,G
39,louca-de-saudade,Am7
40,louca-de-saudade,G/B
41,louca-de-saudade,F9/C
42,louca-de-saudade,C
43,louca-de-saudade,G
44,louca-de-saudade,F9/C
45,louca-de-saudade,G
46,louca-de-saudade,Am7
47,louca-de-saudade,G/B
48,louca-de-saudade,C
49,louca-de-saudade,Em7
50,louca-de-saudade,F9/C
51,louca-de-saudade,Fm/C
52,louca-de-saudade,C
53,louca-de-saudade,Em7
54,louca-de-saudade,F9/C
55,louca-de-saudade,Fm/C
56,louca-de-saudade,Dm
57,louca-de-saudade,G
58,louca-de-saudade,C
59,louca-de-saudade,Em7
60,louca-de-saudade,F9/C
61,louca-de-saudade,Fm/C
62,louca-de-saudade,C
63,louca-de-saudade,Em7
64,louca-de-saudade,F9/C
65,louca-de-saudade,Fm/C
66,louca-de-saudade,Dm
67,louca-de-saudade,G
68,louca-de-saudade,C
69,louca-de-saudade,Em7
70,louca-de-saudade,F9/C
71,louca-de-saudade,Fm/C
72,louca-de-saudade,C
73,louca-de-saudade,Em7
74,louca-de-saudade,F9/C
75,louca-de-saudade,Fm/C
76,louca-de-saudade,F9/C
77,louca-de-saudade,G
78,louca-de-saudade,F9/C
79,louca-de-saudade,C
80,louca-de-saudade,F9/C
81,louca-de-saudade,G
82,louca-de-saudade,F9/C
83,louca-de-saudade,C
