,Musicas,Palavras
0,louca-de-saudade,Troque
1,louca-de-saudade,o
2,louca-de-saudade,"CD,"
3,louca-de-saudade,não
4,louca-de-saudade,ouça
5,louca-de-saudade,mais
6,louca-de-saudade,Se
7,louca-de-saudade,um
8,louca-de-saudade,perfume
9,louca-de-saudade,me
10,louca-de-saudade,recordar
11,louca-de-saudade,Troque
12,louca-de-saudade,de
13,louca-de-saudade,"marca,"
14,louca-de-saudade,não
15,louca-de-saudade,use
16,louca-de-saudade,mais
17,louca-de-saudade,Substituir
18,louca-de-saudade,é
19,louca-de-saudade,o
20,louca-de-saudade,que
21,louca-de-saudade,te
22,louca-de-saudade,convém
23,louca-de-saudade,Vai
24,louca-de-saudade,te
25,louca-de-saudade,deixar
26,louca-de-saudade,louca
27,louca-de-saudade,de
28,louca-de-saudade,"saudade,"
29,louca-de-saudade,louca
30,louca-de-saudade,de
31,louca-de-saudade,saudade
32,louca-de-saudade,O
33,louca-de-saudade,coração
34,louca-de-saudade,vai
35,louca-de-saudade,me
36,louca-de-saudade,desejar
37,louca-de-saudade,E
38,louca-de-saudade,te
39,louca-de-saudade,deixar
40,louca-de-saudade,louca
41,louca-de-saudade,de
42,louca-de-saudade,"saudade,"
43,louca-de-saudade,louca
44,louca-de-saudade,de
45,louca-de-saudade,saudade
46,louca-de-saudade,Eu
47,louca-de-saudade,quero
48,louca-de-saudade,ver
49,louca-de-saudade,então
50,louca-de-saudade,Se
51,louca-de-saudade,vai
52,louca-de-saudade,poder
53,louca-de-saudade,trocar
54,louca-de-saudade,de
55,louca-de-saudade,coração
56,louca-de-saudade,Troque
57,louca-de-saudade,de
58,louca-de-saudade,"rota,"
59,louca-de-saudade,não
60,louca-de-saudade,passe
61,louca-de-saudade,lá
62,louca-de-saudade,Se
63,louca-de-saudade,um
64,louca-de-saudade,filme
65,louca-de-saudade,me
66,louca-de-saudade,recordar
67,louca-de-saudade,Troque
68,louca-de-saudade,o
69,louca-de-saudade,"canal,"
70,louca-de-saudade,é
71,louca-de-saudade,só
72,louca-de-saudade,desligar
73,louca-de-saudade,Substituir
74,louca-de-saudade,é
75,louca-de-saudade,o
76,louca-de-saudade,que
77,louca-de-saudade,te
78,louca-de-saudade,convém
79,louca-de-saudade,Vai
80,louca-de-saudade,te
81,louca-de-saudade,deixar
82,louca-de-saudade,louca
83,louca-de-saudade,de
84,louca-de-saudade,"saudade,"
85,louca-de-saudade,louca
86,louca-de-saudade,de
87,louca-de-saudade,saudade
88,louca-de-saudade,O
89,louca-de-saudade,coração
90,louca-de-saudade,vai
91,louca-de-saudade,me
92,louca-de-saudade,desejar
93,louca-de-saudade,E
94,louca-de-saudade,te
95,louca-de-saudade,deixar
96,louca-de-saudade,louca
97,louca-de-saudade,de
98,louca-de-saudade,"saudade,"
99,louca-de-saudade,louca
100,louca-de-saudade,de
101,louca-de-saudade,saudade
102,louca-de-saudade,Se
103,louca-de-saudade,vai
104,louca-de-saudade,poder
105,louca-de-saudade,trocar
106,louca-de-saudade,Eu
107,louca-de-saudade,quero
108,louca-de-saudade,ver
109,louca-de-saudade,então
110,louca-de-saudade,Se
111,louca-de-saudade,vai
112,louca-de-saudade,poder
113,louca-de-saudade,trocar
114,louca-de-saudade,de
115,louca-de-saudade,coração
116,louca-de-saudade,Vai
117,louca-de-saudade,te
118,louca-de-saudade,deixar
