,Musicas,Acordes
0,tempo-perdido,Em
1,tempo-perdido,C
2,tempo-perdido,Am7
3,tempo-perdido,Bm
4,tempo-perdido,Em
5,tempo-perdido,C7M
6,tempo-perdido,Am7
7,tempo-perdido,Bm7
8,tempo-perdido,E5
9,tempo-perdido,D5
10,tempo-perdido,C
11,tempo-perdido,Am7
12,tempo-perdido,Bm
13,tempo-perdido,Em
14,tempo-perdido,C
15,tempo-perdido,Am7
16,tempo-perdido,Bm
17,tempo-perdido,Em
18,tempo-perdido,C
19,tempo-perdido,Am7
20,tempo-perdido,Bm
21,tempo-perdido,Em
22,tempo-perdido,C
23,tempo-perdido,Am7
24,tempo-perdido,Bm
25,tempo-perdido,Em
26,tempo-perdido,C
27,tempo-perdido,Am7
28,tempo-perdido,Bm
29,tempo-perdido,Em
30,tempo-perdido,C
31,tempo-perdido,Am7
32,tempo-perdido,Bm
33,tempo-perdido,Em
34,tempo-perdido,Bm
35,tempo-perdido,Em
36,tempo-perdido,Bm
37,tempo-perdido,C
38,tempo-perdido,Am7
39,tempo-perdido,Bm
40,tempo-perdido,Em
41,tempo-perdido,C
42,tempo-perdido,Am7
43,tempo-perdido,Bm
44,tempo-perdido,Em
45,tempo-perdido,C
46,tempo-perdido,Am7
47,tempo-perdido,Bm
48,tempo-perdido,Em
49,tempo-perdido,C
50,tempo-perdido,Am7
51,tempo-perdido,Bm
52,tempo-perdido,Em
53,tempo-perdido,Bm
54,tempo-perdido,Em
55,tempo-perdido,Bm
56,tempo-perdido,Em
57,tempo-perdido,C
58,tempo-perdido,Am7
59,tempo-perdido,Bm
60,tempo-perdido,Em
61,tempo-perdido,C
62,tempo-perdido,Am7
63,tempo-perdido,Bm
64,tempo-perdido,Em
65,tempo-perdido,C
66,tempo-perdido,Am7
67,tempo-perdido,Bm
68,tempo-perdido,Em
69,tempo-perdido,C
70,tempo-perdido,Am7
71,tempo-perdido,Bm
72,tempo-perdido,Em
73,tempo-perdido,Bm
74,tempo-perdido,Em
75,tempo-perdido,Bm
76,tempo-perdido,C
77,tempo-perdido,Am7
78,tempo-perdido,Bm7
79,tempo-perdido,Em
80,tempo-perdido,Am7
414,pais-filhos,F9
415,pais-filhos,Em
416,pais-filhos,C
417,pais-filhos,Bm
418,pais-filhos,Am7
419,pais-filhos,Am7
420,pais-filhos,D
421,pais-filhos,D
422,pais-filhos,F9
423,pais-filhos,Em
424,pais-filhos,C
425,pais-filhos,Bm
426,pais-filhos,Am7
427,pais-filhos,D
428,pais-filhos,C
429,pais-filhos,D
430,pais-filhos,G
431,pais-filhos,C
432,pais-filhos,D
433,pais-filhos,G
434,pais-filhos,C
435,pais-filhos,D
436,pais-filhos,G
437,pais-filhos,C
438,pais-filhos,D
439,pais-filhos,G
440,pais-filhos,C
441,pais-filhos,D
442,pais-filhos,F9
443,pais-filhos,Em
444,pais-filhos,C
445,pais-filhos,Bm
446,pais-filhos,Am7
447,pais-filhos,Am7
448,pais-filhos,D
449,pais-filhos,D
450,pais-filhos,F9
451,pais-filhos,Em
452,pais-filhos,C
453,pais-filhos,Bm
454,pais-filhos,Am7
455,pais-filhos,D
456,pais-filhos,G
457,pais-filhos,C
458,pais-filhos,Em
459,pais-filhos,C
460,pais-filhos,G
461,pais-filhos,C
462,pais-filhos,Em
463,pais-filhos,C
464,pais-filhos,G
465,pais-filhos,G
466,pais-filhos,C
467,pais-filhos,G
468,pais-filhos,C
469,pais-filhos,Em
470,pais-filhos,C
471,pais-filhos,G
472,pais-filhos,C
473,pais-filhos,Em
474,pais-filhos,C
475,pais-filhos,G
476,pais-filhos,G
477,pais-filhos,C
478,pais-filhos,Em
479,pais-filhos,C
480,pais-filhos,G
481,pais-filhos,C
482,pais-filhos,Em
483,pais-filhos,C
484,pais-filhos,G
828,hoje-noite-nao-tem-luar,G
829,hoje-noite-nao-tem-luar,Am7
830,hoje-noite-nao-tem-luar,G/B
831,hoje-noite-nao-tem-luar,C
832,hoje-noite-nao-tem-luar,D
833,hoje-noite-nao-tem-luar,G
834,hoje-noite-nao-tem-luar,Am7
835,hoje-noite-nao-tem-luar,G/B
836,hoje-noite-nao-tem-luar,C
837,hoje-noite-nao-tem-luar,D
838,hoje-noite-nao-tem-luar,G
839,hoje-noite-nao-tem-luar,Am7
840,hoje-noite-nao-tem-luar,G/B
841,hoje-noite-nao-tem-luar,C
842,hoje-noite-nao-tem-luar,D
843,hoje-noite-nao-tem-luar,G
844,hoje-noite-nao-tem-luar,Am7
845,hoje-noite-nao-tem-luar,G/B
846,hoje-noite-nao-tem-luar,C
847,hoje-noite-nao-tem-luar,D
848,hoje-noite-nao-tem-luar,B7
849,hoje-noite-nao-tem-luar,Em
850,hoje-noite-nao-tem-luar,C
851,hoje-noite-nao-tem-luar,G
852,hoje-noite-nao-tem-luar,Am7
853,hoje-noite-nao-tem-luar,D
854,hoje-noite-nao-tem-luar,G
855,hoje-noite-nao-tem-luar,D9/F#
