,Musicas,Palavras
0,paciencia,Um
1,paciencia,pouco
2,paciencia,mais
3,paciencia,de
4,paciencia,calma
5,paciencia,Até
6,paciencia,quando
7,paciencia,o
8,paciencia,corpo
9,paciencia,pede
10,paciencia,Um
11,paciencia,pouco
12,paciencia,mais
13,paciencia,de
14,paciencia,alma
15,paciencia,A
16,paciencia,vida
17,paciencia,não
18,paciencia,para
19,paciencia,Acelera
20,paciencia,e
21,paciencia,pede
22,paciencia,pressa
23,paciencia,Eu
24,paciencia,me
25,paciencia,"recuso,"
26,paciencia,faço
27,paciencia,hora
28,paciencia,Vou
29,paciencia,na
30,paciencia,valsa
31,paciencia,A
32,paciencia,vida
33,paciencia,é
34,paciencia,tão
35,paciencia,rara
36,paciencia,Espera
37,paciencia,a
38,paciencia,cura
39,paciencia,do
40,paciencia,mal
41,paciencia,E
42,paciencia,a
43,paciencia,loucura
44,paciencia,finge
45,paciencia,Que
46,paciencia,isso
47,paciencia,tudo
48,paciencia,é
49,paciencia,normal
50,paciencia,Eu
51,paciencia,finjo
52,paciencia,ter
53,paciencia,paciência
54,paciencia,Cada
55,paciencia,vez
56,paciencia,mais
57,paciencia,veloz
58,paciencia,A
59,paciencia,gente
60,paciencia,espera
61,paciencia,do
62,paciencia,mundo
63,paciencia,E
64,paciencia,o
65,paciencia,mundo
66,paciencia,espera
67,paciencia,de
68,paciencia,nós
69,paciencia,Um
70,paciencia,pouco
71,paciencia,mais
72,paciencia,de
73,paciencia,paciência
74,paciencia,Que
75,paciencia,lhe
76,paciencia,falta
77,paciencia,pra
78,paciencia,perceber?
79,paciencia,Será
80,paciencia,que
81,paciencia,temos
82,paciencia,esse
83,paciencia,tempo
84,paciencia,Pra
85,paciencia,perder?
86,paciencia,E
87,paciencia,quem
88,paciencia,quer
89,paciencia,saber?
90,paciencia,A
91,paciencia,vida
92,paciencia,é
93,paciencia,tão
94,paciencia,rara
95,paciencia,Tão
96,paciencia,rara
97,paciencia,Um
98,paciencia,pouco
99,paciencia,mais
100,paciencia,de
101,paciencia,calma
102,paciencia,Mesmo
103,paciencia,quando
104,paciencia,o
105,paciencia,corpo
106,paciencia,pede
107,paciencia,Um
108,paciencia,pouco
109,paciencia,mais
110,paciencia,de
111,paciencia,alma
112,paciencia,Eu
113,paciencia,"sei,"
114,paciencia,a
115,paciencia,vida
116,paciencia,não
117,paciencia,para
118,paciencia,A
119,paciencia,vida
120,paciencia,não
121,paciencia,para
122,paciencia,não
123,paciencia,Que
124,paciencia,lhe
125,paciencia,falta
126,paciencia,pra
127,paciencia,perceber?
128,paciencia,Será
129,paciencia,que
130,paciencia,temos
131,paciencia,esse
132,paciencia,tempo
133,paciencia,Pra
134,paciencia,perder?
135,paciencia,E
136,paciencia,quem
137,paciencia,quer
138,paciencia,saber?
139,paciencia,A
140,paciencia,vida
141,paciencia,é
142,paciencia,tão
143,paciencia,rara
144,paciencia,Tão
145,paciencia,rara
146,paciencia,Um
147,paciencia,pouco
148,paciencia,mais
149,paciencia,de
150,paciencia,calma
151,paciencia,Até
152,paciencia,quando
153,paciencia,o
154,paciencia,corpo
155,paciencia,pede
156,paciencia,Um
157,paciencia,pouco
158,paciencia,mais
159,paciencia,de
160,paciencia,alma
161,paciencia,Eu
162,paciencia,"sei,"
163,paciencia,a
164,paciencia,vida
165,paciencia,é
166,paciencia,tão
167,paciencia,rara
168,paciencia,A
169,paciencia,vida
170,paciencia,não
171,paciencia,para
172,paciencia,não
173,paciencia,None
586,hoje-eu-quero-sair-so,Você
587,hoje-eu-quero-sair-so,não
588,hoje-eu-quero-sair-so,quer
589,hoje-eu-quero-sair-so,me
590,hoje-eu-quero-sair-so,trancar
591,hoje-eu-quero-sair-so,num
592,hoje-eu-quero-sair-so,quarto
593,hoje-eu-quero-sair-so,escuro
594,hoje-eu-quero-sair-so,Às
595,hoje-eu-quero-sair-so,vezes
596,hoje-eu-quero-sair-so,parece
597,hoje-eu-quero-sair-so,até
598,hoje-eu-quero-sair-so,que
599,hoje-eu-quero-sair-so,a
600,hoje-eu-quero-sair-so,gente
601,hoje-eu-quero-sair-so,deu
602,hoje-eu-quero-sair-so,um
603,hoje-eu-quero-sair-so,nó
604,hoje-eu-quero-sair-so,Hoje
605,hoje-eu-quero-sair-so,eu
606,hoje-eu-quero-sair-so,quero
607,hoje-eu-quero-sair-so,sair
608,hoje-eu-quero-sair-so,só
609,hoje-eu-quero-sair-so,Vem
610,hoje-eu-quero-sair-so,"cá,"
611,hoje-eu-quero-sair-so,me
612,hoje-eu-quero-sair-so,deixa
613,hoje-eu-quero-sair-so,"fugir,"
614,hoje-eu-quero-sair-so,me
615,hoje-eu-quero-sair-so,beija
616,hoje-eu-quero-sair-so,a
617,hoje-eu-quero-sair-so,boca
618,hoje-eu-quero-sair-so,Às
619,hoje-eu-quero-sair-so,vezes
620,hoje-eu-quero-sair-so,parece
621,hoje-eu-quero-sair-so,até
622,hoje-eu-quero-sair-so,que
623,hoje-eu-quero-sair-so,a
624,hoje-eu-quero-sair-so,gente
625,hoje-eu-quero-sair-so,deu
626,hoje-eu-quero-sair-so,um
627,hoje-eu-quero-sair-so,nó
628,hoje-eu-quero-sair-so,Hoje
629,hoje-eu-quero-sair-so,eu
630,hoje-eu-quero-sair-so,quero
631,hoje-eu-quero-sair-so,sair
632,hoje-eu-quero-sair-so,só
633,hoje-eu-quero-sair-so,Não
634,hoje-eu-quero-sair-so,"demora,"
635,hoje-eu-quero-sair-so,eu
636,hoje-eu-quero-sair-so,tô
637,hoje-eu-quero-sair-so,de
638,hoje-eu-quero-sair-so,volta
639,hoje-eu-quero-sair-so,Já
640,hoje-eu-quero-sair-so,deu
641,hoje-eu-quero-sair-so,minha
642,hoje-eu-quero-sair-so,hora
643,hoje-eu-quero-sair-so,e
644,hoje-eu-quero-sair-so,eu
645,hoje-eu-quero-sair-so,não
646,hoje-eu-quero-sair-so,posso
647,hoje-eu-quero-sair-so,ficar
648,hoje-eu-quero-sair-so,A
649,hoje-eu-quero-sair-so,lua
650,hoje-eu-quero-sair-so,me
651,hoje-eu-quero-sair-so,"chama,"
652,hoje-eu-quero-sair-so,eu
653,hoje-eu-quero-sair-so,tenho
654,hoje-eu-quero-sair-so,que
655,hoje-eu-quero-sair-so,ir
656,hoje-eu-quero-sair-so,pra
657,hoje-eu-quero-sair-so,rua
658,hoje-eu-quero-sair-so,A
659,hoje-eu-quero-sair-so,lua
660,hoje-eu-quero-sair-so,me
661,hoje-eu-quero-sair-so,"chama,"
662,hoje-eu-quero-sair-so,eu
663,hoje-eu-quero-sair-so,tenho
664,hoje-eu-quero-sair-so,que
665,hoje-eu-quero-sair-so,ir
666,hoje-eu-quero-sair-so,pra
667,hoje-eu-quero-sair-so,rua
668,hoje-eu-quero-sair-so,Hoje
669,hoje-eu-quero-sair-so,eu
670,hoje-eu-quero-sair-so,quero
671,hoje-eu-quero-sair-so,sair
672,hoje-eu-quero-sair-so,só
673,hoje-eu-quero-sair-so,Hoje
674,hoje-eu-quero-sair-so,eu
675,hoje-eu-quero-sair-so,quero
676,hoje-eu-quero-sair-so,sair
677,hoje-eu-quero-sair-so,Vem
678,hoje-eu-quero-sair-so,"cá,"
679,hoje-eu-quero-sair-so,me
680,hoje-eu-quero-sair-so,deixa
681,hoje-eu-quero-sair-so,"fugir,"
682,hoje-eu-quero-sair-so,me
683,hoje-eu-quero-sair-so,beija
684,hoje-eu-quero-sair-so,a
685,hoje-eu-quero-sair-so,boca
686,hoje-eu-quero-sair-so,Às
687,hoje-eu-quero-sair-so,vezes
688,hoje-eu-quero-sair-so,parece
689,hoje-eu-quero-sair-so,até
690,hoje-eu-quero-sair-so,que
691,hoje-eu-quero-sair-so,a
692,hoje-eu-quero-sair-so,gente
693,hoje-eu-quero-sair-so,deu
694,hoje-eu-quero-sair-so,um
695,hoje-eu-quero-sair-so,nó
696,hoje-eu-quero-sair-so,Hoje
697,hoje-eu-quero-sair-so,eu
698,hoje-eu-quero-sair-so,quero
699,hoje-eu-quero-sair-so,sair
700,hoje-eu-quero-sair-so,só
701,hoje-eu-quero-sair-so,Não
702,hoje-eu-quero-sair-so,demora
703,hoje-eu-quero-sair-so,eu
704,hoje-eu-quero-sair-so,tô
705,hoje-eu-quero-sair-so,de
706,hoje-eu-quero-sair-so,volta
707,hoje-eu-quero-sair-so,Já
708,hoje-eu-quero-sair-so,deu
709,hoje-eu-quero-sair-so,minha
710,hoje-eu-quero-sair-so,hora
711,hoje-eu-quero-sair-so,e
712,hoje-eu-quero-sair-so,eu
713,hoje-eu-quero-sair-so,não
714,hoje-eu-quero-sair-so,posso
715,hoje-eu-quero-sair-so,ficar
716,hoje-eu-quero-sair-so,A
717,hoje-eu-quero-sair-so,lua
718,hoje-eu-quero-sair-so,me
719,hoje-eu-quero-sair-so,"chama,"
720,hoje-eu-quero-sair-so,eu
721,hoje-eu-quero-sair-so,tenho
722,hoje-eu-quero-sair-so,que
723,hoje-eu-quero-sair-so,ir
724,hoje-eu-quero-sair-so,pra
725,hoje-eu-quero-sair-so,rua
726,hoje-eu-quero-sair-so,A
727,hoje-eu-quero-sair-so,lua
728,hoje-eu-quero-sair-so,me
729,hoje-eu-quero-sair-so,"chama,"
730,hoje-eu-quero-sair-so,eu
731,hoje-eu-quero-sair-so,tenho
732,hoje-eu-quero-sair-so,que
733,hoje-eu-quero-sair-so,ir
734,hoje-eu-quero-sair-so,pra
735,hoje-eu-quero-sair-so,rua
736,hoje-eu-quero-sair-so,Já
737,hoje-eu-quero-sair-so,deu
738,hoje-eu-quero-sair-so,minha
739,hoje-eu-quero-sair-so,hora
740,hoje-eu-quero-sair-so,e
741,hoje-eu-quero-sair-so,eu
742,hoje-eu-quero-sair-so,não
743,hoje-eu-quero-sair-so,posso
744,hoje-eu-quero-sair-so,ficar
745,hoje-eu-quero-sair-so,A
746,hoje-eu-quero-sair-so,lua
747,hoje-eu-quero-sair-so,me
748,hoje-eu-quero-sair-so,chama
749,hoje-eu-quero-sair-so,Eu
750,hoje-eu-quero-sair-so,tenho
751,hoje-eu-quero-sair-so,que
752,hoje-eu-quero-sair-so,ir
753,hoje-eu-quero-sair-so,pra
754,hoje-eu-quero-sair-so,rua
755,hoje-eu-quero-sair-so,A
756,hoje-eu-quero-sair-so,lua
757,hoje-eu-quero-sair-so,me
758,hoje-eu-quero-sair-so,chama
759,hoje-eu-quero-sair-so,Eu
760,hoje-eu-quero-sair-so,tenho
761,hoje-eu-quero-sair-so,que
762,hoje-eu-quero-sair-so,ir
763,hoje-eu-quero-sair-so,pra
764,hoje-eu-quero-sair-so,rua
765,hoje-eu-quero-sair-so,None
1172,simples-assim,Se
1173,simples-assim,imagina
1174,simples-assim,muito
1175,simples-assim,mais
1176,simples-assim,do
1177,simples-assim,que
1178,simples-assim,consegue
1179,simples-assim,ser
