,Musicas,Acordes
0,agua-com-acucar,C
1,agua-com-acucar,Am7
2,agua-com-acucar,F7M
3,agua-com-acucar,C
4,agua-com-acucar,G
5,agua-com-acucar,F7M
6,agua-com-acucar,G
7,agua-com-acucar,Em
8,agua-com-acucar,Am7
9,agua-com-acucar,F7M
10,agua-com-acucar,G
11,agua-com-acucar,C
12,agua-com-acucar,Am7
13,agua-com-acucar,F7M
14,agua-com-acucar,G
15,agua-com-acucar,C
16,agua-com-acucar,G
17,agua-com-acucar,C
18,agua-com-acucar,Am7
19,agua-com-acucar,F7M
20,agua-com-acucar,G
21,agua-com-acucar,C
22,agua-com-acucar,F7M
23,agua-com-acucar,G
24,agua-com-acucar,Em
25,agua-com-acucar,Am7
26,agua-com-acucar,F7M
27,agua-com-acucar,G
28,agua-com-acucar,C
29,agua-com-acucar,Am7
30,agua-com-acucar,F7M
31,agua-com-acucar,G
32,agua-com-acucar,C
33,agua-com-acucar,G
34,agua-com-acucar,C
35,agua-com-acucar,Am7
36,agua-com-acucar,F7M
37,agua-com-acucar,G
38,agua-com-acucar,C
39,agua-com-acucar,Am7
40,agua-com-acucar,F7M
41,agua-com-acucar,G
42,agua-com-acucar,C
43,agua-com-acucar,Am7
44,agua-com-acucar,F7M
45,agua-com-acucar,G
46,agua-com-acucar,C
47,agua-com-acucar,G
48,agua-com-acucar,C
49,agua-com-acucar,Am7
50,agua-com-acucar,F7M
51,agua-com-acucar,G
52,agua-com-acucar,C
53,agua-com-acucar,Am7
54,agua-com-acucar,F7M
55,agua-com-acucar,G
56,agua-com-acucar,C
138,te-esperando,G
139,te-esperando,C9
140,te-esperando,G
141,te-esperando,C9
142,te-esperando,G
143,te-esperando,C9
144,te-esperando,G
145,te-esperando,C9
146,te-esperando,G
147,te-esperando,C9
148,te-esperando,G
149,te-esperando,C9
150,te-esperando,G
151,te-esperando,C9
152,te-esperando,G
153,te-esperando,C9
154,te-esperando,Cm
155,te-esperando,G
156,te-esperando,C9
157,te-esperando,G
158,te-esperando,C9
159,te-esperando,G
160,te-esperando,C9
161,te-esperando,G
162,te-esperando,C9
163,te-esperando,G
164,te-esperando,C9
165,te-esperando,G
166,te-esperando,C9
167,te-esperando,G
168,te-esperando,C9
169,te-esperando,G
170,te-esperando,C9
171,te-esperando,G
172,te-esperando,C9
173,te-esperando,G
276,boa-memoria,G
277,boa-memoria,C9
278,boa-memoria,G
279,boa-memoria,C9
280,boa-memoria,C9
281,boa-memoria,D
282,boa-memoria,C9
283,boa-memoria,G
284,boa-memoria,C9
285,boa-memoria,G
286,boa-memoria,C9
287,boa-memoria,G
288,boa-memoria,D9
289,boa-memoria,Ebº
290,boa-memoria,Em
291,boa-memoria,D9
292,boa-memoria,Cm
293,boa-memoria,G
294,boa-memoria,B
295,boa-memoria,Em
296,boa-memoria,D9
297,boa-memoria,C9
298,boa-memoria,G
299,boa-memoria,B
300,boa-memoria,C9
301,boa-memoria,Cm
302,boa-memoria,G
303,boa-memoria,C9
304,boa-memoria,G
305,boa-memoria,C9
306,boa-memoria,C9
307,boa-memoria,D
308,boa-memoria,C9
309,boa-memoria,G
310,boa-memoria,C9
311,boa-memoria,G
312,boa-memoria,C9
313,boa-memoria,G
314,boa-memoria,D9
315,boa-memoria,Ebº
316,boa-memoria,Em
317,boa-memoria,D9
318,boa-memoria,Cm
319,boa-memoria,G
320,boa-memoria,B
321,boa-memoria,Em
322,boa-memoria,D9
323,boa-memoria,C9
324,boa-memoria,G
325,boa-memoria,B
326,boa-memoria,C9
327,boa-memoria,Cm
328,boa-memoria,G
329,boa-memoria,C9
330,boa-memoria,G
331,boa-memoria,C9
414,tudo-que-voce-quiser,C
415,tudo-que-voce-quiser,F7M/C
416,tudo-que-voce-quiser,C
417,tudo-que-voce-quiser,Am
418,tudo-que-voce-quiser,G
419,tudo-que-voce-quiser,F7M/C
420,tudo-que-voce-quiser,C
421,tudo-que-voce-quiser,Am
422,tudo-que-voce-quiser,G
423,tudo-que-voce-quiser,C
424,tudo-que-voce-quiser,F7M/C
425,tudo-que-voce-quiser,C
426,tudo-que-voce-quiser,F7M/C
427,tudo-que-voce-quiser,Dm
428,tudo-que-voce-quiser,F7M/C
429,tudo-que-voce-quiser,C
430,tudo-que-voce-quiser,Dm
431,tudo-que-voce-quiser,F7M/C
432,tudo-que-voce-quiser,C
433,tudo-que-voce-quiser,G
434,tudo-que-voce-quiser,C
435,tudo-que-voce-quiser,F7M/C
436,tudo-que-voce-quiser,Am
437,tudo-que-voce-quiser,C
438,tudo-que-voce-quiser,F7M/C
439,tudo-que-voce-quiser,C
440,tudo-que-voce-quiser,Am
441,tudo-que-voce-quiser,G
442,tudo-que-voce-quiser,F7M/C
443,tudo-que-voce-quiser,C
444,tudo-que-voce-quiser,Am
445,tudo-que-voce-quiser,G
446,tudo-que-voce-quiser,Dm
447,tudo-que-voce-quiser,F7M/C
448,tudo-que-voce-quiser,C
449,tudo-que-voce-quiser,Dm
450,tudo-que-voce-quiser,F7M/C
451,tudo-que-voce-quiser,C
452,tudo-que-voce-quiser,G
453,tudo-que-voce-quiser,C
454,tudo-que-voce-quiser,F7M/C
455,tudo-que-voce-quiser,Am
456,tudo-que-voce-quiser,F7M/C
457,tudo-que-voce-quiser,C
458,tudo-que-voce-quiser,F7M/C
459,tudo-que-voce-quiser,Am
460,tudo-que-voce-quiser,C
461,tudo-que-voce-quiser,F7M/C
462,tudo-que-voce-quiser,C
463,tudo-que-voce-quiser,Am
464,tudo-que-voce-quiser,G
465,tudo-que-voce-quiser,F7M/C
466,tudo-que-voce-quiser,C
467,tudo-que-voce-quiser,Am
468,tudo-que-voce-quiser,G
469,tudo-que-voce-quiser,C
470,tudo-que-voce-quiser,F7M/C
471,tudo-que-voce-quiser,C
472,tudo-que-voce-quiser,Am
473,tudo-que-voce-quiser,G
474,tudo-que-voce-quiser,F7M/C
475,tudo-que-voce-quiser,C
476,tudo-que-voce-quiser,Am
477,tudo-que-voce-quiser,G
478,tudo-que-voce-quiser,C
552,chuva-de-arroz,Em
553,chuva-de-arroz,G
554,chuva-de-arroz,Bm
555,chuva-de-arroz,A
556,chuva-de-arroz,Em
557,chuva-de-arroz,G
558,chuva-de-arroz,Bm
559,chuva-de-arroz,A
560,chuva-de-arroz,Em
561,chuva-de-arroz,G
562,chuva-de-arroz,Bm
563,chuva-de-arroz,A
564,chuva-de-arroz,Em
565,chuva-de-arroz,G
566,chuva-de-arroz,Bm
567,chuva-de-arroz,A
568,chuva-de-arroz,Em
569,chuva-de-arroz,G
570,chuva-de-arroz,Bm
571,chuva-de-arroz,A
572,chuva-de-arroz,Em
573,chuva-de-arroz,G
574,chuva-de-arroz,Bm
575,chuva-de-arroz,A
576,chuva-de-arroz,Em
577,chuva-de-arroz,G
578,chuva-de-arroz,Bm
579,chuva-de-arroz,A
580,chuva-de-arroz,Em
581,chuva-de-arroz,G
582,chuva-de-arroz,Bm
583,chuva-de-arroz,A
584,chuva-de-arroz,Bm
585,chuva-de-arroz,G
586,chuva-de-arroz,D
587,chuva-de-arroz,A
588,chuva-de-arroz,Bm
