,Musicas,Palavras
0,apenas-mais-uma-de-amor,Que
1,apenas-mais-uma-de-amor,até
2,apenas-mais-uma-de-amor,prefiro
3,apenas-mais-uma-de-amor,esconder
4,apenas-mais-uma-de-amor,Deixo
5,apenas-mais-uma-de-amor,"assim,"
6,apenas-mais-uma-de-amor,ficar
7,apenas-mais-uma-de-amor,Subentendido
8,apenas-mais-uma-de-amor,E
9,apenas-mais-uma-de-amor,não
10,apenas-mais-uma-de-amor,tem
11,apenas-mais-uma-de-amor,a
12,apenas-mais-uma-de-amor,menor
13,apenas-mais-uma-de-amor,obrigação
14,apenas-mais-uma-de-amor,de
15,apenas-mais-uma-de-amor,acontecer
16,apenas-mais-uma-de-amor,De
17,apenas-mais-uma-de-amor,ser
18,apenas-mais-uma-de-amor,"abstrato,"
19,apenas-mais-uma-de-amor,baby
20,apenas-mais-uma-de-amor,A
21,apenas-mais-uma-de-amor,beleza
22,apenas-mais-uma-de-amor,é
23,apenas-mais-uma-de-amor,mesmo
24,apenas-mais-uma-de-amor,tão
25,apenas-mais-uma-de-amor,fugaz
26,apenas-mais-uma-de-amor,E
27,apenas-mais-uma-de-amor,não
28,apenas-mais-uma-de-amor,tem
29,apenas-mais-uma-de-amor,a
30,apenas-mais-uma-de-amor,menor
31,apenas-mais-uma-de-amor,pretensão
32,apenas-mais-uma-de-amor,de
33,apenas-mais-uma-de-amor,convencer
34,apenas-mais-uma-de-amor,Pois
35,apenas-mais-uma-de-amor,que
36,apenas-mais-uma-de-amor,seja
37,apenas-mais-uma-de-amor,fraqueza
38,apenas-mais-uma-de-amor,então
39,apenas-mais-uma-de-amor,A
40,apenas-mais-uma-de-amor,alegria
41,apenas-mais-uma-de-amor,que
42,apenas-mais-uma-de-amor,me
43,apenas-mais-uma-de-amor,dá
44,apenas-mais-uma-de-amor,Isso
45,apenas-mais-uma-de-amor,vai
46,apenas-mais-uma-de-amor,sem
47,apenas-mais-uma-de-amor,eu
48,apenas-mais-uma-de-amor,dizer
49,apenas-mais-uma-de-amor,Caberá
50,apenas-mais-uma-de-amor,só
51,apenas-mais-uma-de-amor,a
52,apenas-mais-uma-de-amor,mim
53,apenas-mais-uma-de-amor,esquecer
54,apenas-mais-uma-de-amor,O
55,apenas-mais-uma-de-amor,que
56,apenas-mais-uma-de-amor,eu
57,apenas-mais-uma-de-amor,"ganho,"
58,apenas-mais-uma-de-amor,o
59,apenas-mais-uma-de-amor,que
60,apenas-mais-uma-de-amor,eu
61,apenas-mais-uma-de-amor,perco
62,apenas-mais-uma-de-amor,Ninguém
63,apenas-mais-uma-de-amor,precisa
64,apenas-mais-uma-de-amor,saber
65,apenas-mais-uma-de-amor,Que
66,apenas-mais-uma-de-amor,até
67,apenas-mais-uma-de-amor,prefiro
68,apenas-mais-uma-de-amor,esconder
69,apenas-mais-uma-de-amor,Deixo
70,apenas-mais-uma-de-amor,assim
71,apenas-mais-uma-de-amor,ficar
