,Musicas,Acordes
0,1967,Fm7/9
1,1967,D#/C#
2,1967,Bbm7
3,1967,Gm5-/7
4,1967,C7/13-
5,1967,Fm7/9
6,1967,D#/C#
7,1967,Bbm7
8,1967,Gm5-/7
9,1967,C7/13-
10,1967,Fm7/9
11,1967,D#/C#
12,1967,Bbm7
13,1967,Gm5-/7
14,1967,C7/13-
15,1967,Fm7/9
16,1967,D#/C#
17,1967,Bbm7
18,1967,Gm5-/7
19,1967,C7/13-
20,1967,Fm7/9
21,1967,D#/C#
22,1967,Bbm7
23,1967,Gm5-/7
24,1967,C7/13-
25,1967,Fm7/9
26,1967,D#/C#
27,1967,Bbm7
28,1967,Gm5-/7
29,1967,C7/13-
138,desabafo,F#m7
139,desabafo,E
140,desabafo,F#m7
141,desabafo,E
142,desabafo,Bm
143,desabafo,Bm7/A
144,desabafo,G#m5-/7
145,desabafo,C#7/9-
146,desabafo,F#m7
147,desabafo,C#m
148,desabafo,F#m7
149,desabafo,C#m
150,desabafo,F#m7
151,desabafo,C#m
152,desabafo,F#m7
153,desabafo,C#m
154,desabafo,F#m7
155,desabafo,C#m
156,desabafo,F#m7
157,desabafo,C#m
158,desabafo,F#m7
159,desabafo,C#m
160,desabafo,F#m7
161,desabafo,C#m
162,desabafo,F#m7
163,desabafo,C#m
164,desabafo,F#m7
165,desabafo,C#m
166,desabafo,F#m7
167,desabafo,C#m
168,desabafo,F#m7
169,desabafo,C#m
170,desabafo,F#m7
171,desabafo,C#m
172,desabafo,F#m7
173,desabafo,C#m
174,desabafo,F#m7
175,desabafo,C#m
176,desabafo,F#m7
177,desabafo,C#m
178,desabafo,F#m7
179,desabafo,E
180,desabafo,F#m7
181,desabafo,E
182,desabafo,Bm
183,desabafo,Bm7/A
184,desabafo,G#m5-/7
185,desabafo,C#7/9-
186,desabafo,F#m7
187,desabafo,C#m
188,desabafo,F#m7
189,desabafo,C#m
190,desabafo,F#m7
191,desabafo,C#m
192,desabafo,F#m7
193,desabafo,C#m
194,desabafo,F#m7
195,desabafo,C#m
196,desabafo,F#m7
197,desabafo,C#m
198,desabafo,F#m7
199,desabafo,C#m
200,desabafo,F#m7
201,desabafo,C#m
202,desabafo,F#m7
203,desabafo,F#m7
204,desabafo,C#m
205,desabafo,F#m7
206,desabafo,C#m
207,desabafo,F#m7
208,desabafo,C#m
209,desabafo,F#m7
210,desabafo,C#m
211,desabafo,F#m7
212,desabafo,C#m
213,desabafo,F#m7
214,desabafo,C#m
215,desabafo,F#m7
216,desabafo,C#m
217,desabafo,F#m7
218,desabafo,C#m
219,desabafo,F#m7
220,desabafo,F#m7
221,desabafo,E
222,desabafo,F#m7
223,desabafo,E
224,desabafo,Bm
225,desabafo,Bm7/A
226,desabafo,G#m5-/7
227,desabafo,C#7/9-
276,a-maldicao-do-samba,Gm7
277,a-maldicao-do-samba,C7
278,a-maldicao-do-samba,Gm7
279,a-maldicao-do-samba,C7
280,a-maldicao-do-samba,Gm7
281,a-maldicao-do-samba,C7
282,a-maldicao-do-samba,Gm7
283,a-maldicao-do-samba,C7
284,a-maldicao-do-samba,Gm7
285,a-maldicao-do-samba,C7
286,a-maldicao-do-samba,Gm7
287,a-maldicao-do-samba,C7
288,a-maldicao-do-samba,Gm7
289,a-maldicao-do-samba,C7
290,a-maldicao-do-samba,Gm7
291,a-maldicao-do-samba,C7
292,a-maldicao-do-samba,Gm7
293,a-maldicao-do-samba,C7
294,a-maldicao-do-samba,Gm7
295,a-maldicao-do-samba,C7
296,a-maldicao-do-samba,Gm7
297,a-maldicao-do-samba,C7
298,a-maldicao-do-samba,Gm7
299,a-maldicao-do-samba,Gm7
300,a-maldicao-do-samba,C7
301,a-maldicao-do-samba,Gm7
302,a-maldicao-do-samba,C7
303,a-maldicao-do-samba,Gm7
304,a-maldicao-do-samba,C7
305,a-maldicao-do-samba,Gm7
306,a-maldicao-do-samba,C7
307,a-maldicao-do-samba,Gm7
308,a-maldicao-do-samba,C7
309,a-maldicao-do-samba,Gm7
310,a-maldicao-do-samba,C7
311,a-maldicao-do-samba,Gm7
312,a-maldicao-do-samba,C7
313,a-maldicao-do-samba,Gm7
314,a-maldicao-do-samba,C7
315,a-maldicao-do-samba,Gm7
316,a-maldicao-do-samba,C7
317,a-maldicao-do-samba,Gm7
318,a-maldicao-do-samba,C7
319,a-maldicao-do-samba,Gm7
320,a-maldicao-do-samba,C7
321,a-maldicao-do-samba,Gm7
322,a-maldicao-do-samba,C7
323,a-maldicao-do-samba,Gm7
324,a-maldicao-do-samba,C7
325,a-maldicao-do-samba,Gm7
326,a-maldicao-do-samba,C7
327,a-maldicao-do-samba,Gm7
328,a-maldicao-do-samba,C7
329,a-maldicao-do-samba,Gm7
330,a-maldicao-do-samba,C7
331,a-maldicao-do-samba,Gm7
332,a-maldicao-do-samba,C7
414,qual-e,G
415,qual-e,Bb
416,qual-e,C
417,qual-e,G
418,qual-e,Bb
419,qual-e,C
420,qual-e,G
421,qual-e,Bb
422,qual-e,C
423,qual-e,G
424,qual-e,Bb
425,qual-e,C
426,qual-e,G
427,qual-e,Bb
428,qual-e,C
429,qual-e,G
430,qual-e,C
431,qual-e,Bb
552,a-procura-da-batida-perfeita,G#m
553,a-procura-da-batida-perfeita,G°
554,a-procura-da-batida-perfeita,F#m7
555,a-procura-da-batida-perfeita,B7/9
556,a-procura-da-batida-perfeita,B7/9-
557,a-procura-da-batida-perfeita,G#m
558,a-procura-da-batida-perfeita,G°
559,a-procura-da-batida-perfeita,F#m7
560,a-procura-da-batida-perfeita,B7/9
561,a-procura-da-batida-perfeita,B7/9-
562,a-procura-da-batida-perfeita,G#m
563,a-procura-da-batida-perfeita,G°
564,a-procura-da-batida-perfeita,F#m7
565,a-procura-da-batida-perfeita,B7/9
566,a-procura-da-batida-perfeita,B7/9-
567,a-procura-da-batida-perfeita,G#m
568,a-procura-da-batida-perfeita,G°
569,a-procura-da-batida-perfeita,F#m7
570,a-procura-da-batida-perfeita,B7/9
571,a-procura-da-batida-perfeita,G#m
572,a-procura-da-batida-perfeita,G°
573,a-procura-da-batida-perfeita,F#m7
574,a-procura-da-batida-perfeita,B7/9
575,a-procura-da-batida-perfeita,G#m
576,a-procura-da-batida-perfeita,G°
577,a-procura-da-batida-perfeita,F#m7
578,a-procura-da-batida-perfeita,B7/9
579,a-procura-da-batida-perfeita,G#m
580,a-procura-da-batida-perfeita,G°
581,a-procura-da-batida-perfeita,F#m7
582,a-procura-da-batida-perfeita,B7/9
583,a-procura-da-batida-perfeita,G#m
584,a-procura-da-batida-perfeita,G°
585,a-procura-da-batida-perfeita,F#m7
586,a-procura-da-batida-perfeita,B7/9
587,a-procura-da-batida-perfeita,G#m
588,a-procura-da-batida-perfeita,G°
589,a-procura-da-batida-perfeita,F#m7
590,a-procura-da-batida-perfeita,B7/9
591,a-procura-da-batida-perfeita,G#m
592,a-procura-da-batida-perfeita,G°
593,a-procura-da-batida-perfeita,B7
594,a-procura-da-batida-perfeita,Bm7
595,a-procura-da-batida-perfeita,E7
596,a-procura-da-batida-perfeita,A7+
597,a-procura-da-batida-perfeita,D7
598,a-procura-da-batida-perfeita,E/G#
599,a-procura-da-batida-perfeita,G°
600,a-procura-da-batida-perfeita,F#m7
601,a-procura-da-batida-perfeita,B7/9
602,a-procura-da-batida-perfeita,B7/9-
690,pilotando-bonde-da-excursao,B7
691,pilotando-bonde-da-excursao,C7
692,pilotando-bonde-da-excursao,B7
693,pilotando-bonde-da-excursao,C7
694,pilotando-bonde-da-excursao,B7
695,pilotando-bonde-da-excursao,C7
696,pilotando-bonde-da-excursao,B7
697,pilotando-bonde-da-excursao,E7
698,pilotando-bonde-da-excursao,A7
699,pilotando-bonde-da-excursao,E7
700,pilotando-bonde-da-excursao,A7
701,pilotando-bonde-da-excursao,E7
702,pilotando-bonde-da-excursao,A7
703,pilotando-bonde-da-excursao,E7
704,pilotando-bonde-da-excursao,A7
705,pilotando-bonde-da-excursao,E7
706,pilotando-bonde-da-excursao,A7
707,pilotando-bonde-da-excursao,E7
708,pilotando-bonde-da-excursao,A7
709,pilotando-bonde-da-excursao,E7
710,pilotando-bonde-da-excursao,A7
711,pilotando-bonde-da-excursao,E7
712,pilotando-bonde-da-excursao,A7
713,pilotando-bonde-da-excursao,E7
714,pilotando-bonde-da-excursao,A7
715,pilotando-bonde-da-excursao,E7
716,pilotando-bonde-da-excursao,A7
717,pilotando-bonde-da-excursao,E7
718,pilotando-bonde-da-excursao,A7
719,pilotando-bonde-da-excursao,E7
720,pilotando-bonde-da-excursao,A7
721,pilotando-bonde-da-excursao,E7
722,pilotando-bonde-da-excursao,A7
723,pilotando-bonde-da-excursao,E7
724,pilotando-bonde-da-excursao,A7
725,pilotando-bonde-da-excursao,E7
726,pilotando-bonde-da-excursao,A7
727,pilotando-bonde-da-excursao,E7
728,pilotando-bonde-da-excursao,A7
729,pilotando-bonde-da-excursao,E7
730,pilotando-bonde-da-excursao,A7
731,pilotando-bonde-da-excursao,E7
732,pilotando-bonde-da-excursao,A7
733,pilotando-bonde-da-excursao,E7
734,pilotando-bonde-da-excursao,A7
735,pilotando-bonde-da-excursao,E7
736,pilotando-bonde-da-excursao,A7
737,pilotando-bonde-da-excursao,E7
738,pilotando-bonde-da-excursao,A7
739,pilotando-bonde-da-excursao,E7
740,pilotando-bonde-da-excursao,A7
741,pilotando-bonde-da-excursao,E7
742,pilotando-bonde-da-excursao,A7
743,pilotando-bonde-da-excursao,E7
744,pilotando-bonde-da-excursao,A7
828,loadeando,F
829,loadeando,G
830,loadeando,A
966,sou-ronaldo,Em
967,sou-ronaldo,D
968,sou-ronaldo,C
969,sou-ronaldo,Em
970,sou-ronaldo,D
971,sou-ronaldo,C
972,sou-ronaldo,Em
973,sou-ronaldo,D
974,sou-ronaldo,C
975,sou-ronaldo,Em
976,sou-ronaldo,D
977,sou-ronaldo,C
978,sou-ronaldo,Em
979,sou-ronaldo,D
980,sou-ronaldo,C
981,sou-ronaldo,Em
982,sou-ronaldo,D
983,sou-ronaldo,C
984,sou-ronaldo,Em
985,sou-ronaldo,D
986,sou-ronaldo,C
987,sou-ronaldo,Em
988,sou-ronaldo,D
989,sou-ronaldo,C
990,sou-ronaldo,Em
991,sou-ronaldo,D
992,sou-ronaldo,C
993,sou-ronaldo,B
994,sou-ronaldo,Em
995,sou-ronaldo,D
996,sou-ronaldo,C
997,sou-ronaldo,Em
998,sou-ronaldo,C
999,sou-ronaldo,G
1000,sou-ronaldo,D
1001,sou-ronaldo,Am
1002,sou-ronaldo,C
1003,sou-ronaldo,G
1004,sou-ronaldo,D
1005,sou-ronaldo,Am
1006,sou-ronaldo,C
1007,sou-ronaldo,G
1008,sou-ronaldo,D
1009,sou-ronaldo,Am
1010,sou-ronaldo,C
1011,sou-ronaldo,G
1012,sou-ronaldo,D
1013,sou-ronaldo,Am
1014,sou-ronaldo,C
1015,sou-ronaldo,G
1016,sou-ronaldo,D
1017,sou-ronaldo,Am
1018,sou-ronaldo,C
1019,sou-ronaldo,G
1020,sou-ronaldo,D
1021,sou-ronaldo,Am
1022,sou-ronaldo,C
1023,sou-ronaldo,G
1024,sou-ronaldo,D
1025,sou-ronaldo,Am
1026,sou-ronaldo,Em
1027,sou-ronaldo,D
1028,sou-ronaldo,C
1029,sou-ronaldo,Em
1030,sou-ronaldo,D
1031,sou-ronaldo,C
1032,sou-ronaldo,B
1033,sou-ronaldo,Em
1034,sou-ronaldo,D
1035,sou-ronaldo,C
1036,sou-ronaldo,Em
1037,sou-ronaldo,D
1038,sou-ronaldo,C
1039,sou-ronaldo,Em
1040,sou-ronaldo,D
1041,sou-ronaldo,C
1042,sou-ronaldo,Em
1043,sou-ronaldo,D
1044,sou-ronaldo,C
1045,sou-ronaldo,Em
1046,sou-ronaldo,D
1047,sou-ronaldo,C
1048,sou-ronaldo,Em
1049,sou-ronaldo,D
1050,sou-ronaldo,C
1051,sou-ronaldo,Em
1052,sou-ronaldo,D
1053,sou-ronaldo,C
1054,sou-ronaldo,B
1055,sou-ronaldo,Em
1056,sou-ronaldo,D
1057,sou-ronaldo,C
1058,sou-ronaldo,Em
1059,sou-ronaldo,C
1060,sou-ronaldo,G
1061,sou-ronaldo,D
1062,sou-ronaldo,Am
1063,sou-ronaldo,C
1064,sou-ronaldo,G
1065,sou-ronaldo,D
1066,sou-ronaldo,Am
1067,sou-ronaldo,C
1068,sou-ronaldo,G
1069,sou-ronaldo,D
1070,sou-ronaldo,Am
1071,sou-ronaldo,C
1072,sou-ronaldo,G
1073,sou-ronaldo,D
1074,sou-ronaldo,Am
1075,sou-ronaldo,C
1076,sou-ronaldo,G
1077,sou-ronaldo,D
1078,sou-ronaldo,Am
1079,sou-ronaldo,C
1080,sou-ronaldo,G
1081,sou-ronaldo,D
1082,sou-ronaldo,Am
1083,sou-ronaldo,C
1084,sou-ronaldo,G
1085,sou-ronaldo,D
1086,sou-ronaldo,Am
1087,sou-ronaldo,Em
1088,sou-ronaldo,D
1089,sou-ronaldo,C
1090,sou-ronaldo,Em
1091,sou-ronaldo,D
1092,sou-ronaldo,C
1093,sou-ronaldo,B
1094,sou-ronaldo,Em
1095,sou-ronaldo,D
1096,sou-ronaldo,C
1104,pode-acreditar-eu-laia-laia,C#m/A
1105,pode-acreditar-eu-laia-laia,C#m
1106,pode-acreditar-eu-laia-laia,Cm
1107,pode-acreditar-eu-laia-laia,Bm
1108,pode-acreditar-eu-laia-laia,E7/9
1109,pode-acreditar-eu-laia-laia,G#m7/4
1110,pode-acreditar-eu-laia-laia,C#m/A
1111,pode-acreditar-eu-laia-laia,C#m
1112,pode-acreditar-eu-laia-laia,Cm
1113,pode-acreditar-eu-laia-laia,Bm
1114,pode-acreditar-eu-laia-laia,E7/9
1115,pode-acreditar-eu-laia-laia,G#m7/4
1116,pode-acreditar-eu-laia-laia,C#m/A
1117,pode-acreditar-eu-laia-laia,C#m
1118,pode-acreditar-eu-laia-laia,Cm
1119,pode-acreditar-eu-laia-laia,Bm
1120,pode-acreditar-eu-laia-laia,E7/9
1121,pode-acreditar-eu-laia-laia,G#m7/4
1122,pode-acreditar-eu-laia-laia,C#m/A
1123,pode-acreditar-eu-laia-laia,C#m
1124,pode-acreditar-eu-laia-laia,Cm
1125,pode-acreditar-eu-laia-laia,Bm
1126,pode-acreditar-eu-laia-laia,E7/9
1127,pode-acreditar-eu-laia-laia,G#m7/4
1128,pode-acreditar-eu-laia-laia,C#m/A
1129,pode-acreditar-eu-laia-laia,C#m
1130,pode-acreditar-eu-laia-laia,Cm
1131,pode-acreditar-eu-laia-laia,Bm
1132,pode-acreditar-eu-laia-laia,E7/9
1133,pode-acreditar-eu-laia-laia,G#m7/4
1134,pode-acreditar-eu-laia-laia,C#m/A
1135,pode-acreditar-eu-laia-laia,C#m
1136,pode-acreditar-eu-laia-laia,Cm
1137,pode-acreditar-eu-laia-laia,Bm
1138,pode-acreditar-eu-laia-laia,E7/9
1139,pode-acreditar-eu-laia-laia,G#m7/4
1140,pode-acreditar-eu-laia-laia,C#m/A
1141,pode-acreditar-eu-laia-laia,C#m
1142,pode-acreditar-eu-laia-laia,Cm
1143,pode-acreditar-eu-laia-laia,Bm
1144,pode-acreditar-eu-laia-laia,E7/9
1145,pode-acreditar-eu-laia-laia,G#m7/4
1146,pode-acreditar-eu-laia-laia,C#m/A
1147,pode-acreditar-eu-laia-laia,C#m
1148,pode-acreditar-eu-laia-laia,Cm
1149,pode-acreditar-eu-laia-laia,Bm
1150,pode-acreditar-eu-laia-laia,E7/9
1151,pode-acreditar-eu-laia-laia,G#m7/4
1152,pode-acreditar-eu-laia-laia,C#m/A
1153,pode-acreditar-eu-laia-laia,C#m
1154,pode-acreditar-eu-laia-laia,Cm
1155,pode-acreditar-eu-laia-laia,Bm
1156,pode-acreditar-eu-laia-laia,E7/9
1157,pode-acreditar-eu-laia-laia,G#m7/4
1158,pode-acreditar-eu-laia-laia,C#m/A
1159,pode-acreditar-eu-laia-laia,C#m
1160,pode-acreditar-eu-laia-laia,Cm
1161,pode-acreditar-eu-laia-laia,Bm
1162,pode-acreditar-eu-laia-laia,E7/9
1163,pode-acreditar-eu-laia-laia,G#m7/4
1164,pode-acreditar-eu-laia-laia,C#m/A
