,Musicas,Acordes
0,graveto,Em7
1,graveto,D
2,graveto,C
3,graveto,Em7
4,graveto,D
5,graveto,C
6,graveto,Em7
7,graveto,D
8,graveto,C
9,graveto,Em7
10,graveto,D
11,graveto,C
12,graveto,Em7
13,graveto,D
14,graveto,Am7
15,graveto,C
16,graveto,Em7
17,graveto,D
18,graveto,C
19,graveto,D
20,graveto,C
21,graveto,G
22,graveto,C
23,graveto,G
24,graveto,A7
25,graveto,C
26,graveto,D
27,graveto,C
28,graveto,G
29,graveto,C
30,graveto,G
31,graveto,C
32,graveto,G
33,graveto,A7
34,graveto,C
35,graveto,D
36,graveto,C
37,graveto,G
38,graveto,C
39,graveto,G
40,graveto,C
41,graveto,Em7
42,graveto,D
43,graveto,C
44,graveto,Em7
45,graveto,D
46,graveto,C
47,graveto,Em7
48,graveto,D
49,graveto,Am7
50,graveto,C
51,graveto,Em7
52,graveto,D
53,graveto,C
54,graveto,D
55,graveto,C
56,graveto,G
57,graveto,C
58,graveto,G
59,graveto,A7
60,graveto,C
61,graveto,D
62,graveto,C
63,graveto,G
64,graveto,C
65,graveto,G
66,graveto,C
67,graveto,G
68,graveto,A7
69,graveto,C
70,graveto,D
71,graveto,C
72,graveto,G
73,graveto,C
74,graveto,G
75,graveto,C
76,graveto,G
128,quero-voce-do-jeito-que-quiser,D/F#
129,quero-voce-do-jeito-que-quiser,A
130,quero-voce-do-jeito-que-quiser,G
131,quero-voce-do-jeito-que-quiser,D/F#
132,quero-voce-do-jeito-que-quiser,A
133,quero-voce-do-jeito-que-quiser,Em7
134,quero-voce-do-jeito-que-quiser,G
135,quero-voce-do-jeito-que-quiser,D/F#
136,quero-voce-do-jeito-que-quiser,A
137,quero-voce-do-jeito-que-quiser,Em7
138,quero-voce-do-jeito-que-quiser,G
139,quero-voce-do-jeito-que-quiser,D9
140,quero-voce-do-jeito-que-quiser,A
141,quero-voce-do-jeito-que-quiser,Em7
142,quero-voce-do-jeito-que-quiser,G
143,quero-voce-do-jeito-que-quiser,D9
144,quero-voce-do-jeito-que-quiser,A
145,quero-voce-do-jeito-que-quiser,Em7
146,quero-voce-do-jeito-que-quiser,G
147,quero-voce-do-jeito-que-quiser,D9
148,quero-voce-do-jeito-que-quiser,A
149,quero-voce-do-jeito-que-quiser,Em7
150,quero-voce-do-jeito-que-quiser,G
151,quero-voce-do-jeito-que-quiser,D9
152,quero-voce-do-jeito-que-quiser,A
153,quero-voce-do-jeito-que-quiser,Em7
154,quero-voce-do-jeito-que-quiser,G
155,quero-voce-do-jeito-que-quiser,D/F#
156,quero-voce-do-jeito-que-quiser,A
157,quero-voce-do-jeito-que-quiser,Em7
158,quero-voce-do-jeito-que-quiser,G
159,quero-voce-do-jeito-que-quiser,D/F#
160,quero-voce-do-jeito-que-quiser,A
161,quero-voce-do-jeito-que-quiser,Em7
162,quero-voce-do-jeito-que-quiser,G
163,quero-voce-do-jeito-que-quiser,D9
164,quero-voce-do-jeito-que-quiser,A
165,quero-voce-do-jeito-que-quiser,Em7
166,quero-voce-do-jeito-que-quiser,G
167,quero-voce-do-jeito-que-quiser,D9
168,quero-voce-do-jeito-que-quiser,A
169,quero-voce-do-jeito-que-quiser,Em7
170,quero-voce-do-jeito-que-quiser,G
171,quero-voce-do-jeito-que-quiser,D9
172,quero-voce-do-jeito-que-quiser,A
173,quero-voce-do-jeito-que-quiser,Em7
174,quero-voce-do-jeito-que-quiser,G
175,quero-voce-do-jeito-que-quiser,D9
176,quero-voce-do-jeito-que-quiser,A
177,quero-voce-do-jeito-que-quiser,Em7
178,quero-voce-do-jeito-que-quiser,G
179,quero-voce-do-jeito-que-quiser,D9
256,supera,E9
257,supera,E9
258,supera,B9
259,supera,C#m7
260,supera,A9
261,supera,B9
262,supera,F#m7(11)
263,supera,C#m7
264,supera,B9
265,supera,E9
266,supera,B4
267,supera,C#m7
268,supera,A9
269,supera,E
270,supera,B4
271,supera,C#m7
272,supera,A9
273,supera,E
274,supera,B4
275,supera,C#m7
276,supera,A9
277,supera,B9
278,supera,F#m7(11)
279,supera,C#m7
280,supera,B9
281,supera,E
282,supera,B9
283,supera,C#m7
284,supera,A9
285,supera,E
286,supera,B9
287,supera,C#m7
288,supera,A9
289,supera,E
290,supera,B9
291,supera,C#m7
292,supera,A9
293,supera,E
384,de-quem--a-culpa,G
385,de-quem--a-culpa,D5
386,de-quem--a-culpa,Am7
387,de-quem--a-culpa,C
388,de-quem--a-culpa,G
389,de-quem--a-culpa,D5
390,de-quem--a-culpa,Am7
391,de-quem--a-culpa,C
392,de-quem--a-culpa,Em
393,de-quem--a-culpa,D/F#
394,de-quem--a-culpa,G
395,de-quem--a-culpa,Am
396,de-quem--a-culpa,G/B
397,de-quem--a-culpa,C
398,de-quem--a-culpa,Em
399,de-quem--a-culpa,D/F#
400,de-quem--a-culpa,G
401,de-quem--a-culpa,Am
402,de-quem--a-culpa,G/B
403,de-quem--a-culpa,C
404,de-quem--a-culpa,C
405,de-quem--a-culpa,Em
406,de-quem--a-culpa,D
407,de-quem--a-culpa,Am
408,de-quem--a-culpa,C
409,de-quem--a-culpa,Em
410,de-quem--a-culpa,D
411,de-quem--a-culpa,Am
412,de-quem--a-culpa,C
413,de-quem--a-culpa,Am
414,de-quem--a-culpa,C
415,de-quem--a-culpa,G
416,de-quem--a-culpa,D
417,de-quem--a-culpa,Am
418,de-quem--a-culpa,C
419,de-quem--a-culpa,G
420,de-quem--a-culpa,D
421,de-quem--a-culpa,Am
422,de-quem--a-culpa,G/B
423,de-quem--a-culpa,C
424,de-quem--a-culpa,G
425,de-quem--a-culpa,G
426,de-quem--a-culpa,D5
427,de-quem--a-culpa,Am7
428,de-quem--a-culpa,C
429,de-quem--a-culpa,Em
430,de-quem--a-culpa,D
431,de-quem--a-culpa,Am
432,de-quem--a-culpa,C
433,de-quem--a-culpa,Am
434,de-quem--a-culpa,C
435,de-quem--a-culpa,G
436,de-quem--a-culpa,D
437,de-quem--a-culpa,Am
438,de-quem--a-culpa,C
439,de-quem--a-culpa,G
440,de-quem--a-culpa,D
441,de-quem--a-culpa,Am
442,de-quem--a-culpa,G/B
443,de-quem--a-culpa,C
444,de-quem--a-culpa,G
445,de-quem--a-culpa,D5
446,de-quem--a-culpa,Am7
447,de-quem--a-culpa,C
448,de-quem--a-culpa,G
512,eu-sei-de-cor,A9
513,eu-sei-de-cor,E
514,eu-sei-de-cor,F#m
515,eu-sei-de-cor,D
516,eu-sei-de-cor,A9
517,eu-sei-de-cor,C#m
518,eu-sei-de-cor,F#m
519,eu-sei-de-cor,D
520,eu-sei-de-cor,A9
521,eu-sei-de-cor,E
522,eu-sei-de-cor,F#m
523,eu-sei-de-cor,D
524,eu-sei-de-cor,B7
525,eu-sei-de-cor,E
526,eu-sei-de-cor,A9
527,eu-sei-de-cor,E
528,eu-sei-de-cor,F#m
529,eu-sei-de-cor,D
530,eu-sei-de-cor,A9
531,eu-sei-de-cor,E
532,eu-sei-de-cor,F#m
533,eu-sei-de-cor,D
534,eu-sei-de-cor,A9
535,eu-sei-de-cor,E
536,eu-sei-de-cor,F#m
537,eu-sei-de-cor,D
538,eu-sei-de-cor,E
539,eu-sei-de-cor,A9
540,eu-sei-de-cor,E
541,eu-sei-de-cor,F#m
542,eu-sei-de-cor,D
543,eu-sei-de-cor,B7
544,eu-sei-de-cor,E
545,eu-sei-de-cor,A9
546,eu-sei-de-cor,E
547,eu-sei-de-cor,F#m
548,eu-sei-de-cor,D
549,eu-sei-de-cor,A9
550,eu-sei-de-cor,E
551,eu-sei-de-cor,F#m
552,eu-sei-de-cor,D
553,eu-sei-de-cor,E
554,eu-sei-de-cor,A9
555,eu-sei-de-cor,E
556,eu-sei-de-cor,F#m
557,eu-sei-de-cor,D
558,eu-sei-de-cor,E
559,eu-sei-de-cor,A
640,infiel,Am
641,infiel,Em
642,infiel,D
643,infiel,A
644,infiel,Em
645,infiel,C
646,infiel,D
647,infiel,Em
648,infiel,C
649,infiel,D
650,infiel,Em
651,infiel,C
652,infiel,D
653,infiel,Em
654,infiel,C
655,infiel,D
656,infiel,Am
657,infiel,Em
658,infiel,G
659,infiel,D
660,infiel,Am
661,infiel,Em
662,infiel,G
663,infiel,D
664,infiel,Am
665,infiel,C
666,infiel,Am
667,infiel,Em
668,infiel,D
669,infiel,A
670,infiel,Am
671,infiel,Em
672,infiel,D
673,infiel,A
674,infiel,Am
675,infiel,Em
676,infiel,D
677,infiel,A
678,infiel,Am
679,infiel,Em
680,infiel,G
681,infiel,D
682,infiel,Am
683,infiel,C
684,infiel,Am
685,infiel,Em
686,infiel,D
687,infiel,A
688,infiel,Am
689,infiel,Em
690,infiel,D
691,infiel,A
692,infiel,Am
693,infiel,Em
694,infiel,D
695,infiel,A
696,infiel,Am
697,infiel,Em
768,alo-porteiro,D9
769,alo-porteiro,A9
770,alo-porteiro,G
771,alo-porteiro,D9
772,alo-porteiro,A9
773,alo-porteiro,D9
774,alo-porteiro,A9
775,alo-porteiro,G
776,alo-porteiro,D9
777,alo-porteiro,G
778,alo-porteiro,Bm
779,alo-porteiro,Em
780,alo-porteiro,G
781,alo-porteiro,A9
782,alo-porteiro,D/F#
783,alo-porteiro,G
784,alo-porteiro,Bm
785,alo-porteiro,A9
786,alo-porteiro,G
787,alo-porteiro,Em
788,alo-porteiro,A9
789,alo-porteiro,Em
790,alo-porteiro,A9
791,alo-porteiro,D9
792,alo-porteiro,A9
793,alo-porteiro,Em
794,alo-porteiro,G
795,alo-porteiro,Em
796,alo-porteiro,A9
797,alo-porteiro,G
798,alo-porteiro,A9
799,alo-porteiro,D9
800,alo-porteiro,A9
801,alo-porteiro,Em
802,alo-porteiro,D/F#
803,alo-porteiro,G
804,alo-porteiro,A9
805,alo-porteiro,D9
806,alo-porteiro,A9
807,alo-porteiro,Em
808,alo-porteiro,D/F#
809,alo-porteiro,G
810,alo-porteiro,D/F#
811,alo-porteiro,G
812,alo-porteiro,Bm
813,alo-porteiro,Em
814,alo-porteiro,G
815,alo-porteiro,A9
816,alo-porteiro,D/F#
817,alo-porteiro,G
818,alo-porteiro,Bm
819,alo-porteiro,A9
820,alo-porteiro,G
821,alo-porteiro,Em
822,alo-porteiro,A9
823,alo-porteiro,Em
824,alo-porteiro,A9
825,alo-porteiro,D9
826,alo-porteiro,A9
827,alo-porteiro,Em
828,alo-porteiro,G
829,alo-porteiro,Em
830,alo-porteiro,A9
831,alo-porteiro,G
832,alo-porteiro,A9
833,alo-porteiro,D9
834,alo-porteiro,A9
835,alo-porteiro,Em
836,alo-porteiro,D/F#
837,alo-porteiro,G
838,alo-porteiro,A9
839,alo-porteiro,D5
896,estranho,D5
897,estranho,G7M
898,estranho,D/A
899,estranho,F#m
900,estranho,Bm7
901,estranho,A/C#
902,estranho,D
903,estranho,D/F#
904,estranho,D5
905,estranho,G7M
906,estranho,D/A
907,estranho,F#m
908,estranho,Bm7
909,estranho,A/C#
910,estranho,D
911,estranho,D/F#
912,estranho,G9
913,estranho,A4
914,estranho,Bm7
915,estranho,A
916,estranho,G9
917,estranho,A4
918,estranho,F#m7
919,estranho,Bm7
920,estranho,A
921,estranho,G9
922,estranho,A4
923,estranho,F#m7
924,estranho,Bm7
925,estranho,A/C#
926,estranho,D
927,estranho,D/F#
928,estranho,G9
929,estranho,A4
930,estranho,Bm7
931,estranho,A
932,estranho,G9
933,estranho,A4
934,estranho,F#m7
935,estranho,Bm7
936,estranho,A
937,estranho,G9
938,estranho,A4
939,estranho,F#m7
