,Musicas,Palavras
0,graveto,Acho
1,graveto,que
2,graveto,pra
3,graveto,mim
4,graveto,já
5,graveto,deu
6,graveto,Faz
7,graveto,um
8,graveto,tempinho
9,graveto,que
10,graveto,não
11,graveto,sou
12,graveto,seu
13,graveto,Até
14,graveto,a
15,graveto,cama
16,graveto,percebeu
17,graveto,Que
18,graveto,esfriou
19,graveto,demais
20,graveto,E
21,graveto,o
22,graveto,seu
23,graveto,toque
24,graveto,não
25,graveto,traz
26,graveto,Na
27,graveto,fogueira
28,graveto,que
29,graveto,não
30,graveto,pega
31,graveto,mais
32,graveto,Não
33,graveto,pega
34,graveto,"mais,"
35,graveto,não
36,graveto,pega
37,graveto,mais
38,graveto,Se
39,graveto,eu
40,graveto,te
41,graveto,chamo
42,graveto,pro
43,graveto,"colchão,"
44,graveto,você
45,graveto,foge
46,graveto,pra
47,graveto,sala
48,graveto,E
49,graveto,nem
50,graveto,se
51,graveto,importa
52,graveto,mais
53,graveto,saber
54,graveto,o
55,graveto,que
56,graveto,eu
57,graveto,sinto
58,graveto,Poucos
59,graveto,metros
60,graveto,"quadrados,"
61,graveto,virou
62,graveto,um
63,graveto,labirinto
64,graveto,Se
65,graveto,eu
66,graveto,te
67,graveto,chamo
68,graveto,pro
69,graveto,"colchão,"
70,graveto,você
71,graveto,foge
72,graveto,pra
73,graveto,sala
74,graveto,E
75,graveto,nem
76,graveto,se
77,graveto,importa
78,graveto,mais
79,graveto,saber
80,graveto,o
81,graveto,que
82,graveto,eu
83,graveto,sinto
84,graveto,Poucos
85,graveto,metros
86,graveto,"quadrados,"
87,graveto,virou
88,graveto,um
89,graveto,labirinto
90,graveto,Acho
91,graveto,que
92,graveto,pra
93,graveto,mim
94,graveto,já
95,graveto,deu
96,graveto,Faz
97,graveto,um
98,graveto,tempinho
99,graveto,que
100,graveto,não
101,graveto,sou
102,graveto,seu
103,graveto,Até
104,graveto,a
105,graveto,cama
106,graveto,percebeu
107,graveto,Que
108,graveto,esfriou
109,graveto,demais
110,graveto,E
111,graveto,o
112,graveto,seu
113,graveto,toque
114,graveto,não
115,graveto,traz
116,graveto,Na
117,graveto,fogueira
118,graveto,que
119,graveto,não
120,graveto,pega
121,graveto,mais
122,graveto,Não
123,graveto,pega
124,graveto,"mais,"
125,graveto,não
126,graveto,pega
127,graveto,mais
128,graveto,Se
129,graveto,eu
130,graveto,te
131,graveto,chamo
132,graveto,pro
133,graveto,"colchão,"
134,graveto,você
135,graveto,foge
136,graveto,pra
137,graveto,sala
138,graveto,E
139,graveto,nem
140,graveto,se
141,graveto,importa
142,graveto,mais
143,graveto,saber
144,graveto,o
145,graveto,que
146,graveto,eu
147,graveto,sinto
148,graveto,Poucos
149,graveto,metros
150,graveto,"quadrados,"
151,graveto,virou
152,graveto,um
153,graveto,labirinto
154,graveto,Se
155,graveto,eu
156,graveto,te
157,graveto,chamo
158,graveto,pro
159,graveto,"colchão,"
160,graveto,você
161,graveto,foge
162,graveto,pra
163,graveto,sala
164,graveto,E
165,graveto,nem
166,graveto,se
167,graveto,importa
168,graveto,mais
169,graveto,saber
170,graveto,o
171,graveto,que
172,graveto,eu
173,graveto,sinto
174,graveto,Poucos
175,graveto,metros
176,graveto,"quadrados,"
177,graveto,virou
178,graveto,um
179,graveto,labirinto
180,graveto,None
286,quero-voce-do-jeito-que-quiser,Eu
287,quero-voce-do-jeito-que-quiser,"fingiria,"
288,quero-voce-do-jeito-que-quiser,eu
289,quero-voce-do-jeito-que-quiser,negaria
290,quero-voce-do-jeito-que-quiser,até
291,quero-voce-do-jeito-que-quiser,a
292,quero-voce-do-jeito-que-quiser,"morte,"
293,quero-voce-do-jeito-que-quiser,eu
294,quero-voce-do-jeito-que-quiser,negaria
295,quero-voce-do-jeito-que-quiser,até
296,quero-voce-do-jeito-que-quiser,o
297,quero-voce-do-jeito-que-quiser,fim
298,quero-voce-do-jeito-que-quiser,Quando
299,quero-voce-do-jeito-que-quiser,você
300,quero-voce-do-jeito-que-quiser,chega
301,quero-voce-do-jeito-que-quiser,perto
302,quero-voce-do-jeito-que-quiser,eu
303,quero-voce-do-jeito-que-quiser,me
304,quero-voce-do-jeito-que-quiser,desconcerto
305,quero-voce-do-jeito-que-quiser,Sem
306,quero-voce-do-jeito-que-quiser,fazer
307,quero-voce-do-jeito-que-quiser,"esforço,"
308,quero-voce-do-jeito-que-quiser,tira
309,quero-voce-do-jeito-que-quiser,minha
310,quero-voce-do-jeito-que-quiser,roupa
311,quero-voce-do-jeito-que-quiser,com
312,quero-voce-do-jeito-que-quiser,os
313,quero-voce-do-jeito-que-quiser,olhos
314,quero-voce-do-jeito-que-quiser,Me
315,quero-voce-do-jeito-que-quiser,deixa
316,quero-voce-do-jeito-que-quiser,tonta
317,quero-voce-do-jeito-que-quiser,com
318,quero-voce-do-jeito-que-quiser,seus
319,quero-voce-do-jeito-que-quiser,olhos
320,quero-voce-do-jeito-que-quiser,Não
321,quero-voce-do-jeito-que-quiser,"lutei,"
322,quero-voce-do-jeito-que-quiser,não
323,quero-voce-do-jeito-que-quiser,evitei
324,quero-voce-do-jeito-que-quiser,Esse
325,quero-voce-do-jeito-que-quiser,amor
326,quero-voce-do-jeito-que-quiser,natural
327,quero-voce-do-jeito-que-quiser,nasceu
328,quero-voce-do-jeito-que-quiser,em
329,quero-voce-do-jeito-que-quiser,mim
330,quero-voce-do-jeito-que-quiser,Quero
331,quero-voce-do-jeito-que-quiser,você
332,quero-voce-do-jeito-que-quiser,do
333,quero-voce-do-jeito-que-quiser,jeito
334,quero-voce-do-jeito-que-quiser,que
335,quero-voce-do-jeito-que-quiser,quiser
336,quero-voce-do-jeito-que-quiser,Mesmo
337,quero-voce-do-jeito-que-quiser,em
338,quero-voce-do-jeito-que-quiser,segredo
339,quero-voce-do-jeito-que-quiser,eu
340,quero-voce-do-jeito-que-quiser,sou
341,quero-voce-do-jeito-que-quiser,sua
342,quero-voce-do-jeito-que-quiser,mulher
343,quero-voce-do-jeito-que-quiser,Só
344,quero-voce-do-jeito-que-quiser,você
345,quero-voce-do-jeito-que-quiser,sabe
346,quero-voce-do-jeito-que-quiser,como
347,quero-voce-do-jeito-que-quiser,a
348,quero-voce-do-jeito-que-quiser,gente
349,quero-voce-do-jeito-que-quiser,faz
350,quero-voce-do-jeito-que-quiser,Essa
351,quero-voce-do-jeito-que-quiser,vontade
352,quero-voce-do-jeito-que-quiser,é
353,quero-voce-do-jeito-que-quiser,o
354,quero-voce-do-jeito-que-quiser,que
355,quero-voce-do-jeito-que-quiser,me
356,quero-voce-do-jeito-que-quiser,tira
357,quero-voce-do-jeito-que-quiser,a
358,quero-voce-do-jeito-que-quiser,paz
359,quero-voce-do-jeito-que-quiser,Mesmo
360,quero-voce-do-jeito-que-quiser,em
361,quero-voce-do-jeito-que-quiser,segredo
362,quero-voce-do-jeito-que-quiser,eu
363,quero-voce-do-jeito-que-quiser,sou
364,quero-voce-do-jeito-que-quiser,sua
365,quero-voce-do-jeito-que-quiser,mulher
366,quero-voce-do-jeito-que-quiser,Só
367,quero-voce-do-jeito-que-quiser,você
368,quero-voce-do-jeito-que-quiser,sabe
369,quero-voce-do-jeito-que-quiser,como
370,quero-voce-do-jeito-que-quiser,a
371,quero-voce-do-jeito-que-quiser,gente
372,quero-voce-do-jeito-que-quiser,faz
373,quero-voce-do-jeito-que-quiser,Um
374,quero-voce-do-jeito-que-quiser,minuto
375,quero-voce-do-jeito-que-quiser,do
376,quero-voce-do-jeito-que-quiser,seu
377,quero-voce-do-jeito-que-quiser,tempo
378,quero-voce-do-jeito-que-quiser,já
379,quero-voce-do-jeito-que-quiser,me
380,quero-voce-do-jeito-que-quiser,satisfaz
381,quero-voce-do-jeito-que-quiser,"Oh,"
382,quero-voce-do-jeito-que-quiser,"oh,"
383,quero-voce-do-jeito-que-quiser,"oh,"
384,quero-voce-do-jeito-que-quiser,"oh,"
385,quero-voce-do-jeito-que-quiser,"oh,"
386,quero-voce-do-jeito-que-quiser,"oh,"
387,quero-voce-do-jeito-que-quiser,oh
388,quero-voce-do-jeito-que-quiser,Eu
389,quero-voce-do-jeito-que-quiser,"fingiria,"
390,quero-voce-do-jeito-que-quiser,eu
391,quero-voce-do-jeito-que-quiser,negaria
392,quero-voce-do-jeito-que-quiser,até
393,quero-voce-do-jeito-que-quiser,a
394,quero-voce-do-jeito-que-quiser,"morte,"
395,quero-voce-do-jeito-que-quiser,eu
396,quero-voce-do-jeito-que-quiser,negaria
397,quero-voce-do-jeito-que-quiser,até
398,quero-voce-do-jeito-que-quiser,o
399,quero-voce-do-jeito-que-quiser,fim
400,quero-voce-do-jeito-que-quiser,Quando
401,quero-voce-do-jeito-que-quiser,você
402,quero-voce-do-jeito-que-quiser,chega
403,quero-voce-do-jeito-que-quiser,perto
404,quero-voce-do-jeito-que-quiser,eu
405,quero-voce-do-jeito-que-quiser,me
406,quero-voce-do-jeito-que-quiser,desconcerto
407,quero-voce-do-jeito-que-quiser,Sem
408,quero-voce-do-jeito-que-quiser,fazer
409,quero-voce-do-jeito-que-quiser,"esforço,"
410,quero-voce-do-jeito-que-quiser,tira
411,quero-voce-do-jeito-que-quiser,minha
412,quero-voce-do-jeito-que-quiser,roupa
413,quero-voce-do-jeito-que-quiser,com
414,quero-voce-do-jeito-que-quiser,os
415,quero-voce-do-jeito-que-quiser,olhos
416,quero-voce-do-jeito-que-quiser,Me
417,quero-voce-do-jeito-que-quiser,deixa
418,quero-voce-do-jeito-que-quiser,tonta
419,quero-voce-do-jeito-que-quiser,com
420,quero-voce-do-jeito-que-quiser,seus
421,quero-voce-do-jeito-que-quiser,olhos
422,quero-voce-do-jeito-que-quiser,Não
423,quero-voce-do-jeito-que-quiser,"lutei,"
424,quero-voce-do-jeito-que-quiser,não
425,quero-voce-do-jeito-que-quiser,evitei
426,quero-voce-do-jeito-que-quiser,Esse
427,quero-voce-do-jeito-que-quiser,amor
428,quero-voce-do-jeito-que-quiser,natural
429,quero-voce-do-jeito-que-quiser,nasceu
430,quero-voce-do-jeito-que-quiser,em
431,quero-voce-do-jeito-que-quiser,mim
432,quero-voce-do-jeito-que-quiser,Quero
