,Musicas,Acordes
0,ainda-bem,Dm
1,ainda-bem,Dm
2,ainda-bem,Bb/D
3,ainda-bem,C
4,ainda-bem,Dm
5,ainda-bem,A7
6,ainda-bem,Dm
7,ainda-bem,Bb/D
8,ainda-bem,C
9,ainda-bem,Dm
10,ainda-bem,A7
11,ainda-bem,Dm
12,ainda-bem,Bb/D
13,ainda-bem,C
14,ainda-bem,Dm
15,ainda-bem,A7
16,ainda-bem,Dm
17,ainda-bem,Bb/D
18,ainda-bem,C
19,ainda-bem,Dm
20,ainda-bem,A7
21,ainda-bem,Gm
22,ainda-bem,A7
23,ainda-bem,Gm
24,ainda-bem,A7
25,ainda-bem,Gm
26,ainda-bem,A7
27,ainda-bem,Dm
28,ainda-bem,Bb/D
29,ainda-bem,C
30,ainda-bem,Dm
31,ainda-bem,A7
32,ainda-bem,Gm
33,ainda-bem,A7
34,ainda-bem,Gm
35,ainda-bem,A7
36,ainda-bem,Dm
37,ainda-bem,Bb/D
38,ainda-bem,C
39,ainda-bem,Dm
40,ainda-bem,A7
41,ainda-bem,Dm
42,ainda-bem,Bb/D
43,ainda-bem,C
44,ainda-bem,Dm
45,ainda-bem,A7
46,ainda-bem,Gm
47,ainda-bem,A7
48,ainda-bem,Gm
49,ainda-bem,A7
50,ainda-bem,Dm
51,ainda-bem,Bb/D
52,ainda-bem,C
53,ainda-bem,Dm
54,ainda-bem,A7
55,ainda-bem,Gm
56,ainda-bem,A7
57,ainda-bem,Gm
58,ainda-bem,A7
59,ainda-bem,Dm
60,ainda-bem,Bb/D
61,ainda-bem,C
62,ainda-bem,Dm
63,ainda-bem,A7
64,ainda-bem,Dm
65,ainda-bem,Bb/D
66,ainda-bem,C
67,ainda-bem,Dm
68,ainda-bem,A7
69,ainda-bem,Dm
70,ainda-bem,Dm
161,amor-love-you,D
162,amor-love-you,F#m
163,amor-love-you,Em
164,amor-love-you,A7
165,amor-love-you,G
166,amor-love-you,Gm
167,amor-love-you,D
168,amor-love-you,D
169,amor-love-you,F#m
170,amor-love-you,Em
171,amor-love-you,A7
172,amor-love-you,G
173,amor-love-you,Gm
174,amor-love-you,D
175,amor-love-you,G
176,amor-love-you,Gm
177,amor-love-you,D
178,amor-love-you,G
179,amor-love-you,Gm
180,amor-love-you,D
181,amor-love-you,D
182,amor-love-you,F#m
183,amor-love-you,Em
184,amor-love-you,A7
185,amor-love-you,G
186,amor-love-you,Gm
187,amor-love-you,D
188,amor-love-you,D
189,amor-love-you,F#m
190,amor-love-you,Em
191,amor-love-you,A7
192,amor-love-you,G
193,amor-love-you,Gm
194,amor-love-you,D
195,amor-love-you,G
196,amor-love-you,Gm
197,amor-love-you,D
198,amor-love-you,G
199,amor-love-you,Gm
200,amor-love-you,D
201,amor-love-you,B7
202,amor-love-you,Em
203,amor-love-you,A7
204,amor-love-you,D
205,amor-love-you,G
206,amor-love-you,Gm
207,amor-love-you,D
208,amor-love-you,D
209,amor-love-you,A7
210,amor-love-you,G
211,amor-love-you,Gm
212,amor-love-you,D
213,amor-love-you,D
214,amor-love-you,A7
215,amor-love-you,G
216,amor-love-you,Gm
217,amor-love-you,D
218,amor-love-you,D
219,amor-love-you,G
220,amor-love-you,Gm
221,amor-love-you,A7
222,amor-love-you,D
223,amor-love-you,D
224,amor-love-you,A7
225,amor-love-you,G
226,amor-love-you,Gm
227,amor-love-you,D
228,amor-love-you,D
229,amor-love-you,A7
230,amor-love-you,G
231,amor-love-you,Gm
232,amor-love-you,D
233,amor-love-you,G
234,amor-love-you,Gm
235,amor-love-you,D
236,amor-love-you,G
237,amor-love-you,Gm
238,amor-love-you,D
239,amor-love-you,G
240,amor-love-you,Gm
241,amor-love-you,D
242,amor-love-you,G
243,amor-love-you,Gm
244,amor-love-you,D
322,depois,A
323,depois,C#7
324,depois,F#m
325,depois,A7
326,depois,D
327,depois,E
328,depois,A
329,depois,A7
330,depois,D
331,depois,E
332,depois,A
333,depois,A7
334,depois,D
335,depois,E
336,depois,A
337,depois,C#7
338,depois,F#m
339,depois,A7
340,depois,D
341,depois,E
342,depois,A
343,depois,A7
344,depois,D
345,depois,E
346,depois,A
347,depois,A7
348,depois,D
349,depois,E
350,depois,A
351,depois,C#7
352,depois,F#m
353,depois,A7
354,depois,D
355,depois,E
356,depois,A
357,depois,A7
358,depois,D
359,depois,E
360,depois,A
361,depois,A7
362,depois,D
363,depois,E
364,depois,A
365,depois,C#7
366,depois,F#m
367,depois,A7
368,depois,D
369,depois,E
370,depois,A
371,depois,A7
372,depois,D
373,depois,E
374,depois,A
375,depois,A7
376,depois,D
377,depois,E
378,depois,D
379,depois,A
483,bem-que-se-quis,Bb7(4/9)
484,bem-que-se-quis,Bb7(b9)
485,bem-que-se-quis,Eb7M
486,bem-que-se-quis,Bb7(4/9)
487,bem-que-se-quis,Eb7M
488,bem-que-se-quis,Bb7(4/9)
489,bem-que-se-quis,Bº
490,bem-que-se-quis,Cm7
491,bem-que-se-quis,Bbm7
492,bem-que-se-quis,Eb7(9)
493,bem-que-se-quis,Ab7M
494,bem-que-se-quis,Gm7
495,bem-que-se-quis,C7(b9)
496,bem-que-se-quis,Fm7
497,bem-que-se-quis,E7M
498,bem-que-se-quis,Eb7M
499,bem-que-se-quis,Bb7(4/9)
500,bem-que-se-quis,Eb7M
501,bem-que-se-quis,Bb7(4/9)
502,bem-que-se-quis,Bº
503,bem-que-se-quis,Cm7
504,bem-que-se-quis,Bbm7
505,bem-que-se-quis,Eb7(9)
506,bem-que-se-quis,Ab7M
507,bem-que-se-quis,Gm7
508,bem-que-se-quis,C7(b9)
509,bem-que-se-quis,Fm7
510,bem-que-se-quis,E7M
511,bem-que-se-quis,Eb7M
512,bem-que-se-quis,Bbm7(11)
513,bem-que-se-quis,Eb7(9)
514,bem-que-se-quis,Ab7M
515,bem-que-se-quis,Gm7
