,Musicas,Acordes
0,adulterio,F#m
1,adulterio,F#m
2,adulterio,A
3,adulterio,F#m
4,adulterio,A
5,adulterio,F#m
6,adulterio,Bm
7,adulterio,F#m
8,adulterio,Bm
9,adulterio,F#m
10,adulterio,Bm
11,adulterio,C#m
12,adulterio,F#m
13,adulterio,F#m
14,adulterio,F#m
15,adulterio,A
16,adulterio,F#m
17,adulterio,A
18,adulterio,F#m
19,adulterio,Bm
20,adulterio,F#m
21,adulterio,Bm
22,adulterio,F#m
23,adulterio,Bm
24,adulterio,C#m
25,adulterio,F#m
26,adulterio,F#m
28,coracao-ta-gelado,Em
29,coracao-ta-gelado,Em
30,coracao-ta-gelado,G
31,coracao-ta-gelado,Em
32,coracao-ta-gelado,Em
33,coracao-ta-gelado,G
34,coracao-ta-gelado,Em
35,coracao-ta-gelado,G
56,mamada-ingrata,Gm
57,mamada-ingrata,F
58,mamada-ingrata,D
59,mamada-ingrata,Gm
60,mamada-ingrata,Gm
61,mamada-ingrata,F
62,mamada-ingrata,D
63,mamada-ingrata,Gm
64,mamada-ingrata,F
65,mamada-ingrata,Gm
66,mamada-ingrata,F
67,mamada-ingrata,D
68,mamada-ingrata,Gm
69,mamada-ingrata,F
70,mamada-ingrata,D
71,mamada-ingrata,Gm
72,mamada-ingrata,F
73,mamada-ingrata,D
74,mamada-ingrata,Gm
84,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
85,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,A
86,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
87,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,A
88,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,F#
89,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
90,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
91,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,A
92,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
93,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,A
94,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,F#
95,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
96,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
97,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,A
98,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
99,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,G
100,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,F#
101,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
102,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
103,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,A
104,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
105,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,A
106,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,F#
107,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
108,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
109,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,A
110,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,F#
111,ta-procurando-seu-romeu-part-euripinho-sollo-e-felipe-araujo,Bm
