,Musicas,Palavras
0,adulterio,Muito
1,adulterio,"louco,"
2,adulterio,doidão?
3,adulterio,Sua
4,adulterio,roupa
5,adulterio,tá
6,adulterio,cheia
7,adulterio,de
8,adulterio,lama
9,adulterio,e
10,adulterio,a
11,adulterio,cachorra
12,adulterio,tá
13,adulterio,na
14,adulterio,cama
15,adulterio,Eu
16,adulterio,saio
17,adulterio,com
18,adulterio,o
19,adulterio,"Léo,"
20,adulterio,o
21,adulterio,Edgar
22,adulterio,e
23,adulterio,o
24,adulterio,"Denis,"
25,adulterio,vem
26,adulterio,o
27,adulterio,Sandrinho
28,adulterio,Vamo
29,adulterio,pra
30,adulterio,onde?
31,adulterio,É
32,adulterio,Whisky
33,adulterio,e
34,adulterio,"energético,"
35,adulterio,quanta
36,adulterio,mulher
37,adulterio,"boa,"
38,adulterio,hahaha
39,adulterio,"Ui,"
40,adulterio,o
41,adulterio,bagulho
42,adulterio,tá
43,adulterio,sério
44,adulterio,Vai
45,adulterio,rolar
46,adulterio,um
47,adulterio,adultério
48,adulterio,Ela
49,adulterio,é
50,adulterio,chata
51,adulterio,demais
52,adulterio,Procura
53,adulterio,a
54,adulterio,"profissional,"
55,adulterio,meu
56,adulterio,mano
57,adulterio,Que
58,adulterio,ela
59,adulterio,sabe
60,adulterio,o
61,adulterio,que
62,adulterio,faz
63,adulterio,"Antes,"
64,adulterio,durante
65,adulterio,e
66,adulterio,"depois,"
67,adulterio,é
68,adulterio,Até
69,adulterio,o
70,adulterio,"fim,"
71,adulterio,vamo
72,adulterio,"lá,"
73,adulterio,vamo
74,adulterio,"lá,"
75,adulterio,vamo
76,adulterio,"lá,"
77,adulterio,vamo
78,adulterio,lá
79,adulterio,"Gata,"
80,adulterio,que
81,adulterio,"delícia,"
82,adulterio,boa
83,adulterio,"Oi,"
84,adulterio,o
85,adulterio,bagulho
86,adulterio,tá
87,adulterio,sério
88,adulterio,Vai
89,adulterio,rolar
90,adulterio,um
91,adulterio,adultério
92,adulterio,Muito
93,adulterio,"louco,"
94,adulterio,doidão?
95,adulterio,Sua
96,adulterio,roupa
97,adulterio,tá
98,adulterio,cheia
99,adulterio,de
100,adulterio,lama
101,adulterio,e
102,adulterio,a
103,adulterio,cachorra
104,adulterio,tá
105,adulterio,na
106,adulterio,cama
107,adulterio,Eu
108,adulterio,saio
109,adulterio,com
110,adulterio,o
111,adulterio,"Cadão,"
112,adulterio,o
113,adulterio,"Edgar,"
114,adulterio,o
115,adulterio,Denis
116,adulterio,e
117,adulterio,o
118,adulterio,Sandrinho
119,adulterio,Vamo
120,adulterio,pra
121,adulterio,onde?
122,adulterio,Whisky
123,adulterio,e
124,adulterio,"energético,"
125,adulterio,quanta
126,adulterio,mulher
127,adulterio,"boa,"
128,adulterio,hahaha
129,adulterio,"Ui,"
130,adulterio,o
131,adulterio,bagulho
132,adulterio,tá
133,adulterio,sério
134,adulterio,Vai
135,adulterio,rolar
136,adulterio,um
137,adulterio,adultério
138,adulterio,None
