,Musicas,Acordes
0,o-bebe,D
1,o-bebe,E
2,o-bebe,C#m7
3,o-bebe,F#m7
4,o-bebe,D
5,o-bebe,E
6,o-bebe,C#m7
7,o-bebe,F#m7
8,o-bebe,D
9,o-bebe,E
10,o-bebe,C#m7
11,o-bebe,F#m7
12,o-bebe,D
13,o-bebe,E
14,o-bebe,C#m7
15,o-bebe,F#m7
16,o-bebe,D
17,o-bebe,E
18,o-bebe,C#m7
19,o-bebe,F#m7
20,o-bebe,D
21,o-bebe,E
22,o-bebe,C#m7
23,o-bebe,F#m7
24,o-bebe,D
25,o-bebe,E
26,o-bebe,C#m7
27,o-bebe,F#m7
28,o-bebe,D
29,o-bebe,E
30,o-bebe,C#m7
31,o-bebe,F#m7
32,o-bebe,D
33,o-bebe,E
34,o-bebe,C#m7
35,o-bebe,F#m7
36,o-bebe,D
37,o-bebe,E
38,o-bebe,C#m7
39,o-bebe,F#m7
40,o-bebe,D
41,o-bebe,E
42,o-bebe,C#m7
43,o-bebe,F#m7
44,o-bebe,D
45,o-bebe,E
46,o-bebe,C#m7
47,o-bebe,F#m7
48,o-bebe,D
49,o-bebe,E
50,o-bebe,C#m7
51,o-bebe,F#m7
52,o-bebe,D
114,olha-a-explosao-part-wesley-safadao,Am
115,olha-a-explosao-part-wesley-safadao,G
116,olha-a-explosao-part-wesley-safadao,Am
117,olha-a-explosao-part-wesley-safadao,G
118,olha-a-explosao-part-wesley-safadao,Am
119,olha-a-explosao-part-wesley-safadao,G
120,olha-a-explosao-part-wesley-safadao,Am
121,olha-a-explosao-part-wesley-safadao,G
122,olha-a-explosao-part-wesley-safadao,Am
123,olha-a-explosao-part-wesley-safadao,G
124,olha-a-explosao-part-wesley-safadao,Am
125,olha-a-explosao-part-wesley-safadao,G
126,olha-a-explosao-part-wesley-safadao,Am
127,olha-a-explosao-part-wesley-safadao,G
128,olha-a-explosao-part-wesley-safadao,Am
129,olha-a-explosao-part-wesley-safadao,Am
130,olha-a-explosao-part-wesley-safadao,G
131,olha-a-explosao-part-wesley-safadao,Am
132,olha-a-explosao-part-wesley-safadao,G
133,olha-a-explosao-part-wesley-safadao,Am
134,olha-a-explosao-part-wesley-safadao,G
135,olha-a-explosao-part-wesley-safadao,Am
136,olha-a-explosao-part-wesley-safadao,G
137,olha-a-explosao-part-wesley-safadao,Am
138,olha-a-explosao-part-wesley-safadao,G
139,olha-a-explosao-part-wesley-safadao,Am
140,olha-a-explosao-part-wesley-safadao,G
141,olha-a-explosao-part-wesley-safadao,Am
142,olha-a-explosao-part-wesley-safadao,G
143,olha-a-explosao-part-wesley-safadao,Am
144,olha-a-explosao-part-wesley-safadao,G
145,olha-a-explosao-part-wesley-safadao,Am
146,olha-a-explosao-part-wesley-safadao,G
147,olha-a-explosao-part-wesley-safadao,Am
228,o-grave-bater,Bm
229,o-grave-bater,G
230,o-grave-bater,A
231,o-grave-bater,F#m
232,o-grave-bater,Bm
233,o-grave-bater,Em
234,o-grave-bater,Bm
235,o-grave-bater,G
236,o-grave-bater,A
237,o-grave-bater,F#m
238,o-grave-bater,Bm
239,o-grave-bater,Em
240,o-grave-bater,Bm
241,o-grave-bater,G
242,o-grave-bater,A
243,o-grave-bater,F#m
244,o-grave-bater,Bm
245,o-grave-bater,Em
246,o-grave-bater,Bm
247,o-grave-bater,G
248,o-grave-bater,A
249,o-grave-bater,F#m
250,o-grave-bater,Bm
251,o-grave-bater,Em
252,o-grave-bater,Bm
253,o-grave-bater,G
254,o-grave-bater,A
255,o-grave-bater,Bm
256,o-grave-bater,D
257,o-grave-bater,E
258,o-grave-bater,Bm
259,o-grave-bater,G
260,o-grave-bater,A
261,o-grave-bater,F#m
262,o-grave-bater,Bm
263,o-grave-bater,Em
264,o-grave-bater,Bm
265,o-grave-bater,G
266,o-grave-bater,A
267,o-grave-bater,F#m
268,o-grave-bater,Bm
269,o-grave-bater,Em
270,o-grave-bater,Bm
271,o-grave-bater,G
272,o-grave-bater,A
273,o-grave-bater,F#m
274,o-grave-bater,Bm
275,o-grave-bater,Em
276,o-grave-bater,Bm
277,o-grave-bater,G
278,o-grave-bater,A
279,o-grave-bater,F#m
280,o-grave-bater,Bm
281,o-grave-bater,Em
282,o-grave-bater,Bm
283,o-grave-bater,G
284,o-grave-bater,A
285,o-grave-bater,F#m
286,o-grave-bater,Bm
287,o-grave-bater,Em
288,o-grave-bater,Bm
289,o-grave-bater,G
290,o-grave-bater,A
291,o-grave-bater,F#m
292,o-grave-bater,Bm
293,o-grave-bater,Em
294,o-grave-bater,Bm
295,o-grave-bater,G
296,o-grave-bater,A
297,o-grave-bater,Bm
298,o-grave-bater,D
299,o-grave-bater,Em
