,Musicas,Palavras
0,o-bebe,Por
1,o-bebe,que
2,o-bebe,você
3,o-bebe,não
4,o-bebe,me
5,o-bebe,atendeu?
6,o-bebe,Já
7,o-bebe,tava
8,o-bebe,mó
9,o-bebe,preocupadão
10,o-bebe,O
11,o-bebe,seu
12,o-bebe,pivete
13,o-bebe,quase
14,o-bebe,morre
15,o-bebe,do
16,o-bebe,coração
17,o-bebe,Já
18,o-bebe,fiz
19,o-bebe,o
20,o-bebe,corre
21,o-bebe,pra
22,o-bebe,te
23,o-bebe,ver
24,o-bebe,Juntei
25,o-bebe,a
26,o-bebe,grana
27,o-bebe,da
28,o-bebe,passagem
29,o-bebe,Contando
30,o-bebe,as
31,o-bebe,horas
32,o-bebe,pra
33,o-bebe,gente
34,o-bebe,matar
35,o-bebe,a
36,o-bebe,saudade
37,o-bebe,Do
38,o-bebe,que
39,o-bebe,de
40,o-bebe,"mim,"
41,o-bebe,do
42,o-bebe,que
43,o-bebe,de
44,o-bebe,mim
45,o-bebe,"Ô,"
46,o-bebe,"bebê,"
47,o-bebe,gosto
48,o-bebe,mais
49,o-bebe,de
50,o-bebe,você
51,o-bebe,Do
52,o-bebe,que
53,o-bebe,de
54,o-bebe,"mim,"
55,o-bebe,do
56,o-bebe,que
57,o-bebe,de
58,o-bebe,mim
59,o-bebe,Do
60,o-bebe,que
61,o-bebe,de
62,o-bebe,"mim,"
63,o-bebe,do
64,o-bebe,que
65,o-bebe,de
66,o-bebe,mim
67,o-bebe,"Ô,"
68,o-bebe,"bebê,"
69,o-bebe,gosto
70,o-bebe,mais
71,o-bebe,de
72,o-bebe,você
73,o-bebe,Do
74,o-bebe,que
75,o-bebe,de
76,o-bebe,"mim,"
77,o-bebe,do
78,o-bebe,que
79,o-bebe,de
80,o-bebe,mim
81,o-bebe,"Gratidão,"
82,o-bebe,minha
83,o-bebe,princesa
84,o-bebe,Mudou
85,o-bebe,minha
86,o-bebe,"cabeça,"
87,o-bebe,só
88,o-bebe,me
89,o-bebe,fez
90,o-bebe,crescer
91,o-bebe,Bota
92,o-bebe,fé
93,o-bebe,no
94,o-bebe,que
95,o-bebe,eu
96,o-bebe,vou
97,o-bebe,dizer
98,o-bebe,Do
99,o-bebe,que
100,o-bebe,de
101,o-bebe,"mim,"
102,o-bebe,do
103,o-bebe,que
104,o-bebe,de
105,o-bebe,mim
106,o-bebe,"Ô,"
107,o-bebe,"bebê,"
108,o-bebe,gosto
109,o-bebe,mais
110,o-bebe,de
111,o-bebe,você
112,o-bebe,Do
113,o-bebe,que
114,o-bebe,de
115,o-bebe,"mim,"
116,o-bebe,do
117,o-bebe,que
118,o-bebe,de
119,o-bebe,mim
120,o-bebe,"Ô,"
121,o-bebe,"bebê,"
122,o-bebe,gosto
123,o-bebe,mais
124,o-bebe,de
125,o-bebe,você
126,o-bebe,Do
127,o-bebe,"que,"
128,o-bebe,do
129,o-bebe,"que,"
130,o-bebe,do
131,o-bebe,que
132,o-bebe,Por
133,o-bebe,que
134,o-bebe,você
135,o-bebe,não
136,o-bebe,me
137,o-bebe,atendeu?
138,o-bebe,Já
139,o-bebe,tava
140,o-bebe,mó
141,o-bebe,preocupadão
142,o-bebe,O
143,o-bebe,seu
144,o-bebe,pivete
145,o-bebe,quase
146,o-bebe,morre
147,o-bebe,do
148,o-bebe,coração
149,o-bebe,Já
150,o-bebe,fiz
151,o-bebe,o
152,o-bebe,corre
153,o-bebe,pra
154,o-bebe,te
155,o-bebe,ver
156,o-bebe,Juntei
157,o-bebe,a
158,o-bebe,grana
159,o-bebe,da
160,o-bebe,passagem
161,o-bebe,Contando
162,o-bebe,as
163,o-bebe,horas
164,o-bebe,pra
165,o-bebe,gente
166,o-bebe,matar
167,o-bebe,a
168,o-bebe,saudade
169,o-bebe,Do
170,o-bebe,que
171,o-bebe,de
172,o-bebe,"mim,"
173,o-bebe,do
174,o-bebe,que
175,o-bebe,de
176,o-bebe,mim
177,o-bebe,"Ô,"
178,o-bebe,"bebê,"
179,o-bebe,gosto
180,o-bebe,mais
181,o-bebe,de
182,o-bebe,você
183,o-bebe,Do
184,o-bebe,que
185,o-bebe,de
186,o-bebe,"mim,"
187,o-bebe,do
188,o-bebe,que
189,o-bebe,de
190,o-bebe,mim
191,o-bebe,Do
192,o-bebe,que
193,o-bebe,de
194,o-bebe,"mim,"
195,o-bebe,do
196,o-bebe,que
197,o-bebe,de
198,o-bebe,mim
199,o-bebe,"Ô,"
200,o-bebe,"bebê,"
201,o-bebe,gosto
202,o-bebe,mais
203,o-bebe,de
204,o-bebe,você
205,o-bebe,Do
206,o-bebe,que
207,o-bebe,de
208,o-bebe,"mim,"
209,o-bebe,do
210,o-bebe,que
211,o-bebe,de
212,o-bebe,mim
213,o-bebe,"Gratidão,"
214,o-bebe,minha
215,o-bebe,princesa
216,o-bebe,Mudou
217,o-bebe,minha
218,o-bebe,"cabeça,"
219,o-bebe,só
220,o-bebe,me
221,o-bebe,fez
222,o-bebe,crescer
223,o-bebe,Bota
224,o-bebe,fé
225,o-bebe,no
226,o-bebe,que
227,o-bebe,eu
228,o-bebe,vou
229,o-bebe,dizer
230,o-bebe,Do
231,o-bebe,que
232,o-bebe,de
233,o-bebe,"mim,"
234,o-bebe,do
235,o-bebe,que
236,o-bebe,de
237,o-bebe,mim
238,o-bebe,"Ô,"
239,o-bebe,"bebê,"
240,o-bebe,gosto
241,o-bebe,mais
242,o-bebe,de
243,o-bebe,você
244,o-bebe,Do
245,o-bebe,que
246,o-bebe,de
247,o-bebe,"mim,"
248,o-bebe,do
249,o-bebe,que
250,o-bebe,de
251,o-bebe,mim
252,o-bebe,"Ô,"
253,o-bebe,meu
254,o-bebe,bebê
255,o-bebe,None
272,olha-a-explosao-part-wesley-safadao,É
273,olha-a-explosao-part-wesley-safadao,especialista
274,olha-a-explosao-part-wesley-safadao,Olha
275,olha-a-explosao-part-wesley-safadao,o
276,olha-a-explosao-part-wesley-safadao,que
277,olha-a-explosao-part-wesley-safadao,ela
278,olha-a-explosao-part-wesley-safadao,faz
279,olha-a-explosao-part-wesley-safadao,no
280,olha-a-explosao-part-wesley-safadao,baile
281,olha-a-explosao-part-wesley-safadao,funk
282,olha-a-explosao-part-wesley-safadao,com
283,olha-a-explosao-part-wesley-safadao,as
284,olha-a-explosao-part-wesley-safadao,amigas
285,olha-a-explosao-part-wesley-safadao,É
286,olha-a-explosao-part-wesley-safadao,especialista
287,olha-a-explosao-part-wesley-safadao,Olha
288,olha-a-explosao-part-wesley-safadao,o
289,olha-a-explosao-part-wesley-safadao,que
290,olha-a-explosao-part-wesley-safadao,ela
291,olha-a-explosao-part-wesley-safadao,faz
292,olha-a-explosao-part-wesley-safadao,no
293,olha-a-explosao-part-wesley-safadao,baile
294,olha-a-explosao-part-wesley-safadao,funk
295,olha-a-explosao-part-wesley-safadao,com
296,olha-a-explosao-part-wesley-safadao,as
297,olha-a-explosao-part-wesley-safadao,amigas
298,olha-a-explosao-part-wesley-safadao,Olha
299,olha-a-explosao-part-wesley-safadao,o
300,olha-a-explosao-part-wesley-safadao,que
301,olha-a-explosao-part-wesley-safadao,ela
302,olha-a-explosao-part-wesley-safadao,faz
303,olha-a-explosao-part-wesley-safadao,no
304,olha-a-explosao-part-wesley-safadao,baile
305,olha-a-explosao-part-wesley-safadao,funk
306,olha-a-explosao-part-wesley-safadao,com
307,olha-a-explosao-part-wesley-safadao,as
308,olha-a-explosao-part-wesley-safadao,amigas
309,olha-a-explosao-part-wesley-safadao,É
310,olha-a-explosao-part-wesley-safadao,muito
311,olha-a-explosao-part-wesley-safadao,"explosiva,"
312,olha-a-explosao-part-wesley-safadao,não
313,olha-a-explosao-part-wesley-safadao,brinca
314,olha-a-explosao-part-wesley-safadao,com
315,olha-a-explosao-part-wesley-safadao,ela
316,olha-a-explosao-part-wesley-safadao,não
317,olha-a-explosao-part-wesley-safadao,E
318,olha-a-explosao-part-wesley-safadao,quando
319,olha-a-explosao-part-wesley-safadao,ela
320,olha-a-explosao-part-wesley-safadao,bate
321,olha-a-explosao-part-wesley-safadao,com
322,olha-a-explosao-part-wesley-safadao,a
323,olha-a-explosao-part-wesley-safadao,bunda
324,olha-a-explosao-part-wesley-safadao,no
325,olha-a-explosao-part-wesley-safadao,chão
326,olha-a-explosao-part-wesley-safadao,E
327,olha-a-explosao-part-wesley-safadao,quando
328,olha-a-explosao-part-wesley-safadao,ela
329,olha-a-explosao-part-wesley-safadao,mexe
330,olha-a-explosao-part-wesley-safadao,com
331,olha-a-explosao-part-wesley-safadao,a
332,olha-a-explosao-part-wesley-safadao,bunda
333,olha-a-explosao-part-wesley-safadao,no
334,olha-a-explosao-part-wesley-safadao,chão
335,olha-a-explosao-part-wesley-safadao,E
336,olha-a-explosao-part-wesley-safadao,quando
337,olha-a-explosao-part-wesley-safadao,ela
338,olha-a-explosao-part-wesley-safadao,joga
339,olha-a-explosao-part-wesley-safadao,com
340,olha-a-explosao-part-wesley-safadao,a
341,olha-a-explosao-part-wesley-safadao,bunda
342,olha-a-explosao-part-wesley-safadao,no
343,olha-a-explosao-part-wesley-safadao,chão
344,olha-a-explosao-part-wesley-safadao,E
345,olha-a-explosao-part-wesley-safadao,quando
346,olha-a-explosao-part-wesley-safadao,ela
347,olha-a-explosao-part-wesley-safadao,sarra
348,olha-a-explosao-part-wesley-safadao,com
349,olha-a-explosao-part-wesley-safadao,o
350,olha-a-explosao-part-wesley-safadao,bumbum
351,olha-a-explosao-part-wesley-safadao,no
352,olha-a-explosao-part-wesley-safadao,"chão,"
353,olha-a-explosao-part-wesley-safadao,"chão,"
354,olha-a-explosao-part-wesley-safadao,"chão,"
355,olha-a-explosao-part-wesley-safadao,"chão,"
356,olha-a-explosao-part-wesley-safadao,chão
357,olha-a-explosao-part-wesley-safadao,Quando
358,olha-a-explosao-part-wesley-safadao,ela
359,olha-a-explosao-part-wesley-safadao,mexe
360,olha-a-explosao-part-wesley-safadao,com
361,olha-a-explosao-part-wesley-safadao,a
362,olha-a-explosao-part-wesley-safadao,bunda
363,olha-a-explosao-part-wesley-safadao,no
364,olha-a-explosao-part-wesley-safadao,chão
365,olha-a-explosao-part-wesley-safadao,Quando
366,olha-a-explosao-part-wesley-safadao,ela
367,olha-a-explosao-part-wesley-safadao,joga
368,olha-a-explosao-part-wesley-safadao,com
369,olha-a-explosao-part-wesley-safadao,a
370,olha-a-explosao-part-wesley-safadao,bunda
371,olha-a-explosao-part-wesley-safadao,no
372,olha-a-explosao-part-wesley-safadao,chão
373,olha-a-explosao-part-wesley-safadao,Quando
374,olha-a-explosao-part-wesley-safadao,ela
