,Musicas,Acordes
0,fua-na-casa-de-cabral,E
1,fua-na-casa-de-cabral,Am
2,fua-na-casa-de-cabral,E
3,fua-na-casa-de-cabral,Am
4,fua-na-casa-de-cabral,E
5,fua-na-casa-de-cabral,Am
6,fua-na-casa-de-cabral,E
7,fua-na-casa-de-cabral,Am
8,fua-na-casa-de-cabral,E
9,fua-na-casa-de-cabral,Am
10,fua-na-casa-de-cabral,E
11,fua-na-casa-de-cabral,Am
12,fua-na-casa-de-cabral,E
13,fua-na-casa-de-cabral,Am
14,fua-na-casa-de-cabral,E
15,fua-na-casa-de-cabral,Am
16,fua-na-casa-de-cabral,E
17,fua-na-casa-de-cabral,Am
18,fua-na-casa-de-cabral,E
19,fua-na-casa-de-cabral,Am
20,fua-na-casa-de-cabral,E
21,fua-na-casa-de-cabral,Am
22,fua-na-casa-de-cabral,E
23,fua-na-casa-de-cabral,Am
24,fua-na-casa-de-cabral,E
25,fua-na-casa-de-cabral,Am
26,fua-na-casa-de-cabral,E
27,fua-na-casa-de-cabral,Am
28,fua-na-casa-de-cabral,E
29,fua-na-casa-de-cabral,Am
30,fua-na-casa-de-cabral,E
31,fua-na-casa-de-cabral,Am
32,fua-na-casa-de-cabral,E
33,fua-na-casa-de-cabral,Am
34,fua-na-casa-de-cabral,E
35,fua-na-casa-de-cabral,Am
36,fua-na-casa-de-cabral,E
37,fua-na-casa-de-cabral,Am
38,fua-na-casa-de-cabral,E
39,fua-na-casa-de-cabral,Am
40,fua-na-casa-de-cabral,E
41,fua-na-casa-de-cabral,Am
42,fua-na-casa-de-cabral,E
43,fua-na-casa-de-cabral,Am
44,fua-na-casa-de-cabral,E
45,fua-na-casa-de-cabral,Am
46,fua-na-casa-de-cabral,E
47,fua-na-casa-de-cabral,Am
48,fua-na-casa-de-cabral,E
49,fua-na-casa-de-cabral,Am
50,fua-na-casa-de-cabral,E
51,fua-na-casa-de-cabral,Am
52,fua-na-casa-de-cabral,E
53,fua-na-casa-de-cabral,Am
54,fua-na-casa-de-cabral,E
55,fua-na-casa-de-cabral,Am
56,fua-na-casa-de-cabral,E
57,fua-na-casa-de-cabral,Am
58,fua-na-casa-de-cabral,E
59,fua-na-casa-de-cabral,Am
60,fua-na-casa-de-cabral,E
61,fua-na-casa-de-cabral,Am
62,fua-na-casa-de-cabral,E
63,fua-na-casa-de-cabral,Am
64,fua-na-casa-de-cabral,E
65,fua-na-casa-de-cabral,Am
66,fua-na-casa-de-cabral,E
67,fua-na-casa-de-cabral,Am
68,fua-na-casa-de-cabral,E
69,fua-na-casa-de-cabral,Am
70,fua-na-casa-de-cabral,E
71,fua-na-casa-de-cabral,Am
72,saudade,Em
73,saudade,F#m7/5-
74,saudade,B7/9b
75,saudade,Em
76,saudade,F#m7/5-
77,saudade,B7/9b
78,saudade,D
79,saudade,D7
80,saudade,G
81,saudade,F#7
82,saudade,B7
83,saudade,Em
84,saudade,E7
85,saudade,Am
86,saudade,D
