,Musicas,Palavras
0,fua-na-casa-de-cabral,Perdido
1,fua-na-casa-de-cabral,no
2,fua-na-casa-de-cabral,desengano
3,fua-na-casa-de-cabral,Seu
4,fua-na-casa-de-cabral,Cabral
5,fua-na-casa-de-cabral,chegou
6,fua-na-casa-de-cabral,nadando
7,fua-na-casa-de-cabral,E
8,fua-na-casa-de-cabral,não
9,fua-na-casa-de-cabral,preocupou
10,fua-na-casa-de-cabral,com
11,fua-na-casa-de-cabral,nada
12,fua-na-casa-de-cabral,Deu
13,fua-na-casa-de-cabral,ordem
14,fua-na-casa-de-cabral,à
15,fua-na-casa-de-cabral,rapazeada
16,fua-na-casa-de-cabral,Mandou
17,fua-na-casa-de-cabral,barrer
18,fua-na-casa-de-cabral,o
19,fua-na-casa-de-cabral,terreiro:
20,fua-na-casa-de-cabral,"""Me"
21,fua-na-casa-de-cabral,chame
22,fua-na-casa-de-cabral,o
23,fua-na-casa-de-cabral,pai
24,fua-na-casa-de-cabral,do
25,fua-na-casa-de-cabral,chiqueiro
26,fua-na-casa-de-cabral,que
27,fua-na-casa-de-cabral,hoje
28,fua-na-casa-de-cabral,eu
29,fua-na-casa-de-cabral,quero
30,fua-na-casa-de-cabral,"forró,"
31,fua-na-casa-de-cabral,"Toré,"
32,fua-na-casa-de-cabral,"samba,"
33,fua-na-casa-de-cabral,catimbó
34,fua-na-casa-de-cabral,Que
35,fua-na-casa-de-cabral,eu
36,fua-na-casa-de-cabral,já
37,fua-na-casa-de-cabral,virei
38,fua-na-casa-de-cabral,"brasileiro"""
39,fua-na-casa-de-cabral,Na
40,fua-na-casa-de-cabral,festa
41,fua-na-casa-de-cabral,de
42,fua-na-casa-de-cabral,seu
43,fua-na-casa-de-cabral,Cabral
44,fua-na-casa-de-cabral,Português
45,fua-na-casa-de-cabral,de
46,fua-na-casa-de-cabral,Portugal
47,fua-na-casa-de-cabral,Raceado
48,fua-na-casa-de-cabral,no
49,fua-na-casa-de-cabral,Oriente
50,fua-na-casa-de-cabral,Negão
51,fua-na-casa-de-cabral,bebeu
52,fua-na-casa-de-cabral,aguardente
53,fua-na-casa-de-cabral,Caboclo
54,fua-na-casa-de-cabral,foi
55,fua-na-casa-de-cabral,na
56,fua-na-casa-de-cabral,Jurema
57,fua-na-casa-de-cabral,Seu
58,fua-na-casa-de-cabral,Cabral
59,fua-na-casa-de-cabral,pediu
60,fua-na-casa-de-cabral,um
61,fua-na-casa-de-cabral,tema
62,fua-na-casa-de-cabral,Danou-se
63,fua-na-casa-de-cabral,a
64,fua-na-casa-de-cabral,cantar
65,fua-na-casa-de-cabral,poesia
66,fua-na-casa-de-cabral,Até
67,fua-na-casa-de-cabral,amanhecer
68,fua-na-casa-de-cabral,o
69,fua-na-casa-de-cabral,dia
70,fua-na-casa-de-cabral,Numa
71,fua-na-casa-de-cabral,viola
72,fua-na-casa-de-cabral,pequena
73,fua-na-casa-de-cabral,Cabral
74,fua-na-casa-de-cabral,não
75,fua-na-casa-de-cabral,sentiu
76,fua-na-casa-de-cabral,preguiça
77,fua-na-casa-de-cabral,Mandou
78,fua-na-casa-de-cabral,logo
79,fua-na-casa-de-cabral,rezar
80,fua-na-casa-de-cabral,missa
81,fua-na-casa-de-cabral,Pra
82,fua-na-casa-de-cabral,ficar
83,fua-na-casa-de-cabral,aliviado
84,fua-na-casa-de-cabral,Chamando
85,fua-na-casa-de-cabral,o
86,fua-na-casa-de-cabral,"padre,"
87,fua-na-casa-de-cabral,apressado
88,fua-na-casa-de-cabral,Mandou
89,fua-na-casa-de-cabral,começar
90,fua-na-casa-de-cabral,ligeiro
91,fua-na-casa-de-cabral,Botando
92,fua-na-casa-de-cabral,ordem
93,fua-na-casa-de-cabral,no
94,fua-na-casa-de-cabral,terreiro
95,fua-na-casa-de-cabral,Com
96,fua-na-casa-de-cabral,seu
97,fua-na-casa-de-cabral,maracá
98,fua-na-casa-de-cabral,na
99,fua-na-casa-de-cabral,mão
100,fua-na-casa-de-cabral,Jurando
101,fua-na-casa-de-cabral,pelo
102,fua-na-casa-de-cabral,alcorão
103,fua-na-casa-de-cabral,Que
104,fua-na-casa-de-cabral,era
105,fua-na-casa-de-cabral,crente
106,fua-na-casa-de-cabral,verdadeiro
107,fua-na-casa-de-cabral,Quando
108,fua-na-casa-de-cabral,passou
109,fua-na-casa-de-cabral,a
110,fua-na-casa-de-cabral,cachaça
111,fua-na-casa-de-cabral,Seu
112,fua-na-casa-de-cabral,Cabral
113,fua-na-casa-de-cabral,sentou
114,fua-na-casa-de-cabral,na
115,fua-na-casa-de-cabral,praça
116,fua-na-casa-de-cabral,Caiu
117,fua-na-casa-de-cabral,na
118,fua-na-casa-de-cabral,reflexão
119,fua-na-casa-de-cabral,Disse:
120,fua-na-casa-de-cabral,"""Esta"
121,fua-na-casa-de-cabral,situação
122,fua-na-casa-de-cabral,sei
123,fua-na-casa-de-cabral,que
124,fua-na-casa-de-cabral,nunca
125,fua-na-casa-de-cabral,mais
126,fua-na-casa-de-cabral,"resolvo!"""
127,fua-na-casa-de-cabral,Então
128,fua-na-casa-de-cabral,falou
129,fua-na-casa-de-cabral,para
130,fua-na-casa-de-cabral,o
131,fua-na-casa-de-cabral,povo:
132,fua-na-casa-de-cabral,"""Juro"
133,fua-na-casa-de-cabral,que
134,fua-na-casa-de-cabral,me
135,fua-na-casa-de-cabral,arrependi
136,fua-na-casa-de-cabral,o
137,fua-na-casa-de-cabral,Brasil
138,fua-na-casa-de-cabral,que
139,fua-na-casa-de-cabral,eu
140,fua-na-casa-de-cabral,descobri
141,fua-na-casa-de-cabral,queria
142,fua-na-casa-de-cabral,cobrir
143,fua-na-casa-de-cabral,de
144,fua-na-casa-de-cabral,"novo!"""
145,fua-na-casa-de-cabral,None
300,saudade,Não
301,saudade,sinto
302,saudade,mais
303,saudade,essa
304,saudade,dor
305,saudade,!
306,saudade,Meu
307,saudade,coração
308,saudade,hoje
309,saudade,mora
310,saudade,Na
311,saudade,casa
312,saudade,de
313,saudade,um
314,saudade,"vencedor,"
315,saudade,Onde
316,saudade,se
317,saudade,habita
318,saudade,beleza
319,saudade,Não
320,saudade,chora
321,saudade,flor
322,saudade,!
323,saudade,Construí
324,saudade,feliz
325,saudade,"morada,"
326,saudade,Na
327,saudade,base
328,saudade,em
329,saudade,pedra
330,saudade,erguí
331,saudade,"tijolo,"
332,saudade,Qual
333,saudade,liga
334,saudade,em
335,saudade,"aço,"
336,saudade,fiz
337,saudade,cimento
338,saudade,!
339,saudade,Instruí
340,saudade,minha
341,saudade,"jornada,"
342,saudade,Nem
343,saudade,fiz
344,saudade,na
345,saudade,"areia,"
346,saudade,como
347,saudade,um
348,saudade,"tolo,"
349,saudade,Abrigo
350,saudade,frágil
351,saudade,pro
352,saudade,tormento
353,saudade,!
354,saudade,Vão
355,saudade,abalar
356,saudade,ou
357,saudade,sequer
358,saudade,incomodar
359,saudade,Onde
360,saudade,alegria
361,saudade,fez
362,saudade,um
363,saudade,lar
364,saudade,Sempre
365,saudade,em
366,saudade,"festa,"
367,saudade,como
368,saudade,"esta,"
369,saudade,E
370,saudade,"hoje,"
371,saudade,pra
372,saudade,comemorar
373,saudade,O
374,saudade,doce
375,saudade,enterro
376,saudade,da
377,saudade,saudade
378,saudade,!
379,saudade,None
600,sois,Do
601,sois,vão
602,sois,do
603,sois,espaço
604,sois,Se
605,sois,espaça
606,sois,o
607,sois,"tempo,"
608,sois,Não
609,sois,há
610,sois,cansaço
611,sois,!
612,sois,De
613,sois,um
614,sois,tempo
615,sois,aço
616,sois,Se
617,sois,espessa
618,sois,o
619,sois,vão
620,sois,Que
621,sois,liberta
622,sois,o
623,sois,"traço,"
624,sois,Forte
625,sois,num
626,sois,abraço
627,sois,!
628,sois,Do
629,sois,que
630,sois,esperamos
631,sois,"ser,"
632,sois,Tem
633,sois,mais
634,sois,além
635,sois,De
636,sois,onde
637,sois,podemos
638,sois,ver
639,sois,...
640,sois,Do
641,sois,que
642,sois,pensamos
643,sois,"ter,"
644,sois,Além
645,sois,do
646,sois,mais
647,sois,Do
648,sois,que
649,sois,queremos
650,sois,crer
651,sois,!
652,sois,Crestando
653,sois,entre
654,sois,as
655,sois,estrelas
656,sois,!
657,sois,Por
658,sois,aí
659,sois,...
660,sois,É
661,sois,o
662,sois,espaço
663,sois,siderar
664,sois,!
665,sois,Crestando
