,Musicas,Acordes
0,quem-sabe-isso-quer-dizer-amor,Em
1,quem-sabe-isso-quer-dizer-amor,B7/D#
2,quem-sabe-isso-quer-dizer-amor,Em/D
3,quem-sabe-isso-quer-dizer-amor,C#m7(b5)
4,quem-sabe-isso-quer-dizer-amor,C
5,quem-sabe-isso-quer-dizer-amor,G/B
6,quem-sabe-isso-quer-dizer-amor,Am7
7,quem-sabe-isso-quer-dizer-amor,D7
8,quem-sabe-isso-quer-dizer-amor,D#º
9,quem-sabe-isso-quer-dizer-amor,Em
10,quem-sabe-isso-quer-dizer-amor,B7/D#
11,quem-sabe-isso-quer-dizer-amor,Em/D
12,quem-sabe-isso-quer-dizer-amor,C#m7(b5)
13,quem-sabe-isso-quer-dizer-amor,C
14,quem-sabe-isso-quer-dizer-amor,G/B
15,quem-sabe-isso-quer-dizer-amor,Am7
16,quem-sabe-isso-quer-dizer-amor,D7
17,quem-sabe-isso-quer-dizer-amor,G
18,quem-sabe-isso-quer-dizer-amor,D/F#
19,quem-sabe-isso-quer-dizer-amor,Dm/F
20,quem-sabe-isso-quer-dizer-amor,E7
21,quem-sabe-isso-quer-dizer-amor,Am
22,quem-sabe-isso-quer-dizer-amor,Am7M
23,quem-sabe-isso-quer-dizer-amor,Am7
24,quem-sabe-isso-quer-dizer-amor,D7
25,quem-sabe-isso-quer-dizer-amor,G
26,quem-sabe-isso-quer-dizer-amor,D/F#
27,quem-sabe-isso-quer-dizer-amor,Dm7
28,quem-sabe-isso-quer-dizer-amor,G7
29,quem-sabe-isso-quer-dizer-amor,C
30,quem-sabe-isso-quer-dizer-amor,Cm
31,quem-sabe-isso-quer-dizer-amor,G/B
32,quem-sabe-isso-quer-dizer-amor,Em
33,quem-sabe-isso-quer-dizer-amor,Am7
34,quem-sabe-isso-quer-dizer-amor,D7
35,quem-sabe-isso-quer-dizer-amor,G
36,quem-sabe-isso-quer-dizer-amor,Am7
37,quem-sabe-isso-quer-dizer-amor,G
38,quem-sabe-isso-quer-dizer-amor,Am7
39,quem-sabe-isso-quer-dizer-amor,Em
