,Musicas,Acordes
0,ando-meio-desligado,Dm
1,ando-meio-desligado,Em
2,ando-meio-desligado,G
3,ando-meio-desligado,F
4,ando-meio-desligado,Dm
5,ando-meio-desligado,Em
6,ando-meio-desligado,G
7,ando-meio-desligado,F
8,ando-meio-desligado,Dm
9,ando-meio-desligado,Em
10,ando-meio-desligado,G
11,ando-meio-desligado,F
12,ando-meio-desligado,Dm
13,ando-meio-desligado,C
14,ando-meio-desligado,Dm
15,ando-meio-desligado,C
16,ando-meio-desligado,Dm
17,ando-meio-desligado,Gm7
18,ando-meio-desligado,C7
19,ando-meio-desligado,Dm
20,ando-meio-desligado,Gm7
21,ando-meio-desligado,C7
22,ando-meio-desligado,Dm
23,ando-meio-desligado,Dm
24,ando-meio-desligado,C
25,ando-meio-desligado,Dm
26,ando-meio-desligado,C
27,ando-meio-desligado,Dm
28,ando-meio-desligado,Gm7
29,ando-meio-desligado,C7
30,ando-meio-desligado,Dm
31,ando-meio-desligado,Gm7
32,ando-meio-desligado,C7
33,ando-meio-desligado,Dm
34,ando-meio-desligado,E
35,ando-meio-desligado,G
36,ando-meio-desligado,A
37,ando-meio-desligado,B
38,ando-meio-desligado,E
39,ando-meio-desligado,G
40,ando-meio-desligado,A
41,ando-meio-desligado,B
42,ando-meio-desligado,E
43,ando-meio-desligado,G
44,ando-meio-desligado,A
45,ando-meio-desligado,B
46,ando-meio-desligado,E
47,ando-meio-desligado,G
48,ando-meio-desligado,A
49,ando-meio-desligado,B
50,ando-meio-desligado,C
51,ando-meio-desligado,Dm
52,ando-meio-desligado,C
53,ando-meio-desligado,Dm
54,ando-meio-desligado,Gm7
55,ando-meio-desligado,C7
56,ando-meio-desligado,Dm
57,ando-meio-desligado,Gm7
58,ando-meio-desligado,C7
59,ando-meio-desligado,Dm
60,ando-meio-desligado,Dm
61,ando-meio-desligado,E
62,ando-meio-desligado,G
63,ando-meio-desligado,A
64,ando-meio-desligado,B
65,ando-meio-desligado,E
66,ando-meio-desligado,G
67,ando-meio-desligado,A
68,ando-meio-desligado,B
69,ando-meio-desligado,E
70,ando-meio-desligado,G
71,ando-meio-desligado,A
72,ando-meio-desligado,B
73,ando-meio-desligado,E
74,ando-meio-desligado,G
75,ando-meio-desligado,A
76,ando-meio-desligado,B
132,balada-do-louco,D#º
133,balada-do-louco,E
134,balada-do-louco,A
135,balada-do-louco,D#º
136,balada-do-louco,E
137,balada-do-louco,D#º
138,balada-do-louco,B7
139,balada-do-louco,E
140,balada-do-louco,A
141,balada-do-louco,D#º
142,balada-do-louco,E
143,balada-do-louco,D#º
