,Musicas,Palavras
0,ando-meio-desligado,Eu
1,ando-meio-desligado,nem
2,ando-meio-desligado,sinto
3,ando-meio-desligado,meus
4,ando-meio-desligado,pés
5,ando-meio-desligado,no
6,ando-meio-desligado,chão
7,ando-meio-desligado,Olho
8,ando-meio-desligado,e
9,ando-meio-desligado,não
10,ando-meio-desligado,vejo
11,ando-meio-desligado,nada
12,ando-meio-desligado,Eu
13,ando-meio-desligado,só
14,ando-meio-desligado,penso
15,ando-meio-desligado,se
16,ando-meio-desligado,você
17,ando-meio-desligado,me
18,ando-meio-desligado,quer
19,ando-meio-desligado,Aquilo
20,ando-meio-desligado,tudo
21,ando-meio-desligado,que
22,ando-meio-desligado,eu
23,ando-meio-desligado,decorei
24,ando-meio-desligado,E
25,ando-meio-desligado,depois
26,ando-meio-desligado,o
27,ando-meio-desligado,beijo
28,ando-meio-desligado,que
29,ando-meio-desligado,eu
30,ando-meio-desligado,já
31,ando-meio-desligado,sonhei
32,ando-meio-desligado,Você
33,ando-meio-desligado,vai
34,ando-meio-desligado,"sentir,"
35,ando-meio-desligado,mas...
36,ando-meio-desligado,Por
37,ando-meio-desligado,"favor,"
38,ando-meio-desligado,não
39,ando-meio-desligado,leve
40,ando-meio-desligado,a
41,ando-meio-desligado,mal
42,ando-meio-desligado,Eu
43,ando-meio-desligado,só
44,ando-meio-desligado,quero
45,ando-meio-desligado,que
46,ando-meio-desligado,você
47,ando-meio-desligado,me
48,ando-meio-desligado,queira
49,ando-meio-desligado,Não
50,ando-meio-desligado,leve
51,ando-meio-desligado,a
52,ando-meio-desligado,mal
53,ando-meio-desligado,None
298,balada-do-louco,Se
299,balada-do-louco,eu
300,balada-do-louco,sou
301,balada-do-louco,muito
302,balada-do-louco,louco
303,balada-do-louco,por
304,balada-do-louco,eu
305,balada-do-louco,ser
306,balada-do-louco,feliz
307,balada-do-louco,Mas
308,balada-do-louco,louco
309,balada-do-louco,é
310,balada-do-louco,quem
311,balada-do-louco,me
312,balada-do-louco,diz
313,balada-do-louco,E
314,balada-do-louco,não
315,balada-do-louco,é
316,balada-do-louco,"feliz,"
317,balada-do-louco,não
318,balada-do-louco,é
319,balada-do-louco,feliz
320,balada-do-louco,Se
321,balada-do-louco,eles
322,balada-do-louco,são
323,balada-do-louco,"famosos,"
324,balada-do-louco,sou
325,balada-do-louco,Napoleão
326,balada-do-louco,Mas
327,balada-do-louco,louco
328,balada-do-louco,é
329,balada-do-louco,quem
330,balada-do-louco,me
331,balada-do-louco,diz
332,balada-do-louco,E
333,balada-do-louco,não
334,balada-do-louco,é
335,balada-do-louco,"feliz,"
336,balada-do-louco,não
337,balada-do-louco,é
338,balada-do-louco,feliz
339,balada-do-louco,Não
340,balada-do-louco,ser
341,balada-do-louco,o
342,balada-do-louco,normal
343,balada-do-louco,Se
344,balada-do-louco,eu
345,balada-do-louco,posso
346,balada-do-louco,pensar
347,balada-do-louco,que
348,balada-do-louco,Deus
349,balada-do-louco,sou
350,balada-do-louco,eu
351,balada-do-louco,Se
352,balada-do-louco,eles
353,balada-do-louco,rezam
354,balada-do-louco,"muito,"
355,balada-do-louco,eu
356,balada-do-louco,já
357,balada-do-louco,estou
358,balada-do-louco,no
359,balada-do-louco,céu
360,balada-do-louco,Mas
361,balada-do-louco,louco
362,balada-do-louco,é
363,balada-do-louco,quem
364,balada-do-louco,me
365,balada-do-louco,diz
366,balada-do-louco,E
367,balada-do-louco,não
368,balada-do-louco,é
369,balada-do-louco,"feliz,"
370,balada-do-louco,não
371,balada-do-louco,é
372,balada-do-louco,feliz
373,balada-do-louco,Não
374,balada-do-louco,ser
375,balada-do-louco,o
376,balada-do-louco,normal
377,balada-do-louco,Se
378,balada-do-louco,eu
379,balada-do-louco,posso
380,balada-do-louco,pensar
381,balada-do-louco,que
382,balada-do-louco,Deus
383,balada-do-louco,sou
384,balada-do-louco,eu
385,balada-do-louco,Já
386,balada-do-louco,não
387,balada-do-louco,sou
388,balada-do-louco,o
389,balada-do-louco,único
390,balada-do-louco,que
391,balada-do-louco,encontrou
392,balada-do-louco,a
393,balada-do-louco,paz
394,balada-do-louco,Mas
395,balada-do-louco,louco
396,balada-do-louco,é
397,balada-do-louco,quem
398,balada-do-louco,me
399,balada-do-louco,diz
400,balada-do-louco,E
401,balada-do-louco,não
402,balada-do-louco,é
403,balada-do-louco,"feliz,"
404,balada-do-louco,eu
405,balada-do-louco,sou
406,balada-do-louco,feliz
407,balada-do-louco,None
596,a-minha-menina,E
597,a-minha-menina,eu
598,a-minha-menina,sou
599,a-minha-menina,o
600,a-minha-menina,menino
601,a-minha-menina,dela
602,a-minha-menina,Ela
603,a-minha-menina,é
604,a-minha-menina,o
605,a-minha-menina,meu
606,a-minha-menina,amor
607,a-minha-menina,E
608,a-minha-menina,eu
609,a-minha-menina,sou
610,a-minha-menina,o
611,a-minha-menina,amor
612,a-minha-menina,todinho
613,a-minha-menina,dela
614,a-minha-menina,E
615,a-minha-menina,o
616,a-minha-menina,sol
617,a-minha-menina,dourado
618,a-minha-menina,apareceu
619,a-minha-menina,Amanheceu
620,a-minha-menina,um
621,a-minha-menina,lindo
622,a-minha-menina,dia
623,a-minha-menina,Cheirando
624,a-minha-menina,a
625,a-minha-menina,alegria
626,a-minha-menina,E
627,a-minha-menina,acordei
628,a-minha-menina,pensando
629,a-minha-menina,nela
630,a-minha-menina,E
631,a-minha-menina,eu
632,a-minha-menina,sou
633,a-minha-menina,o
634,a-minha-menina,menino
635,a-minha-menina,dela
636,a-minha-menina,Ela
637,a-minha-menina,é
638,a-minha-menina,o
639,a-minha-menina,meu
640,a-minha-menina,amor
641,a-minha-menina,E
642,a-minha-menina,eu
643,a-minha-menina,sou
644,a-minha-menina,o
645,a-minha-menina,amor
646,a-minha-menina,todinho
647,a-minha-menina,dela
648,a-minha-menina,E
649,a-minha-menina,a
650,a-minha-menina,rosa
651,a-minha-menina,que
652,a-minha-menina,eu
653,a-minha-menina,ganhei
654,a-minha-menina,foi
655,a-minha-menina,ela
656,a-minha-menina,Por
657,a-minha-menina,ela
658,a-minha-menina,eu
659,a-minha-menina,ponho
660,a-minha-menina,o
661,a-minha-menina,meu
662,a-minha-menina,coração
663,a-minha-menina,Na
664,a-minha-menina,frente
665,a-minha-menina,da
666,a-minha-menina,razão
667,a-minha-menina,Como
668,a-minha-menina,gosto
669,a-minha-menina,dela
670,a-minha-menina,E
671,a-minha-menina,eu
672,a-minha-menina,sou
673,a-minha-menina,o
674,a-minha-menina,menino
675,a-minha-menina,dela
676,a-minha-menina,Ela
677,a-minha-menina,é
678,a-minha-menina,o
679,a-minha-menina,meu
680,a-minha-menina,amor
681,a-minha-menina,E
682,a-minha-menina,eu
683,a-minha-menina,sou
684,a-minha-menina,o
685,a-minha-menina,amor
686,a-minha-menina,todinho
687,a-minha-menina,dela
688,a-minha-menina,E
689,a-minha-menina,o
690,a-minha-menina,sol
691,a-minha-menina,dourado
692,a-minha-menina,apareceu
693,a-minha-menina,Amanheceu
694,a-minha-menina,um
695,a-minha-menina,lindo
696,a-minha-menina,dia
697,a-minha-menina,Cheirando
698,a-minha-menina,alegria
699,a-minha-menina,E
700,a-minha-menina,acordei
701,a-minha-menina,pensando
702,a-minha-menina,nela
703,a-minha-menina,E
704,a-minha-menina,eu
705,a-minha-menina,sou
706,a-minha-menina,o
707,a-minha-menina,menino
708,a-minha-menina,dela
709,a-minha-menina,Ela
710,a-minha-menina,é
711,a-minha-menina,o
712,a-minha-menina,meu
713,a-minha-menina,amor
714,a-minha-menina,E
715,a-minha-menina,eu
716,a-minha-menina,sou
717,a-minha-menina,o
718,a-minha-menina,amor
719,a-minha-menina,todinho
720,a-minha-menina,dela
721,a-minha-menina,Minha
722,a-minha-menina,menina
723,a-minha-menina,None
894,panis-et-circenses,Minha
895,panis-et-circenses,canção
896,panis-et-circenses,iluminada
897,panis-et-circenses,de
898,panis-et-circenses,Sol
899,panis-et-circenses,Soltei
900,panis-et-circenses,os
901,panis-et-circenses,panos
902,panis-et-circenses,sobre
903,panis-et-circenses,os
904,panis-et-circenses,mastros
