,Musicas,Palavras
0,marginal-menestrel,Saber
1,marginal-menestrel,cair
2,marginal-menestrel,depois
3,marginal-menestrel,se
4,marginal-menestrel,levantar...
5,marginal-menestrel,O
6,marginal-menestrel,tempo
7,marginal-menestrel,não
8,marginal-menestrel,espera...
9,marginal-menestrel,Não
10,marginal-menestrel,há
11,marginal-menestrel,espaço
12,marginal-menestrel,pra
13,marginal-menestrel,chorar...
14,marginal-menestrel,Andei
15,marginal-menestrel,no
16,marginal-menestrel,escuro
17,marginal-menestrel,agora
18,marginal-menestrel,vou
19,marginal-menestrel,brilhar.
20,marginal-menestrel,Sobreviver
21,marginal-menestrel,é
22,marginal-menestrel,necessário
23,marginal-menestrel,Também
24,marginal-menestrel,quero
25,marginal-menestrel,ser
26,marginal-menestrel,feliz
27,marginal-menestrel,Permaneço
28,marginal-menestrel,no
29,marginal-menestrel,combate
30,marginal-menestrel,Meu
31,marginal-menestrel,resgate
32,marginal-menestrel,é
33,marginal-menestrel,a
34,marginal-menestrel,minha
35,marginal-menestrel,fé
36,marginal-menestrel,Minha
37,marginal-menestrel,luta
38,marginal-menestrel,causa
39,marginal-menestrel,medo
40,marginal-menestrel,e
41,marginal-menestrel,alegria
42,marginal-menestrel,lá
43,marginal-menestrel,laia
44,marginal-menestrel,To
45,marginal-menestrel,na
46,marginal-menestrel,fita
47,marginal-menestrel,vem
48,marginal-menestrel,o
49,marginal-menestrel,que
50,marginal-menestrel,vier
51,marginal-menestrel,Não
52,marginal-menestrel,vou
53,marginal-menestrel,amarelar
54,marginal-menestrel,seja
55,marginal-menestrel,o
56,marginal-menestrel,que
57,marginal-menestrel,Deus
58,marginal-menestrel,quiser
59,marginal-menestrel,ô
60,marginal-menestrel,ô
61,marginal-menestrel,"ô,"
62,marginal-menestrel,seja
63,marginal-menestrel,o
64,marginal-menestrel,que
65,marginal-menestrel,Deus
66,marginal-menestrel,quiser
67,marginal-menestrel,é
68,marginal-menestrel,é
69,marginal-menestrel,é
70,marginal-menestrel,Na
71,marginal-menestrel,fé
72,marginal-menestrel,Amor
73,marginal-menestrel,mais
74,marginal-menestrel,velho
75,marginal-menestrel,mais
76,marginal-menestrel,eu
77,marginal-menestrel,também
78,marginal-menestrel,quero
79,marginal-menestrel,mais
80,marginal-menestrel,sem
81,marginal-menestrel,lero
82,marginal-menestrel,lero
83,marginal-menestrel,Estaca
84,marginal-menestrel,zero
85,marginal-menestrel,não
86,marginal-menestrel,me
87,marginal-menestrel,espero
88,marginal-menestrel,sincero
89,marginal-menestrel,meu
90,marginal-menestrel,lado
91,marginal-menestrel,eu
