,Musicas,Palavras
0,por-onde-andei,Estou
1,por-onde-andei,um
2,por-onde-andei,pouco
3,por-onde-andei,atrasado
4,por-onde-andei,Mas
5,por-onde-andei,espero
6,por-onde-andei,que
7,por-onde-andei,ainda
8,por-onde-andei,dê
9,por-onde-andei,tempo
10,por-onde-andei,De
11,por-onde-andei,dizer
12,por-onde-andei,que
13,por-onde-andei,andei
14,por-onde-andei,errado
15,por-onde-andei,E
16,por-onde-andei,eu
17,por-onde-andei,entendo
18,por-onde-andei,E
19,por-onde-andei,a
20,por-onde-andei,falta
21,por-onde-andei,que
22,por-onde-andei,eu
23,por-onde-andei,fiz
24,por-onde-andei,nessa
25,por-onde-andei,semana
26,por-onde-andei,Coisas
27,por-onde-andei,que
28,por-onde-andei,pareceriam
29,por-onde-andei,óbvias
30,por-onde-andei,Até
31,por-onde-andei,pra
32,por-onde-andei,uma
33,por-onde-andei,criança
34,por-onde-andei,Enquanto
35,por-onde-andei,você
36,por-onde-andei,me
37,por-onde-andei,procurava?
38,por-onde-andei,Será
39,por-onde-andei,que
40,por-onde-andei,eu
41,por-onde-andei,sei
42,por-onde-andei,Que
43,por-onde-andei,você
44,por-onde-andei,é
45,por-onde-andei,mesmo
46,por-onde-andei,Tudo
47,por-onde-andei,aquilo
48,por-onde-andei,que
49,por-onde-andei,me
50,por-onde-andei,faltava?
51,por-onde-andei,E
52,por-onde-andei,a
53,por-onde-andei,falta
54,por-onde-andei,é
55,por-onde-andei,a
56,por-onde-andei,morte
57,por-onde-andei,da
58,por-onde-andei,esperança
59,por-onde-andei,Como
60,por-onde-andei,um
61,por-onde-andei,dia
62,por-onde-andei,que
63,por-onde-andei,roubaram
64,por-onde-andei,o
65,por-onde-andei,seu
66,por-onde-andei,carro
67,por-onde-andei,Deixou
68,por-onde-andei,uma
69,por-onde-andei,lembrança
70,por-onde-andei,Coisa
71,por-onde-andei,muito
72,por-onde-andei,frágil
73,por-onde-andei,Uma
74,por-onde-andei,bobagem
75,por-onde-andei,Uma
76,por-onde-andei,irrelevância
77,por-onde-andei,Diante
78,por-onde-andei,da
79,por-onde-andei,eternidade
80,por-onde-andei,Do
81,por-onde-andei,amor
82,por-onde-andei,de
83,por-onde-andei,quem
84,por-onde-andei,se
85,por-onde-andei,ama
86,por-onde-andei,Enquanto
87,por-onde-andei,você
88,por-onde-andei,me
89,por-onde-andei,procurava?
90,por-onde-andei,E
91,por-onde-andei,o
92,por-onde-andei,que
93,por-onde-andei,eu
94,por-onde-andei,te
95,por-onde-andei,dei?
96,por-onde-andei,Foi
97,por-onde-andei,muito
98,por-onde-andei,pouco
99,por-onde-andei,ou
100,por-onde-andei,quase
101,por-onde-andei,nada
102,por-onde-andei,E
103,por-onde-andei,o
104,por-onde-andei,que
105,por-onde-andei,eu
106,por-onde-andei,deixei?
107,por-onde-andei,Algumas
108,por-onde-andei,roupas
109,por-onde-andei,penduradas
110,por-onde-andei,Será
111,por-onde-andei,que
112,por-onde-andei,eu
113,por-onde-andei,sei
114,por-onde-andei,Que
115,por-onde-andei,você
116,por-onde-andei,é
117,por-onde-andei,mesmo
118,por-onde-andei,Tudo
119,por-onde-andei,aquilo
120,por-onde-andei,que
121,por-onde-andei,me
122,por-onde-andei,faltava?
123,por-onde-andei,Uh!
124,por-onde-andei,Uh!
125,por-onde-andei,Uh!
126,por-onde-andei,Ah!
127,por-onde-andei,Ah!
128,por-onde-andei,Ah!
129,por-onde-andei,Ah!
130,por-onde-andei,Ah!
131,por-onde-andei,Ah!
132,por-onde-andei,Uh!
133,por-onde-andei,Uh!
134,por-onde-andei,Uh!
135,por-onde-andei,E
136,por-onde-andei,a
137,por-onde-andei,falta
138,por-onde-andei,é
139,por-onde-andei,a
140,por-onde-andei,morte
141,por-onde-andei,da
142,por-onde-andei,esperança
143,por-onde-andei,Como
144,por-onde-andei,um
145,por-onde-andei,dia
146,por-onde-andei,que
147,por-onde-andei,roubaram
148,por-onde-andei,o
149,por-onde-andei,seu
150,por-onde-andei,carro
151,por-onde-andei,Deixou
152,por-onde-andei,uma
153,por-onde-andei,lembrança
154,por-onde-andei,Coisa
155,por-onde-andei,muito
156,por-onde-andei,frágil
157,por-onde-andei,Uma
158,por-onde-andei,bobagem
159,por-onde-andei,Uma
160,por-onde-andei,irrelevância
161,por-onde-andei,Diante
162,por-onde-andei,da
163,por-onde-andei,eternidade
164,por-onde-andei,Do
165,por-onde-andei,amor
166,por-onde-andei,de
167,por-onde-andei,quem
168,por-onde-andei,se
169,por-onde-andei,ama
170,por-onde-andei,Enquanto
171,por-onde-andei,você
172,por-onde-andei,me
173,por-onde-andei,procurava?
174,por-onde-andei,E
175,por-onde-andei,o
176,por-onde-andei,que
177,por-onde-andei,eu
178,por-onde-andei,te
179,por-onde-andei,dei?
180,por-onde-andei,Foi
181,por-onde-andei,muito
182,por-onde-andei,pouco
183,por-onde-andei,ou
184,por-onde-andei,quase
185,por-onde-andei,nada
186,por-onde-andei,E
187,por-onde-andei,o
188,por-onde-andei,que
189,por-onde-andei,eu
190,por-onde-andei,deixei?
191,por-onde-andei,Algumas
192,por-onde-andei,roupas
193,por-onde-andei,penduradas
194,por-onde-andei,Será
195,por-onde-andei,que
196,por-onde-andei,eu
197,por-onde-andei,sei
198,por-onde-andei,Que
199,por-onde-andei,você
200,por-onde-andei,é
201,por-onde-andei,mesmo
202,por-onde-andei,Tudo
203,por-onde-andei,aquilo
204,por-onde-andei,que
205,por-onde-andei,me
206,por-onde-andei,faltava?
207,por-onde-andei,Uh!
208,por-onde-andei,Uh!
209,por-onde-andei,Uh!
210,por-onde-andei,Ah!
211,por-onde-andei,Ah!
212,por-onde-andei,Ah!
213,por-onde-andei,Ah!
214,por-onde-andei,Ah!
215,por-onde-andei,Ah!
216,por-onde-andei,Uh!
217,por-onde-andei,Uh!
218,por-onde-andei,Uh!
219,por-onde-andei,Enquanto
220,por-onde-andei,você
221,por-onde-andei,me
222,por-onde-andei,procurava?
223,por-onde-andei,E
224,por-onde-andei,o
225,por-onde-andei,que
226,por-onde-andei,eu
227,por-onde-andei,te
228,por-onde-andei,dei?
229,por-onde-andei,Foi
230,por-onde-andei,muito
231,por-onde-andei,pouco
232,por-onde-andei,ou
233,por-onde-andei,quase
234,por-onde-andei,nada
235,por-onde-andei,E
236,por-onde-andei,o
237,por-onde-andei,que
238,por-onde-andei,eu
239,por-onde-andei,deixei?
240,por-onde-andei,Algumas
241,por-onde-andei,roupas
242,por-onde-andei,penduradas
243,por-onde-andei,Será
244,por-onde-andei,que
245,por-onde-andei,eu
246,por-onde-andei,sei
247,por-onde-andei,Que
248,por-onde-andei,você
249,por-onde-andei,é
250,por-onde-andei,mesmo
251,por-onde-andei,Tudo
252,por-onde-andei,aquilo
253,por-onde-andei,que
254,por-onde-andei,me
255,por-onde-andei,faltava?
256,por-onde-andei,None
565,all-star,O
566,all-star,sal
567,all-star,viria
568,all-star,doce
569,all-star,para
570,all-star,os
571,all-star,novos
572,all-star,lábios
573,all-star,Colombo
574,all-star,procurou
575,all-star,as
576,all-star,"Índias,"
577,all-star,mas
578,all-star,a
579,all-star,Terra
580,all-star,avisto
581,all-star,em
582,all-star,você
583,all-star,O
584,all-star,som
585,all-star,que
586,all-star,eu
587,all-star,ouço
588,all-star,são
589,all-star,as
590,all-star,gírias
591,all-star,do
592,all-star,seu
593,all-star,vocabulário
594,all-star,Estranho
595,all-star,é
596,all-star,pensar
597,all-star,que
598,all-star,o
599,all-star,bairro
600,all-star,das
601,all-star,Laranjeiras
602,all-star,"Satisfeito,"
603,all-star,"sorri,"
604,all-star,quando
605,all-star,chego
606,all-star,ali
607,all-star,E
608,all-star,entro
609,all-star,no
610,all-star,elevador
611,all-star,Aperto
612,all-star,o
613,all-star,"12,"
614,all-star,que
615,all-star,é
616,all-star,o
617,all-star,seu
618,all-star,andar
619,all-star,Não
620,all-star,vejo
621,all-star,a
622,all-star,hora
623,all-star,de
624,all-star,te
625,all-star,reencontrar
626,all-star,Continuar
627,all-star,aquela
628,all-star,conversa
629,all-star,Que
630,all-star,não
631,all-star,terminamos
632,all-star,ontem
633,all-star,Ficou
634,all-star,pra
635,all-star,hoje
636,all-star,Seu
637,all-star,All
638,all-star,Star
639,all-star,azul
640,all-star,combina
641,all-star,com
642,all-star,o
643,all-star,"meu,"
644,all-star,"preto,"
645,all-star,de
646,all-star,cano
647,all-star,alto
648,all-star,Se
649,all-star,o
650,all-star,homem
651,all-star,já
652,all-star,pisou
653,all-star,na
654,all-star,Lua
655,all-star,Como
656,all-star,eu
657,all-star,ainda
658,all-star,não
659,all-star,tenho
660,all-star,seu
661,all-star,endereço?
662,all-star,O
663,all-star,tom
664,all-star,que
665,all-star,eu
666,all-star,canto
667,all-star,as
668,all-star,minhas
669,all-star,músicas
670,all-star,Na
671,all-star,sua
672,all-star,"voz,"
673,all-star,parece
674,all-star,exato
675,all-star,Estranho
676,all-star,é
677,all-star,pensar
678,all-star,que
679,all-star,o
680,all-star,bairro
681,all-star,das
682,all-star,Laranjeiras
683,all-star,"Satisfeito,"
684,all-star,"sorri,"
685,all-star,quando
686,all-star,chego
687,all-star,ali
688,all-star,E
689,all-star,entro
690,all-star,no
691,all-star,elevador
692,all-star,Aperto
693,all-star,o
694,all-star,"12,"
695,all-star,que
696,all-star,é
697,all-star,o
698,all-star,seu
699,all-star,andar
700,all-star,Não
701,all-star,vejo
702,all-star,a
703,all-star,hora
704,all-star,de
705,all-star,te
706,all-star,reencontrar
707,all-star,Continuar
708,all-star,aquela
709,all-star,conversa
710,all-star,Que
711,all-star,não
712,all-star,terminamos
713,all-star,ontem
714,all-star,Ficou
715,all-star,nas
716,all-star,Laranjeiras
717,all-star,E
718,all-star,entro
719,all-star,no
720,all-star,elevador
721,all-star,Aperto
722,all-star,o
723,all-star,"12,"
724,all-star,que
725,all-star,é
726,all-star,o
727,all-star,seu
728,all-star,andar
729,all-star,Não
730,all-star,vejo
731,all-star,a
732,all-star,hora
733,all-star,de
734,all-star,te
735,all-star,reencontrar
736,all-star,E
737,all-star,continuar
738,all-star,aquela
739,all-star,conversa
740,all-star,Que
741,all-star,não
742,all-star,terminamos
743,all-star,ontem
744,all-star,Ficou
745,all-star,pra
746,all-star,hoje
747,all-star,"Hoje,"
748,all-star,"hoje,"
749,all-star,hoje
750,all-star,None
1130,pra-voce-guardei-amor,Que
1131,pra-voce-guardei-amor,nunca
1132,pra-voce-guardei-amor,soube
1133,pra-voce-guardei-amor,dar
1134,pra-voce-guardei-amor,O
1135,pra-voce-guardei-amor,amor
1136,pra-voce-guardei-amor,que
1137,pra-voce-guardei-amor,tive
1138,pra-voce-guardei-amor,e
1139,pra-voce-guardei-amor,vi
1140,pra-voce-guardei-amor,sem
1141,pra-voce-guardei-amor,me
1142,pra-voce-guardei-amor,deixar
1143,pra-voce-guardei-amor,Sentir
1144,pra-voce-guardei-amor,sem
1145,pra-voce-guardei-amor,conseguir
1146,pra-voce-guardei-amor,provar
1147,pra-voce-guardei-amor,Sem
1148,pra-voce-guardei-amor,entregar
1149,pra-voce-guardei-amor,E
1150,pra-voce-guardei-amor,repartir
1151,pra-voce-guardei-amor,Que
1152,pra-voce-guardei-amor,sempre
1153,pra-voce-guardei-amor,quis
1154,pra-voce-guardei-amor,mostrar
1155,pra-voce-guardei-amor,O
1156,pra-voce-guardei-amor,amor
1157,pra-voce-guardei-amor,que
1158,pra-voce-guardei-amor,vive
1159,pra-voce-guardei-amor,em
1160,pra-voce-guardei-amor,mim
1161,pra-voce-guardei-amor,vem
1162,pra-voce-guardei-amor,visitar
1163,pra-voce-guardei-amor,"Sorrir,"
1164,pra-voce-guardei-amor,vem
1165,pra-voce-guardei-amor,colorir
1166,pra-voce-guardei-amor,solar
1167,pra-voce-guardei-amor,Vem
1168,pra-voce-guardei-amor,esquentar
1169,pra-voce-guardei-amor,E
1170,pra-voce-guardei-amor,permitir
1171,pra-voce-guardei-amor,Quem
1172,pra-voce-guardei-amor,entender
1173,pra-voce-guardei-amor,o
1174,pra-voce-guardei-amor,que
1175,pra-voce-guardei-amor,ele
1176,pra-voce-guardei-amor,diz
1177,pra-voce-guardei-amor,No
1178,pra-voce-guardei-amor,giz
1179,pra-voce-guardei-amor,do
1180,pra-voce-guardei-amor,gesto
1181,pra-voce-guardei-amor,o
1182,pra-voce-guardei-amor,jeito
1183,pra-voce-guardei-amor,pronto
1184,pra-voce-guardei-amor,Do
1185,pra-voce-guardei-amor,piscar
1186,pra-voce-guardei-amor,dos
1187,pra-voce-guardei-amor,cílios
1188,pra-voce-guardei-amor,Que
1189,pra-voce-guardei-amor,o
1190,pra-voce-guardei-amor,convite
1191,pra-voce-guardei-amor,do
1192,pra-voce-guardei-amor,silêncio
1193,pra-voce-guardei-amor,Exibe
1194,pra-voce-guardei-amor,em
1195,pra-voce-guardei-amor,cada
1196,pra-voce-guardei-amor,olhar
1197,pra-voce-guardei-amor,Sem
1198,pra-voce-guardei-amor,ter
1199,pra-voce-guardei-amor,porquê
1200,pra-voce-guardei-amor,Nem
1201,pra-voce-guardei-amor,por
1202,pra-voce-guardei-amor,razão
1203,pra-voce-guardei-amor,Ou
1204,pra-voce-guardei-amor,coisa
1205,pra-voce-guardei-amor,outra
1206,pra-voce-guardei-amor,qualquer
1207,pra-voce-guardei-amor,Além
1208,pra-voce-guardei-amor,de
1209,pra-voce-guardei-amor,não
1210,pra-voce-guardei-amor,saber
1211,pra-voce-guardei-amor,como
1212,pra-voce-guardei-amor,fazer
1213,pra-voce-guardei-amor,Pra
1214,pra-voce-guardei-amor,ter
1215,pra-voce-guardei-amor,um
1216,pra-voce-guardei-amor,jeito
1217,pra-voce-guardei-amor,meu
1218,pra-voce-guardei-amor,de
1219,pra-voce-guardei-amor,me
1220,pra-voce-guardei-amor,mostrar
1221,pra-voce-guardei-amor,Vendo
1222,pra-voce-guardei-amor,em
1223,pra-voce-guardei-amor,você
1224,pra-voce-guardei-amor,E
1225,pra-voce-guardei-amor,explicação
1226,pra-voce-guardei-amor,Nenhuma
1227,pra-voce-guardei-amor,isso
1228,pra-voce-guardei-amor,requer
1229,pra-voce-guardei-amor,Se
1230,pra-voce-guardei-amor,o
1231,pra-voce-guardei-amor,coração
1232,pra-voce-guardei-amor,bater
1233,pra-voce-guardei-amor,forte
1234,pra-voce-guardei-amor,e
1235,pra-voce-guardei-amor,arder
1236,pra-voce-guardei-amor,No
1237,pra-voce-guardei-amor,fogo
1238,pra-voce-guardei-amor,o
1239,pra-voce-guardei-amor,gelo
1240,pra-voce-guardei-amor,vai
1241,pra-voce-guardei-amor,queimar
1242,pra-voce-guardei-amor,Que
1243,pra-voce-guardei-amor,aprendi
1244,pra-voce-guardei-amor,vendo
1245,pra-voce-guardei-amor,os
1246,pra-voce-guardei-amor,meus
1247,pra-voce-guardei-amor,pais
1248,pra-voce-guardei-amor,O
1249,pra-voce-guardei-amor,amor
1250,pra-voce-guardei-amor,que
1251,pra-voce-guardei-amor,tive
1252,pra-voce-guardei-amor,e
1253,pra-voce-guardei-amor,recebi
1254,pra-voce-guardei-amor,E
1255,pra-voce-guardei-amor,hoje
1256,pra-voce-guardei-amor,posso
1257,pra-voce-guardei-amor,dar
1258,pra-voce-guardei-amor,livre
1259,pra-voce-guardei-amor,e
1260,pra-voce-guardei-amor,feliz
1261,pra-voce-guardei-amor,Céu
1262,pra-voce-guardei-amor,cheiro
1263,pra-voce-guardei-amor,e
1264,pra-voce-guardei-amor,ar
1265,pra-voce-guardei-amor,na
1266,pra-voce-guardei-amor,cor
1267,pra-voce-guardei-amor,que
1268,pra-voce-guardei-amor,o
1269,pra-voce-guardei-amor,arco-íris
1270,pra-voce-guardei-amor,Risca
1271,pra-voce-guardei-amor,ao
1272,pra-voce-guardei-amor,levitar
1273,pra-voce-guardei-amor,"Lápis,"
1274,pra-voce-guardei-amor,"edifício,"
1275,pra-voce-guardei-amor,"tevere,"
1276,pra-voce-guardei-amor,ponte
1277,pra-voce-guardei-amor,Desenhar
1278,pra-voce-guardei-amor,no
1279,pra-voce-guardei-amor,seu
1280,pra-voce-guardei-amor,quadril
1281,pra-voce-guardei-amor,Meus
1282,pra-voce-guardei-amor,lábios
1283,pra-voce-guardei-amor,beijam
1284,pra-voce-guardei-amor,signos
1285,pra-voce-guardei-amor,feito
1286,pra-voce-guardei-amor,sinos
1287,pra-voce-guardei-amor,Trilho
1288,pra-voce-guardei-amor,a
1289,pra-voce-guardei-amor,"infância,"
1290,pra-voce-guardei-amor,terço
1291,pra-voce-guardei-amor,o
1292,pra-voce-guardei-amor,berço
1293,pra-voce-guardei-amor,Do
1294,pra-voce-guardei-amor,seu
1295,pra-voce-guardei-amor,lar
1296,pra-voce-guardei-amor,Sem
