,Musicas,Acordes
0,me-namora,G7M
1,me-namora,C7M
2,me-namora,G7M
3,me-namora,C7M
4,me-namora,G7M
5,me-namora,C7M
6,me-namora,G7M
7,me-namora,C7M
8,me-namora,G7M
9,me-namora,C7M
10,me-namora,G7M
11,me-namora,C7M
12,me-namora,G7M
13,me-namora,C7M
14,me-namora,G7M
15,me-namora,C7M
16,me-namora,G7M
17,me-namora,C7M
18,me-namora,G7M
19,me-namora,C7M
20,me-namora,G7M
21,me-namora,C7M
22,me-namora,G7M
23,me-namora,C7M
24,me-namora,G7M
25,me-namora,C7M
26,me-namora,G7M
27,me-namora,C7M
28,me-namora,G7M
29,me-namora,G7M
30,me-namora,C7M
31,me-namora,G7M
32,me-namora,C7M
33,me-namora,G7M
34,me-namora,C7M
35,me-namora,G7M
36,me-namora,C7M
37,me-namora,G7M
38,me-namora,C7M
39,me-namora,G7M
40,me-namora,C7M
41,me-namora,G7M
42,me-namora,C7M
43,me-namora,G7M
44,me-namora,C7M
45,me-namora,G7M
46,me-namora,C7M
47,me-namora,G7M
48,me-namora,G7M
49,me-namora,G7M
50,me-namora,C7M
51,me-namora,G7M
52,me-namora,C7M
53,me-namora,G7M
54,me-namora,C7M
55,me-namora,G7M
56,me-namora,C7M
57,me-namora,G7M
58,me-namora,C7M
59,me-namora,G7M
60,me-namora,C7M
61,me-namora,G7M
62,me-namora,C7M
63,me-namora,G7M
64,me-namora,C7M
65,me-namora,G7M
66,me-namora,C7M
67,me-namora,G7M
68,me-namora,C7M
69,me-namora,G7M
70,me-namora,C7M
71,me-namora,G7M
72,me-namora,C7M
73,me-namora,G7M
74,me-namora,C7M
75,me-namora,G7M
76,me-namora,C7M
166,quero-ser-feliz-tambem,Ebm7
167,quero-ser-feliz-tambem,Dbm7
168,quero-ser-feliz-tambem,Ebm7
169,quero-ser-feliz-tambem,Dbm7
170,quero-ser-feliz-tambem,Ebm7
171,quero-ser-feliz-tambem,Dbm7
172,quero-ser-feliz-tambem,Ebm7
173,quero-ser-feliz-tambem,Dbm7
174,quero-ser-feliz-tambem,Ebm7
175,quero-ser-feliz-tambem,Dbm7
176,quero-ser-feliz-tambem,Ebm7
177,quero-ser-feliz-tambem,Dbm7
178,quero-ser-feliz-tambem,Ebm7
179,quero-ser-feliz-tambem,Dbm7
180,quero-ser-feliz-tambem,Ebm7
181,quero-ser-feliz-tambem,Dbm7
182,quero-ser-feliz-tambem,Ebm7
183,quero-ser-feliz-tambem,Dbm7
184,quero-ser-feliz-tambem,Ebm7
185,quero-ser-feliz-tambem,Dbm7
186,quero-ser-feliz-tambem,Ebm7
187,quero-ser-feliz-tambem,Dbm7
188,quero-ser-feliz-tambem,Ebm7
189,quero-ser-feliz-tambem,Dbm7
190,quero-ser-feliz-tambem,Ebm7
191,quero-ser-feliz-tambem,Dbm7
192,quero-ser-feliz-tambem,Ebm7
193,quero-ser-feliz-tambem,Abm
194,quero-ser-feliz-tambem,Dbm7
195,quero-ser-feliz-tambem,Abm
196,quero-ser-feliz-tambem,Dbm7
197,quero-ser-feliz-tambem,Abm
198,quero-ser-feliz-tambem,Ebm7
199,quero-ser-feliz-tambem,Dbm7
200,quero-ser-feliz-tambem,Ebm7
201,quero-ser-feliz-tambem,Dbm7
202,quero-ser-feliz-tambem,Ebm7
203,quero-ser-feliz-tambem,Dbm7
204,quero-ser-feliz-tambem,Ebm7
205,quero-ser-feliz-tambem,Dbm7
206,quero-ser-feliz-tambem,Ebm7
207,quero-ser-feliz-tambem,Dbm7
208,quero-ser-feliz-tambem,Ebm7
209,quero-ser-feliz-tambem,Dbm7
210,quero-ser-feliz-tambem,Ebm7
211,quero-ser-feliz-tambem,Dbm7
212,quero-ser-feliz-tambem,Ebm7
213,quero-ser-feliz-tambem,Dbm7
214,quero-ser-feliz-tambem,Ebm7
215,quero-ser-feliz-tambem,Dbm7
216,quero-ser-feliz-tambem,Ebm7
217,quero-ser-feliz-tambem,Dbm7
218,quero-ser-feliz-tambem,Ebm7
219,quero-ser-feliz-tambem,Dbm7
220,quero-ser-feliz-tambem,Ebm7
221,quero-ser-feliz-tambem,Dbm7
222,quero-ser-feliz-tambem,Ebm7
223,quero-ser-feliz-tambem,Dbm7
224,quero-ser-feliz-tambem,Ebm7
225,quero-ser-feliz-tambem,Abm
226,quero-ser-feliz-tambem,Dbm7
227,quero-ser-feliz-tambem,Abm
228,quero-ser-feliz-tambem,Dbm7
229,quero-ser-feliz-tambem,Abm
230,quero-ser-feliz-tambem,Dbm7
231,quero-ser-feliz-tambem,Abm
232,quero-ser-feliz-tambem,Dbm7
233,quero-ser-feliz-tambem,Abm
234,quero-ser-feliz-tambem,Ebm7
235,quero-ser-feliz-tambem,Dbm7
236,quero-ser-feliz-tambem,Ebm7
237,quero-ser-feliz-tambem,Dbm7
238,quero-ser-feliz-tambem,Ebm7
239,quero-ser-feliz-tambem,Dbm7
240,quero-ser-feliz-tambem,Ebm7
241,quero-ser-feliz-tambem,Dbm7
242,quero-ser-feliz-tambem,Ebm7
243,quero-ser-feliz-tambem,Dbm7
332,sorri-sou-rei,Dm7
333,sorri-sou-rei,G
334,sorri-sou-rei,Am
335,sorri-sou-rei,Dm7
336,sorri-sou-rei,G
337,sorri-sou-rei,Am
338,sorri-sou-rei,Dm7
339,sorri-sou-rei,G
340,sorri-sou-rei,Am
341,sorri-sou-rei,Dm7
342,sorri-sou-rei,G
343,sorri-sou-rei,Am
344,sorri-sou-rei,Am7
345,sorri-sou-rei,G
346,sorri-sou-rei,Am7
347,sorri-sou-rei,Dm7
348,sorri-sou-rei,G
349,sorri-sou-rei,Am7
350,sorri-sou-rei,Dm7
351,sorri-sou-rei,G
352,sorri-sou-rei,Am7
353,sorri-sou-rei,Dm7
354,sorri-sou-rei,G
355,sorri-sou-rei,Am7
356,sorri-sou-rei,Dm7
357,sorri-sou-rei,G
358,sorri-sou-rei,Am7
359,sorri-sou-rei,Dm7
360,sorri-sou-rei,G
361,sorri-sou-rei,Am7
362,sorri-sou-rei,Dm7
363,sorri-sou-rei,G
364,sorri-sou-rei,Am7
365,sorri-sou-rei,Dm7
366,sorri-sou-rei,G
367,sorri-sou-rei,Am7
368,sorri-sou-rei,Dm7
369,sorri-sou-rei,G
370,sorri-sou-rei,Am7
371,sorri-sou-rei,F
372,sorri-sou-rei,G
373,sorri-sou-rei,Am7
374,sorri-sou-rei,Am7(11)
375,sorri-sou-rei,Am7(11)
376,sorri-sou-rei,Am7(11)
377,sorri-sou-rei,Bb7M
378,sorri-sou-rei,A7
379,sorri-sou-rei,Dm7(9)
380,sorri-sou-rei,Bb7M
381,sorri-sou-rei,A7
382,sorri-sou-rei,Dm7(9)
383,sorri-sou-rei,Bb7M
384,sorri-sou-rei,A7
385,sorri-sou-rei,Dm7(9)
386,sorri-sou-rei,Bb7M
387,sorri-sou-rei,A7
388,sorri-sou-rei,Dm7(9)
389,sorri-sou-rei,A7
390,sorri-sou-rei,Dm7
391,sorri-sou-rei,Bb7
392,sorri-sou-rei,A7
393,sorri-sou-rei,Dm7
394,sorri-sou-rei,Bb7
395,sorri-sou-rei,A7
