,Musicas,Palavras
0,me-namora,Já
1,me-namora,havia
2,me-namora,um
3,me-namora,brilho
4,me-namora,no
5,me-namora,olhar
6,me-namora,E
7,me-namora,junto
8,me-namora,com
9,me-namora,um
10,me-namora,sorriso
11,me-namora,seu
12,me-namora,O
13,me-namora,teu
14,me-namora,olhar
15,me-namora,vem
16,me-namora,de
17,me-namora,encontro
18,me-namora,ao
19,me-namora,meu
20,me-namora,E
21,me-namora,o
22,me-namora,meu
23,me-namora,dia
24,me-namora,se
25,me-namora,fez
26,me-namora,mais
27,me-namora,feliz
28,me-namora,Mesmo
29,me-namora,sem
30,me-namora,você
31,me-namora,perto
32,me-namora,de
33,me-namora,mim
34,me-namora,Mesmo
35,me-namora,longe
36,me-namora,de
37,me-namora,mim
38,me-namora,E
39,me-namora,fica
40,me-namora,em
41,me-namora,casa
42,me-namora,só
43,me-namora,contando
44,me-namora,as
45,me-namora,horas
46,me-namora,Reclama
47,me-namora,só
48,me-namora,do
49,me-namora,tempo
50,me-namora,que
51,me-namora,demora
52,me-namora,Abre
53,me-namora,os
54,me-namora,"braços,"
55,me-namora,vem
56,me-namora,e
57,me-namora,me
58,me-namora,namora
59,me-namora,Eu
60,me-namora,quero
61,me-namora,dar
62,me-namora,vazão
63,me-namora,ao
64,me-namora,sentimento
65,me-namora,Mostrar
66,me-namora,que
67,me-namora,é
68,me-namora,lindo
69,me-namora,o
70,me-namora,que
71,me-namora,eu
72,me-namora,sinto
73,me-namora,por
74,me-namora,dentro
75,me-namora,Beleza
76,me-namora,essa
77,me-namora,que
78,me-namora,eu
79,me-namora,te
80,me-namora,canto
81,me-namora,agora
82,me-namora,Abre
83,me-namora,os
84,me-namora,"braços,"
85,me-namora,vem
86,me-namora,e
87,me-namora,me
88,me-namora,namora
89,me-namora,O
90,me-namora,que
91,me-namora,fazer
92,me-namora,quando
93,me-namora,te
94,me-namora,encontrar
95,me-namora,Mas
96,me-namora,se
97,me-namora,eu
98,me-namora,"fizer,"
99,me-namora,o
100,me-namora,que
101,me-namora,vai
102,me-namora,dizer?
103,me-namora,Será
104,me-namora,que
105,me-namora,é
106,me-namora,capaz
107,me-namora,de
108,me-namora,entender?
109,me-namora,Mesmo
110,me-namora,se
111,me-namora,não
112,me-namora,for
113,me-namora,eu
114,me-namora,vou
115,me-namora,tentar
116,me-namora,Vou
117,me-namora,fazer
118,me-namora,você
119,me-namora,me
120,me-namora,notar
121,me-namora,Por
122,me-namora,isso
123,me-namora,eu
124,me-namora,vim
125,me-namora,aqui
126,me-namora,te
127,me-namora,dizer
128,me-namora,E
129,me-namora,fica
130,me-namora,em
131,me-namora,casa
132,me-namora,só
133,me-namora,contando
134,me-namora,as
135,me-namora,horas
136,me-namora,Reclama
137,me-namora,só
138,me-namora,do
139,me-namora,tempo
140,me-namora,que
141,me-namora,demora
142,me-namora,Abre
143,me-namora,os
144,me-namora,"braços,"
145,me-namora,vem
146,me-namora,e
147,me-namora,me
148,me-namora,namora
149,me-namora,Eu
150,me-namora,quero
151,me-namora,dar
