,Musicas,Acordes
0,juizo-final,Gm
1,juizo-final,G#
2,juizo-final,D7
3,juizo-final,Cm
4,juizo-final,Eb7
5,juizo-final,D7
6,juizo-final,Gm
7,juizo-final,G#
8,juizo-final,D7
9,juizo-final,Cm
10,juizo-final,D7
11,juizo-final,Gm
12,juizo-final,G7
13,juizo-final,Cm
14,juizo-final,D7
15,juizo-final,Eb7
16,juizo-final,D7
17,juizo-final,Cm
18,juizo-final,D7
19,juizo-final,Eb
20,juizo-final,Eb7
21,juizo-final,D7
22,juizo-final,Gm
23,juizo-final,G#
24,juizo-final,D7
25,juizo-final,Cm
26,juizo-final,Eb7
27,juizo-final,D7
28,juizo-final,Gm
29,juizo-final,G#7
30,juizo-final,D7
31,juizo-final,Cm
32,juizo-final,D7
33,juizo-final,Gm
34,juizo-final,G7
35,juizo-final,Cm
36,juizo-final,D7
37,juizo-final,Eb7
38,juizo-final,D7
39,juizo-final,Cm
40,juizo-final,D7
41,juizo-final,Eb
42,juizo-final,Eb7
43,juizo-final,D7
44,juizo-final,Gm
45,juizo-final,G#
46,juizo-final,D7
47,juizo-final,Cm
48,juizo-final,Eb7
49,juizo-final,D7
50,juizo-final,Gm
51,juizo-final,G#
52,juizo-final,D7
53,juizo-final,Cm
54,juizo-final,D7/F#
55,juizo-final,Gm
56,juizo-final,Cm
57,juizo-final,D7/F#
58,juizo-final,Gm
59,juizo-final,Cm
60,juizo-final,D7/F#
61,juizo-final,Gm
103,a-flor-e-o-espinho,Cm
104,a-flor-e-o-espinho,Ebº
105,a-flor-e-o-espinho,Gm7
106,a-flor-e-o-espinho,C7(9)
107,a-flor-e-o-espinho,Dm
108,a-flor-e-o-espinho,Bº
109,a-flor-e-o-espinho,A7
110,a-flor-e-o-espinho,Dm
111,a-flor-e-o-espinho,A7
112,a-flor-e-o-espinho,Dm
113,a-flor-e-o-espinho,Dm/C
114,a-flor-e-o-espinho,Gm6
115,a-flor-e-o-espinho,A7
116,a-flor-e-o-espinho,Dm
117,a-flor-e-o-espinho,F#º
118,a-flor-e-o-espinho,Ebº
119,a-flor-e-o-espinho,Gm7M
120,a-flor-e-o-espinho,Gm7
121,a-flor-e-o-espinho,C7
122,a-flor-e-o-espinho,Bb7
123,a-flor-e-o-espinho,A7
124,a-flor-e-o-espinho,Gm7
125,a-flor-e-o-espinho,A7(b9)
126,a-flor-e-o-espinho,Dm
127,a-flor-e-o-espinho,Dm/C
128,a-flor-e-o-espinho,Gm6/Bb
129,a-flor-e-o-espinho,A7
130,a-flor-e-o-espinho,Dm
131,a-flor-e-o-espinho,A7
132,a-flor-e-o-espinho,Dm
133,a-flor-e-o-espinho,Dm7M
134,a-flor-e-o-espinho,Gm/Bb
135,a-flor-e-o-espinho,A7
136,a-flor-e-o-espinho,Dm
137,a-flor-e-o-espinho,F#º
138,a-flor-e-o-espinho,Aº
139,a-flor-e-o-espinho,G7M(9)
140,a-flor-e-o-espinho,Gm7
141,a-flor-e-o-espinho,C7(9)
142,a-flor-e-o-espinho,Bb7
143,a-flor-e-o-espinho,A7
144,a-flor-e-o-espinho,Gm7
145,a-flor-e-o-espinho,A7
146,a-flor-e-o-espinho,Dm
147,a-flor-e-o-espinho,Dm/C
148,a-flor-e-o-espinho,Bº
149,a-flor-e-o-espinho,A7/C#
150,a-flor-e-o-espinho,Dm
151,a-flor-e-o-espinho,Dbº
152,a-flor-e-o-espinho,A7
153,a-flor-e-o-espinho,Dm/F
154,a-flor-e-o-espinho,Dm
155,a-flor-e-o-espinho,Ebº
156,a-flor-e-o-espinho,D7
157,a-flor-e-o-espinho,Gm/D
158,a-flor-e-o-espinho,Gm/Bb
159,a-flor-e-o-espinho,C7
160,a-flor-e-o-espinho,C/Bb
161,a-flor-e-o-espinho,F/A
162,a-flor-e-o-espinho,Dm/F
163,a-flor-e-o-espinho,Bº
164,a-flor-e-o-espinho,A7
165,a-flor-e-o-espinho,Dm
166,a-flor-e-o-espinho,Dm(7M)
167,a-flor-e-o-espinho,Gm/Bb
168,a-flor-e-o-espinho,A7
169,a-flor-e-o-espinho,Dm
170,a-flor-e-o-espinho,F#º
171,a-flor-e-o-espinho,Aº
172,a-flor-e-o-espinho,G7M(9)
173,a-flor-e-o-espinho,Gm7
174,a-flor-e-o-espinho,C7(9)
175,a-flor-e-o-espinho,Bb7
176,a-flor-e-o-espinho,A7
177,a-flor-e-o-espinho,Gm7
178,a-flor-e-o-espinho,A7
179,a-flor-e-o-espinho,Dm
180,a-flor-e-o-espinho,Dm/C
181,a-flor-e-o-espinho,Bb7
182,a-flor-e-o-espinho,A7
183,a-flor-e-o-espinho,Dm
