,Musicas,Palavras
121,a-flor-e-o-espinho,Que
122,a-flor-e-o-espinho,eu
123,a-flor-e-o-espinho,quero
124,a-flor-e-o-espinho,passar
125,a-flor-e-o-espinho,com
126,a-flor-e-o-espinho,a
127,a-flor-e-o-espinho,minha
128,a-flor-e-o-espinho,dor
129,a-flor-e-o-espinho,Hoje
130,a-flor-e-o-espinho,pra
131,a-flor-e-o-espinho,você
132,a-flor-e-o-espinho,eu
133,a-flor-e-o-espinho,sou
134,a-flor-e-o-espinho,espinho
135,a-flor-e-o-espinho,Espinho
136,a-flor-e-o-espinho,não
137,a-flor-e-o-espinho,machuca
138,a-flor-e-o-espinho,a
139,a-flor-e-o-espinho,flor
140,a-flor-e-o-espinho,Eu
141,a-flor-e-o-espinho,só
142,a-flor-e-o-espinho,errei
143,a-flor-e-o-espinho,quando
144,a-flor-e-o-espinho,juntei
145,a-flor-e-o-espinho,minh'alma
146,a-flor-e-o-espinho,à
147,a-flor-e-o-espinho,sua
148,a-flor-e-o-espinho,O
149,a-flor-e-o-espinho,sol
150,a-flor-e-o-espinho,não
151,a-flor-e-o-espinho,pode
152,a-flor-e-o-espinho,viver
153,a-flor-e-o-espinho,perto
154,a-flor-e-o-espinho,da
155,a-flor-e-o-espinho,lua
156,a-flor-e-o-espinho,A
157,a-flor-e-o-espinho,minha
158,a-flor-e-o-espinho,dor
159,a-flor-e-o-espinho,e
160,a-flor-e-o-espinho,os
161,a-flor-e-o-espinho,meus
162,a-flor-e-o-espinho,olhos
163,a-flor-e-o-espinho,rasos
164,a-flor-e-o-espinho,d'água
165,a-flor-e-o-espinho,Eu
166,a-flor-e-o-espinho,na
167,a-flor-e-o-espinho,sua
168,a-flor-e-o-espinho,vida
169,a-flor-e-o-espinho,já
170,a-flor-e-o-espinho,fui
171,a-flor-e-o-espinho,uma
172,a-flor-e-o-espinho,flor
173,a-flor-e-o-espinho,Hoje
174,a-flor-e-o-espinho,sou
175,a-flor-e-o-espinho,espinho
176,a-flor-e-o-espinho,em
177,a-flor-e-o-espinho,seu
178,a-flor-e-o-espinho,amor
179,a-flor-e-o-espinho,None
242,folhas-secas,Caídas
243,folhas-secas,de
244,folhas-secas,uma
245,folhas-secas,mangueira
246,folhas-secas,Penso
247,folhas-secas,na
248,folhas-secas,minha
249,folhas-secas,escola
250,folhas-secas,E
251,folhas-secas,nos
252,folhas-secas,poetas
253,folhas-secas,da
254,folhas-secas,minha
255,folhas-secas,estação
256,folhas-secas,primeira
257,folhas-secas,Subi
258,folhas-secas,o
259,folhas-secas,morro
