,Musicas,Acordes
0,anjos,Gb
1,anjos,Fm
2,anjos,Ebm
3,anjos,Bbm
4,anjos,Gb
5,anjos,Fm
6,anjos,Ebm
7,anjos,Bbm
8,anjos,Gb
9,anjos,Fm
10,anjos,Ebm
11,anjos,Bbm
12,anjos,Gb
13,anjos,Fm
14,anjos,Ebm
15,anjos,Bbm
16,anjos,Gb
17,anjos,Fm
18,anjos,Ebm
19,anjos,Bbm
20,anjos,Gb
21,anjos,Fm
22,anjos,Ebm
23,anjos,Bbm
24,anjos,Gb
25,anjos,Fm
26,anjos,Ebm
27,anjos,Bbm
28,anjos,Gb
29,anjos,Fm
30,anjos,Ebm
31,anjos,Bbm
32,anjos,Gb
33,anjos,Fm
34,anjos,Ebm
35,anjos,Bbm
36,anjos,Gb
37,anjos,Fm
38,anjos,Ebm
39,anjos,Bbm
40,anjos,Gb
41,anjos,Fm
42,anjos,Ebm
43,anjos,Bbm
44,anjos,Gb
45,anjos,Fm
46,anjos,Ebm
47,anjos,Bbm
48,anjos,Gb
49,anjos,Fm
50,anjos,Ebm
51,anjos,Bbm
52,anjos,Gb
53,anjos,Fm
54,anjos,Ebm
55,anjos,Bbm
56,anjos,Gb
57,anjos,Fm
58,anjos,Ebm
59,anjos,Bbm
60,anjos,Gb
61,anjos,Fm
62,anjos,Ebm
63,anjos,Bbm
64,anjos,Gb
65,anjos,Fm
66,anjos,Ebm
67,anjos,Bbm
68,anjos,Gb
69,anjos,Fm
70,anjos,Ebm
71,anjos,Bbm
72,anjos,Gb
73,anjos,Fm
74,anjos,Ebm
75,anjos,Bbm
76,anjos,Gb
77,anjos,Fm
78,anjos,Ebm
79,anjos,Bbm
80,anjos,Gb
81,anjos,Fm
82,anjos,Ebm
83,anjos,Bbm
84,anjos,Gb
85,anjos,Fm
86,anjos,Ebm
87,anjos,Bbm
88,anjos,Gb
89,anjos,Fm
90,anjos,Ebm
91,anjos,Bbm
92,anjos,Gb
93,anjos,Fm
94,anjos,Ebm
95,anjos,Bbm
96,anjos,Gb
97,anjos,Fm
98,anjos,Ebm
99,anjos,Bbm
100,anjos,Gb
101,anjos,Fm
102,anjos,Ebm
103,anjos,Bbm
104,anjos,Gb
105,anjos,Fm
106,anjos,Ebm
107,anjos,Bbm
108,anjos,Gb
109,anjos,Fm
110,anjos,Ebm
111,anjos,Bbm
112,anjos,Gb
113,anjos,Fm
114,anjos,Ebm
115,anjos,Bbm
116,anjos,Gb
117,anjos,Fm
118,anjos,Ebm
119,anjos,Bbm
120,anjos,Gb
121,anjos,Fm
122,anjos,Ebm
123,anjos,Bbm
124,anjos,Gb
125,anjos,Fm
126,anjos,Ebm
127,anjos,Bbm
128,anjos,Gb
129,anjos,Fm
130,anjos,Ebm
131,anjos,Bbm
132,anjos,Gb
133,anjos,Fm
134,anjos,Ebm
135,anjos,Bbm
136,anjos,Gb
137,anjos,Fm
138,anjos,Ebm
139,anjos,Bbm
140,anjos,Gb
141,anjos,Fm
142,anjos,Ebm
143,anjos,Bbm
144,anjos,Gb
145,anjos,Fm
146,anjos,Ebm
147,anjos,Bbm
148,anjos,Gb
149,anjos,Fm
150,anjos,Ebm
151,anjos,Bbm
152,anjos,Gb
153,anjos,Fm
154,anjos,Ebm
155,anjos,Bbm
156,anjos,Gb
157,anjos,Fm
158,anjos,Ebm
159,anjos,Bbm
160,anjos,Gb
161,anjos,Fm
162,anjos,Ebm
163,anjos,Bbm
184,pescador-de-ilusoes,Am
185,pescador-de-ilusoes,G
186,pescador-de-ilusoes,Am
187,pescador-de-ilusoes,G
188,pescador-de-ilusoes,Am
189,pescador-de-ilusoes,G
190,pescador-de-ilusoes,Am
191,pescador-de-ilusoes,G
192,pescador-de-ilusoes,Am
193,pescador-de-ilusoes,G
194,pescador-de-ilusoes,Am
195,pescador-de-ilusoes,G
196,pescador-de-ilusoes,Am
197,pescador-de-ilusoes,G
198,pescador-de-ilusoes,Am
199,pescador-de-ilusoes,G
200,pescador-de-ilusoes,C
201,pescador-de-ilusoes,Am
202,pescador-de-ilusoes,G
203,pescador-de-ilusoes,C
204,pescador-de-ilusoes,Am
205,pescador-de-ilusoes,G
206,pescador-de-ilusoes,Am
207,pescador-de-ilusoes,G
208,pescador-de-ilusoes,Am
209,pescador-de-ilusoes,G
210,pescador-de-ilusoes,Am
211,pescador-de-ilusoes,G
212,pescador-de-ilusoes,C
213,pescador-de-ilusoes,Am
214,pescador-de-ilusoes,G
215,pescador-de-ilusoes,C
216,pescador-de-ilusoes,Am
217,pescador-de-ilusoes,G
218,pescador-de-ilusoes,Am
219,pescador-de-ilusoes,G
220,pescador-de-ilusoes,Am
221,pescador-de-ilusoes,G
222,pescador-de-ilusoes,Am
223,pescador-de-ilusoes,G
224,pescador-de-ilusoes,C
225,pescador-de-ilusoes,Am
226,pescador-de-ilusoes,G
227,pescador-de-ilusoes,C
228,pescador-de-ilusoes,Am
229,pescador-de-ilusoes,G
230,pescador-de-ilusoes,C
231,pescador-de-ilusoes,Am
232,pescador-de-ilusoes,G
233,pescador-de-ilusoes,C
234,pescador-de-ilusoes,Am
235,pescador-de-ilusoes,G
236,pescador-de-ilusoes,C
237,pescador-de-ilusoes,Am
238,pescador-de-ilusoes,G
239,pescador-de-ilusoes,C
240,pescador-de-ilusoes,Am
241,pescador-de-ilusoes,G
368,vapor-barato,Am
369,vapor-barato,G/A
370,vapor-barato,F
371,vapor-barato,Dm
372,vapor-barato,E7
373,vapor-barato,Am
374,vapor-barato,G/A
375,vapor-barato,F
376,vapor-barato,Dm
377,vapor-barato,E7
378,vapor-barato,Am
379,vapor-barato,G/A
380,vapor-barato,F
381,vapor-barato,Dm
382,vapor-barato,E7
383,vapor-barato,Am
384,vapor-barato,G/A
385,vapor-barato,F
386,vapor-barato,Dm
387,vapor-barato,E7
388,vapor-barato,Am
389,vapor-barato,G/A
390,vapor-barato,F
391,vapor-barato,Dm
392,vapor-barato,E7
393,vapor-barato,Am
394,vapor-barato,G/A
395,vapor-barato,F
396,vapor-barato,Dm
397,vapor-barato,E7
398,vapor-barato,Am
399,vapor-barato,G/A
400,vapor-barato,F
401,vapor-barato,Dm
402,vapor-barato,E7
403,vapor-barato,Am
404,vapor-barato,G/A
405,vapor-barato,F
406,vapor-barato,Dm
407,vapor-barato,E7
408,vapor-barato,Am
409,vapor-barato,G/A
410,vapor-barato,F
411,vapor-barato,Dm
412,vapor-barato,E7
413,vapor-barato,Am
414,vapor-barato,G/A
415,vapor-barato,F
416,vapor-barato,Dm
417,vapor-barato,E7
418,vapor-barato,Am
419,vapor-barato,G/A
420,vapor-barato,F
421,vapor-barato,Dm
422,vapor-barato,E7
423,vapor-barato,Am
424,vapor-barato,G/A
425,vapor-barato,F
426,vapor-barato,Dm
427,vapor-barato,E7
552,suplica-cearense,F#m
553,suplica-cearense,C#m7
554,suplica-cearense,Bm7
555,suplica-cearense,F#m7
556,suplica-cearense,C#m7
557,suplica-cearense,F#m
558,suplica-cearense,C#m7
559,suplica-cearense,Bm7
560,suplica-cearense,F#m7
561,suplica-cearense,C#m7
562,suplica-cearense,F#m
563,suplica-cearense,C#m7
564,suplica-cearense,Bm7
565,suplica-cearense,F#m7
566,suplica-cearense,C#m7
567,suplica-cearense,F#m
568,suplica-cearense,C#m7
569,suplica-cearense,Bm7
570,suplica-cearense,F#m7
571,suplica-cearense,C#m7
572,suplica-cearense,F#m
573,suplica-cearense,C#m7
574,suplica-cearense,Bm7
575,suplica-cearense,F#m7
576,suplica-cearense,C#m7
577,suplica-cearense,F#m
578,suplica-cearense,C#m7
579,suplica-cearense,Bm7
580,suplica-cearense,F#m7
581,suplica-cearense,C#m7
582,suplica-cearense,Bm7
583,suplica-cearense,F#m7
584,suplica-cearense,D
585,suplica-cearense,C#m7
586,suplica-cearense,Bm7
587,suplica-cearense,F#m
588,suplica-cearense,D
589,suplica-cearense,C#m
590,suplica-cearense,F#m
591,suplica-cearense,C#m7
592,suplica-cearense,Bm7
593,suplica-cearense,F#m7
594,suplica-cearense,C#m7
595,suplica-cearense,F#m
596,suplica-cearense,C#m7
597,suplica-cearense,Bm7
598,suplica-cearense,F#m7
599,suplica-cearense,C#m7
