,Musicas,Acordes
0,vem-meu-amor,C
1,vem-meu-amor,F
2,vem-meu-amor,Dm
3,vem-meu-amor,G
4,vem-meu-amor,Am
5,vem-meu-amor,F
6,vem-meu-amor,G
7,vem-meu-amor,C
8,vem-meu-amor,F
9,vem-meu-amor,Dm
10,vem-meu-amor,G
11,vem-meu-amor,Am
12,vem-meu-amor,F
13,vem-meu-amor,G
14,vem-meu-amor,C
15,vem-meu-amor,C
16,vem-meu-amor,F
17,vem-meu-amor,Dm
18,vem-meu-amor,G
19,vem-meu-amor,Am
20,vem-meu-amor,F
21,vem-meu-amor,G
22,vem-meu-amor,C
23,vem-meu-amor,C
24,vem-meu-amor,F
25,vem-meu-amor,Dm
26,vem-meu-amor,G
27,vem-meu-amor,Am
28,vem-meu-amor,F
29,vem-meu-amor,G
30,vem-meu-amor,C
31,vem-meu-amor,C
32,vem-meu-amor,F
33,vem-meu-amor,Dm
34,vem-meu-amor,G
35,vem-meu-amor,Am
36,vem-meu-amor,F
37,vem-meu-amor,G
38,vem-meu-amor,G7
39,vem-meu-amor,C
40,vem-meu-amor,C
41,vem-meu-amor,F
42,vem-meu-amor,Dm
43,vem-meu-amor,G
44,vem-meu-amor,Am
45,vem-meu-amor,F
46,vem-meu-amor,G
47,vem-meu-amor,C
74,varias-queixas,Am
75,varias-queixas,Em
76,varias-queixas,Am
77,varias-queixas,Em
78,varias-queixas,Am
79,varias-queixas,Em
80,varias-queixas,Am
81,varias-queixas,Em
82,varias-queixas,G
83,varias-queixas,Am
84,varias-queixas,C
85,varias-queixas,G
86,varias-queixas,Am
87,varias-queixas,C
88,varias-queixas,G
89,varias-queixas,G
90,varias-queixas,Am
91,varias-queixas,C
92,varias-queixas,G
93,varias-queixas,G
94,varias-queixas,Am
95,varias-queixas,C
96,varias-queixas,G
97,varias-queixas,G
98,varias-queixas,Am
99,varias-queixas,C
100,varias-queixas,G
101,varias-queixas,Am
102,varias-queixas,C
103,varias-queixas,G
148,deusa-do-amor,Am
149,deusa-do-amor,Bm
150,deusa-do-amor,C
151,deusa-do-amor,Em
152,deusa-do-amor,Am
153,deusa-do-amor,Bm
154,deusa-do-amor,C
155,deusa-do-amor,D
156,deusa-do-amor,Em
157,deusa-do-amor,D
158,deusa-do-amor,Em
159,deusa-do-amor,D
160,deusa-do-amor,Em
161,deusa-do-amor,Am
162,deusa-do-amor,Em
163,deusa-do-amor,D
164,deusa-do-amor,Em
165,deusa-do-amor,Am
166,deusa-do-amor,Em
167,deusa-do-amor,Bm
168,deusa-do-amor,Em
169,deusa-do-amor,D
170,deusa-do-amor,G
171,deusa-do-amor,Am
172,deusa-do-amor,Bm
173,deusa-do-amor,Em
174,deusa-do-amor,C
175,deusa-do-amor,Bm
176,deusa-do-amor,Am
177,deusa-do-amor,Em
178,deusa-do-amor,C
179,deusa-do-amor,Bm
180,deusa-do-amor,Am
181,deusa-do-amor,Em
182,deusa-do-amor,Em
183,deusa-do-amor,D
184,deusa-do-amor,Em
185,deusa-do-amor,D
186,deusa-do-amor,Em
187,deusa-do-amor,Am
188,deusa-do-amor,Em
189,deusa-do-amor,D
190,deusa-do-amor,Em
191,deusa-do-amor,Am
192,deusa-do-amor,Em
193,deusa-do-amor,D
194,deusa-do-amor,Em
195,deusa-do-amor,Am
196,deusa-do-amor,Em
197,deusa-do-amor,Bm
198,deusa-do-amor,Em
199,deusa-do-amor,D
200,deusa-do-amor,G
201,deusa-do-amor,Am
202,deusa-do-amor,Bm
203,deusa-do-amor,Em
204,deusa-do-amor,C
205,deusa-do-amor,Bm
206,deusa-do-amor,Am
207,deusa-do-amor,Em
208,deusa-do-amor,C
209,deusa-do-amor,Bm
210,deusa-do-amor,Am
211,deusa-do-amor,Em
222,farao-divindade-do-egito,Dm
223,farao-divindade-do-egito,C
224,farao-divindade-do-egito,Dm
225,farao-divindade-do-egito,C
226,farao-divindade-do-egito,Dm
227,farao-divindade-do-egito,C
228,farao-divindade-do-egito,Dm
229,farao-divindade-do-egito,C
230,farao-divindade-do-egito,Dm
231,farao-divindade-do-egito,C
232,farao-divindade-do-egito,Dm
233,farao-divindade-do-egito,C
234,farao-divindade-do-egito,Dm
235,farao-divindade-do-egito,C
236,farao-divindade-do-egito,Dm
237,farao-divindade-do-egito,C
238,farao-divindade-do-egito,Dm
239,farao-divindade-do-egito,C
240,farao-divindade-do-egito,Dm
241,farao-divindade-do-egito,C
242,farao-divindade-do-egito,Dm
243,farao-divindade-do-egito,C
244,farao-divindade-do-egito,Dm
245,farao-divindade-do-egito,C
246,farao-divindade-do-egito,Dm
247,farao-divindade-do-egito,C
248,farao-divindade-do-egito,Dm
249,farao-divindade-do-egito,C
250,farao-divindade-do-egito,Dm
251,farao-divindade-do-egito,C
252,farao-divindade-do-egito,Dm
253,farao-divindade-do-egito,C
254,farao-divindade-do-egito,Dm
255,farao-divindade-do-egito,C
256,farao-divindade-do-egito,Dm
257,farao-divindade-do-egito,C
258,farao-divindade-do-egito,Dm
259,farao-divindade-do-egito,C
260,farao-divindade-do-egito,Dm
261,farao-divindade-do-egito,C
262,farao-divindade-do-egito,Dm
263,farao-divindade-do-egito,C
264,farao-divindade-do-egito,Dm
265,farao-divindade-do-egito,C
266,farao-divindade-do-egito,Dm
267,farao-divindade-do-egito,C
268,farao-divindade-do-egito,Dm
269,farao-divindade-do-egito,C
270,farao-divindade-do-egito,Dm
271,farao-divindade-do-egito,C
272,farao-divindade-do-egito,Dm
273,farao-divindade-do-egito,C
274,farao-divindade-do-egito,Dm
275,farao-divindade-do-egito,C
276,farao-divindade-do-egito,Dm
277,farao-divindade-do-egito,C
278,farao-divindade-do-egito,Dm
279,farao-divindade-do-egito,C
280,farao-divindade-do-egito,Dm
281,farao-divindade-do-egito,C
282,farao-divindade-do-egito,Dm
296,protesto-olodum,Gm
297,protesto-olodum,F
298,protesto-olodum,Eb
299,protesto-olodum,D7
300,protesto-olodum,Gm
301,protesto-olodum,F
302,protesto-olodum,Eb
303,protesto-olodum,D7
304,protesto-olodum,Gm
305,protesto-olodum,F
306,protesto-olodum,Eb
307,protesto-olodum,D7
308,protesto-olodum,Gm
309,protesto-olodum,F
310,protesto-olodum,Eb
311,protesto-olodum,D7
312,protesto-olodum,Gm
313,protesto-olodum,F
314,protesto-olodum,Gm
315,protesto-olodum,F
316,protesto-olodum,Gm
317,protesto-olodum,F
318,protesto-olodum,Eb
319,protesto-olodum,D7
320,protesto-olodum,Gm
321,protesto-olodum,F
322,protesto-olodum,Eb
323,protesto-olodum,D7
324,protesto-olodum,Gm
325,protesto-olodum,F
326,protesto-olodum,Eb
327,protesto-olodum,D7
328,protesto-olodum,Gm
329,protesto-olodum,F
330,protesto-olodum,Gm
331,protesto-olodum,F
332,protesto-olodum,Gm
333,protesto-olodum,F
334,protesto-olodum,Eb
335,protesto-olodum,D7
336,protesto-olodum,Gm
337,protesto-olodum,F
338,protesto-olodum,Eb
339,protesto-olodum,D7
340,protesto-olodum,Gm
341,protesto-olodum,F
342,protesto-olodum,Gm
343,protesto-olodum,F
344,protesto-olodum,Gm
345,protesto-olodum,F
346,protesto-olodum,Eb
347,protesto-olodum,D7
348,protesto-olodum,Gm
349,protesto-olodum,F
350,protesto-olodum,Eb
351,protesto-olodum,D7
370,i-miss-her,G
371,i-miss-her,D
372,i-miss-her,G
373,i-miss-her,D
374,i-miss-her,G
375,i-miss-her,D
376,i-miss-her,G
377,i-miss-her,D
378,i-miss-her,G
379,i-miss-her,D
380,i-miss-her,Em
381,i-miss-her,D
382,i-miss-her,G
383,i-miss-her,D
384,i-miss-her,G
385,i-miss-her,D
386,i-miss-her,G
