,Musicas,Acordes
0,meu-erro,F5(9)
1,meu-erro,Fm
2,meu-erro,F5(9)
3,meu-erro,Fm
4,meu-erro,C/G
5,meu-erro,C7/G
6,meu-erro,F7M/A
7,meu-erro,Fm/Ab
8,meu-erro,C/G
9,meu-erro,C7/G
10,meu-erro,F7M/A
11,meu-erro,Fm/Ab
12,meu-erro,C
13,meu-erro,C/Bb
14,meu-erro,F7M/A
15,meu-erro,Fm/Ab
16,meu-erro,C/G
17,meu-erro,C/Bb
18,meu-erro,F7M/A
19,meu-erro,Fm/Ab
20,meu-erro,C/G
21,meu-erro,C7/G
22,meu-erro,F7M/A
23,meu-erro,Fm/Ab
24,meu-erro,C
25,meu-erro,C/Bb
26,meu-erro,F7M/A
27,meu-erro,Fm/Ab
28,meu-erro,C/G
29,meu-erro,C7/G
30,meu-erro,F7M/A
31,meu-erro,Fm/Ab
32,meu-erro,C
33,meu-erro,Em7
34,meu-erro,F9
35,meu-erro,Fm9
36,meu-erro,C
37,meu-erro,Em7
38,meu-erro,F9
39,meu-erro,Fm9
40,meu-erro,C
41,meu-erro,Em7
42,meu-erro,F9
43,meu-erro,Fm9
44,meu-erro,C
45,meu-erro,Em7
46,meu-erro,F9
47,meu-erro,Fm9
48,meu-erro,Em7
49,meu-erro,Am7
50,meu-erro,Am7/G
51,meu-erro,F#m7(5-)
52,meu-erro,Fm7M
53,meu-erro,C/G
54,meu-erro,C7/G
55,meu-erro,F7M/A
56,meu-erro,Fm/Ab
57,meu-erro,C/G
58,meu-erro,C7/G
59,meu-erro,F7M/A
60,meu-erro,Fm
61,meu-erro,C
62,meu-erro,Em7
63,meu-erro,Am7
64,meu-erro,Am7/G
65,meu-erro,F#m7(5-)
66,meu-erro,Fm7M
67,meu-erro,C/G
68,meu-erro,C7/G
69,meu-erro,F7M/A
70,meu-erro,Fm/Ab
71,meu-erro,C/G
72,meu-erro,C7/G
73,meu-erro,F7M/A
74,meu-erro,Fm/Ab
75,meu-erro,C/Bb
76,meu-erro,F7M/A
77,meu-erro,Fm/Ab
78,meu-erro,C/G
79,meu-erro,C7/G
80,meu-erro,F7M/A
81,meu-erro,Fm/Ab
82,meu-erro,C
83,meu-erro,C/Bb
84,meu-erro,F7M/A
85,meu-erro,Fm/Ab
86,meu-erro,C/G
87,meu-erro,C7/G
88,meu-erro,F7M/A
89,meu-erro,Fm/Ab
90,meu-erro,C
91,meu-erro,Em7
92,meu-erro,F9
93,meu-erro,Fm9
94,meu-erro,C
95,meu-erro,Em7
96,meu-erro,F9
97,meu-erro,Fm9
98,meu-erro,Em7
99,meu-erro,Am7(9)
100,meu-erro,Am7(9)/G
101,meu-erro,F#m7(5-)
102,meu-erro,Fm7M
103,meu-erro,C/G
104,meu-erro,C7/G
105,meu-erro,F7M/A
106,meu-erro,Fm/Ab
107,meu-erro,C/G
108,meu-erro,C7/G
109,meu-erro,F7M/A
110,meu-erro,Fm
111,meu-erro,C
112,meu-erro,Em7
113,meu-erro,Am7(9)
114,meu-erro,Am7(9)/G
115,meu-erro,F#m7(5-)
116,meu-erro,Fm(7M)
117,meu-erro,C/G
118,meu-erro,C7/G
119,meu-erro,F7M/A
120,meu-erro,Fm/Ab
121,meu-erro,C/G
122,meu-erro,C7/G
123,meu-erro,F7M/A
124,meu-erro,Fm
125,meu-erro,C/Bb
126,meu-erro,F7M/A
127,meu-erro,Fm/Ab
128,meu-erro,C/G
129,meu-erro,C/Bb
130,meu-erro,F7M/A
131,meu-erro,Fm/Ab
132,meu-erro,C/G
133,meu-erro,C7/G
134,meu-erro,F7M/A
135,meu-erro,Fm/Ab
136,meu-erro,C/G
137,meu-erro,C7/G
138,meu-erro,F7M/A
139,meu-erro,Fm/Ab
140,meu-erro,C9(11+)
141,meu-erro,C/G
142,meu-erro,C7/G
143,meu-erro,F7M/A
144,meu-erro,Fm/Ab
145,meu-erro,C/G
146,meu-erro,C7/G
147,meu-erro,F7M/A
148,meu-erro,Fm/Ab
149,meu-erro,C/G
150,meu-erro,C7/G
151,meu-erro,F7M/A
152,meu-erro,Fm/Ab
153,meu-erro,C/G
154,meu-erro,C7/G
155,meu-erro,F7M/A
156,meu-erro,Fm
157,meu-erro,C9(11+)
175,aonde-quer-que-eu-va,Em7
176,aonde-quer-que-eu-va,G
177,aonde-quer-que-eu-va,Em7
178,aonde-quer-que-eu-va,G
179,aonde-quer-que-eu-va,Em7
180,aonde-quer-que-eu-va,G
181,aonde-quer-que-eu-va,Em7
182,aonde-quer-que-eu-va,G
183,aonde-quer-que-eu-va,C9
184,aonde-quer-que-eu-va,Am7
185,aonde-quer-que-eu-va,G
186,aonde-quer-que-eu-va,D11/F#
187,aonde-quer-que-eu-va,Em7
188,aonde-quer-que-eu-va,C9
189,aonde-quer-que-eu-va,Am7
190,aonde-quer-que-eu-va,G
191,aonde-quer-que-eu-va,D11/F#
192,aonde-quer-que-eu-va,Em7
193,aonde-quer-que-eu-va,Em7
194,aonde-quer-que-eu-va,G
195,aonde-quer-que-eu-va,Em7
196,aonde-quer-que-eu-va,G
197,aonde-quer-que-eu-va,Em7
198,aonde-quer-que-eu-va,G
199,aonde-quer-que-eu-va,Em7
200,aonde-quer-que-eu-va,G
201,aonde-quer-que-eu-va,C9
202,aonde-quer-que-eu-va,Am7
203,aonde-quer-que-eu-va,G
