,Musicas,Palavras
0,meu-erro,Você
1,meu-erro,não
2,meu-erro,quis
3,meu-erro,escutar
4,meu-erro,Agora
5,meu-erro,não
6,meu-erro,peça
7,meu-erro,Não
8,meu-erro,me
9,meu-erro,faça
10,meu-erro,promessas
11,meu-erro,Eu
12,meu-erro,não
13,meu-erro,quero
14,meu-erro,te
15,meu-erro,ver
16,meu-erro,Nem
17,meu-erro,quero
18,meu-erro,acreditar
19,meu-erro,Que
20,meu-erro,vai
21,meu-erro,ser
22,meu-erro,diferente
23,meu-erro,Que
24,meu-erro,tudo
25,meu-erro,mudou
26,meu-erro,O
27,meu-erro,que
28,meu-erro,houve
29,meu-erro,de
30,meu-erro,errado
31,meu-erro,E
32,meu-erro,o
33,meu-erro,meu
34,meu-erro,erro
35,meu-erro,foi
36,meu-erro,crer
37,meu-erro,Que
38,meu-erro,estar
39,meu-erro,ao
40,meu-erro,seu
41,meu-erro,lado
42,meu-erro,bastaria
43,meu-erro,"Ah,"
44,meu-erro,meu
45,meu-erro,Deus
46,meu-erro,Era
47,meu-erro,tudo
48,meu-erro,o
49,meu-erro,que
50,meu-erro,eu
51,meu-erro,queria
52,meu-erro,Eu
53,meu-erro,dizia
54,meu-erro,o
55,meu-erro,seu
56,meu-erro,nome
57,meu-erro,Não
58,meu-erro,me
59,meu-erro,abandone
60,meu-erro,Eu
61,meu-erro,não
62,meu-erro,vou
63,meu-erro,me
64,meu-erro,enganar
65,meu-erro,Eu
66,meu-erro,conheço
67,meu-erro,os
68,meu-erro,seus
69,meu-erro,passos
70,meu-erro,Eu
71,meu-erro,vejo
72,meu-erro,os
73,meu-erro,seus
74,meu-erro,erros
75,meu-erro,Não
76,meu-erro,há
77,meu-erro,nada
78,meu-erro,de
79,meu-erro,novo
80,meu-erro,Ainda
81,meu-erro,somos
82,meu-erro,iguais
83,meu-erro,"Então,"
84,meu-erro,não
85,meu-erro,me
86,meu-erro,chame
87,meu-erro,Não
88,meu-erro,olhe
89,meu-erro,pra
90,meu-erro,trás
91,meu-erro,O
92,meu-erro,que
93,meu-erro,houve
94,meu-erro,de
95,meu-erro,errado
96,meu-erro,E
97,meu-erro,o
98,meu-erro,meu
99,meu-erro,erro
100,meu-erro,foi
101,meu-erro,crer
102,meu-erro,Que
103,meu-erro,estar
104,meu-erro,ao
105,meu-erro,seu
106,meu-erro,lado
107,meu-erro,bastaria
108,meu-erro,"Ah,"
109,meu-erro,meu
110,meu-erro,Deus
111,meu-erro,Era
112,meu-erro,tudo
113,meu-erro,o
114,meu-erro,que
115,meu-erro,eu
116,meu-erro,queria
117,meu-erro,Eu
118,meu-erro,dizia
119,meu-erro,o
120,meu-erro,seu
121,meu-erro,nome
122,meu-erro,Não
123,meu-erro,me
124,meu-erro,abandone
125,meu-erro,jamais
126,meu-erro,Eu
127,meu-erro,não
128,meu-erro,vou
129,meu-erro,me
130,meu-erro,enganar
131,meu-erro,Eu
132,meu-erro,conheço
133,meu-erro,os
134,meu-erro,seus
135,meu-erro,passos
136,meu-erro,Eu
137,meu-erro,vejo
138,meu-erro,os
139,meu-erro,seus
140,meu-erro,erros
141,meu-erro,Não
142,meu-erro,há
143,meu-erro,nada
144,meu-erro,de
145,meu-erro,novo
146,meu-erro,Ainda
147,meu-erro,somos
148,meu-erro,iguais
149,meu-erro,"Então,"
150,meu-erro,não
151,meu-erro,me
152,meu-erro,chame
153,meu-erro,Não
154,meu-erro,olhe
155,meu-erro,pra
156,meu-erro,trás
157,meu-erro,O
158,meu-erro,que
159,meu-erro,houve
160,meu-erro,de
161,meu-erro,errado
162,meu-erro,E
163,meu-erro,o
164,meu-erro,meu
165,meu-erro,erro
166,meu-erro,foi
167,meu-erro,crer
168,meu-erro,Que
169,meu-erro,estar
170,meu-erro,ao
171,meu-erro,seu
172,meu-erro,lado
173,meu-erro,bastaria
174,meu-erro,"Ah,"
175,meu-erro,meu
176,meu-erro,Deus
177,meu-erro,Era
178,meu-erro,tudo
179,meu-erro,o
