,Musicas,Acordes
0,foi-um-rio-que-passou-em-minha-vida,A
1,foi-um-rio-que-passou-em-minha-vida,A
2,foi-um-rio-que-passou-em-minha-vida,F#7
3,foi-um-rio-que-passou-em-minha-vida,Bm
4,foi-um-rio-que-passou-em-minha-vida,E7
5,foi-um-rio-que-passou-em-minha-vida,A
6,foi-um-rio-que-passou-em-minha-vida,E7
7,foi-um-rio-que-passou-em-minha-vida,A
8,foi-um-rio-que-passou-em-minha-vida,E7
9,foi-um-rio-que-passou-em-minha-vida,A
10,foi-um-rio-que-passou-em-minha-vida,F#7
11,foi-um-rio-que-passou-em-minha-vida,Bm
12,foi-um-rio-que-passou-em-minha-vida,Dm
13,foi-um-rio-que-passou-em-minha-vida,D#º
14,foi-um-rio-que-passou-em-minha-vida,A
15,foi-um-rio-que-passou-em-minha-vida,F#7
16,foi-um-rio-que-passou-em-minha-vida,Bm
17,foi-um-rio-que-passou-em-minha-vida,E7
18,foi-um-rio-que-passou-em-minha-vida,A
19,foi-um-rio-que-passou-em-minha-vida,A7
20,foi-um-rio-que-passou-em-minha-vida,D
21,foi-um-rio-que-passou-em-minha-vida,D#º
22,foi-um-rio-que-passou-em-minha-vida,A
23,foi-um-rio-que-passou-em-minha-vida,F#7
24,foi-um-rio-que-passou-em-minha-vida,Bm
25,foi-um-rio-que-passou-em-minha-vida,E7
26,foi-um-rio-que-passou-em-minha-vida,A
27,foi-um-rio-que-passou-em-minha-vida,E7
28,foi-um-rio-que-passou-em-minha-vida,A
29,foi-um-rio-que-passou-em-minha-vida,E7
30,foi-um-rio-que-passou-em-minha-vida,A
31,foi-um-rio-que-passou-em-minha-vida,E7
32,foi-um-rio-que-passou-em-minha-vida,A
33,foi-um-rio-que-passou-em-minha-vida,C#7
34,foi-um-rio-que-passou-em-minha-vida,F#m7
35,foi-um-rio-que-passou-em-minha-vida,Bm
36,foi-um-rio-que-passou-em-minha-vida,E7
37,foi-um-rio-que-passou-em-minha-vida,A
38,foi-um-rio-que-passou-em-minha-vida,E7
39,foi-um-rio-que-passou-em-minha-vida,A
40,foi-um-rio-que-passou-em-minha-vida,A
41,foi-um-rio-que-passou-em-minha-vida,F#7
42,foi-um-rio-que-passou-em-minha-vida,Bm
43,foi-um-rio-que-passou-em-minha-vida,E7
44,foi-um-rio-que-passou-em-minha-vida,Bm
45,foi-um-rio-que-passou-em-minha-vida,E7
46,foi-um-rio-que-passou-em-minha-vida,A
47,foi-um-rio-que-passou-em-minha-vida,E7
48,foi-um-rio-que-passou-em-minha-vida,A
49,foi-um-rio-que-passou-em-minha-vida,F#7
50,foi-um-rio-que-passou-em-minha-vida,Bm
51,foi-um-rio-que-passou-em-minha-vida,E7
52,foi-um-rio-que-passou-em-minha-vida,A
53,foi-um-rio-que-passou-em-minha-vida,E7
54,foi-um-rio-que-passou-em-minha-vida,A
55,foi-um-rio-que-passou-em-minha-vida,F#7
56,foi-um-rio-que-passou-em-minha-vida,Bm
57,foi-um-rio-que-passou-em-minha-vida,E7
58,foi-um-rio-que-passou-em-minha-vida,A
59,foi-um-rio-que-passou-em-minha-vida,E7
60,foi-um-rio-que-passou-em-minha-vida,A
61,foi-um-rio-que-passou-em-minha-vida,F#7
62,foi-um-rio-que-passou-em-minha-vida,Bm
63,foi-um-rio-que-passou-em-minha-vida,D#º
64,foi-um-rio-que-passou-em-minha-vida,A
65,foi-um-rio-que-passou-em-minha-vida,F#7
66,foi-um-rio-que-passou-em-minha-vida,Bm
67,foi-um-rio-que-passou-em-minha-vida,E7
68,foi-um-rio-que-passou-em-minha-vida,A
69,foi-um-rio-que-passou-em-minha-vida,A7
70,foi-um-rio-que-passou-em-minha-vida,Bm
71,foi-um-rio-que-passou-em-minha-vida,D#º
72,foi-um-rio-que-passou-em-minha-vida,A
73,foi-um-rio-que-passou-em-minha-vida,F#7
74,foi-um-rio-que-passou-em-minha-vida,Bm
75,foi-um-rio-que-passou-em-minha-vida,E7
76,foi-um-rio-que-passou-em-minha-vida,A
77,foi-um-rio-que-passou-em-minha-vida,A7
78,foi-um-rio-que-passou-em-minha-vida,D
79,foi-um-rio-que-passou-em-minha-vida,D#º
80,foi-um-rio-que-passou-em-minha-vida,A
81,foi-um-rio-que-passou-em-minha-vida,F#7
82,foi-um-rio-que-passou-em-minha-vida,Bm
83,foi-um-rio-que-passou-em-minha-vida,E7
84,foi-um-rio-que-passou-em-minha-vida,A
85,foi-um-rio-que-passou-em-minha-vida,D
86,foi-um-rio-que-passou-em-minha-vida,D#º
87,foi-um-rio-que-passou-em-minha-vida,A
88,foi-um-rio-que-passou-em-minha-vida,F#7
89,foi-um-rio-que-passou-em-minha-vida,Bm
90,foi-um-rio-que-passou-em-minha-vida,E7
91,foi-um-rio-que-passou-em-minha-vida,A
135,coracao-leviano,E
136,coracao-leviano,Eº
137,coracao-leviano,E
138,coracao-leviano,Abm7
139,coracao-leviano,Db7(b9)
140,coracao-leviano,F#m7
141,coracao-leviano,Db7(b9)
142,coracao-leviano,Db7
143,coracao-leviano,F#m7
144,coracao-leviano,D7M/F#
145,coracao-leviano,B7
146,coracao-leviano,F#7
147,coracao-leviano,F#m7
148,coracao-leviano,B7
149,coracao-leviano,A7M
150,coracao-leviano,Bbº
151,coracao-leviano,E/B
152,coracao-leviano,Db7
153,coracao-leviano,F#7
154,coracao-leviano,B7
155,coracao-leviano,Abm7
156,coracao-leviano,Gm7
157,coracao-leviano,F#m7
158,coracao-leviano,Gº
159,coracao-leviano,E/Ab
160,coracao-leviano,Db7
161,coracao-leviano,F#7
162,coracao-leviano,B7
163,coracao-leviano,E
164,coracao-leviano,F#m7
165,coracao-leviano,B7
166,coracao-leviano,E
167,coracao-leviano,Fº
168,coracao-leviano,F#m7
169,coracao-leviano,Gm7
170,coracao-leviano,Abm7
171,coracao-leviano,A7
172,coracao-leviano,Ab7
173,coracao-leviano,Dbm7
174,coracao-leviano,B7
175,coracao-leviano,E
176,coracao-leviano,Db7
177,coracao-leviano,F#7
178,coracao-leviano,F#m7
179,coracao-leviano,B7
180,coracao-leviano,A7M
181,coracao-leviano,Bbº
182,coracao-leviano,E/B
183,coracao-leviano,A7
184,coracao-leviano,D7(9)
