,Musicas,Palavras
0,foi-um-rio-que-passou-em-minha-vida,Meu
1,foi-um-rio-que-passou-em-minha-vida,coração
2,foi-um-rio-que-passou-em-minha-vida,for
3,foi-um-rio-que-passou-em-minha-vida,consultado
4,foi-um-rio-que-passou-em-minha-vida,Para
5,foi-um-rio-que-passou-em-minha-vida,saber
6,foi-um-rio-que-passou-em-minha-vida,se
7,foi-um-rio-que-passou-em-minha-vida,andou
8,foi-um-rio-que-passou-em-minha-vida,errado
9,foi-um-rio-que-passou-em-minha-vida,Será
10,foi-um-rio-que-passou-em-minha-vida,difícil
11,foi-um-rio-que-passou-em-minha-vida,negar
12,foi-um-rio-que-passou-em-minha-vida,Tem
13,foi-um-rio-que-passou-em-minha-vida,mania
14,foi-um-rio-que-passou-em-minha-vida,de
15,foi-um-rio-que-passou-em-minha-vida,amor
16,foi-um-rio-que-passou-em-minha-vida,Amor
17,foi-um-rio-que-passou-em-minha-vida,não
18,foi-um-rio-que-passou-em-minha-vida,é
19,foi-um-rio-que-passou-em-minha-vida,fácil
20,foi-um-rio-que-passou-em-minha-vida,de
21,foi-um-rio-que-passou-em-minha-vida,achar
22,foi-um-rio-que-passou-em-minha-vida,A
23,foi-um-rio-que-passou-em-minha-vida,marca
24,foi-um-rio-que-passou-em-minha-vida,dos
25,foi-um-rio-que-passou-em-minha-vida,meus
26,foi-um-rio-que-passou-em-minha-vida,desenganos
27,foi-um-rio-que-passou-em-minha-vida,"ficou,"
28,foi-um-rio-que-passou-em-minha-vida,ficou
29,foi-um-rio-que-passou-em-minha-vida,Só
30,foi-um-rio-que-passou-em-minha-vida,um
31,foi-um-rio-que-passou-em-minha-vida,amor
32,foi-um-rio-que-passou-em-minha-vida,pode
33,foi-um-rio-que-passou-em-minha-vida,apagar
34,foi-um-rio-que-passou-em-minha-vida,A
35,foi-um-rio-que-passou-em-minha-vida,marca
36,foi-um-rio-que-passou-em-minha-vida,dos
37,foi-um-rio-que-passou-em-minha-vida,meus
38,foi-um-rio-que-passou-em-minha-vida,desenganos
39,foi-um-rio-que-passou-em-minha-vida,"ficou,"
40,foi-um-rio-que-passou-em-minha-vida,ficou
41,foi-um-rio-que-passou-em-minha-vida,Só
42,foi-um-rio-que-passou-em-minha-vida,um
43,foi-um-rio-que-passou-em-minha-vida,amor
44,foi-um-rio-que-passou-em-minha-vida,pode
45,foi-um-rio-que-passou-em-minha-vida,apagar
46,foi-um-rio-que-passou-em-minha-vida,Há
47,foi-um-rio-que-passou-em-minha-vida,um
48,foi-um-rio-que-passou-em-minha-vida,caso
49,foi-um-rio-que-passou-em-minha-vida,diferente
50,foi-um-rio-que-passou-em-minha-vida,Que
51,foi-um-rio-que-passou-em-minha-vida,marcou
52,foi-um-rio-que-passou-em-minha-vida,num
53,foi-um-rio-que-passou-em-minha-vida,breve
54,foi-um-rio-que-passou-em-minha-vida,tempo
55,foi-um-rio-que-passou-em-minha-vida,Meu
56,foi-um-rio-que-passou-em-minha-vida,coração
57,foi-um-rio-que-passou-em-minha-vida,para
58,foi-um-rio-que-passou-em-minha-vida,sempre
59,foi-um-rio-que-passou-em-minha-vida,Era
60,foi-um-rio-que-passou-em-minha-vida,dia
61,foi-um-rio-que-passou-em-minha-vida,de
62,foi-um-rio-que-passou-em-minha-vida,Carnaval
63,foi-um-rio-que-passou-em-minha-vida,Não
