,Musicas,Acordes
0,ela-so-quer-paz,Bb
1,ela-so-quer-paz,Dm
2,ela-so-quer-paz,Cm7
3,ela-so-quer-paz,Ebm7
4,ela-so-quer-paz,Bb
5,ela-so-quer-paz,Dm
6,ela-so-quer-paz,Cm7
7,ela-so-quer-paz,Ebm7
8,ela-so-quer-paz,Bb
9,ela-so-quer-paz,Dm
10,ela-so-quer-paz,Cm7
11,ela-so-quer-paz,Ebm7
12,ela-so-quer-paz,Bb
13,ela-so-quer-paz,Dm
14,ela-so-quer-paz,Cm7
15,ela-so-quer-paz,Ebm7
16,ela-so-quer-paz,Bb
17,ela-so-quer-paz,Dm
18,ela-so-quer-paz,Cm7
19,ela-so-quer-paz,Ebm7
20,ela-so-quer-paz,Bb
21,ela-so-quer-paz,Dm
22,ela-so-quer-paz,Cm7
23,ela-so-quer-paz,Ebm7
24,ela-so-quer-paz,Bb
25,ela-so-quer-paz,Dm
26,ela-so-quer-paz,Eb
27,ela-so-quer-paz,Ebm7
28,ela-so-quer-paz,Bb
29,ela-so-quer-paz,Dm
30,ela-so-quer-paz,Eb
31,ela-so-quer-paz,Ebm7
32,ela-so-quer-paz,Bb
33,ela-so-quer-paz,Dm
34,ela-so-quer-paz,Cm7
35,ela-so-quer-paz,Ebm7
36,ela-so-quer-paz,Bb
37,ela-so-quer-paz,Dm
38,ela-so-quer-paz,Cm7
39,ela-so-quer-paz,Ebm7
40,ela-so-quer-paz,Cm7
41,ela-so-quer-paz,Dm
42,ela-so-quer-paz,Cm7
43,ela-so-quer-paz,Dm
44,ela-so-quer-paz,Cm7
45,ela-so-quer-paz,Dm
46,ela-so-quer-paz,Eb
47,ela-so-quer-paz,Ebm7
48,ela-so-quer-paz,Bb
49,ela-so-quer-paz,Dm
50,ela-so-quer-paz,Cm7
51,ela-so-quer-paz,Ebm7
52,ela-so-quer-paz,Bb
53,ela-so-quer-paz,Dm
54,ela-so-quer-paz,Cm7
55,ela-so-quer-paz,Ebm7
56,ela-so-quer-paz,Bb
57,ela-so-quer-paz,Dm
58,ela-so-quer-paz,Eb
59,ela-so-quer-paz,Ebm7
60,ela-so-quer-paz,Bb
61,ela-so-quer-paz,Dm
62,ela-so-quer-paz,Eb
63,ela-so-quer-paz,Ebm7
160,mulher,E
161,mulher,F#m7(11)
162,mulher,E/G#
163,mulher,A9
164,mulher,Am6
165,mulher,E
166,mulher,F#m7(11)
167,mulher,E/G#
168,mulher,A9
169,mulher,Am6
170,mulher,C#m
171,mulher,B9
172,mulher,A9
173,mulher,G#7(13-)
174,mulher,C#m
175,mulher,B9
176,mulher,A9
177,mulher,Am6
178,mulher,E
179,mulher,F#m7(11)
180,mulher,E/G#
181,mulher,E7M/G#
182,mulher,A9
183,mulher,B7(4/9)
184,mulher,E
185,mulher,F#m7(11)
186,mulher,E/G#
187,mulher,E7M/G#
188,mulher,A9
189,mulher,B7(4/9)
190,mulher,E
191,mulher,F#m7(11)
192,mulher,E/G#
193,mulher,A9
194,mulher,Am6
195,mulher,E
196,mulher,F#m7(11)
197,mulher,E/G#
198,mulher,A9
199,mulher,C#m
200,mulher,B9
201,mulher,A9
202,mulher,G#7(13-)
203,mulher,C#m
204,mulher,B9
205,mulher,A9
206,mulher,Am6
207,mulher,E
208,mulher,F#m7(11)
209,mulher,E/G#
210,mulher,E7M/G#
211,mulher,A9
212,mulher,B7(4/9)
213,mulher,E
214,mulher,F#m7(11)
215,mulher,E/G#
216,mulher,E7M/G#
217,mulher,A9
218,mulher,B7(4/9)
219,mulher,E
220,mulher,F#m7(11)
221,mulher,E/G#
222,mulher,E7M/G#
223,mulher,A9
224,mulher,B7(4/9)
225,mulher,E
226,mulher,F#m7(11)
227,mulher,E/G#
228,mulher,E7M/G#
229,mulher,A9
230,mulher,B7(4/9)
231,mulher,E
232,mulher,F#m7(11)
233,mulher,E/G#
234,mulher,E7M/G#
235,mulher,A9
236,mulher,B7(4/9)
237,mulher,E
238,mulher,F#m7(11)
239,mulher,E/G#
240,mulher,E7M/G#
241,mulher,A9
242,mulher,B7(4/9)
243,mulher,E
244,mulher,F#m7(11)
245,mulher,E/G#
246,mulher,E7M/G#
247,mulher,A9
248,mulher,B7(4/9)
320,cobertor,B
321,cobertor,F#
322,cobertor,G#m
323,cobertor,E
324,cobertor,B
325,cobertor,F#
326,cobertor,G#m
327,cobertor,E
328,cobertor,B
329,cobertor,F#
330,cobertor,G#m
331,cobertor,E
332,cobertor,B
333,cobertor,F#
334,cobertor,G#m
335,cobertor,E
336,cobertor,B
337,cobertor,F#
338,cobertor,G#m
339,cobertor,E
340,cobertor,B
341,cobertor,F#
342,cobertor,G#m
343,cobertor,E
344,cobertor,B
345,cobertor,F#
346,cobertor,G#m
347,cobertor,E
348,cobertor,B
349,cobertor,F#
350,cobertor,G#m
351,cobertor,E
352,cobertor,B
353,cobertor,F#
354,cobertor,G#m
355,cobertor,E
356,cobertor,B
357,cobertor,F#
358,cobertor,G#m
359,cobertor,E
360,cobertor,B
361,cobertor,F#
362,cobertor,G#m
363,cobertor,E
364,cobertor,B
365,cobertor,F#
366,cobertor,G#m
367,cobertor,E
368,cobertor,B
369,cobertor,F#
370,cobertor,G#m
371,cobertor,E
480,sei-la-part-vitao,Db
481,sei-la-part-vitao,Abm7
482,sei-la-part-vitao,Gb7M
483,sei-la-part-vitao,Db
484,sei-la-part-vitao,Abm7
485,sei-la-part-vitao,Gb7M
486,sei-la-part-vitao,Db
487,sei-la-part-vitao,Abm7
488,sei-la-part-vitao,Gb7M
489,sei-la-part-vitao,Db
490,sei-la-part-vitao,Abm7
491,sei-la-part-vitao,Gb7M
492,sei-la-part-vitao,Db
493,sei-la-part-vitao,Abm7
494,sei-la-part-vitao,Gb7M
495,sei-la-part-vitao,Db
496,sei-la-part-vitao,Abm7
497,sei-la-part-vitao,Gb7M
498,sei-la-part-vitao,Db
499,sei-la-part-vitao,Abm7
500,sei-la-part-vitao,Gb7M
501,sei-la-part-vitao,Db
502,sei-la-part-vitao,Abm7
503,sei-la-part-vitao,Gb7M
504,sei-la-part-vitao,Db
505,sei-la-part-vitao,Abm7
506,sei-la-part-vitao,Gb7M
507,sei-la-part-vitao,Db
508,sei-la-part-vitao,Abm7
509,sei-la-part-vitao,Gb7M
510,sei-la-part-vitao,Db
511,sei-la-part-vitao,Abm7
512,sei-la-part-vitao,Gb7M
513,sei-la-part-vitao,Db
514,sei-la-part-vitao,Abm7
515,sei-la-part-vitao,Gb7M
516,sei-la-part-vitao,Db
517,sei-la-part-vitao,Abm7
518,sei-la-part-vitao,Gb7M
519,sei-la-part-vitao,Db
520,sei-la-part-vitao,Abm7
521,sei-la-part-vitao,Gb7M
522,sei-la-part-vitao,Db
523,sei-la-part-vitao,Abm7
524,sei-la-part-vitao,Gb7M
525,sei-la-part-vitao,Db
526,sei-la-part-vitao,Abm7
527,sei-la-part-vitao,Gb7M
528,sei-la-part-vitao,Db
529,sei-la-part-vitao,Abm7
530,sei-la-part-vitao,Gb7M
531,sei-la-part-vitao,Db
532,sei-la-part-vitao,Abm7
533,sei-la-part-vitao,Gb7M
534,sei-la-part-vitao,Db
535,sei-la-part-vitao,Abm7
536,sei-la-part-vitao,Gb7M
537,sei-la-part-vitao,Db
538,sei-la-part-vitao,Abm7
539,sei-la-part-vitao,Gb7M
540,sei-la-part-vitao,Db
541,sei-la-part-vitao,Abm7
542,sei-la-part-vitao,Gb7M
543,sei-la-part-vitao,Db
544,sei-la-part-vitao,Abm7
545,sei-la-part-vitao,Gb7M
546,sei-la-part-vitao,Db
547,sei-la-part-vitao,Abm7
548,sei-la-part-vitao,Gb7M
549,sei-la-part-vitao,Db
550,sei-la-part-vitao,Abm7
551,sei-la-part-vitao,Gb7M
552,sei-la-part-vitao,Db
553,sei-la-part-vitao,Abm7
554,sei-la-part-vitao,Gb7M
555,sei-la-part-vitao,Db
556,sei-la-part-vitao,Abm7
557,sei-la-part-vitao,Gb7M
558,sei-la-part-vitao,Db
559,sei-la-part-vitao,Abm7
560,sei-la-part-vitao,Gb7M
561,sei-la-part-vitao,Db
562,sei-la-part-vitao,Abm7
563,sei-la-part-vitao,Gb7M
564,sei-la-part-vitao,Db
565,sei-la-part-vitao,Abm7
566,sei-la-part-vitao,Gb7M
567,sei-la-part-vitao,Db
568,sei-la-part-vitao,Abm7
569,sei-la-part-vitao,Gb7M
640,muleque-de-vila,Em
641,muleque-de-vila,D
642,muleque-de-vila,Am
643,muleque-de-vila,D
644,muleque-de-vila,C
645,muleque-de-vila,Em
646,muleque-de-vila,D
647,muleque-de-vila,Am
648,muleque-de-vila,D
649,muleque-de-vila,C
650,muleque-de-vila,Em
651,muleque-de-vila,D
652,muleque-de-vila,Am
653,muleque-de-vila,D
654,muleque-de-vila,C
655,muleque-de-vila,Em
656,muleque-de-vila,D
657,muleque-de-vila,Am
658,muleque-de-vila,D
659,muleque-de-vila,C
660,muleque-de-vila,Em
661,muleque-de-vila,D
662,muleque-de-vila,Am
663,muleque-de-vila,D
664,muleque-de-vila,C
665,muleque-de-vila,Em
666,muleque-de-vila,D
667,muleque-de-vila,Am
668,muleque-de-vila,D
669,muleque-de-vila,C
670,muleque-de-vila,Em
671,muleque-de-vila,D
672,muleque-de-vila,Am
673,muleque-de-vila,D
674,muleque-de-vila,C
675,muleque-de-vila,Em
676,muleque-de-vila,D
677,muleque-de-vila,C
678,muleque-de-vila,Em
679,muleque-de-vila,D
680,muleque-de-vila,C
681,muleque-de-vila,Em
682,muleque-de-vila,D
683,muleque-de-vila,Am
684,muleque-de-vila,D
685,muleque-de-vila,C
686,muleque-de-vila,Em
687,muleque-de-vila,D
688,muleque-de-vila,Am
689,muleque-de-vila,D
690,muleque-de-vila,C
691,muleque-de-vila,Em
692,muleque-de-vila,D
693,muleque-de-vila,Am
694,muleque-de-vila,D
695,muleque-de-vila,C
696,muleque-de-vila,Em
697,muleque-de-vila,D
698,muleque-de-vila,Am
699,muleque-de-vila,D
700,muleque-de-vila,C
701,muleque-de-vila,Em
702,muleque-de-vila,D
703,muleque-de-vila,Am
704,muleque-de-vila,D
705,muleque-de-vila,C
706,muleque-de-vila,Em
707,muleque-de-vila,D
708,muleque-de-vila,Am
709,muleque-de-vila,D
710,muleque-de-vila,C
711,muleque-de-vila,Em
712,muleque-de-vila,D
713,muleque-de-vila,Am
714,muleque-de-vila,D
715,muleque-de-vila,C
716,muleque-de-vila,Em
717,muleque-de-vila,D
718,muleque-de-vila,Am
719,muleque-de-vila,D
720,muleque-de-vila,C
721,muleque-de-vila,Em
722,muleque-de-vila,D
723,muleque-de-vila,Am
724,muleque-de-vila,D
725,muleque-de-vila,C
726,muleque-de-vila,Em
727,muleque-de-vila,D
728,muleque-de-vila,C
729,muleque-de-vila,Em
730,muleque-de-vila,D
731,muleque-de-vila,C
800,o-homem-que-nao-tinha-nada,C#7
801,o-homem-que-nao-tinha-nada,D#m7
802,o-homem-que-nao-tinha-nada,C#7
803,o-homem-que-nao-tinha-nada,G#/D#
804,o-homem-que-nao-tinha-nada,F#/C#
805,o-homem-que-nao-tinha-nada,C#7
806,o-homem-que-nao-tinha-nada,D#m7
807,o-homem-que-nao-tinha-nada,C#7
808,o-homem-que-nao-tinha-nada,G#/D#
809,o-homem-que-nao-tinha-nada,F#/C#
810,o-homem-que-nao-tinha-nada,C#7
