,Musicas,Palavras
0,ela-so-quer-paz,Ela
1,ela-so-quer-paz,é
2,ela-so-quer-paz,política
3,ela-so-quer-paz,aplicada
4,ela-so-quer-paz,em
5,ela-so-quer-paz,conversas
6,ela-so-quer-paz,banais
7,ela-so-quer-paz,Se
8,ela-so-quer-paz,ela
9,ela-so-quer-paz,tiver
10,ela-so-quer-paz,muito
11,ela-so-quer-paz,a
12,ela-so-quer-paz,"fim,"
13,ela-so-quer-paz,seja
14,ela-so-quer-paz,perspicaz
15,ela-so-quer-paz,Ela
16,ela-so-quer-paz,nunca
17,ela-so-quer-paz,vai
18,ela-so-quer-paz,deixar
19,ela-so-quer-paz,"claro,"
20,ela-so-quer-paz,então
21,ela-so-quer-paz,entenda
22,ela-so-quer-paz,sinais
23,ela-so-quer-paz,Não
24,ela-so-quer-paz,tem
25,ela-so-quer-paz,"juízo,"
26,ela-so-quer-paz,ou
27,ela-so-quer-paz,se
28,ela-so-quer-paz,já
29,ela-so-quer-paz,"teve,"
30,ela-so-quer-paz,hoje
31,ela-so-quer-paz,não
32,ela-so-quer-paz,tem
33,ela-so-quer-paz,mais
34,ela-so-quer-paz,Ela
35,ela-so-quer-paz,é
36,ela-so-quer-paz,o
37,ela-so-quer-paz,barco
38,ela-so-quer-paz,mais
39,ela-so-quer-paz,bolado
40,ela-so-quer-paz,que
41,ela-so-quer-paz,aportou
42,ela-so-quer-paz,no
43,ela-so-quer-paz,seu
44,ela-so-quer-paz,cais
45,ela-so-quer-paz,As
46,ela-so-quer-paz,outras
47,ela-so-quer-paz,"falam,"
48,ela-so-quer-paz,"falam,"
49,ela-so-quer-paz,ela
50,ela-so-quer-paz,chega
51,ela-so-quer-paz,e
52,ela-so-quer-paz,faz
53,ela-so-quer-paz,Ela
54,ela-so-quer-paz,"dança,"
55,ela-so-quer-paz,"dança,"
56,ela-so-quer-paz,dança
57,ela-so-quer-paz,demais
58,ela-so-quer-paz,Ela
59,ela-so-quer-paz,já
60,ela-so-quer-paz,acreditou
61,ela-so-quer-paz,no
62,ela-so-quer-paz,"amor,"
63,ela-so-quer-paz,mas
64,ela-so-quer-paz,não
65,ela-so-quer-paz,sabe
66,ela-so-quer-paz,mais
67,ela-so-quer-paz,Ela
68,ela-so-quer-paz,é
69,ela-so-quer-paz,um
70,ela-so-quer-paz,disco
71,ela-so-quer-paz,do
72,ela-so-quer-paz,Nirvana
73,ela-so-quer-paz,de
74,ela-so-quer-paz,20
75,ela-so-quer-paz,anos
76,ela-so-quer-paz,atrás
77,ela-so-quer-paz,Só
78,ela-so-quer-paz,quer
79,ela-so-quer-paz,um
80,ela-so-quer-paz,jeans
81,ela-so-quer-paz,rasgado
82,ela-so-quer-paz,e
83,ela-so-quer-paz,uns
84,ela-so-quer-paz,quarenta
85,ela-so-quer-paz,reais
86,ela-so-quer-paz,Ela
87,ela-so-quer-paz,é
88,ela-so-quer-paz,uma
89,ela-so-quer-paz,letra
90,ela-so-quer-paz,do
91,ela-so-quer-paz,Caetano
92,ela-so-quer-paz,com
93,ela-so-quer-paz,flow
94,ela-so-quer-paz,do
95,ela-so-quer-paz,Racionais
96,ela-so-quer-paz,Hoje
97,ela-so-quer-paz,pode
98,ela-so-quer-paz,até
99,ela-so-quer-paz,"chover,"
100,ela-so-quer-paz,porque
101,ela-so-quer-paz,ela
102,ela-so-quer-paz,só
103,ela-so-quer-paz,quer
104,ela-so-quer-paz,paz
105,ela-so-quer-paz,Hoje
106,ela-so-quer-paz,ela
107,ela-so-quer-paz,só
108,ela-so-quer-paz,quer
109,ela-so-quer-paz,paz
110,ela-so-quer-paz,Hoje
111,ela-so-quer-paz,ela
112,ela-so-quer-paz,só
113,ela-so-quer-paz,quer
114,ela-so-quer-paz,paz
115,ela-so-quer-paz,Hoje
116,ela-so-quer-paz,ela
117,ela-so-quer-paz,só
118,ela-so-quer-paz,quer
119,ela-so-quer-paz,Amores
120,ela-so-quer-paz,"reais,"
121,ela-so-quer-paz,amizades
122,ela-so-quer-paz,leais
123,ela-so-quer-paz,Ela
124,ela-so-quer-paz,entende
125,ela-so-quer-paz,de
126,ela-so-quer-paz,"flores,"
127,ela-so-quer-paz,ama
128,ela-so-quer-paz,os
129,ela-so-quer-paz,animais
130,ela-so-quer-paz,Coisas
131,ela-so-quer-paz,simples
132,ela-so-quer-paz,pra
133,ela-so-quer-paz,ela
134,ela-so-quer-paz,são
135,ela-so-quer-paz,as
136,ela-so-quer-paz,coisas
137,ela-so-quer-paz,principais
138,ela-so-quer-paz,Conheceu
139,ela-so-quer-paz,caras
140,ela-so-quer-paz,"legais,"
141,ela-so-quer-paz,mas
142,ela-so-quer-paz,nunca
143,ela-so-quer-paz,sensacionais
144,ela-so-quer-paz,Ela
145,ela-so-quer-paz,não
146,ela-so-quer-paz,é
147,ela-so-quer-paz,as
148,ela-so-quer-paz,suas
149,ela-so-quer-paz,"nega,"
150,ela-so-quer-paz,rapaz
151,ela-so-quer-paz,Pagar
152,ela-so-quer-paz,bebida
153,ela-so-quer-paz,é
154,ela-so-quer-paz,"fácil,"
155,ela-so-quer-paz,difícil
156,ela-so-quer-paz,é
157,ela-so-quer-paz,apresentar
158,ela-so-quer-paz,pros
159,ela-so-quer-paz,pais
160,ela-so-quer-paz,Vai
161,ela-so-quer-paz,fazer
162,ela-so-quer-paz,você
163,ela-so-quer-paz,sentir
164,ela-so-quer-paz,inveja
165,ela-so-quer-paz,de
166,ela-so-quer-paz,outros
167,ela-so-quer-paz,casais
168,ela-so-quer-paz,E
169,ela-so-quer-paz,você
170,ela-so-quer-paz,vai
171,ela-so-quer-paz,ver
172,ela-so-quer-paz,que
173,ela-so-quer-paz,as
174,ela-so-quer-paz,outras
175,ela-so-quer-paz,eram
176,ela-so-quer-paz,todas
177,ela-so-quer-paz,iguais
178,ela-so-quer-paz,Vai
179,ela-so-quer-paz,querer
180,ela-so-quer-paz,comprar
181,ela-so-quer-paz,um
182,ela-so-quer-paz,sítio
183,ela-so-quer-paz,lá
184,ela-so-quer-paz,em
185,ela-so-quer-paz,Minas
186,ela-so-quer-paz,Gerais
187,ela-so-quer-paz,"Vitamina,"
188,ela-so-quer-paz,é
189,ela-so-quer-paz,proteína
190,ela-so-quer-paz,e
191,ela-so-quer-paz,sais
192,ela-so-quer-paz,minerais
193,ela-so-quer-paz,Ela
194,ela-so-quer-paz,é
195,ela-so-quer-paz,a
196,ela-so-quer-paz,vida
197,ela-so-quer-paz,após
198,ela-so-quer-paz,a
199,ela-so-quer-paz,vida
200,ela-so-quer-paz,Despedida
201,ela-so-quer-paz,pros
202,ela-so-quer-paz,seus
203,ela-so-quer-paz,dias
204,ela-so-quer-paz,mais
205,ela-so-quer-paz,normais
206,ela-so-quer-paz,Pra
207,ela-so-quer-paz,que
208,ela-so-quer-paz,mais?
209,ela-so-quer-paz,Ela
210,ela-so-quer-paz,"dança,"
211,ela-so-quer-paz,"dança,"
212,ela-so-quer-paz,dança
213,ela-so-quer-paz,demais
214,ela-so-quer-paz,Ela
215,ela-so-quer-paz,já
216,ela-so-quer-paz,acreditou
217,ela-so-quer-paz,no
218,ela-so-quer-paz,"amor,"
219,ela-so-quer-paz,mas
220,ela-so-quer-paz,não
221,ela-so-quer-paz,sabe
222,ela-so-quer-paz,mais
223,ela-so-quer-paz,Ela
224,ela-so-quer-paz,é
225,ela-so-quer-paz,um
226,ela-so-quer-paz,disco
227,ela-so-quer-paz,do
228,ela-so-quer-paz,Nirvana
229,ela-so-quer-paz,de
230,ela-so-quer-paz,20
231,ela-so-quer-paz,anos
232,ela-so-quer-paz,atrás
233,ela-so-quer-paz,Só
234,ela-so-quer-paz,quer
235,ela-so-quer-paz,um
236,ela-so-quer-paz,jeans
237,ela-so-quer-paz,rasgado
238,ela-so-quer-paz,e
239,ela-so-quer-paz,uns
240,ela-so-quer-paz,quarenta
241,ela-so-quer-paz,reais
242,ela-so-quer-paz,Ela
243,ela-so-quer-paz,é
244,ela-so-quer-paz,uma
245,ela-so-quer-paz,letra
246,ela-so-quer-paz,do
247,ela-so-quer-paz,Caetano
248,ela-so-quer-paz,com
249,ela-so-quer-paz,flow
250,ela-so-quer-paz,do
251,ela-so-quer-paz,Racionais
252,ela-so-quer-paz,Hoje
253,ela-so-quer-paz,pode
254,ela-so-quer-paz,até
255,ela-so-quer-paz,"chover,"
256,ela-so-quer-paz,porque
257,ela-so-quer-paz,ela
258,ela-so-quer-paz,só
259,ela-so-quer-paz,quer
260,ela-so-quer-paz,paz
261,ela-so-quer-paz,Hoje
262,ela-so-quer-paz,ela
263,ela-so-quer-paz,só
264,ela-so-quer-paz,quer
265,ela-so-quer-paz,paz
266,ela-so-quer-paz,Hoje
267,ela-so-quer-paz,ela
268,ela-so-quer-paz,só
269,ela-so-quer-paz,quer
270,ela-so-quer-paz,paz
271,ela-so-quer-paz,Hoje
272,ela-so-quer-paz,ela
273,ela-so-quer-paz,só
274,ela-so-quer-paz,quer
275,ela-so-quer-paz,paz
276,ela-so-quer-paz,None
697,mulher,Deixou
698,mulher,o
699,mulher,véio
700,mulher,na
701,mulher,mão
702,mulher,E
703,mulher,foi
704,mulher,pra
705,mulher,rua
706,mulher,espairecer
707,mulher,Buscar
708,mulher,uma
709,mulher,solução
710,mulher,Pros
711,mulher,problemas
712,mulher,que
713,mulher,ela
714,mulher,tinha
715,mulher,Deu
716,mulher,um
717,mulher,giro
718,mulher,na
719,mulher,cidade
720,mulher,quando
721,mulher,decidiu
722,mulher,me
723,mulher,ver
724,mulher,Bateu
725,mulher,no
726,mulher,meu
727,mulher,portão
728,mulher,com
729,mulher,lágrimas
730,mulher,no
731,mulher,rosto
732,mulher,Quase
733,mulher,que
734,mulher,eu
735,mulher,sinto
736,mulher,o
737,mulher,gosto
738,mulher,Quando
739,mulher,lembro
740,mulher,dela
741,mulher,assim
742,mulher,Me
743,mulher,abraçou
744,mulher,apertado
745,mulher,Num
746,mulher,gesto
747,mulher,desesperado
748,mulher,Saudade
749,mulher,"mútua,"
750,mulher,ela
751,mulher,se
752,mulher,entregou
753,mulher,pra
754,mulher,mim
755,mulher,Fez
756,mulher,meu
757,mulher,olho
758,mulher,brilhar
759,mulher,dizendo
760,mulher,que
761,mulher,tá
762,mulher,foda
