,Musicas,Acordes
0,vida-loka-parte-,Am
1,vida-loka-parte-,F7M
2,vida-loka-parte-,Am
3,vida-loka-parte-,F7M
4,vida-loka-parte-,Am
5,vida-loka-parte-,F7M
6,vida-loka-parte-,Am
7,vida-loka-parte-,F7M
8,vida-loka-parte-,Am
9,vida-loka-parte-,F7M
10,vida-loka-parte-,Am
11,vida-loka-parte-,F7M
12,vida-loka-parte-,Am
13,vida-loka-parte-,F7M
14,vida-loka-parte-,Am
15,vida-loka-parte-,F7M
16,vida-loka-parte-,Am
17,vida-loka-parte-,F7M
18,vida-loka-parte-,Am
19,vida-loka-parte-,F7M
20,vida-loka-parte-,Am
21,vida-loka-parte-,F7M
22,vida-loka-parte-,Am
23,vida-loka-parte-,F7M
24,vida-loka-parte-,Am
25,vida-loka-parte-,F7M
26,vida-loka-parte-,Am
27,vida-loka-parte-,F7M
28,vida-loka-parte-,Am
29,vida-loka-parte-,F7M
30,vida-loka-parte-,Am
31,vida-loka-parte-,F7M
32,vida-loka-parte-,Am
33,vida-loka-parte-,F7M
34,vida-loka-parte-,Am
35,vida-loka-parte-,F7M
36,vida-loka-parte-,Am
37,vida-loka-parte-,F7M
38,vida-loka-parte-,Am
39,vida-loka-parte-,F7M
40,vida-loka-parte-,Am
41,vida-loka-parte-,F7M
42,vida-loka-parte-,Am
43,vida-loka-parte-,F7M
44,vida-loka-parte-,Am
45,vida-loka-parte-,F7M
46,vida-loka-parte-,Am
47,vida-loka-parte-,F7M
48,vida-loka-parte-,Am
49,vida-loka-parte-,F7M
50,vida-loka-parte-,Am
51,vida-loka-parte-,F7M
52,vida-loka-parte-,Am
53,vida-loka-parte-,F7M
54,vida-loka-parte-,Am
55,vida-loka-parte-,F7M
56,vida-loka-parte-,Am
57,vida-loka-parte-,F7M
58,vida-loka-parte-,Am
59,vida-loka-parte-,F7M
60,vida-loka-parte-,Am
61,vida-loka-parte-,F7M
62,vida-loka-parte-,Am
63,vida-loka-parte-,F7M
64,vida-loka-parte-,Am
65,vida-loka-parte-,F7M
66,vida-loka-parte-,Am
67,vida-loka-parte-,F7M
68,vida-loka-parte-,Am
69,vida-loka-parte-,F7M
70,vida-loka-parte-,Am
71,vida-loka-parte-,F7M
72,vida-loka-parte-,Am
73,vida-loka-parte-,F7M
74,vida-loka-parte-,Am
75,vida-loka-parte-,F7M
76,vida-loka-parte-,Am
