,Musicas,Palavras
0,vida-loka-parte-,Usou
1,vida-loka-parte-,meu
2,vida-loka-parte-,"nome,"
3,vida-loka-parte-,o
4,vida-loka-parte-,pipoca
5,vida-loka-parte-,abraçou
6,vida-loka-parte-,Foi
7,vida-loka-parte-,na
8,vida-loka-parte-,porta
9,vida-loka-parte-,da
10,vida-loka-parte-,minha
11,vida-loka-parte-,casa
12,vida-loka-parte-,Lá
13,vida-loka-parte-,botou
14,vida-loka-parte-,pânico
15,vida-loka-parte-,em
16,vida-loka-parte-,todo
17,vida-loka-parte-,mundo
18,vida-loka-parte-,3
19,vida-loka-parte-,hora
20,vida-loka-parte-,da
21,vida-loka-parte-,tarde
22,vida-loka-parte-,E
23,vida-loka-parte-,eu
24,vida-loka-parte-,nem
25,vida-loka-parte-,tava
26,vida-loka-parte-,"lá,"
27,vida-loka-parte-,vai
28,vida-loka-parte-,vendo!
29,vida-loka-parte-,É
30,vida-loka-parte-,mas
31,vida-loka-parte-,"aí,"
32,vida-loka-parte-,"Brown,"
33,vida-loka-parte-,"oh,"
34,vida-loka-parte-,tem
35,vida-loka-parte-,uns
36,vida-loka-parte-,tipo
37,vida-loka-parte-,de
38,vida-loka-parte-,"mulher,"
39,vida-loka-parte-,truta
40,vida-loka-parte-,Que
41,vida-loka-parte-,não
42,vida-loka-parte-,dá
43,vida-loka-parte-,nem
44,vida-loka-parte-,pra
45,vida-loka-parte-,comentar
46,vida-loka-parte-,Eu
47,vida-loka-parte-,nem
48,vida-loka-parte-,sei
49,vida-loka-parte-,quem
50,vida-loka-parte-,é
51,vida-loka-parte-,os
52,vida-loka-parte-,"maluco,"
53,vida-loka-parte-,isso
54,vida-loka-parte-,que
55,vida-loka-parte-,é
56,vida-loka-parte-,foda
57,vida-loka-parte-,Aí
58,vida-loka-parte-,vamo
59,vida-loka-parte-,atrás
60,vida-loka-parte-,desse
61,vida-loka-parte-,pipoca
62,vida-loka-parte-,aí
63,vida-loka-parte-,e
64,vida-loka-parte-,já
65,vida-loka-parte-,era
66,vida-loka-parte-,Ir
67,vida-loka-parte-,atrás
68,vida-loka-parte-,de
69,vida-loka-parte-,quem
70,vida-loka-parte-,e
71,vida-loka-parte-,aonde?
72,vida-loka-parte-,Sei
73,vida-loka-parte-,nem
74,vida-loka-parte-,quem
75,vida-loka-parte-,"é,"
76,vida-loka-parte-,mano
77,vida-loka-parte-,"Mano,"
78,vida-loka-parte-,não
79,vida-loka-parte-,"devo,"
80,vida-loka-parte-,não
81,vida-loka-parte-,temo
82,vida-loka-parte-,e
83,vida-loka-parte-,dá
84,vida-loka-parte-,meu
85,vida-loka-parte-,copo
86,vida-loka-parte-,que
87,vida-loka-parte-,já
88,vida-loka-parte-,era
89,vida-loka-parte-,E
90,vida-loka-parte-,"aí,"
91,vida-loka-parte-,"Abraão,"
92,vida-loka-parte-,firmão
93,vida-loka-parte-,truta?
94,vida-loka-parte-,Firmeza
95,vida-loka-parte-,"total,"
96,vida-loka-parte-,Brown
97,vida-loka-parte-,e
98,vida-loka-parte-,a
99,vida-loka-parte-,quebrada
100,vida-loka-parte-,"aí,"
101,vida-loka-parte-,irmão?
102,vida-loka-parte-,Tá
103,vida-loka-parte-,"pampa,"
104,vida-loka-parte-,aí
105,vida-loka-parte-,fiquei
106,vida-loka-parte-,sabendo
107,vida-loka-parte-,do
108,vida-loka-parte-,seu
109,vida-loka-parte-,pai
110,vida-loka-parte-,"Aí,"
111,vida-loka-parte-,lamentável
112,vida-loka-parte-,"truta,"
113,vida-loka-parte-,meu
114,vida-loka-parte-,sentimento
