,Musicas,Acordes
0,mulher-de-fases,G5
1,mulher-de-fases,D5
2,mulher-de-fases,C5
3,mulher-de-fases,E5
4,mulher-de-fases,A5
5,mulher-de-fases,C5
6,mulher-de-fases,G5
7,mulher-de-fases,D5
8,mulher-de-fases,C5
9,mulher-de-fases,E5
10,mulher-de-fases,A5
11,mulher-de-fases,C5
12,mulher-de-fases,A5
13,mulher-de-fases,E5
14,mulher-de-fases,G5
15,mulher-de-fases,C5
16,mulher-de-fases,G5
17,mulher-de-fases,D5
18,mulher-de-fases,G5
19,mulher-de-fases,D5
20,mulher-de-fases,C5
21,mulher-de-fases,E5
22,mulher-de-fases,A5
23,mulher-de-fases,C5
24,mulher-de-fases,G5
25,mulher-de-fases,D5
26,mulher-de-fases,C5
27,mulher-de-fases,E5
28,mulher-de-fases,A5
29,mulher-de-fases,C5
30,mulher-de-fases,G5
31,mulher-de-fases,D5
32,mulher-de-fases,G5
33,mulher-de-fases,C5
34,mulher-de-fases,G5
35,mulher-de-fases,D5
36,mulher-de-fases,E5
37,mulher-de-fases,A5
38,mulher-de-fases,C5
39,mulher-de-fases,G5
40,mulher-de-fases,C5
41,mulher-de-fases,G5
42,mulher-de-fases,D5
43,mulher-de-fases,E5
44,mulher-de-fases,A5
45,mulher-de-fases,C5
46,mulher-de-fases,G5
47,mulher-de-fases,C5
48,mulher-de-fases,D5
49,mulher-de-fases,E5
50,mulher-de-fases,G5
51,mulher-de-fases,E5
52,mulher-de-fases,A5
53,mulher-de-fases,C5
54,mulher-de-fases,A5
55,mulher-de-fases,E5
56,mulher-de-fases,G5
57,mulher-de-fases,C5
58,mulher-de-fases,G5
59,mulher-de-fases,D5
60,mulher-de-fases,G5
61,mulher-de-fases,C5
62,mulher-de-fases,G5
63,mulher-de-fases,D5
64,mulher-de-fases,E5
65,mulher-de-fases,A5
66,mulher-de-fases,C5
67,mulher-de-fases,G5
68,mulher-de-fases,C5
69,mulher-de-fases,G5
70,mulher-de-fases,D5
71,mulher-de-fases,E5
72,mulher-de-fases,A5
73,mulher-de-fases,C5
74,mulher-de-fases,G5
175,a-mais-pedida,C
176,a-mais-pedida,Am
177,a-mais-pedida,C
178,a-mais-pedida,Am
179,a-mais-pedida,C
180,a-mais-pedida,Am
181,a-mais-pedida,D5
182,a-mais-pedida,C5
183,a-mais-pedida,G5
184,a-mais-pedida,A5
185,a-mais-pedida,D5
186,a-mais-pedida,C
187,a-mais-pedida,Am
188,a-mais-pedida,C
189,a-mais-pedida,Am
190,a-mais-pedida,C
191,a-mais-pedida,Am
192,a-mais-pedida,D5
193,a-mais-pedida,C5
194,a-mais-pedida,G5
195,a-mais-pedida,A5
196,a-mais-pedida,D5
197,a-mais-pedida,C5
198,a-mais-pedida,F5
199,a-mais-pedida,D5
200,a-mais-pedida,A5
201,a-mais-pedida,G5
202,a-mais-pedida,C5
203,a-mais-pedida,F5
204,a-mais-pedida,A5
205,a-mais-pedida,G5
206,a-mais-pedida,C5
207,a-mais-pedida,D5
208,a-mais-pedida,F5
209,a-mais-pedida,A5
210,a-mais-pedida,D5
211,a-mais-pedida,G5
212,a-mais-pedida,D5
213,a-mais-pedida,G5
214,a-mais-pedida,C5
215,a-mais-pedida,F5
216,a-mais-pedida,C5
217,a-mais-pedida,F5
218,a-mais-pedida,D5
219,a-mais-pedida,G5
220,a-mais-pedida,C5
221,a-mais-pedida,F5
222,a-mais-pedida,C5
223,a-mais-pedida,F5
224,a-mais-pedida,D5
225,a-mais-pedida,G5
226,a-mais-pedida,C5
227,a-mais-pedida,G5
228,a-mais-pedida,A5
229,a-mais-pedida,D5
230,a-mais-pedida,C5
231,a-mais-pedida,G5
232,a-mais-pedida,A5
233,a-mais-pedida,D5
234,a-mais-pedida,C5
235,a-mais-pedida,F5
236,a-mais-pedida,A5
237,a-mais-pedida,C5
238,a-mais-pedida,A5
239,a-mais-pedida,C5
240,a-mais-pedida,D5
241,a-mais-pedida,A5
242,a-mais-pedida,C5
243,a-mais-pedida,A5
244,a-mais-pedida,C5
245,a-mais-pedida,D5
246,a-mais-pedida,C5
247,a-mais-pedida,D5
248,a-mais-pedida,F5
249,a-mais-pedida,A5
250,a-mais-pedida,D5
251,a-mais-pedida,G5
252,a-mais-pedida,C5
253,a-mais-pedida,F5
254,a-mais-pedida,C5
255,a-mais-pedida,F5
256,a-mais-pedida,D5
257,a-mais-pedida,G5
258,a-mais-pedida,C5
259,a-mais-pedida,F5
260,a-mais-pedida,C5
261,a-mais-pedida,F5
262,a-mais-pedida,D5
263,a-mais-pedida,G5
264,a-mais-pedida,C5
265,a-mais-pedida,G5
266,a-mais-pedida,A5
267,a-mais-pedida,D5
268,a-mais-pedida,C5
269,a-mais-pedida,G5
270,a-mais-pedida,A5
271,a-mais-pedida,D5
