,Musicas,Palavras
0,mulher-de-fases,Jogou
1,mulher-de-fases,minhas
2,mulher-de-fases,coisas
3,mulher-de-fases,fora
4,mulher-de-fases,Disse
5,mulher-de-fases,que
6,mulher-de-fases,em
7,mulher-de-fases,sua
8,mulher-de-fases,cama
9,mulher-de-fases,eu
10,mulher-de-fases,não
11,mulher-de-fases,deito
12,mulher-de-fases,mais
13,mulher-de-fases,não
14,mulher-de-fases,A
15,mulher-de-fases,casa
16,mulher-de-fases,é
17,mulher-de-fases,minha
18,mulher-de-fases,Você
19,mulher-de-fases,que
20,mulher-de-fases,vá
21,mulher-de-fases,embora
22,mulher-de-fases,Já
23,mulher-de-fases,pra
24,mulher-de-fases,saia
25,mulher-de-fases,da
26,mulher-de-fases,sua
27,mulher-de-fases,mãe
28,mulher-de-fases,e
29,mulher-de-fases,deixa
30,mulher-de-fases,meu
31,mulher-de-fases,colchão
32,mulher-de-fases,É
33,mulher-de-fases,campeã
34,mulher-de-fases,do
35,mulher-de-fases,mundo
36,mulher-de-fases,A
37,mulher-de-fases,raiva
38,mulher-de-fases,era
39,mulher-de-fases,tanta
40,mulher-de-fases,que
41,mulher-de-fases,eu
42,mulher-de-fases,nem
43,mulher-de-fases,reparei
44,mulher-de-fases,Que
45,mulher-de-fases,a
46,mulher-de-fases,Lua
47,mulher-de-fases,diminuía
48,mulher-de-fases,Disse
49,mulher-de-fases,"que,"
50,mulher-de-fases,se
51,mulher-de-fases,for
52,mulher-de-fases,sem
53,mulher-de-fases,"eu,"
54,mulher-de-fases,não
55,mulher-de-fases,quer
56,mulher-de-fases,viver
57,mulher-de-fases,mais
58,mulher-de-fases,não
59,mulher-de-fases,Me
60,mulher-de-fases,"diz,"
61,mulher-de-fases,"Deus,"
62,mulher-de-fases,o
63,mulher-de-fases,que
64,mulher-de-fases,é
65,mulher-de-fases,que
66,mulher-de-fases,eu
67,mulher-de-fases,faço
68,mulher-de-fases,agora?
69,mulher-de-fases,Se
70,mulher-de-fases,me
71,mulher-de-fases,olhando
72,mulher-de-fases,desse
73,mulher-de-fases,jeito
74,mulher-de-fases,ela
75,mulher-de-fases,me
76,mulher-de-fases,tem
77,mulher-de-fases,na
78,mulher-de-fases,mão
79,mulher-de-fases,Quem
80,mulher-de-fases,mandou
81,mulher-de-fases,você
82,mulher-de-fases,gostar
83,mulher-de-fases,dessa
84,mulher-de-fases,mulher
85,mulher-de-fases,de
86,mulher-de-fases,fases?
87,mulher-de-fases,Você
88,mulher-de-fases,me
89,mulher-de-fases,apareceu
90,mulher-de-fases,Era
91,mulher-de-fases,tudo
92,mulher-de-fases,o
93,mulher-de-fases,que
94,mulher-de-fases,eu
95,mulher-de-fases,queria
96,mulher-de-fases,Estrela
97,mulher-de-fases,da
98,mulher-de-fases,sorte
99,mulher-de-fases,Quando
100,mulher-de-fases,à
101,mulher-de-fases,noite
102,mulher-de-fases,ela
103,mulher-de-fases,surgia
104,mulher-de-fases,Meu
105,mulher-de-fases,"bem,"
106,mulher-de-fases,você
107,mulher-de-fases,cresceu
108,mulher-de-fases,Meu
109,mulher-de-fases,namoro
110,mulher-de-fases,é
111,mulher-de-fases,na
112,mulher-de-fases,folhinha
113,mulher-de-fases,Mulher
114,mulher-de-fases,de
115,mulher-de-fases,fases!
116,mulher-de-fases,Qualquer
117,mulher-de-fases,coisa
118,mulher-de-fases,que
119,mulher-de-fases,aumente
120,mulher-de-fases,A
