,Musicas,Acordes
0,beber-ate-morrer,E
1,beber-ate-morrer,A
2,beber-ate-morrer,G
3,beber-ate-morrer,E
4,beber-ate-morrer,G
5,beber-ate-morrer,A
6,beber-ate-morrer,E
7,beber-ate-morrer,A
8,beber-ate-morrer,G
9,beber-ate-morrer,E
10,beber-ate-morrer,E
11,beber-ate-morrer,A
12,beber-ate-morrer,G
13,beber-ate-morrer,E
14,beber-ate-morrer,G
15,beber-ate-morrer,A
16,beber-ate-morrer,E
17,beber-ate-morrer,A
18,beber-ate-morrer,G
19,beber-ate-morrer,E
20,beber-ate-morrer,G
21,beber-ate-morrer,A
22,beber-ate-morrer,E
23,beber-ate-morrer,A
24,beber-ate-morrer,B
25,beber-ate-morrer,E
26,beber-ate-morrer,A
27,beber-ate-morrer,F#
28,beber-ate-morrer,E
29,beber-ate-morrer,A
30,beber-ate-morrer,B
31,beber-ate-morrer,E
32,beber-ate-morrer,A
33,beber-ate-morrer,B
34,beber-ate-morrer,E
35,beber-ate-morrer,A
36,beber-ate-morrer,G
37,beber-ate-morrer,E
38,beber-ate-morrer,G
39,beber-ate-morrer,A
40,beber-ate-morrer,E
41,beber-ate-morrer,A
42,beber-ate-morrer,G
43,beber-ate-morrer,E
44,beber-ate-morrer,G
45,beber-ate-morrer,A
46,beber-ate-morrer,E
47,beber-ate-morrer,A
48,beber-ate-morrer,G
49,beber-ate-morrer,E
50,beber-ate-morrer,G
51,beber-ate-morrer,A
52,beber-ate-morrer,E
53,beber-ate-morrer,A
54,beber-ate-morrer,G
55,beber-ate-morrer,E
56,beber-ate-morrer,G
57,beber-ate-morrer,A
58,beber-ate-morrer,E
59,beber-ate-morrer,A
60,beber-ate-morrer,G
61,beber-ate-morrer,E
62,beber-ate-morrer,G
63,beber-ate-morrer,A
64,beber-ate-morrer,E
65,beber-ate-morrer,A
66,beber-ate-morrer,G
67,beber-ate-morrer,E
68,beber-ate-morrer,G
69,beber-ate-morrer,A
70,beber-ate-morrer,E
71,beber-ate-morrer,A
72,beber-ate-morrer,B
73,beber-ate-morrer,E
74,beber-ate-morrer,A
75,beber-ate-morrer,B
180,aids-pop-repressao,E
181,aids-pop-repressao,A
182,aids-pop-repressao,Db
183,aids-pop-repressao,E
184,aids-pop-repressao,A
185,aids-pop-repressao,Db
186,aids-pop-repressao,E
187,aids-pop-repressao,A
188,aids-pop-repressao,Db
189,aids-pop-repressao,E
190,aids-pop-repressao,A
191,aids-pop-repressao,Db
192,aids-pop-repressao,E
193,aids-pop-repressao,A
194,aids-pop-repressao,Db
195,aids-pop-repressao,Eb
196,aids-pop-repressao,Eb
197,aids-pop-repressao,E
198,aids-pop-repressao,A
199,aids-pop-repressao,Db
200,aids-pop-repressao,E
201,aids-pop-repressao,A
202,aids-pop-repressao,Db
203,aids-pop-repressao,E
204,aids-pop-repressao,A
205,aids-pop-repressao,Db
206,aids-pop-repressao,E
207,aids-pop-repressao,A
208,aids-pop-repressao,Db
209,aids-pop-repressao,Eb
210,aids-pop-repressao,Eb
211,aids-pop-repressao,E
212,aids-pop-repressao,Db
213,aids-pop-repressao,E
214,aids-pop-repressao,A
215,aids-pop-repressao,A
216,aids-pop-repressao,Bb
217,aids-pop-repressao,F
218,aids-pop-repressao,A
219,aids-pop-repressao,Bb
220,aids-pop-repressao,F
221,aids-pop-repressao,A
222,aids-pop-repressao,Bb
223,aids-pop-repressao,F
224,aids-pop-repressao,A
225,aids-pop-repressao,Bb
226,aids-pop-repressao,F
227,aids-pop-repressao,A
228,aids-pop-repressao,Bb
229,aids-pop-repressao,F
230,aids-pop-repressao,E
231,aids-pop-repressao,A
232,aids-pop-repressao,Db
360,o-dotadao-deve-morrer,Bb5
361,o-dotadao-deve-morrer,Eb5
362,o-dotadao-deve-morrer,Gb5
363,o-dotadao-deve-morrer,Eb5
364,o-dotadao-deve-morrer,Bb5
365,o-dotadao-deve-morrer,Eb5
366,o-dotadao-deve-morrer,Db5
367,o-dotadao-deve-morrer,Bb5
540,agressaorepressao,A
541,agressaorepressao,G#
542,agressaorepressao,G
543,agressaorepressao,D
544,agressaorepressao,A
545,agressaorepressao,G
546,agressaorepressao,G#
547,agressaorepressao,D
548,agressaorepressao,A
549,agressaorepressao,C
550,agressaorepressao,B
551,agressaorepressao,D
552,agressaorepressao,C
553,agressaorepressao,A
