,Musicas,Palavras
0,beber-ate-morrer,Se
1,beber-ate-morrer,afoga
2,beber-ate-morrer,na
3,beber-ate-morrer,bebida
4,beber-ate-morrer,e
5,beber-ate-morrer,se
6,beber-ate-morrer,droga
7,beber-ate-morrer,sem
8,beber-ate-morrer,parar?
9,beber-ate-morrer,Será
10,beber-ate-morrer,que
11,beber-ate-morrer,a
12,beber-ate-morrer,vida
13,beber-ate-morrer,imposta
14,beber-ate-morrer,é
15,beber-ate-morrer,perder
16,beber-ate-morrer,um
17,beber-ate-morrer,vale
18,beber-ate-morrer,tudo?
19,beber-ate-morrer,Viver
20,beber-ate-morrer,sempre
21,beber-ate-morrer,chapado
22,beber-ate-morrer,é
23,beber-ate-morrer,melhor
24,beber-ate-morrer,do
25,beber-ate-morrer,que
26,beber-ate-morrer,lutar?
27,beber-ate-morrer,O
28,beber-ate-morrer,tédio
29,beber-ate-morrer,lhe
30,beber-ate-morrer,"domina,"
31,beber-ate-morrer,a
32,beber-ate-morrer,vida
33,beber-ate-morrer,não
34,beber-ate-morrer,dá
35,beber-ate-morrer,tesão
36,beber-ate-morrer,Mas
37,beber-ate-morrer,outro
38,beber-ate-morrer,porre
39,beber-ate-morrer,desse
40,beber-ate-morrer,você
41,beber-ate-morrer,nunca
42,beber-ate-morrer,vai
43,beber-ate-morrer,esquecer
44,beber-ate-morrer,Que
45,beber-ate-morrer,o
46,beber-ate-morrer,fígado
47,beber-ate-morrer,é
48,beber-ate-morrer,só
49,beber-ate-morrer,seu
50,beber-ate-morrer,e
51,beber-ate-morrer,de
52,beber-ate-morrer,mais
53,beber-ate-morrer,ninguém
54,beber-ate-morrer,Cobras
55,beber-ate-morrer,na
56,beber-ate-morrer,sua
57,beber-ate-morrer,cama
58,beber-ate-morrer,e
59,beber-ate-morrer,ratos
60,beber-ate-morrer,no
61,beber-ate-morrer,porão
62,beber-ate-morrer,Problemas
63,beber-ate-morrer,na
64,beber-ate-morrer,cabeça
65,beber-ate-morrer,não
66,beber-ate-morrer,dá
67,beber-ate-morrer,quase
68,beber-ate-morrer,pra
69,beber-ate-morrer,pensar
70,beber-ate-morrer,Enfie
71,beber-ate-morrer,o
72,beber-ate-morrer,dedo
73,beber-ate-morrer,na
74,beber-ate-morrer,goela
75,beber-ate-morrer,e
76,beber-ate-morrer,tente
77,beber-ate-morrer,vomitar
78,beber-ate-morrer,O
79,beber-ate-morrer,tédio
80,beber-ate-morrer,lhe
81,beber-ate-morrer,"domina,"
82,beber-ate-morrer,a
83,beber-ate-morrer,vida
84,beber-ate-morrer,não
85,beber-ate-morrer,dá
86,beber-ate-morrer,tesão
87,beber-ate-morrer,Mas
88,beber-ate-morrer,outro
89,beber-ate-morrer,porre
90,beber-ate-morrer,desse
91,beber-ate-morrer,você
92,beber-ate-morrer,nunca
93,beber-ate-morrer,vai
94,beber-ate-morrer,esquecer
95,beber-ate-morrer,Que
96,beber-ate-morrer,o
97,beber-ate-morrer,fígado
98,beber-ate-morrer,é
99,beber-ate-morrer,só
100,beber-ate-morrer,seu
101,beber-ate-morrer,e
102,beber-ate-morrer,de
103,beber-ate-morrer,mais
104,beber-ate-morrer,ninguém
105,beber-ate-morrer,Os
106,beber-ate-morrer,problemas
107,beber-ate-morrer,voltarão
108,beber-ate-morrer,junto
109,beber-ate-morrer,com
110,beber-ate-morrer,uma
111,beber-ate-morrer,puta
112,beber-ate-morrer,ressaca
113,beber-ate-morrer,Por
114,beber-ate-morrer,que
115,beber-ate-morrer,você
116,beber-ate-morrer,não
117,beber-ate-morrer,bebe
118,beber-ate-morrer,apenas
119,beber-ate-morrer,pra
120,beber-ate-morrer,se
121,beber-ate-morrer,divertir?
122,beber-ate-morrer,Lute
123,beber-ate-morrer,com
124,beber-ate-morrer,a
125,beber-ate-morrer,cara
126,beber-ate-morrer,"limpa,"
127,beber-ate-morrer,você
128,beber-ate-morrer,não
129,beber-ate-morrer,vai
130,beber-ate-morrer,desistir
131,beber-ate-morrer,Beber
132,beber-ate-morrer,até
133,beber-ate-morrer,morrer!
134,beber-ate-morrer,Beber
135,beber-ate-morrer,até
136,beber-ate-morrer,morrer!
137,beber-ate-morrer,Beber
138,beber-ate-morrer,até
139,beber-ate-morrer,"morrer,"
140,beber-ate-morrer,rá!
141,beber-ate-morrer,None
326,aids-pop-repressao,O
327,aids-pop-repressao,sexo
328,aids-pop-repressao,é
329,aids-pop-repressao,apenas
330,aids-pop-repressao,uma
331,aids-pop-repressao,forma
332,aids-pop-repressao,de
333,aids-pop-repressao,morrer
334,aids-pop-repressao,As
335,aids-pop-repressao,drogas
336,aids-pop-repressao,representam
337,aids-pop-repressao,um
338,aids-pop-repressao,caso
339,aids-pop-repressao,policial
340,aids-pop-repressao,Aquela
341,aids-pop-repressao,antiga
342,aids-pop-repressao,frase
343,aids-pop-repressao,não
344,aids-pop-repressao,dá
345,aids-pop-repressao,mais
346,aids-pop-repressao,para
347,aids-pop-repressao,falar
348,aids-pop-repressao,Um
349,aids-pop-repressao,punk
350,aids-pop-repressao,vira
351,aids-pop-repressao,crente
352,aids-pop-repressao,pra
353,aids-pop-repressao,pedir
354,aids-pop-repressao,a
355,aids-pop-repressao,salvação
356,aids-pop-repressao,Emborracha
357,aids-pop-repressao,o
358,aids-pop-repressao,danado
359,aids-pop-repressao,para
360,aids-pop-repressao,não
361,aids-pop-repressao,se
362,aids-pop-repressao,infectar
363,aids-pop-repressao,Aquela
364,aids-pop-repressao,coisa
365,aids-pop-repressao,boa
366,aids-pop-repressao,você
367,aids-pop-repressao,nunca
368,aids-pop-repressao,vai
369,aids-pop-repressao,achar
370,aids-pop-repressao,Quem
371,aids-pop-repressao,está
372,aids-pop-repressao,nascendo
373,aids-pop-repressao,agora
374,aids-pop-repressao,isso
375,aids-pop-repressao,não
376,aids-pop-repressao,vai
377,aids-pop-repressao,conhecer
378,aids-pop-repressao,Temos
379,aids-pop-repressao,que
380,aids-pop-repressao,nos
381,aids-pop-repressao,proteger
382,aids-pop-repressao,Os
383,aids-pop-repressao,prazeres
384,aids-pop-repressao,dessa
385,aids-pop-repressao,vida
386,aids-pop-repressao,já
387,aids-pop-repressao,viraram
388,aids-pop-repressao,maldição
389,aids-pop-repressao,O
390,aids-pop-repressao,que
391,aids-pop-repressao,é
392,aids-pop-repressao,que
393,aids-pop-repressao,eu
394,aids-pop-repressao,fiz
395,aids-pop-repressao,para
396,aids-pop-repressao,merecer
397,aids-pop-repressao,isso?
398,aids-pop-repressao,O
399,aids-pop-repressao,sexo
400,aids-pop-repressao,é
401,aids-pop-repressao,apenas
402,aids-pop-repressao,uma
403,aids-pop-repressao,forma
404,aids-pop-repressao,de
405,aids-pop-repressao,morrer
406,aids-pop-repressao,As
407,aids-pop-repressao,drogas
408,aids-pop-repressao,representam
409,aids-pop-repressao,um
410,aids-pop-repressao,caso
411,aids-pop-repressao,policial
412,aids-pop-repressao,Aquela
413,aids-pop-repressao,antiga
414,aids-pop-repressao,frase
415,aids-pop-repressao,não
416,aids-pop-repressao,dá
417,aids-pop-repressao,mais
418,aids-pop-repressao,para
419,aids-pop-repressao,falar
420,aids-pop-repressao,None
652,o-dotadao-deve-morrer,Todas
653,o-dotadao-deve-morrer,as
654,o-dotadao-deve-morrer,garotas
655,o-dotadao-deve-morrer,Para
656,o-dotadao-deve-morrer,a
657,o-dotadao-deve-morrer,casa
658,o-dotadao-deve-morrer,dele
659,o-dotadao-deve-morrer,O
660,o-dotadao-deve-morrer,dotadão
661,o-dotadao-deve-morrer,arrastou
662,o-dotadao-deve-morrer,Todas
663,o-dotadao-deve-morrer,as
664,o-dotadao-deve-morrer,garotas
665,o-dotadao-deve-morrer,Para
666,o-dotadao-deve-morrer,fora
667,o-dotadao-deve-morrer,do
668,o-dotadao-deve-morrer,bar
669,o-dotadao-deve-morrer,Esse
670,o-dotadao-deve-morrer,cara
671,o-dotadao-deve-morrer,deve
672,o-dotadao-deve-morrer,morrer
673,o-dotadao-deve-morrer,Deve
674,o-dotadao-deve-morrer,morrer
675,o-dotadao-deve-morrer,Deve
676,o-dotadao-deve-morrer,morrer
677,o-dotadao-deve-morrer,Deve
678,o-dotadao-deve-morrer,morrer
679,o-dotadao-deve-morrer,Todas
680,o-dotadao-deve-morrer,as
681,o-dotadao-deve-morrer,garotas
682,o-dotadao-deve-morrer,Para
683,o-dotadao-deve-morrer,o
684,o-dotadao-deve-morrer,carro
685,o-dotadao-deve-morrer,dele
686,o-dotadao-deve-morrer,O
687,o-dotadao-deve-morrer,dotadão
688,o-dotadao-deve-morrer,arrastou
689,o-dotadao-deve-morrer,Todas
690,o-dotadao-deve-morrer,as
691,o-dotadao-deve-morrer,garotas
692,o-dotadao-deve-morrer,Para
693,o-dotadao-deve-morrer,fora
