,Musicas,Acordes
0,cowboy-fora-da-lei,C
1,cowboy-fora-da-lei,D
2,cowboy-fora-da-lei,G
3,cowboy-fora-da-lei,Em
4,cowboy-fora-da-lei,C
5,cowboy-fora-da-lei,D
6,cowboy-fora-da-lei,G
7,cowboy-fora-da-lei,G
8,cowboy-fora-da-lei,Bm
9,cowboy-fora-da-lei,G
10,cowboy-fora-da-lei,Em
11,cowboy-fora-da-lei,D
12,cowboy-fora-da-lei,C
13,cowboy-fora-da-lei,D
14,cowboy-fora-da-lei,G
15,cowboy-fora-da-lei,Em
16,cowboy-fora-da-lei,C
17,cowboy-fora-da-lei,D
18,cowboy-fora-da-lei,G
19,cowboy-fora-da-lei,G
20,cowboy-fora-da-lei,Bm
21,cowboy-fora-da-lei,G
22,cowboy-fora-da-lei,Em
23,cowboy-fora-da-lei,D
24,cowboy-fora-da-lei,C
25,cowboy-fora-da-lei,D
26,cowboy-fora-da-lei,G
27,cowboy-fora-da-lei,Em
28,cowboy-fora-da-lei,C
29,cowboy-fora-da-lei,D
30,cowboy-fora-da-lei,G
31,cowboy-fora-da-lei,G
32,cowboy-fora-da-lei,G/A
33,cowboy-fora-da-lei,G/B
34,cowboy-fora-da-lei,C
35,cowboy-fora-da-lei,D
36,cowboy-fora-da-lei,G
37,cowboy-fora-da-lei,Em
38,cowboy-fora-da-lei,C
39,cowboy-fora-da-lei,D
40,cowboy-fora-da-lei,G
41,cowboy-fora-da-lei,G
42,cowboy-fora-da-lei,G/A
43,cowboy-fora-da-lei,G/B
44,cowboy-fora-da-lei,C
45,cowboy-fora-da-lei,D
46,cowboy-fora-da-lei,G
47,cowboy-fora-da-lei,Em
48,cowboy-fora-da-lei,C
49,cowboy-fora-da-lei,D
50,cowboy-fora-da-lei,G
51,cowboy-fora-da-lei,Bm
52,cowboy-fora-da-lei,G
53,cowboy-fora-da-lei,Em
54,cowboy-fora-da-lei,D
55,cowboy-fora-da-lei,C
56,cowboy-fora-da-lei,D
57,cowboy-fora-da-lei,G
58,cowboy-fora-da-lei,Em
59,cowboy-fora-da-lei,C
60,cowboy-fora-da-lei,D
61,cowboy-fora-da-lei,G
62,cowboy-fora-da-lei,G
63,cowboy-fora-da-lei,Bm
64,cowboy-fora-da-lei,G
65,cowboy-fora-da-lei,Em
66,cowboy-fora-da-lei,D
67,cowboy-fora-da-lei,C
68,cowboy-fora-da-lei,D
69,cowboy-fora-da-lei,G
70,cowboy-fora-da-lei,Em
71,cowboy-fora-da-lei,C
72,cowboy-fora-da-lei,D
73,cowboy-fora-da-lei,G
74,cowboy-fora-da-lei,G
75,cowboy-fora-da-lei,Bm
76,cowboy-fora-da-lei,G
77,cowboy-fora-da-lei,Em
78,cowboy-fora-da-lei,D
79,cowboy-fora-da-lei,C
80,cowboy-fora-da-lei,D
81,cowboy-fora-da-lei,G
82,cowboy-fora-da-lei,Em
83,cowboy-fora-da-lei,C
84,cowboy-fora-da-lei,D
85,cowboy-fora-da-lei,G
86,cowboy-fora-da-lei,G
87,cowboy-fora-da-lei,G/A
88,cowboy-fora-da-lei,G/B
89,cowboy-fora-da-lei,C
90,cowboy-fora-da-lei,D
91,cowboy-fora-da-lei,G
92,cowboy-fora-da-lei,Em
93,cowboy-fora-da-lei,C
94,cowboy-fora-da-lei,D
95,cowboy-fora-da-lei,G
96,cowboy-fora-da-lei,G
97,cowboy-fora-da-lei,G/A
