,Musicas,Palavras
0,cowboy-fora-da-lei,Pode
1,cowboy-fora-da-lei,ser
2,cowboy-fora-da-lei,que
3,cowboy-fora-da-lei,eu
4,cowboy-fora-da-lei,seja
5,cowboy-fora-da-lei,eleito
6,cowboy-fora-da-lei,E
7,cowboy-fora-da-lei,alguém
8,cowboy-fora-da-lei,pode
9,cowboy-fora-da-lei,querer
10,cowboy-fora-da-lei,me
11,cowboy-fora-da-lei,assassinar
12,cowboy-fora-da-lei,Eu
13,cowboy-fora-da-lei,não
14,cowboy-fora-da-lei,preciso
15,cowboy-fora-da-lei,ler
16,cowboy-fora-da-lei,jornais
17,cowboy-fora-da-lei,Mentir
18,cowboy-fora-da-lei,sozinho
19,cowboy-fora-da-lei,eu
20,cowboy-fora-da-lei,sou
21,cowboy-fora-da-lei,capaz
22,cowboy-fora-da-lei,Não
23,cowboy-fora-da-lei,quero
24,cowboy-fora-da-lei,ir
25,cowboy-fora-da-lei,de
26,cowboy-fora-da-lei,encontro
27,cowboy-fora-da-lei,ao
28,cowboy-fora-da-lei,azar
29,cowboy-fora-da-lei,Eu
30,cowboy-fora-da-lei,já
31,cowboy-fora-da-lei,servi
32,cowboy-fora-da-lei,à
33,cowboy-fora-da-lei,Pátria
34,cowboy-fora-da-lei,amada
35,cowboy-fora-da-lei,E
36,cowboy-fora-da-lei,todo
37,cowboy-fora-da-lei,mundo
38,cowboy-fora-da-lei,cobra
39,cowboy-fora-da-lei,minha
40,cowboy-fora-da-lei,luz
41,cowboy-fora-da-lei,"Oh,"
42,cowboy-fora-da-lei,"coitado,"
43,cowboy-fora-da-lei,foi
44,cowboy-fora-da-lei,tão
45,cowboy-fora-da-lei,cedo
46,cowboy-fora-da-lei,Deus
47,cowboy-fora-da-lei,me
48,cowboy-fora-da-lei,"livre,"
49,cowboy-fora-da-lei,eu
50,cowboy-fora-da-lei,tenho
51,cowboy-fora-da-lei,medo
52,cowboy-fora-da-lei,Morrer
53,cowboy-fora-da-lei,dependurado
54,cowboy-fora-da-lei,numa
55,cowboy-fora-da-lei,cruz
56,cowboy-fora-da-lei,Sou
57,cowboy-fora-da-lei,"vacinado,"
58,cowboy-fora-da-lei,eu
59,cowboy-fora-da-lei,sou
60,cowboy-fora-da-lei,cowboy
61,cowboy-fora-da-lei,Cowboy
62,cowboy-fora-da-lei,fora
63,cowboy-fora-da-lei,da
64,cowboy-fora-da-lei,lei
65,cowboy-fora-da-lei,Durango
66,cowboy-fora-da-lei,Kid
67,cowboy-fora-da-lei,só
68,cowboy-fora-da-lei,existe
69,cowboy-fora-da-lei,no
70,cowboy-fora-da-lei,gibi
71,cowboy-fora-da-lei,E
72,cowboy-fora-da-lei,quem
73,cowboy-fora-da-lei,quiser
74,cowboy-fora-da-lei,que
75,cowboy-fora-da-lei,fique
76,cowboy-fora-da-lei,aqui
77,cowboy-fora-da-lei,E
78,cowboy-fora-da-lei,entrar
79,cowboy-fora-da-lei,pra
80,cowboy-fora-da-lei,história
81,cowboy-fora-da-lei,e
82,cowboy-fora-da-lei,com
83,cowboy-fora-da-lei,vocês
84,cowboy-fora-da-lei,Pode
85,cowboy-fora-da-lei,ser
86,cowboy-fora-da-lei,que
87,cowboy-fora-da-lei,eu
88,cowboy-fora-da-lei,seja
89,cowboy-fora-da-lei,eleito
90,cowboy-fora-da-lei,E
91,cowboy-fora-da-lei,alguém
92,cowboy-fora-da-lei,pode
93,cowboy-fora-da-lei,querer
94,cowboy-fora-da-lei,me
95,cowboy-fora-da-lei,assassinar
96,cowboy-fora-da-lei,Eu
97,cowboy-fora-da-lei,não
98,cowboy-fora-da-lei,preciso
99,cowboy-fora-da-lei,ler
100,cowboy-fora-da-lei,jornais
101,cowboy-fora-da-lei,Mentir
102,cowboy-fora-da-lei,sozinho
103,cowboy-fora-da-lei,eu
104,cowboy-fora-da-lei,sou
105,cowboy-fora-da-lei,capaz
106,cowboy-fora-da-lei,Não
107,cowboy-fora-da-lei,quero
108,cowboy-fora-da-lei,ir
109,cowboy-fora-da-lei,de
110,cowboy-fora-da-lei,encontro
111,cowboy-fora-da-lei,ao
112,cowboy-fora-da-lei,azar
113,cowboy-fora-da-lei,Eu
114,cowboy-fora-da-lei,já
115,cowboy-fora-da-lei,servi
116,cowboy-fora-da-lei,à
117,cowboy-fora-da-lei,Pátria
118,cowboy-fora-da-lei,amada
119,cowboy-fora-da-lei,E
120,cowboy-fora-da-lei,todo
121,cowboy-fora-da-lei,mundo
122,cowboy-fora-da-lei,cobra
123,cowboy-fora-da-lei,minha
124,cowboy-fora-da-lei,"luz,"
125,cowboy-fora-da-lei,minha
126,cowboy-fora-da-lei,luz
127,cowboy-fora-da-lei,"Oh,"
128,cowboy-fora-da-lei,"coitado,"
129,cowboy-fora-da-lei,foi
130,cowboy-fora-da-lei,tão
131,cowboy-fora-da-lei,cedo
132,cowboy-fora-da-lei,Deus
133,cowboy-fora-da-lei,me
134,cowboy-fora-da-lei,"livre,"
135,cowboy-fora-da-lei,eu
136,cowboy-fora-da-lei,tenho
137,cowboy-fora-da-lei,medo
138,cowboy-fora-da-lei,Morrer
139,cowboy-fora-da-lei,dependurado
140,cowboy-fora-da-lei,numa
141,cowboy-fora-da-lei,cruz
142,cowboy-fora-da-lei,Sou
143,cowboy-fora-da-lei,"vacinado,"
144,cowboy-fora-da-lei,eu
145,cowboy-fora-da-lei,sou
146,cowboy-fora-da-lei,cowboy
147,cowboy-fora-da-lei,Cowboy
148,cowboy-fora-da-lei,fora
149,cowboy-fora-da-lei,da
150,cowboy-fora-da-lei,lei
151,cowboy-fora-da-lei,Durango
152,cowboy-fora-da-lei,Kid
153,cowboy-fora-da-lei,só
154,cowboy-fora-da-lei,existe
155,cowboy-fora-da-lei,no
156,cowboy-fora-da-lei,gibi
157,cowboy-fora-da-lei,E
158,cowboy-fora-da-lei,quem
159,cowboy-fora-da-lei,quiser
160,cowboy-fora-da-lei,que
161,cowboy-fora-da-lei,fique
162,cowboy-fora-da-lei,aqui
163,cowboy-fora-da-lei,E
164,cowboy-fora-da-lei,entrar
165,cowboy-fora-da-lei,pra
166,cowboy-fora-da-lei,história
167,cowboy-fora-da-lei,e
168,cowboy-fora-da-lei,com
169,cowboy-fora-da-lei,vocês
170,cowboy-fora-da-lei,Eu
171,cowboy-fora-da-lei,não
172,cowboy-fora-da-lei,sou
173,cowboy-fora-da-lei,besta
174,cowboy-fora-da-lei,pra
175,cowboy-fora-da-lei,tirar
176,cowboy-fora-da-lei,onda
177,cowboy-fora-da-lei,de
178,cowboy-fora-da-lei,herói
179,cowboy-fora-da-lei,Cowboy
180,cowboy-fora-da-lei,fora
181,cowboy-fora-da-lei,da
182,cowboy-fora-da-lei,lei
183,cowboy-fora-da-lei,Durango
184,cowboy-fora-da-lei,Kid
185,cowboy-fora-da-lei,só
186,cowboy-fora-da-lei,existe
187,cowboy-fora-da-lei,no
188,cowboy-fora-da-lei,gibi
189,cowboy-fora-da-lei,E
190,cowboy-fora-da-lei,quem
191,cowboy-fora-da-lei,quiser
192,cowboy-fora-da-lei,que
193,cowboy-fora-da-lei,fique
194,cowboy-fora-da-lei,aqui
195,cowboy-fora-da-lei,E
196,cowboy-fora-da-lei,entrar
197,cowboy-fora-da-lei,pra
198,cowboy-fora-da-lei,história
199,cowboy-fora-da-lei,e
200,cowboy-fora-da-lei,com
201,cowboy-fora-da-lei,vocês
202,cowboy-fora-da-lei,None
788,metamorfose-ambulante,Essa
789,metamorfose-ambulante,metamorfose
790,metamorfose-ambulante,ambulante
791,metamorfose-ambulante,Eu
792,metamorfose-ambulante,prefiro
793,metamorfose-ambulante,ser
794,metamorfose-ambulante,Essa
795,metamorfose-ambulante,metamorfose
796,metamorfose-ambulante,ambulante
797,metamorfose-ambulante,Formada
798,metamorfose-ambulante,sobre
799,metamorfose-ambulante,tudo
800,metamorfose-ambulante,Do
801,metamorfose-ambulante,que
802,metamorfose-ambulante,ter
803,metamorfose-ambulante,aquela
804,metamorfose-ambulante,velha
805,metamorfose-ambulante,opinião
806,metamorfose-ambulante,Formada
807,metamorfose-ambulante,sobre
808,metamorfose-ambulante,tudo
809,metamorfose-ambulante,Agora
810,metamorfose-ambulante,o
811,metamorfose-ambulante,oposto
812,metamorfose-ambulante,do
813,metamorfose-ambulante,que
814,metamorfose-ambulante,eu
815,metamorfose-ambulante,disse
816,metamorfose-ambulante,antes
817,metamorfose-ambulante,Eu
818,metamorfose-ambulante,prefiro
819,metamorfose-ambulante,ser
820,metamorfose-ambulante,Essa
821,metamorfose-ambulante,metamorfose
822,metamorfose-ambulante,ambulante
823,metamorfose-ambulante,Formada
824,metamorfose-ambulante,sobre
825,metamorfose-ambulante,tudo
826,metamorfose-ambulante,Do
827,metamorfose-ambulante,que
828,metamorfose-ambulante,ter
829,metamorfose-ambulante,aquela
830,metamorfose-ambulante,velha
831,metamorfose-ambulante,opinião
832,metamorfose-ambulante,Formada
833,metamorfose-ambulante,sobre
834,metamorfose-ambulante,tudo
835,metamorfose-ambulante,Sobre
836,metamorfose-ambulante,o
837,metamorfose-ambulante,que
838,metamorfose-ambulante,eu
839,metamorfose-ambulante,nem
840,metamorfose-ambulante,sei
841,metamorfose-ambulante,quem
842,metamorfose-ambulante,sou
843,metamorfose-ambulante,Amanhã
844,metamorfose-ambulante,já
845,metamorfose-ambulante,se
846,metamorfose-ambulante,apagou
847,metamorfose-ambulante,Se
848,metamorfose-ambulante,hoje
849,metamorfose-ambulante,eu
850,metamorfose-ambulante,te
851,metamorfose-ambulante,odeio
852,metamorfose-ambulante,Amanhã
853,metamorfose-ambulante,lhe
854,metamorfose-ambulante,tenho
855,metamorfose-ambulante,amor
856,metamorfose-ambulante,Lhe
857,metamorfose-ambulante,tenho
858,metamorfose-ambulante,horror
859,metamorfose-ambulante,Lhe
860,metamorfose-ambulante,faço
861,metamorfose-ambulante,amor
862,metamorfose-ambulante,Eu
863,metamorfose-ambulante,sou
864,metamorfose-ambulante,um
865,metamorfose-ambulante,ator
866,metamorfose-ambulante,A
867,metamorfose-ambulante,um
868,metamorfose-ambulante,objetivo
869,metamorfose-ambulante,num
870,metamorfose-ambulante,instante
871,metamorfose-ambulante,Eu
872,metamorfose-ambulante,quero
873,metamorfose-ambulante,viver
874,metamorfose-ambulante,Nessa
875,metamorfose-ambulante,metamorfose
876,metamorfose-ambulante,ambulante
877,metamorfose-ambulante,Formada
878,metamorfose-ambulante,sobre
879,metamorfose-ambulante,tudo
880,metamorfose-ambulante,Do
881,metamorfose-ambulante,que
882,metamorfose-ambulante,ter
883,metamorfose-ambulante,aquela
884,metamorfose-ambulante,velha
885,metamorfose-ambulante,opinião
886,metamorfose-ambulante,Formada
887,metamorfose-ambulante,sobre
888,metamorfose-ambulante,tudo
889,metamorfose-ambulante,Sobre
890,metamorfose-ambulante,o
891,metamorfose-ambulante,que
892,metamorfose-ambulante,eu
893,metamorfose-ambulante,nem
894,metamorfose-ambulante,sei
895,metamorfose-ambulante,quem
896,metamorfose-ambulante,sou
897,metamorfose-ambulante,Amanhã
898,metamorfose-ambulante,já
899,metamorfose-ambulante,se
900,metamorfose-ambulante,apagou
901,metamorfose-ambulante,Se
902,metamorfose-ambulante,hoje
903,metamorfose-ambulante,eu
904,metamorfose-ambulante,te
905,metamorfose-ambulante,odeio
906,metamorfose-ambulante,Amanhã
907,metamorfose-ambulante,lhe
908,metamorfose-ambulante,tenho
909,metamorfose-ambulante,amor
910,metamorfose-ambulante,Lhe
911,metamorfose-ambulante,tenho
912,metamorfose-ambulante,horror
913,metamorfose-ambulante,Lhe
914,metamorfose-ambulante,faço
915,metamorfose-ambulante,amor
916,metamorfose-ambulante,Eu
917,metamorfose-ambulante,sou
918,metamorfose-ambulante,um
919,metamorfose-ambulante,ator
920,metamorfose-ambulante,Aquilo
921,metamorfose-ambulante,tudo
922,metamorfose-ambulante,que
923,metamorfose-ambulante,eu
924,metamorfose-ambulante,lhe
925,metamorfose-ambulante,disse
926,metamorfose-ambulante,antes
927,metamorfose-ambulante,Eu
928,metamorfose-ambulante,prefiro
929,metamorfose-ambulante,ser
930,metamorfose-ambulante,Essa
931,metamorfose-ambulante,metamorfose
932,metamorfose-ambulante,ambulante
933,metamorfose-ambulante,Formada
934,metamorfose-ambulante,sobre
935,metamorfose-ambulante,tudo
936,metamorfose-ambulante,Do
937,metamorfose-ambulante,que
938,metamorfose-ambulante,ter
939,metamorfose-ambulante,aquela
940,metamorfose-ambulante,velha
941,metamorfose-ambulante,opinião
942,metamorfose-ambulante,Formada
943,metamorfose-ambulante,sobre
944,metamorfose-ambulante,tudo
945,metamorfose-ambulante,None
1576,tente-outra-vez,Não
1577,tente-outra-vez,diga
1578,tente-outra-vez,que
1579,tente-outra-vez,a
1580,tente-outra-vez,canção
1581,tente-outra-vez,Está
1582,tente-outra-vez,perdida
1583,tente-outra-vez,Tenha
1584,tente-outra-vez,fé
1585,tente-outra-vez,em
1586,tente-outra-vez,Deus
1587,tente-outra-vez,Tenha
1588,tente-outra-vez,fé
1589,tente-outra-vez,na
1590,tente-outra-vez,vida
1591,tente-outra-vez,Tente
1592,tente-outra-vez,outra
1593,tente-outra-vez,vez!
1594,tente-outra-vez,Pois
1595,tente-outra-vez,a
1596,tente-outra-vez,água
1597,tente-outra-vez,viva
1598,tente-outra-vez,Ainda
1599,tente-outra-vez,tá
1600,tente-outra-vez,na
1601,tente-outra-vez,fonte
1602,tente-outra-vez,(Tente
1603,tente-outra-vez,outra
1604,tente-outra-vez,vez!)
1605,tente-outra-vez,Você
1606,tente-outra-vez,tem
1607,tente-outra-vez,dois
1608,tente-outra-vez,pés
1609,tente-outra-vez,Para
1610,tente-outra-vez,cruzar
1611,tente-outra-vez,a
1612,tente-outra-vez,ponte
1613,tente-outra-vez,Nada
1614,tente-outra-vez,acabou!
1615,tente-outra-vez,Não!
1616,tente-outra-vez,Não!
1617,tente-outra-vez,Não!
1618,tente-outra-vez,Tente!
1619,tente-outra-vez,Levante
1620,tente-outra-vez,sua
1621,tente-outra-vez,mão
1622,tente-outra-vez,sedenta
1623,tente-outra-vez,E
1624,tente-outra-vez,recomece
1625,tente-outra-vez,a
1626,tente-outra-vez,andar
1627,tente-outra-vez,Não
1628,tente-outra-vez,pense
1629,tente-outra-vez,Que
1630,tente-outra-vez,a
1631,tente-outra-vez,cabeça
1632,tente-outra-vez,aguenta
1633,tente-outra-vez,Se
1634,tente-outra-vez,você
1635,tente-outra-vez,parar
1636,tente-outra-vez,Não!
1637,tente-outra-vez,Não!
1638,tente-outra-vez,Não!
1639,tente-outra-vez,Não!
1640,tente-outra-vez,Não!
1641,tente-outra-vez,Não!
1642,tente-outra-vez,Uma
1643,tente-outra-vez,voz
1644,tente-outra-vez,que
1645,tente-outra-vez,dança
1646,tente-outra-vez,Uma
1647,tente-outra-vez,voz
1648,tente-outra-vez,que
1649,tente-outra-vez,gira
1650,tente-outra-vez,(Gira!)
1651,tente-outra-vez,Bailando
1652,tente-outra-vez,no
1653,tente-outra-vez,ar
1654,tente-outra-vez,Uh!
1655,tente-outra-vez,Uh!
1656,tente-outra-vez,Uh!
1657,tente-outra-vez,Basta
1658,tente-outra-vez,ser
1659,tente-outra-vez,sincero
1660,tente-outra-vez,E
1661,tente-outra-vez,desejar
1662,tente-outra-vez,profundo
1663,tente-outra-vez,Você
1664,tente-outra-vez,será
1665,tente-outra-vez,capaz
1666,tente-outra-vez,De
1667,tente-outra-vez,sacudir
1668,tente-outra-vez,o
1669,tente-outra-vez,mundo
1670,tente-outra-vez,Vai!
1671,tente-outra-vez,Tente
1672,tente-outra-vez,outra
1673,tente-outra-vez,vez!
1674,tente-outra-vez,Humrum!
1675,tente-outra-vez,E
1676,tente-outra-vez,não
1677,tente-outra-vez,diga
1678,tente-outra-vez,Que
1679,tente-outra-vez,a
1680,tente-outra-vez,vitória
1681,tente-outra-vez,está
1682,tente-outra-vez,perdida
1683,tente-outra-vez,Se
1684,tente-outra-vez,é
1685,tente-outra-vez,de
1686,tente-outra-vez,batalhas
1687,tente-outra-vez,Que
1688,tente-outra-vez,se
1689,tente-outra-vez,vive
1690,tente-outra-vez,a
1691,tente-outra-vez,vida
1692,tente-outra-vez,Han!
1693,tente-outra-vez,Tente
1694,tente-outra-vez,outra
1695,tente-outra-vez,vez!
1696,tente-outra-vez,None
2364,maluco-beleza,Se
2365,maluco-beleza,esforça
2366,maluco-beleza,pra
2367,maluco-beleza,ser
2368,maluco-beleza,Um
2369,maluco-beleza,sujeito
2370,maluco-beleza,normal
2371,maluco-beleza,E
2372,maluco-beleza,fazer
2373,maluco-beleza,tudo
2374,maluco-beleza,igual
2375,maluco-beleza,Eu
2376,maluco-beleza,do
2377,maluco-beleza,meu
2378,maluco-beleza,lado
2379,maluco-beleza,Aprendendo
2380,maluco-beleza,a
2381,maluco-beleza,ser
2382,maluco-beleza,louco
2383,maluco-beleza,Um
2384,maluco-beleza,maluco
2385,maluco-beleza,total
2386,maluco-beleza,Na
2387,maluco-beleza,loucura
2388,maluco-beleza,real
2389,maluco-beleza,A
2390,maluco-beleza,minha
2391,maluco-beleza,maluquez
2392,maluco-beleza,Misturada
2393,maluco-beleza,Com
2394,maluco-beleza,minha
2395,maluco-beleza,lucidez
2396,maluco-beleza,Vou
2397,maluco-beleza,ficar
2398,maluco-beleza,Ficar
2399,maluco-beleza,com
2400,maluco-beleza,certeza
2401,maluco-beleza,Maluco
2402,maluco-beleza,beleza
2403,maluco-beleza,Eu
2404,maluco-beleza,vou
2405,maluco-beleza,ficar
2406,maluco-beleza,Ficar
2407,maluco-beleza,com
2408,maluco-beleza,certeza
2409,maluco-beleza,Maluco
2410,maluco-beleza,beleza
2411,maluco-beleza,Que
2412,maluco-beleza,eu
2413,maluco-beleza,mesmo
2414,maluco-beleza,escolhi
2415,maluco-beleza,É
2416,maluco-beleza,tão
2417,maluco-beleza,fácil
2418,maluco-beleza,seguir
2419,maluco-beleza,Por
2420,maluco-beleza,não
2421,maluco-beleza,ter
2422,maluco-beleza,onde
2423,maluco-beleza,ir
2424,maluco-beleza,Controlando
2425,maluco-beleza,A
2426,maluco-beleza,minha
2427,maluco-beleza,maluquez
2428,maluco-beleza,Misturada
2429,maluco-beleza,Com
2430,maluco-beleza,minha
2431,maluco-beleza,lucidez
2432,maluco-beleza,Eeeeeeeeuu!
2433,maluco-beleza,Controlando
2434,maluco-beleza,A
2435,maluco-beleza,minha
2436,maluco-beleza,maluquez
2437,maluco-beleza,Misturada
2438,maluco-beleza,Com
2439,maluco-beleza,minha
2440,maluco-beleza,lucidez
2441,maluco-beleza,Ficar
2442,maluco-beleza,com
2443,maluco-beleza,certeza
2444,maluco-beleza,Maluco
2445,maluco-beleza,beleza
2446,maluco-beleza,Eu
2447,maluco-beleza,vou
2448,maluco-beleza,ficar
2449,maluco-beleza,Ficar
2450,maluco-beleza,com
2451,maluco-beleza,certeza
2452,maluco-beleza,Maluco
2453,maluco-beleza,beleza
2454,maluco-beleza,Eu
2455,maluco-beleza,vou
2456,maluco-beleza,ficar
2457,maluco-beleza,Ficar
2458,maluco-beleza,com
2459,maluco-beleza,toda
2460,maluco-beleza,certeza
2461,maluco-beleza,"Maluco,"
2462,maluco-beleza,maluco
2463,maluco-beleza,beleza
2464,maluco-beleza,None
3152,medo-da-chuva,Que
3153,medo-da-chuva,eu
3154,medo-da-chuva,sou
3155,medo-da-chuva,seu
3156,medo-da-chuva,escravo
3157,medo-da-chuva,Dizendo
3158,medo-da-chuva,que
3159,medo-da-chuva,eu
3160,medo-da-chuva,sou
3161,medo-da-chuva,seu
3162,medo-da-chuva,marido
3163,medo-da-chuva,E
3164,medo-da-chuva,não
3165,medo-da-chuva,posso
3166,medo-da-chuva,partir
3167,medo-da-chuva,Eu
3168,medo-da-chuva,fico
3169,medo-da-chuva,ao
3170,medo-da-chuva,seu
3171,medo-da-chuva,lado
3172,medo-da-chuva,sem
3173,medo-da-chuva,saber
3174,medo-da-chuva,Dos
3175,medo-da-chuva,amores
3176,medo-da-chuva,que
3177,medo-da-chuva,a
3178,medo-da-chuva,vida
3179,medo-da-chuva,me
3180,medo-da-chuva,trouxe
3181,medo-da-chuva,E
3182,medo-da-chuva,eu
3183,medo-da-chuva,não
3184,medo-da-chuva,pude
3185,medo-da-chuva,viver
3186,medo-da-chuva,O
3187,medo-da-chuva,meu
3188,medo-da-chuva,"medo,"
3189,medo-da-chuva,o
3190,medo-da-chuva,meu
3191,medo-da-chuva,medo
3192,medo-da-chuva,da
3193,medo-da-chuva,chuva
3194,medo-da-chuva,Pois
3195,medo-da-chuva,a
3196,medo-da-chuva,chuva
3197,medo-da-chuva,voltando
3198,medo-da-chuva,Pra
3199,medo-da-chuva,terra
3200,medo-da-chuva,traz
3201,medo-da-chuva,coisas
3202,medo-da-chuva,do
3203,medo-da-chuva,ar
3204,medo-da-chuva,O
3205,medo-da-chuva,segredo
3206,medo-da-chuva,da
3207,medo-da-chuva,vida
3208,medo-da-chuva,Vendo
3209,medo-da-chuva,as
3210,medo-da-chuva,pedras
3211,medo-da-chuva,que
3212,medo-da-chuva,choram
3213,medo-da-chuva,sozinhas
3214,medo-da-chuva,No
3215,medo-da-chuva,mesmo
3216,medo-da-chuva,lugar
3217,medo-da-chuva,Tanta
3218,medo-da-chuva,gente
3219,medo-da-chuva,aceitando
3220,medo-da-chuva,a
3221,medo-da-chuva,mentira
3222,medo-da-chuva,De
3223,medo-da-chuva,que
3224,medo-da-chuva,os
3225,medo-da-chuva,sonhos
3226,medo-da-chuva,desfazem
3227,medo-da-chuva,aquilo
3228,medo-da-chuva,Que
3229,medo-da-chuva,o
3230,medo-da-chuva,padre
3231,medo-da-chuva,falou
3232,medo-da-chuva,Eu
3233,medo-da-chuva,traí
3234,medo-da-chuva,a
3235,medo-da-chuva,mim
3236,medo-da-chuva,"mesmo,"
3237,medo-da-chuva,hoje
3238,medo-da-chuva,eu
3239,medo-da-chuva,sei
3240,medo-da-chuva,Que
3241,medo-da-chuva,ninguém
3242,medo-da-chuva,nesse
3243,medo-da-chuva,mundo
3244,medo-da-chuva,É
3245,medo-da-chuva,feliz
3246,medo-da-chuva,tendo
3247,medo-da-chuva,amado
3248,medo-da-chuva,uma
3249,medo-da-chuva,vez
3250,medo-da-chuva,Uma
3251,medo-da-chuva,vez
3252,medo-da-chuva,O
3253,medo-da-chuva,meu
3254,medo-da-chuva,"medo,"
3255,medo-da-chuva,o
3256,medo-da-chuva,meu
3257,medo-da-chuva,medo
3258,medo-da-chuva,da
3259,medo-da-chuva,chuva
3260,medo-da-chuva,Pois
3261,medo-da-chuva,a
3262,medo-da-chuva,chuva
3263,medo-da-chuva,voltando
3264,medo-da-chuva,Pra
3265,medo-da-chuva,terra
3266,medo-da-chuva,traz
