,Musicas,Acordes
0,a-folha-voa,F#m7
1,a-folha-voa,Bm7
2,a-folha-voa,C#7/9+
3,a-folha-voa,F#m7
4,a-folha-voa,G#7
5,a-folha-voa,Bm7
6,a-folha-voa,C#7/9+
7,a-folha-voa,C7(9)
8,a-folha-voa,F#m7
9,a-folha-voa,Bm7
10,a-folha-voa,C#7/9+
11,a-folha-voa,F#m7
12,a-folha-voa,Bm7
13,a-folha-voa,C#7/9+
14,a-folha-voa,C7/9
15,a-folha-voa,F#m7
16,a-folha-voa,Bm7
17,a-folha-voa,G#m7/5-
18,a-folha-voa,C#7/9+
19,a-folha-voa,F#m7
20,a-folha-voa,D#°
21,a-folha-voa,F#°
22,a-folha-voa,F#m7
23,a-folha-voa,Bm7
24,a-folha-voa,C#7/9+
25,a-folha-voa,F#m7
26,a-folha-voa,Bm7
27,a-folha-voa,C#7/9+
28,a-folha-voa,C7/9
29,a-folha-voa,F#m7
30,a-folha-voa,Bm7
31,a-folha-voa,C#7/9+
32,a-folha-voa,F#m7
33,a-folha-voa,Bm7
34,a-folha-voa,C#7/9+
35,a-folha-voa,F#m7
36,a-folha-voa,Bm7
37,a-folha-voa,G#m7/5-
38,a-folha-voa,C#7/9+
39,a-folha-voa,F#m7
40,a-folha-voa,D#°
41,a-folha-voa,F#m7
42,a-folha-voa,Bm7
43,a-folha-voa,C#7/9+
44,a-folha-voa,F#m7
45,a-folha-voa,Bm7
46,a-folha-voa,A7+
47,a-folha-voa,D#°
48,a-folha-voa,F#°
49,a-folha-voa,A7+
50,a-folha-voa,A#°
51,a-folha-voa,Bm7
52,a-folha-voa,E7/9
53,a-folha-voa,A7+
54,a-folha-voa,A#°
55,a-folha-voa,Bm7
56,a-folha-voa,D7/9
57,a-folha-voa,A7+
58,a-folha-voa,A#°
59,a-folha-voa,Bm7
60,a-folha-voa,D7/9
61,a-folha-voa,A7+
62,a-folha-voa,A#°
63,a-folha-voa,Bm7
64,a-folha-voa,D7/9
