,Musicas,Palavras
0,a-folha-voa,Eu
1,a-folha-voa,não
2,a-folha-voa,consigo
3,a-folha-voa,"entender,"
4,a-folha-voa,tem
5,a-folha-voa,gente
6,a-folha-voa,que
7,a-folha-voa,acha
8,a-folha-voa,que
9,a-folha-voa,é
10,a-folha-voa,"vicio,"
11,a-folha-voa,Que
12,a-folha-voa,eu
13,a-folha-voa,não
14,a-folha-voa,vou
15,a-folha-voa,"mudar,"
16,a-folha-voa,que
17,a-folha-voa,eu
18,a-folha-voa,não
19,a-folha-voa,vou
20,a-folha-voa,me
21,a-folha-voa,acostumar
22,a-folha-voa,.
23,a-folha-voa,Madrugada
24,a-folha-voa,na
25,a-folha-voa,rua
26,a-folha-voa,você
27,a-folha-voa,me
28,a-folha-voa,"liberta,"
29,a-folha-voa,me
30,a-folha-voa,abre
31,a-folha-voa,a
32,a-folha-voa,mente
33,a-folha-voa,e
34,a-folha-voa,me
35,a-folha-voa,faz
36,a-folha-voa,presente
37,a-folha-voa,com
38,a-folha-voa,outras
39,a-folha-voa,pessoas
40,a-folha-voa,ali
41,a-folha-voa,na
42,a-folha-voa,"lagoa,"
43,a-folha-voa,degusta
44,a-folha-voa,o
45,a-folha-voa,conhaque
46,a-folha-voa,que
47,a-folha-voa,arde
48,a-folha-voa,na
49,a-folha-voa,boca
50,a-folha-voa,e
51,a-folha-voa,a
52,a-folha-voa,música
53,a-folha-voa,"soa,"
54,a-folha-voa,tem
55,a-folha-voa,gente
56,a-folha-voa,que
57,a-folha-voa,acha
58,a-folha-voa,que
59,a-folha-voa,é
60,a-folha-voa,vicio
61,a-folha-voa,da
62,a-folha-voa,gente
63,a-folha-voa,...
64,a-folha-voa,Tanto
65,a-folha-voa,faz
66,a-folha-voa,madrugada
67,a-folha-voa,não
68,a-folha-voa,tem
69,a-folha-voa,carro
70,a-folha-voa,na
71,a-folha-voa,rua
72,a-folha-voa,e
73,a-folha-voa,nem
74,a-folha-voa,"poeira,"
75,a-folha-voa,ninguém
76,a-folha-voa,vai
77,a-folha-voa,gritar
78,a-folha-voa,Ninguém
79,a-folha-voa,na
80,a-folha-voa,terça-feira
81,a-folha-voa,não
82,a-folha-voa,marca
83,a-folha-voa,"bobeira,"
84,a-folha-voa,piranhas
85,a-folha-voa,e
86,a-folha-voa,a
87,a-folha-voa,cena
88,a-folha-voa,quem
89,a-folha-voa,é
90,a-folha-voa,da
91,a-folha-voa,"calada,"
92,a-folha-voa,Tem
93,a-folha-voa,sobre
94,a-folha-voa,a
95,a-folha-voa,cabeça
96,a-folha-voa,o
97,a-folha-voa,sereno
98,a-folha-voa,que
99,a-folha-voa,cai
100,a-folha-voa,das
101,a-folha-voa,alturas
102,a-folha-voa,e
103,a-folha-voa,deixa
104,a-folha-voa,a
105,a-folha-voa,paz
106,a-folha-voa,na
107,a-folha-voa,pessoa
108,a-folha-voa,tem
109,a-folha-voa,gente
110,a-folha-voa,que
111,a-folha-voa,acha
112,a-folha-voa,que
113,a-folha-voa,é
114,a-folha-voa,vicio
115,a-folha-voa,da
116,a-folha-voa,gente
117,a-folha-voa,e
118,a-folha-voa,a
119,a-folha-voa,música
120,a-folha-voa,soa
121,a-folha-voa,...
122,a-folha-voa,E
123,a-folha-voa,o
124,a-folha-voa,mundo
125,a-folha-voa,é
126,a-folha-voa,tão
127,a-folha-voa,cruel
128,a-folha-voa,tipo
129,a-folha-voa,um
130,a-folha-voa,grande
131,a-folha-voa,"hospício,cada"
132,a-folha-voa,louco
133,a-folha-voa,tem
134,a-folha-voa,o
135,a-folha-voa,seu
136,a-folha-voa,compromisso
137,a-folha-voa,Não
138,a-folha-voa,adianta
139,a-folha-voa,você
140,a-folha-voa,esquecer
141,a-folha-voa,que
142,a-folha-voa,a
143,a-folha-voa,perfeição
144,a-folha-voa,não
145,a-folha-voa,está
146,a-folha-voa,em
147,a-folha-voa,"você,"
148,a-folha-voa,Mas
149,a-folha-voa,tem
150,a-folha-voa,que
151,a-folha-voa,ver
152,a-folha-voa,que
153,a-folha-voa,a
154,a-folha-voa,vida
155,a-folha-voa,é
156,a-folha-voa,só
157,a-folha-voa,um
158,a-folha-voa,papel
159,a-folha-voa,e
160,a-folha-voa,o
161,a-folha-voa,seu
162,a-folha-voa,prejuízo
163,a-folha-voa,é
164,a-folha-voa,achar
165,a-folha-voa,que
166,a-folha-voa,quem
167,a-folha-voa,comanda
168,a-folha-voa,sou
169,a-folha-voa,eu
170,a-folha-voa,ou
171,a-folha-voa,você
172,a-folha-voa,Mas
173,a-folha-voa,a
174,a-folha-voa,folha
175,a-folha-voa,vôa
176,a-folha-voa,e
177,a-folha-voa,a
178,a-folha-voa,música
179,a-folha-voa,soa
180,a-folha-voa,...
181,a-folha-voa,None
