,Musicas,Acordes
0,mun-ra,C9
1,mun-ra,D9
2,mun-ra,Em
3,mun-ra,C7M
4,mun-ra,D
5,mun-ra,Em7(9)
6,mun-ra,C9
7,mun-ra,D9
8,mun-ra,Em
9,mun-ra,C9
10,mun-ra,D9
11,mun-ra,Em
12,mun-ra,C9
13,mun-ra,D9
14,mun-ra,Em
15,mun-ra,C9
16,mun-ra,D9
17,mun-ra,Em
18,mun-ra,C9
19,mun-ra,D9
20,mun-ra,Em
21,mun-ra,C9
22,mun-ra,D9
23,mun-ra,Em
24,mun-ra,C9
25,mun-ra,D9
26,mun-ra,Em
27,mun-ra,C9
28,mun-ra,D9
29,mun-ra,Em
30,mun-ra,C9
31,mun-ra,D9
32,mun-ra,Em
33,mun-ra,C9
34,mun-ra,D9
35,mun-ra,Em
36,mun-ra,C9
37,mun-ra,D9
38,mun-ra,Em
39,mun-ra,C9
40,mun-ra,D9
41,mun-ra,Em
42,mun-ra,C9
43,mun-ra,D9
44,mun-ra,Em
45,mun-ra,C9
46,mun-ra,D9
47,mun-ra,Em
48,mun-ra,C9
49,mun-ra,D9
50,mun-ra,Em
51,mun-ra,C9
52,mun-ra,D9
53,mun-ra,Em
54,mun-ra,C9
55,mun-ra,D9
56,mun-ra,Em
57,mun-ra,C9
58,mun-ra,D9
59,mun-ra,Em
60,mun-ra,C9
61,mun-ra,D9
62,mun-ra,Em
63,mun-ra,C9
64,mun-ra,D9
65,mun-ra,Em
264,cantando-pro-santo,Am
265,cantando-pro-santo,D
266,cantando-pro-santo,Am
267,cantando-pro-santo,D
268,cantando-pro-santo,Am
269,cantando-pro-santo,D
270,cantando-pro-santo,Am
271,cantando-pro-santo,D
272,cantando-pro-santo,Am
273,cantando-pro-santo,D
274,cantando-pro-santo,Am
275,cantando-pro-santo,D
276,cantando-pro-santo,Am
277,cantando-pro-santo,D
278,cantando-pro-santo,Am
279,cantando-pro-santo,D
280,cantando-pro-santo,Am
281,cantando-pro-santo,D
282,cantando-pro-santo,Am
283,cantando-pro-santo,D
284,cantando-pro-santo,Am
285,cantando-pro-santo,D
286,cantando-pro-santo,Am
287,cantando-pro-santo,D
288,cantando-pro-santo,Am
289,cantando-pro-santo,D
290,cantando-pro-santo,Am
291,cantando-pro-santo,D
330,dama-tereza,G7
331,dama-tereza,C7
332,dama-tereza,G7
333,dama-tereza,C7
334,dama-tereza,G7
335,dama-tereza,G7
336,dama-tereza,G7
337,dama-tereza,C7
338,dama-tereza,C7
339,dama-tereza,G7
340,dama-tereza,C7
341,dama-tereza,C7
342,dama-tereza,G7
343,dama-tereza,C7
344,dama-tereza,G7
345,dama-tereza,C7
346,dama-tereza,G7
347,dama-tereza,C7
348,dama-tereza,C7
349,dama-tereza,G7
350,dama-tereza,C7
351,dama-tereza,G7
352,dama-tereza,G7
353,dama-tereza,C7
354,dama-tereza,G7
355,dama-tereza,C7
356,dama-tereza,G7
357,dama-tereza,C7
358,dama-tereza,G7
359,dama-tereza,G7
360,dama-tereza,C7
361,dama-tereza,G7
362,dama-tereza,C7
363,dama-tereza,G7
364,dama-tereza,C7
365,dama-tereza,G7
366,dama-tereza,C7
367,dama-tereza,G7
368,dama-tereza,C7
369,dama-tereza,G7
370,dama-tereza,C7
371,dama-tereza,G7
372,dama-tereza,C7
373,dama-tereza,G7
374,dama-tereza,G7
375,dama-tereza,G7
376,dama-tereza,C7
377,dama-tereza,G7
378,dama-tereza,C7
379,dama-tereza,G7
380,dama-tereza,C7
381,dama-tereza,C7
382,dama-tereza,G7
383,dama-tereza,C7
384,dama-tereza,G7
462,respeito--lei-part-instituto-daniel-ganjaman-e-quincas,Bm
463,respeito--lei-part-instituto-daniel-ganjaman-e-quincas,F#m
