,Musicas,Palavras
0,mun-ra,Vermelho
1,mun-ra,Batom
2,mun-ra,Foi
3,mun-ra,vista
4,mun-ra,com
5,mun-ra,Jow
6,mun-ra,Malhando
7,mun-ra,na
8,mun-ra,praça
9,mun-ra,Sabot
10,mun-ra,Canão
11,mun-ra,Convoca
12,mun-ra,no
13,mun-ra,som
14,mun-ra,A
15,mun-ra,Paz
16,mun-ra,dos
17,mun-ra,irmãos
18,mun-ra,De
19,mun-ra,toda
20,mun-ra,quebrada
21,mun-ra,Sabotage
22,mun-ra,mano
23,mun-ra,Anísio
24,mun-ra,Eu
25,mun-ra,vejo
26,mun-ra,diabólico
27,mun-ra,confiro
28,mun-ra,analiso
29,mun-ra,Um
30,mun-ra,Branco
31,mun-ra,e
32,mun-ra,um
33,mun-ra,Preto
34,mun-ra,unido
35,mun-ra,Respostas
36,mun-ra,que
37,mun-ra,cala
38,mun-ra,o
39,mun-ra,ridículo
40,mun-ra,Eu
41,mun-ra,"adquiro,"
42,mun-ra,"alivio,"
43,mun-ra,paz
44,mun-ra,para
45,mun-ra,os
46,mun-ra,meu
47,mun-ra,filhos
48,mun-ra,Na
49,mun-ra,"decente,"
50,mun-ra,atenciosamente
51,mun-ra,eu
52,mun-ra,sigo
53,mun-ra,em
54,mun-ra,frente
55,mun-ra,tipo
56,mun-ra,assim
57,mun-ra,Regenerado
58,mun-ra,delinquente
59,mun-ra,lá
60,mun-ra,do
61,mun-ra,Brooklyn
62,mun-ra,Não
63,mun-ra,sou
64,mun-ra,Mun-Rá
65,mun-ra,mas
66,mun-ra,tenho
67,mun-ra,sim
68,mun-ra,uns
69,mun-ra,Pit
70,mun-ra,Bull
71,mun-ra,por
72,mun-ra,mim
73,mun-ra,Sei
74,mun-ra,que
75,mun-ra,até
76,mun-ra,"lá,"
77,mun-ra,liberdade
78,mun-ra,"já,"
79,mun-ra,pros
80,mun-ra,meus
81,mun-ra,irmãozinhos
82,mun-ra,Representei
83,mun-ra,com
84,mun-ra,um
85,mun-ra,do
86,mun-ra,verdinho
87,mun-ra,na
88,mun-ra,mente
89,mun-ra,ok
90,mun-ra,Não
91,mun-ra,desandei
92,mun-ra,eu
93,mun-ra,me
94,mun-ra,"empenhei,"
95,mun-ra,me
96,mun-ra,dediquei
97,mun-ra,também
98,mun-ra,Conheço
99,mun-ra,o
100,mun-ra,"povo,"
101,mun-ra,de
102,mun-ra,"Sampa,"
103,mun-ra,"RJ,"
104,mun-ra,"BH,"
