,Musicas,Acordes
816,territory,A
817,territory,A
818,territory,F
819,territory,F
820,territory,C
821,territory,C
822,territory,G
823,territory,G
824,territory,D
825,territory,D
826,territory,A
827,territory,F
828,territory,C
829,territory,G
830,territory,D
831,territory,A
832,territory,F
833,territory,C
834,territory,G
835,territory,D
836,territory,A
837,territory,A
838,territory,F
839,territory,F
840,territory,C
841,territory,C
842,territory,G
843,territory,G
844,territory,D
845,territory,D
846,territory,A
847,territory,F
848,territory,C
849,territory,G
850,territory,D
851,territory,A
852,territory,A
853,territory,F
854,territory,F
855,territory,C
856,territory,C
857,territory,G
858,territory,G
859,territory,D
860,territory,D
861,territory,A
862,territory,F
863,territory,C
864,territory,G
865,territory,D
866,territory,A
867,territory,F
868,territory,C
869,territory,G
870,territory,D
1224,orgasmatron,E5
1225,orgasmatron,A5
1226,orgasmatron,E5
1227,orgasmatron,C#5
1228,orgasmatron,F#5
1229,orgasmatron,E5
1230,orgasmatron,C5
1231,orgasmatron,D5
1232,orgasmatron,E5
2856,ratamahatta,C5
2857,ratamahatta,D5
2858,ratamahatta,C5
2859,ratamahatta,D5
2860,ratamahatta,C5
2861,ratamahatta,D5
2862,ratamahatta,C5
2863,ratamahatta,D5
2864,ratamahatta,C5
2865,ratamahatta,D5
2866,ratamahatta,C5
2867,ratamahatta,D5
4080,a-danca-das-borboletas,A4
4081,a-danca-das-borboletas,Bb5
4082,a-danca-das-borboletas,B5
4083,a-danca-das-borboletas,E5
4084,a-danca-das-borboletas,B5
4085,a-danca-das-borboletas,Bb5
4086,a-danca-das-borboletas,A4
4087,a-danca-das-borboletas,Bb5
4088,a-danca-das-borboletas,B5
4089,a-danca-das-borboletas,E5
4090,a-danca-das-borboletas,B5
4091,a-danca-das-borboletas,Bb5
4092,a-danca-das-borboletas,D5
4093,a-danca-das-borboletas,A5
4094,a-danca-das-borboletas,E5
4095,a-danca-das-borboletas,G5
4488,a-hora-a-vez-cabelo-nascer,A
6936,amen,A1
6937,amen,F#
6938,amen,C#
6939,amen,G#
6940,amen,D#
6941,amen,B
6942,amen,C
6943,amen,D#-
6944,amen,A#-
6945,amen,F#-
6946,amen,G#-
6947,amen,D#-
6948,amen,F#-
6949,amen,C#-
6950,amen,G#-
6951,amen,D#-
6952,amen,F#
6953,amen,F#
6954,amen,C#
6955,amen,D1
6956,amen,C#-
6957,amen,G#-
6958,amen,D#-
6959,amen,G#-
6960,amen,D#-
6961,amen,C#-
6962,amen,G#-
6963,amen,D#-
6964,amen,G#-
6965,amen,D#-
6966,amen,C#-
6967,amen,G#-
6968,amen,D#-
6969,amen,G#-
6970,amen,D#-
6971,amen,F#-
6972,amen,C#-
6973,amen,G#-
6974,amen,D#-
6975,amen,F#-
6976,amen,C#-
6977,amen,G#-
