,Musicas,Palavras
0,kamaitachi,None
520,roots-bloody-roots,<span
521,roots-bloody-roots,"class=""l_row""><span>Roots,"
522,roots-bloody-roots,bloody
523,roots-bloody-roots,roots</span></span>
524,roots-bloody-roots,<span
525,roots-bloody-roots,"class=""l_row""><span>Roots,"
526,roots-bloody-roots,bloody
527,roots-bloody-roots,roots</span></span>
528,roots-bloody-roots,<span
529,roots-bloody-roots,"class=""l_row""><span>Roots,"
530,roots-bloody-roots,bloody
531,roots-bloody-roots,roots</span></span>
532,roots-bloody-roots,<span
533,roots-bloody-roots,"class=""l_row""><span>We"
534,roots-bloody-roots,don't
535,roots-bloody-roots,need
536,roots-bloody-roots,to
537,roots-bloody-roots,fake</span></span>
538,roots-bloody-roots,<span
539,roots-bloody-roots,"class=""l_row""><span>It's"
540,roots-bloody-roots,all
541,roots-bloody-roots,we
542,roots-bloody-roots,wanna
543,roots-bloody-roots,be</span></span>
544,roots-bloody-roots,<span
545,roots-bloody-roots,"class=""l_row""><span>Watch"
546,roots-bloody-roots,me
547,roots-bloody-roots,freak</span></span>
548,roots-bloody-roots,<span
549,roots-bloody-roots,"class=""l_row""><span>Getting"
550,roots-bloody-roots,stronger
551,roots-bloody-roots,in
552,roots-bloody-roots,every
553,roots-bloody-roots,way</span></span>
554,roots-bloody-roots,<span
555,roots-bloody-roots,"class=""l_row""><span>I'll"
556,roots-bloody-roots,take
557,roots-bloody-roots,you
558,roots-bloody-roots,to
559,roots-bloody-roots,a
560,roots-bloody-roots,place</span></span>
561,roots-bloody-roots,<span
562,roots-bloody-roots,"class=""l_row""><span>Where"
563,roots-bloody-roots,we
564,roots-bloody-roots,shall
565,roots-bloody-roots,find
566,roots-bloody-roots,our</span></span>
567,roots-bloody-roots,<span
568,roots-bloody-roots,"class=""l_row""><span>Roots,"
569,roots-bloody-roots,bloody
570,roots-bloody-roots,roots</span></span>
571,roots-bloody-roots,<span
572,roots-bloody-roots,"class=""l_row""><span>Roots,"
573,roots-bloody-roots,bloody
574,roots-bloody-roots,roots</span></span>
575,roots-bloody-roots,<span
576,roots-bloody-roots,"class=""l_row""><span>Roots,"
577,roots-bloody-roots,bloody
578,roots-bloody-roots,roots</span></span>
579,roots-bloody-roots,<span
580,roots-bloody-roots,"class=""l_row""><span>To"
581,roots-bloody-roots,get
582,roots-bloody-roots,to
583,roots-bloody-roots,another
584,roots-bloody-roots,day</span></span>
585,roots-bloody-roots,<span
586,roots-bloody-roots,"class=""l_row""><span>And"
587,roots-bloody-roots,all
588,roots-bloody-roots,I
