,Musicas,Acordes
0,amiga-da-minha-mulher,Dm7
1,amiga-da-minha-mulher,E7/G#
2,amiga-da-minha-mulher,Am
3,amiga-da-minha-mulher,Dm7(9)
4,amiga-da-minha-mulher,E7
5,amiga-da-minha-mulher,Am7(9)
6,amiga-da-minha-mulher,Dm7
7,amiga-da-minha-mulher,G7(13)
8,amiga-da-minha-mulher,C7M
9,amiga-da-minha-mulher,Bm7(5-)
10,amiga-da-minha-mulher,E7
11,amiga-da-minha-mulher,Am7(9)
12,amiga-da-minha-mulher,Bm7(5-)
13,amiga-da-minha-mulher,E7
14,amiga-da-minha-mulher,Am7(9)
15,amiga-da-minha-mulher,Bm7(5-)
16,amiga-da-minha-mulher,E7
17,amiga-da-minha-mulher,Am7(9)
18,amiga-da-minha-mulher,Dm7(9)
19,amiga-da-minha-mulher,E7
20,amiga-da-minha-mulher,Am7(9)
21,amiga-da-minha-mulher,Dm7(9)
22,amiga-da-minha-mulher,E7
23,amiga-da-minha-mulher,Am7(9)
24,amiga-da-minha-mulher,Dm7(9)
25,amiga-da-minha-mulher,E7
26,amiga-da-minha-mulher,Am7(9)
27,amiga-da-minha-mulher,Dm7(9)
28,amiga-da-minha-mulher,G7(13)
29,amiga-da-minha-mulher,C7M
30,amiga-da-minha-mulher,Bm7(5-)
31,amiga-da-minha-mulher,E7
32,amiga-da-minha-mulher,Am7(9)
33,amiga-da-minha-mulher,Bm7(5-)
34,amiga-da-minha-mulher,E7
35,amiga-da-minha-mulher,Am7(9)
36,amiga-da-minha-mulher,Bm7(5-)
37,amiga-da-minha-mulher,E7
38,amiga-da-minha-mulher,Am7(9)
39,amiga-da-minha-mulher,Dm7(9)
40,amiga-da-minha-mulher,E7
41,amiga-da-minha-mulher,Am7(9)
42,amiga-da-minha-mulher,Dm7(9)
43,amiga-da-minha-mulher,E7
44,amiga-da-minha-mulher,Am7(9)
45,amiga-da-minha-mulher,Dm7(9)
46,amiga-da-minha-mulher,G7(13)
47,amiga-da-minha-mulher,C7M
48,amiga-da-minha-mulher,F7M
49,amiga-da-minha-mulher,Bm7(5-)
50,amiga-da-minha-mulher,E7
51,amiga-da-minha-mulher,Am7(9)
52,amiga-da-minha-mulher,A7/C#
53,amiga-da-minha-mulher,Dm7(9)
54,amiga-da-minha-mulher,G7(13)
55,amiga-da-minha-mulher,C7M
56,amiga-da-minha-mulher,F7M
57,amiga-da-minha-mulher,Bm7(5-)
58,amiga-da-minha-mulher,E7
59,amiga-da-minha-mulher,Am7(9)
60,amiga-da-minha-mulher,A7/C#
61,amiga-da-minha-mulher,Dm7
62,amiga-da-minha-mulher,G7(13)
63,amiga-da-minha-mulher,C7M
64,amiga-da-minha-mulher,F7M
65,amiga-da-minha-mulher,Bm7(5-)
66,amiga-da-minha-mulher,E7
67,amiga-da-minha-mulher,Am7(9)
68,amiga-da-minha-mulher,Dm7(9)
69,amiga-da-minha-mulher,E7
70,amiga-da-minha-mulher,Am7(9)
71,amiga-da-minha-mulher,Dm7(9)
72,amiga-da-minha-mulher,E7
73,amiga-da-minha-mulher,Am7(9)
233,e-isso-ai,G9
234,e-isso-ai,G9
235,e-isso-ai,D/F#
236,e-isso-ai,C9
237,e-isso-ai,D
238,e-isso-ai,D4
239,e-isso-ai,D
240,e-isso-ai,C9
241,e-isso-ai,G9
242,e-isso-ai,D/F#
243,e-isso-ai,C9
244,e-isso-ai,D
245,e-isso-ai,D4
246,e-isso-ai,D
247,e-isso-ai,Em7
248,e-isso-ai,C9
249,e-isso-ai,Em7
250,e-isso-ai,C9
251,e-isso-ai,G/B
252,e-isso-ai,Am7
253,e-isso-ai,C9
254,e-isso-ai,D
255,e-isso-ai,C9
256,e-isso-ai,G9
257,e-isso-ai,G9
258,e-isso-ai,D/F#
259,e-isso-ai,C9
260,e-isso-ai,D
261,e-isso-ai,D4
262,e-isso-ai,D
263,e-isso-ai,C9
264,e-isso-ai,G9
265,e-isso-ai,D/F#
266,e-isso-ai,C9
267,e-isso-ai,D
268,e-isso-ai,Em7
269,e-isso-ai,C9
270,e-isso-ai,Em7
271,e-isso-ai,C9
272,e-isso-ai,G/B
273,e-isso-ai,Am7
274,e-isso-ai,C9
275,e-isso-ai,D
276,e-isso-ai,C9
277,e-isso-ai,G9
278,e-isso-ai,D/F#
279,e-isso-ai,Em7
280,e-isso-ai,C9
281,e-isso-ai,G/B
282,e-isso-ai,Am7
283,e-isso-ai,G/B
284,e-isso-ai,C9
285,e-isso-ai,D
286,e-isso-ai,G
287,e-isso-ai,G9
288,e-isso-ai,D/F#
289,e-isso-ai,C9
290,e-isso-ai,D
291,e-isso-ai,D4
292,e-isso-ai,D
293,e-isso-ai,C9
294,e-isso-ai,G9
295,e-isso-ai,D/F#
296,e-isso-ai,C9
297,e-isso-ai,D
298,e-isso-ai,D4
299,e-isso-ai,D
300,e-isso-ai,Em7
301,e-isso-ai,C9
302,e-isso-ai,Em7
303,e-isso-ai,C9
304,e-isso-ai,G/B
305,e-isso-ai,Am7
306,e-isso-ai,G/B
307,e-isso-ai,C9
308,e-isso-ai,D
309,e-isso-ai,C9
310,e-isso-ai,G9
466,burguesinha,A7+
467,burguesinha,D7+
468,burguesinha,A7+
469,burguesinha,D7+
470,burguesinha,A7+
471,burguesinha,D7+
472,burguesinha,C#m7
473,burguesinha,Bm7
474,burguesinha,E7/9
475,burguesinha,A7+
476,burguesinha,D7+
477,burguesinha,A7+
478,burguesinha,D7+
479,burguesinha,C#m7
480,burguesinha,Bm7
481,burguesinha,E7/9
482,burguesinha,A7+
483,burguesinha,D7+
484,burguesinha,A7+
485,burguesinha,D7+
486,burguesinha,A7+
487,burguesinha,D7+
488,burguesinha,A7+
489,burguesinha,D7+
490,burguesinha,A7+
491,burguesinha,D7+
699,tive-razao,Em7(9)
700,tive-razao,Dm7(9)
701,tive-razao,G4(7/9)
702,tive-razao,C7M
703,tive-razao,B7(11)
704,tive-razao,Em7(9)
705,tive-razao,Dm7(9)
706,tive-razao,G4(7/9)
707,tive-razao,C7M
708,tive-razao,B7(11)
709,tive-razao,Em7(9)
710,tive-razao,Dm7(9)
711,tive-razao,G4(7/9)
712,tive-razao,C7M
713,tive-razao,B7(11)
714,tive-razao,Em7(9)
715,tive-razao,Dm7(9)
716,tive-razao,G4(7/9)
717,tive-razao,C7M
718,tive-razao,B7(11)
719,tive-razao,Em7(9)
720,tive-razao,Dm7(9)
721,tive-razao,G4(7/9)
722,tive-razao,C7M
723,tive-razao,B7(11)
724,tive-razao,Em7(9)
725,tive-razao,Dm7(9)
726,tive-razao,G4(7/9)
727,tive-razao,C7M
728,tive-razao,B7(11)
729,tive-razao,Em7(9)
730,tive-razao,Dm7(9)
731,tive-razao,G4(7/9)
732,tive-razao,C7M
733,tive-razao,B7(11)
734,tive-razao,Em7(9)
735,tive-razao,Dm7(9)
736,tive-razao,G4(7/9)
737,tive-razao,C7M
738,tive-razao,B7(11)
739,tive-razao,Em7(9)
740,tive-razao,Dm7(9)
741,tive-razao,G4(7/9)
742,tive-razao,C7M
743,tive-razao,B7(11)
744,tive-razao,Em7(9)
745,tive-razao,Dm7(9)
746,tive-razao,G4(7/9)
747,tive-razao,C7M
748,tive-razao,B7(11)
749,tive-razao,Em7(9)
750,tive-razao,Dm7(9)
751,tive-razao,G4(7/9)
752,tive-razao,C7M
753,tive-razao,B7(11)
932,mina-do-condominio,Bm7
933,mina-do-condominio,E7(9)
934,mina-do-condominio,Bm7
935,mina-do-condominio,E7(9)
936,mina-do-condominio,Bm7
937,mina-do-condominio,E7(9)
938,mina-do-condominio,Em7(9)
939,mina-do-condominio,C#m7(5-)
940,mina-do-condominio,F#7(13-)
941,mina-do-condominio,Bm7
942,mina-do-condominio,E7(9)
943,mina-do-condominio,Bm7
944,mina-do-condominio,E7(9)
945,mina-do-condominio,Em7(9)
946,mina-do-condominio,C#m7(5-)
947,mina-do-condominio,F#7(13-)
948,mina-do-condominio,Bm7
949,mina-do-condominio,E7(9)
950,mina-do-condominio,Bm7
951,mina-do-condominio,E7(9)
952,mina-do-condominio,Em7(9)
953,mina-do-condominio,C#m7(5-)
954,mina-do-condominio,F#7(13-)
955,mina-do-condominio,Bm7
956,mina-do-condominio,F#7
957,mina-do-condominio,Bm7
958,mina-do-condominio,Bm7
959,mina-do-condominio,F#7
960,mina-do-condominio,Bm7
961,mina-do-condominio,E7(9)
962,mina-do-condominio,Bm7
963,mina-do-condominio,E7(9)
964,mina-do-condominio,Bm7
965,mina-do-condominio,E7(9)
966,mina-do-condominio,Em7(9)
967,mina-do-condominio,C#m7(5-)
968,mina-do-condominio,F#7(13-)
969,mina-do-condominio,Bm7
970,mina-do-condominio,E7(9)
971,mina-do-condominio,Bm7
972,mina-do-condominio,E7(9)
973,mina-do-condominio,Bm7
974,mina-do-condominio,E7(9)
975,mina-do-condominio,Bm7
976,mina-do-condominio,E7(9)
977,mina-do-condominio,Em7(9)
978,mina-do-condominio,C#m7(5-)
979,mina-do-condominio,F#7(13-)
980,mina-do-condominio,Bm7
981,mina-do-condominio,E7(9)
982,mina-do-condominio,Bm7
983,mina-do-condominio,E7(9)
984,mina-do-condominio,Bm7
985,mina-do-condominio,E7(9)
986,mina-do-condominio,Em7(9)
987,mina-do-condominio,C#m7(5-)
988,mina-do-condominio,F#7(13-)
989,mina-do-condominio,Bm7
990,mina-do-condominio,E7(9)
1165,ze-do-caroco,Dm7(9)
1166,ze-do-caroco,Gm7
1167,ze-do-caroco,Dm7(9)
1168,ze-do-caroco,F7M/A
1169,ze-do-caroco,Dm7(9)
1170,ze-do-caroco,F7M/A
1171,ze-do-caroco,Bb7M
1172,ze-do-caroco,Gm7
1173,ze-do-caroco,A7/5+
1174,ze-do-caroco,Bb7M
1175,ze-do-caroco,Dm7(9)
1176,ze-do-caroco,F7M/A
1177,ze-do-caroco,Dm7(9)
1178,ze-do-caroco,F7M/A
1179,ze-do-caroco,Gm7
1180,ze-do-caroco,Bb7/13
1181,ze-do-caroco,A7/5+
1182,ze-do-caroco,Bb7M
1183,ze-do-caroco,Dm7(9)
1184,ze-do-caroco,F7M/A
1185,ze-do-caroco,Dm7(9)
1186,ze-do-caroco,F7M/A
1187,ze-do-caroco,Gm7
1188,ze-do-caroco,Bb7M
1189,ze-do-caroco,A7
1190,ze-do-caroco,Bb7M
1191,ze-do-caroco,Bb7M
1192,ze-do-caroco,Am7
1193,ze-do-caroco,Gm7
1194,ze-do-caroco,Dm7(9)
1195,ze-do-caroco,F7M/A
1196,ze-do-caroco,Dm7(9)
1197,ze-do-caroco,F7M/A
1198,ze-do-caroco,Gm7
1199,ze-do-caroco,Bb7M
1200,ze-do-caroco,A7
1201,ze-do-caroco,Bb7M
1202,ze-do-caroco,Bb7M
1203,ze-do-caroco,Am7
1204,ze-do-caroco,Gm7
1205,ze-do-caroco,Dm7(9)
1206,ze-do-caroco,F7M/A
1207,ze-do-caroco,Dm7(9)
1208,ze-do-caroco,F7M/A
1209,ze-do-caroco,Bb7M
1210,ze-do-caroco,Bb7M
1211,ze-do-caroco,Am7
1212,ze-do-caroco,Gm7
1213,ze-do-caroco,Dm7(9)
1214,ze-do-caroco,F7M/A
1215,ze-do-caroco,Dm7(9)
1216,ze-do-caroco,F7M/A
1217,ze-do-caroco,Bb7M
1218,ze-do-caroco,A7
1219,ze-do-caroco,Dm7(9)
1220,ze-do-caroco,F7M/A
1221,ze-do-caroco,Dm7(9)
1222,ze-do-caroco,F7M/A
1223,ze-do-caroco,Bb7M
1224,ze-do-caroco,Bb7M
1225,ze-do-caroco,Am7
1226,ze-do-caroco,Gm7
1227,ze-do-caroco,C/D
1398,sao-gonca,Am7
1399,sao-gonca,Bm7
1400,sao-gonca,Am7
1401,sao-gonca,Bm7
1402,sao-gonca,Am7
1403,sao-gonca,Bm7
1404,sao-gonca,E7
1405,sao-gonca,Am7
1406,sao-gonca,Bm7
1407,sao-gonca,Am7
1408,sao-gonca,Bm7
1409,sao-gonca,Am7
1410,sao-gonca,Bm7
1411,sao-gonca,E7
1412,sao-gonca,Am7
1413,sao-gonca,Bm7
1414,sao-gonca,Am7
1415,sao-gonca,Bm7
1416,sao-gonca,Am7
1417,sao-gonca,Bm7
1418,sao-gonca,E7
1419,sao-gonca,Am7
1420,sao-gonca,Bm7
1421,sao-gonca,Am7
1422,sao-gonca,Bm7
1423,sao-gonca,Am7
1424,sao-gonca,Bm7
1425,sao-gonca,E7
1426,sao-gonca,Am7
1427,sao-gonca,Bm7
1428,sao-gonca,Am7
1429,sao-gonca,Bm7
1430,sao-gonca,Am7
1431,sao-gonca,Bm7
1432,sao-gonca,Am7
1433,sao-gonca,G/A
1434,sao-gonca,Dm7(9)
1435,sao-gonca,Em7(9)
1436,sao-gonca,Dm7(9)
1437,sao-gonca,Em7(9)
1438,sao-gonca,Am7
1439,sao-gonca,Bm7
1440,sao-gonca,Am7
1441,sao-gonca,G/A
1442,sao-gonca,Dm7(9)
1443,sao-gonca,Em7(9)
1444,sao-gonca,Dm7(9)
1445,sao-gonca,Em7(9)
1446,sao-gonca,Am7
1447,sao-gonca,Gm7
1448,sao-gonca,C7
1449,sao-gonca,F
1450,sao-gonca,E7
1451,sao-gonca,Am7M(9)
1452,sao-gonca,C4(7/9)
1453,sao-gonca,C7
1454,sao-gonca,F
1455,sao-gonca,E7
1456,sao-gonca,Am7M(9)
1457,sao-gonca,C4(7/9)
1458,sao-gonca,C7
1459,sao-gonca,F
1460,sao-gonca,E7
1461,sao-gonca,Am7M(9)
1462,sao-gonca,C4(7/9)
1463,sao-gonca,C7
1464,sao-gonca,F
1465,sao-gonca,E7
1466,sao-gonca,Am7
1467,sao-gonca,Bm7
1468,sao-gonca,Am7
1469,sao-gonca,Bm7
1470,sao-gonca,Am7
1471,sao-gonca,Bm7
1472,sao-gonca,E7
1473,sao-gonca,Am7
1474,sao-gonca,Bm7
1475,sao-gonca,Am7
1476,sao-gonca,Bm7
1477,sao-gonca,Am7
1478,sao-gonca,Bm7
1479,sao-gonca,Am7
1480,sao-gonca,G/A
1481,sao-gonca,Dm7(9)
1482,sao-gonca,Em7(9)
1483,sao-gonca,Dm7(9)
1484,sao-gonca,Em7(9)
1485,sao-gonca,Am7
1486,sao-gonca,Bm7
1487,sao-gonca,Am7
1488,sao-gonca,G/A
1489,sao-gonca,Dm7(9)
1490,sao-gonca,Em7(9)
1491,sao-gonca,Dm7(9)
1492,sao-gonca,Em7(9)
1493,sao-gonca,Am7
1494,sao-gonca,Gm7
1495,sao-gonca,C7
1496,sao-gonca,F
1497,sao-gonca,E7
1498,sao-gonca,Am7M(9)
1499,sao-gonca,C4(7/9)
1500,sao-gonca,C7
