,Musicas,Palavras
0,amiga-da-minha-mulher,Pois
1,amiga-da-minha-mulher,"é,"
2,amiga-da-minha-mulher,pois
3,amiga-da-minha-mulher,é
4,amiga-da-minha-mulher,Mas
5,amiga-da-minha-mulher,vive
6,amiga-da-minha-mulher,dando
7,amiga-da-minha-mulher,em
8,amiga-da-minha-mulher,cima
9,amiga-da-minha-mulher,de
10,amiga-da-minha-mulher,mim
11,amiga-da-minha-mulher,"Enfim,"
12,amiga-da-minha-mulher,enfim
13,amiga-da-minha-mulher,Ainda
14,amiga-da-minha-mulher,por
15,amiga-da-minha-mulher,"cima,"
16,amiga-da-minha-mulher,é
17,amiga-da-minha-mulher,uma
18,amiga-da-minha-mulher,tremenda
19,amiga-da-minha-mulher,gata
20,amiga-da-minha-mulher,Pra
21,amiga-da-minha-mulher,piorar
22,amiga-da-minha-mulher,a
23,amiga-da-minha-mulher,minha
24,amiga-da-minha-mulher,situação
25,amiga-da-minha-mulher,Mulher
26,amiga-da-minha-mulher,bonita
27,amiga-da-minha-mulher,mexe
28,amiga-da-minha-mulher,com
29,amiga-da-minha-mulher,meu
30,amiga-da-minha-mulher,coração
31,amiga-da-minha-mulher,Se
32,amiga-da-minha-mulher,fosse
33,amiga-da-minha-mulher,mulher
34,amiga-da-minha-mulher,"feia,"
35,amiga-da-minha-mulher,tava
36,amiga-da-minha-mulher,tudo
37,amiga-da-minha-mulher,certo
38,amiga-da-minha-mulher,Mulher
39,amiga-da-minha-mulher,bonita
40,amiga-da-minha-mulher,mexe
41,amiga-da-minha-mulher,com
42,amiga-da-minha-mulher,meu
43,amiga-da-minha-mulher,coração
44,amiga-da-minha-mulher,Não
45,amiga-da-minha-mulher,"pego,"
46,amiga-da-minha-mulher,eu
47,amiga-da-minha-mulher,pego
48,amiga-da-minha-mulher,Não
49,amiga-da-minha-mulher,"pego,"
50,amiga-da-minha-mulher,não
51,amiga-da-minha-mulher,(Não
52,amiga-da-minha-mulher,"pego,"
53,amiga-da-minha-mulher,eu
54,amiga-da-minha-mulher,pego)
55,amiga-da-minha-mulher,(Não
56,amiga-da-minha-mulher,"pego,"
57,amiga-da-minha-mulher,eu
58,amiga-da-minha-mulher,pego)
59,amiga-da-minha-mulher,(Não
60,amiga-da-minha-mulher,"pego,"
61,amiga-da-minha-mulher,não)
62,amiga-da-minha-mulher,Eu
63,amiga-da-minha-mulher,respondi
64,amiga-da-minha-mulher,que
65,amiga-da-minha-mulher,não
66,amiga-da-minha-mulher,tô
67,amiga-da-minha-mulher,nem
68,amiga-da-minha-mulher,"aí,"
69,amiga-da-minha-mulher,"menti,"
70,amiga-da-minha-mulher,menti
71,amiga-da-minha-mulher,De
72,amiga-da-minha-mulher,vez
73,amiga-da-minha-mulher,em
74,amiga-da-minha-mulher,"quando,"
75,amiga-da-minha-mulher,eu
76,amiga-da-minha-mulher,fico
77,amiga-da-minha-mulher,admirando
78,amiga-da-minha-mulher,É
79,amiga-da-minha-mulher,muita
80,amiga-da-minha-mulher,areia
81,amiga-da-minha-mulher,pro
82,amiga-da-minha-mulher,meu
83,amiga-da-minha-mulher,caminhão
84,amiga-da-minha-mulher,Mulher
85,amiga-da-minha-mulher,bonita
86,amiga-da-minha-mulher,mexe
87,amiga-da-minha-mulher,com
88,amiga-da-minha-mulher,meu
89,amiga-da-minha-mulher,coração
90,amiga-da-minha-mulher,Se
91,amiga-da-minha-mulher,fosse
92,amiga-da-minha-mulher,mulher
93,amiga-da-minha-mulher,"feia,"
94,amiga-da-minha-mulher,tava
95,amiga-da-minha-mulher,tudo
96,amiga-da-minha-mulher,certo
97,amiga-da-minha-mulher,Mulher
98,amiga-da-minha-mulher,bonita
99,amiga-da-minha-mulher,mexe
100,amiga-da-minha-mulher,com
101,amiga-da-minha-mulher,meu
102,amiga-da-minha-mulher,coração
103,amiga-da-minha-mulher,Não
104,amiga-da-minha-mulher,"pego,"
105,amiga-da-minha-mulher,eu
106,amiga-da-minha-mulher,pego
107,amiga-da-minha-mulher,Não
108,amiga-da-minha-mulher,"pego,"
109,amiga-da-minha-mulher,não
110,amiga-da-minha-mulher,(Não
111,amiga-da-minha-mulher,"pego,"
112,amiga-da-minha-mulher,eu
113,amiga-da-minha-mulher,pego)
114,amiga-da-minha-mulher,(Não
115,amiga-da-minha-mulher,"pego,"
116,amiga-da-minha-mulher,eu
117,amiga-da-minha-mulher,pego)
118,amiga-da-minha-mulher,(Não
119,amiga-da-minha-mulher,"pego,"
120,amiga-da-minha-mulher,não)
121,amiga-da-minha-mulher,"Que,"
122,amiga-da-minha-mulher,se
123,amiga-da-minha-mulher,eu
124,amiga-da-minha-mulher,der
125,amiga-da-minha-mulher,"mole,"
126,amiga-da-minha-mulher,ele
127,amiga-da-minha-mulher,vai
128,amiga-da-minha-mulher,me
129,amiga-da-minha-mulher,entregar
130,amiga-da-minha-mulher,A
131,amiga-da-minha-mulher,minha
132,amiga-da-minha-mulher,sogra
133,amiga-da-minha-mulher,me
134,amiga-da-minha-mulher,orientou
135,amiga-da-minha-mulher,Isso
136,amiga-da-minha-mulher,não
137,amiga-da-minha-mulher,tá
138,amiga-da-minha-mulher,"certo,"
139,amiga-da-minha-mulher,é
140,amiga-da-minha-mulher,melhor
141,amiga-da-minha-mulher,parar
142,amiga-da-minha-mulher,"Pedi,"
143,amiga-da-minha-mulher,ela
144,amiga-da-minha-mulher,não
145,amiga-da-minha-mulher,respeitou
146,amiga-da-minha-mulher,Eu
147,amiga-da-minha-mulher,"juro,"
148,amiga-da-minha-mulher,a
149,amiga-da-minha-mulher,carne
150,amiga-da-minha-mulher,é
151,amiga-da-minha-mulher,fraca
152,amiga-da-minha-mulher,Mas
153,amiga-da-minha-mulher,nunca
154,amiga-da-minha-mulher,rolou
155,amiga-da-minha-mulher,"(Falei,"
156,amiga-da-minha-mulher,ela
157,amiga-da-minha-mulher,não
158,amiga-da-minha-mulher,quis
159,amiga-da-minha-mulher,ouvir)
160,amiga-da-minha-mulher,Não
161,amiga-da-minha-mulher,quis
162,amiga-da-minha-mulher,ouvir
