,Musicas,Acordes
0,sutilmente,D
1,sutilmente,D4
2,sutilmente,D
3,sutilmente,D9
4,sutilmente,D
5,sutilmente,D4
6,sutilmente,D
7,sutilmente,D9
8,sutilmente,A
9,sutilmente,A9
10,sutilmente,A
11,sutilmente,A9
12,sutilmente,D
13,sutilmente,D4
14,sutilmente,D
15,sutilmente,D9
16,sutilmente,A
17,sutilmente,A9
18,sutilmente,D
19,sutilmente,D4
20,sutilmente,D
21,sutilmente,D9
22,sutilmente,A
23,sutilmente,A9
24,sutilmente,G
25,sutilmente,D
26,sutilmente,A
27,sutilmente,D
28,sutilmente,D4
29,sutilmente,D
30,sutilmente,D9
31,sutilmente,D
32,sutilmente,D4
33,sutilmente,D
34,sutilmente,D9
35,sutilmente,A
36,sutilmente,A9
37,sutilmente,A
38,sutilmente,A9
39,sutilmente,D
40,sutilmente,D4
41,sutilmente,D
42,sutilmente,D9
43,sutilmente,A
44,sutilmente,A9
45,sutilmente,D
46,sutilmente,D4
47,sutilmente,D
48,sutilmente,D9
49,sutilmente,A
50,sutilmente,A9
51,sutilmente,G
52,sutilmente,Bm
53,sutilmente,G
54,sutilmente,G/F#
55,sutilmente,Em7
56,sutilmente,G
57,sutilmente,G/F#
58,sutilmente,Em7
59,sutilmente,D
60,sutilmente,G
61,sutilmente,G/F#
62,sutilmente,Em7
63,sutilmente,A7/4
64,sutilmente,D
65,sutilmente,G
66,sutilmente,G/F#
67,sutilmente,Em7
68,sutilmente,A7/4
69,sutilmente,D
70,sutilmente,D4
71,sutilmente,D
72,sutilmente,D9
73,sutilmente,D
74,sutilmente,D4
75,sutilmente,D
76,sutilmente,D9
77,sutilmente,A
78,sutilmente,A9
79,sutilmente,A
80,sutilmente,A9
81,sutilmente,D
82,sutilmente,D4
83,sutilmente,D
84,sutilmente,D9
85,sutilmente,A
86,sutilmente,A9
87,sutilmente,D
88,sutilmente,D4
89,sutilmente,D
90,sutilmente,D9
91,sutilmente,A
92,sutilmente,A9
93,sutilmente,G
94,sutilmente,Bm
95,sutilmente,G
96,sutilmente,G/F#
97,sutilmente,Em7
98,sutilmente,G
99,sutilmente,G/F#
100,sutilmente,Em7
101,sutilmente,D
102,sutilmente,G
103,sutilmente,G/F#
104,sutilmente,Em7
105,sutilmente,A7/4
106,sutilmente,D
107,sutilmente,G
108,sutilmente,G/F#
109,sutilmente,Em7
110,sutilmente,A7/4
111,sutilmente,D
112,sutilmente,G
113,sutilmente,G/F#
114,sutilmente,Em7
115,sutilmente,A7/4
116,sutilmente,D
117,sutilmente,G
118,sutilmente,G/F#
119,sutilmente,Em7
120,sutilmente,A7/4
121,sutilmente,D
122,sutilmente,G
123,sutilmente,G/F#
124,sutilmente,Em7
125,sutilmente,A7/4
241,vamos-fugir,F#m
242,vamos-fugir,E
243,vamos-fugir,F#m
244,vamos-fugir,E
245,vamos-fugir,A
246,vamos-fugir,E4
247,vamos-fugir,F#m
248,vamos-fugir,D
249,vamos-fugir,E
250,vamos-fugir,F#m
251,vamos-fugir,A
252,vamos-fugir,E4
253,vamos-fugir,F#m
254,vamos-fugir,D
255,vamos-fugir,E
256,vamos-fugir,F#m
257,vamos-fugir,A
258,vamos-fugir,E
259,vamos-fugir,D
260,vamos-fugir,A
261,vamos-fugir,E
262,vamos-fugir,D
263,vamos-fugir,A
264,vamos-fugir,E
265,vamos-fugir,D
266,vamos-fugir,A
267,vamos-fugir,E
268,vamos-fugir,D
269,vamos-fugir,F#m
270,vamos-fugir,E
271,vamos-fugir,F#m
272,vamos-fugir,E
273,vamos-fugir,A
274,vamos-fugir,E4
275,vamos-fugir,F#m
276,vamos-fugir,D
277,vamos-fugir,E
278,vamos-fugir,F#m
279,vamos-fugir,A
280,vamos-fugir,E4
281,vamos-fugir,F#m
282,vamos-fugir,D
283,vamos-fugir,E
284,vamos-fugir,F#m
285,vamos-fugir,A
286,vamos-fugir,E
287,vamos-fugir,D
288,vamos-fugir,A
289,vamos-fugir,E
290,vamos-fugir,D
291,vamos-fugir,A
292,vamos-fugir,E
293,vamos-fugir,D
294,vamos-fugir,A
295,vamos-fugir,E
296,vamos-fugir,D
297,vamos-fugir,F#m
298,vamos-fugir,E
299,vamos-fugir,F#m
300,vamos-fugir,E
301,vamos-fugir,A
302,vamos-fugir,E4
303,vamos-fugir,F#m
304,vamos-fugir,D
305,vamos-fugir,E
306,vamos-fugir,F#m
307,vamos-fugir,D
308,vamos-fugir,E
309,vamos-fugir,F#m
310,vamos-fugir,D
311,vamos-fugir,E
312,vamos-fugir,F#m
313,vamos-fugir,D
314,vamos-fugir,E
315,vamos-fugir,F#m
316,vamos-fugir,D
317,vamos-fugir,E
318,vamos-fugir,F#m
319,vamos-fugir,D
320,vamos-fugir,E
321,vamos-fugir,F#m
322,vamos-fugir,D
323,vamos-fugir,E
324,vamos-fugir,F#m
325,vamos-fugir,D
326,vamos-fugir,E
327,vamos-fugir,F#m
482,resposta,G
483,resposta,G5+
484,resposta,C9
485,resposta,Eb
486,resposta,G
487,resposta,G5+
488,resposta,C9
489,resposta,Eb
490,resposta,Em
491,resposta,Em7M
492,resposta,C6
493,resposta,G
494,resposta,G
495,resposta,G4
496,resposta,G
497,resposta,G9
498,resposta,C9
499,resposta,G
500,resposta,G4
501,resposta,G
502,resposta,G9
503,resposta,C9
504,resposta,G
505,resposta,G5+
506,resposta,C9
507,resposta,Eb
508,resposta,G
509,resposta,G5+
510,resposta,C9
511,resposta,Eb
512,resposta,Em
513,resposta,Em7M
514,resposta,C6
515,resposta,Em
516,resposta,Em7M
517,resposta,C6
518,resposta,G
519,resposta,Am
520,resposta,C9
521,resposta,G
522,resposta,Am
523,resposta,C9
524,resposta,G
525,resposta,G
526,resposta,G4
527,resposta,G
528,resposta,G9
529,resposta,C9
530,resposta,G
531,resposta,G4
532,resposta,G
533,resposta,G9
534,resposta,C9
535,resposta,G
536,resposta,G5+
537,resposta,C9
538,resposta,Eb
539,resposta,G
540,resposta,G5+
541,resposta,C9
542,resposta,Eb
543,resposta,Em
544,resposta,Em7M
545,resposta,C6
546,resposta,Em
547,resposta,Em7M
548,resposta,C6
549,resposta,G
550,resposta,Am
551,resposta,C9
552,resposta,G
553,resposta,Am
554,resposta,C9
555,resposta,G
556,resposta,Am
557,resposta,C9
558,resposta,G
559,resposta,Am
560,resposta,C9
561,resposta,G
562,resposta,G
563,resposta,G4
564,resposta,G
565,resposta,G9
566,resposta,C9
567,resposta,G
568,resposta,G4
569,resposta,G
570,resposta,G9
571,resposta,C9
572,resposta,G
573,resposta,G5+
574,resposta,C9
575,resposta,Eb
576,resposta,G
577,resposta,G5+
578,resposta,C9
579,resposta,Eb
580,resposta,Em
581,resposta,Em7M
582,resposta,C6
583,resposta,Em
584,resposta,Em7M
585,resposta,C6
586,resposta,G
587,resposta,Am
588,resposta,C9
589,resposta,G
590,resposta,Am
591,resposta,C9
592,resposta,G
593,resposta,Am
594,resposta,C9
595,resposta,G
596,resposta,Am
597,resposta,C9
598,resposta,G
599,resposta,Am
600,resposta,C9
601,resposta,G
602,resposta,Am
603,resposta,C9
604,resposta,G
605,resposta,G
606,resposta,Am
607,resposta,C9
608,resposta,G
609,resposta,Am
610,resposta,C9
723,acima-do-sol,Am7
724,acima-do-sol,G
725,acima-do-sol,Am7
726,acima-do-sol,G
727,acima-do-sol,Am7
728,acima-do-sol,G
729,acima-do-sol,Am7
730,acima-do-sol,G
731,acima-do-sol,Am7
732,acima-do-sol,G
733,acima-do-sol,Am7
734,acima-do-sol,G
735,acima-do-sol,Am7
736,acima-do-sol,G
737,acima-do-sol,Am7
738,acima-do-sol,G
739,acima-do-sol,Am7
740,acima-do-sol,G
741,acima-do-sol,Am7
742,acima-do-sol,G
743,acima-do-sol,Am7
744,acima-do-sol,G
745,acima-do-sol,Am7
746,acima-do-sol,G
747,acima-do-sol,Am7
748,acima-do-sol,G
749,acima-do-sol,Am7
750,acima-do-sol,G
751,acima-do-sol,Am7
752,acima-do-sol,G
753,acima-do-sol,Am7
754,acima-do-sol,G
755,acima-do-sol,Am7
756,acima-do-sol,G
757,acima-do-sol,Am7
758,acima-do-sol,G
759,acima-do-sol,Am7
760,acima-do-sol,G
761,acima-do-sol,Am7
762,acima-do-sol,G
763,acima-do-sol,Am7
764,acima-do-sol,G
765,acima-do-sol,Am7
766,acima-do-sol,G
767,acima-do-sol,Am7
768,acima-do-sol,G
769,acima-do-sol,Am7
770,acima-do-sol,G
771,acima-do-sol,Am7
772,acima-do-sol,G
773,acima-do-sol,Am7
774,acima-do-sol,G
775,acima-do-sol,Am7
776,acima-do-sol,G
777,acima-do-sol,Am7
778,acima-do-sol,G
779,acima-do-sol,Am7
780,acima-do-sol,G
781,acima-do-sol,Am7
782,acima-do-sol,G
783,acima-do-sol,Am7
784,acima-do-sol,G
785,acima-do-sol,Am7
786,acima-do-sol,G
964,dois-rios,Bm
965,dois-rios,Bm7M
966,dois-rios,Bm7
967,dois-rios,Bm6
968,dois-rios,G
969,dois-rios,Bm
970,dois-rios,Bm7M
971,dois-rios,Bm7
972,dois-rios,Bm6
973,dois-rios,G
974,dois-rios,Bm
975,dois-rios,E
976,dois-rios,D
977,dois-rios,F
978,dois-rios,A
979,dois-rios,C#m
980,dois-rios,F#m
981,dois-rios,C#m
982,dois-rios,Bm7
983,dois-rios,E
984,dois-rios,A
985,dois-rios,A5+
986,dois-rios,Bm
987,dois-rios,Bm7M
988,dois-rios,Bm7
989,dois-rios,Bm6
990,dois-rios,G
991,dois-rios,Bm
992,dois-rios,Bm7M
993,dois-rios,Bm7
994,dois-rios,Bm6
995,dois-rios,G
996,dois-rios,Bm
997,dois-rios,E
998,dois-rios,D
999,dois-rios,F
1000,dois-rios,A
1001,dois-rios,C#m
1002,dois-rios,F#m
1003,dois-rios,C#m
1004,dois-rios,Bm7
1005,dois-rios,E
1006,dois-rios,A
1007,dois-rios,A7
1008,dois-rios,D/F#
1009,dois-rios,Dm/F
1010,dois-rios,A
1011,dois-rios,A/G
1012,dois-rios,D/F#
1013,dois-rios,Dm/F
1014,dois-rios,A
1015,dois-rios,A/G
1016,dois-rios,F#m
1017,dois-rios,F6
1018,dois-rios,A
1019,dois-rios,A5+
1020,dois-rios,A
1021,dois-rios,A5+
1022,dois-rios,Bm
1023,dois-rios,Bm7M
1024,dois-rios,Bm7
1025,dois-rios,Bm6
1026,dois-rios,G
1027,dois-rios,Bm
1028,dois-rios,Bm7M
1029,dois-rios,Bm7
1030,dois-rios,Bm6
1031,dois-rios,G
1032,dois-rios,Bm
1033,dois-rios,E
