,Musicas,Palavras
0,sutilmente,Simplesmente
1,sutilmente,me
2,sutilmente,abrace
3,sutilmente,E
4,sutilmente,quando
5,sutilmente,eu
6,sutilmente,estiver
7,sutilmente,louco
8,sutilmente,Subitamente
9,sutilmente,se
10,sutilmente,afaste
11,sutilmente,E
12,sutilmente,quando
13,sutilmente,eu
14,sutilmente,estiver
15,sutilmente,fogo
16,sutilmente,Suavemente
17,sutilmente,se
18,sutilmente,encaixe
19,sutilmente,"Ah,"
20,sutilmente,ahn
21,sutilmente,Simplesmente
22,sutilmente,me
23,sutilmente,abrace
24,sutilmente,E
25,sutilmente,quando
26,sutilmente,eu
27,sutilmente,estiver
28,sutilmente,louco
29,sutilmente,Subitamente
30,sutilmente,se
31,sutilmente,afaste
32,sutilmente,E
33,sutilmente,quando
34,sutilmente,eu
35,sutilmente,estiver
36,sutilmente,bobo
37,sutilmente,Sutilmente
38,sutilmente,"disfarce,"
39,sutilmente,é
40,sutilmente,Mas
41,sutilmente,quando
42,sutilmente,eu
43,sutilmente,estiver
44,sutilmente,morto
45,sutilmente,Suplico
46,sutilmente,que
47,sutilmente,não
48,sutilmente,me
49,sutilmente,mate
50,sutilmente,(não)
51,sutilmente,Dentro
52,sutilmente,de
53,sutilmente,ti
54,sutilmente,Dentro
55,sutilmente,de
56,sutilmente,ti
57,sutilmente,Dentro
58,sutilmente,de
59,sutilmente,tudo
60,sutilmente,que
61,sutilmente,cabe
62,sutilmente,em
63,sutilmente,ti
64,sutilmente,Mesmo
65,sutilmente,que
66,sutilmente,o
67,sutilmente,mundo
68,sutilmente,acabe
69,sutilmente,enfim
70,sutilmente,Dentro
71,sutilmente,de
72,sutilmente,tudo
73,sutilmente,que
74,sutilmente,cabe
75,sutilmente,em
76,sutilmente,ti
77,sutilmente,Simplesmente
78,sutilmente,me
79,sutilmente,abrace
80,sutilmente,E
81,sutilmente,quando
82,sutilmente,eu
83,sutilmente,estiver
84,sutilmente,louco
85,sutilmente,Subitamente
86,sutilmente,se
87,sutilmente,afaste
88,sutilmente,Sutilmente
89,sutilmente,"disfarce,"
90,sutilmente,é
91,sutilmente,Mas
92,sutilmente,quando
93,sutilmente,eu
94,sutilmente,estiver
95,sutilmente,morto
96,sutilmente,Suplico
97,sutilmente,que
98,sutilmente,não
99,sutilmente,me
100,sutilmente,mate
101,sutilmente,(não)
102,sutilmente,Dentro
103,sutilmente,de
104,sutilmente,ti
105,sutilmente,Dentro
106,sutilmente,de
107,sutilmente,ti
108,sutilmente,Dentro
109,sutilmente,de
110,sutilmente,tudo
111,sutilmente,que
112,sutilmente,cabe
113,sutilmente,em
114,sutilmente,ti
115,sutilmente,Mesmo
116,sutilmente,que
117,sutilmente,o
118,sutilmente,mundo
119,sutilmente,acabe
120,sutilmente,enfim
121,sutilmente,Dentro
122,sutilmente,de
123,sutilmente,tudo
124,sutilmente,que
125,sutilmente,cabe
126,sutilmente,em
127,sutilmente,ti
128,sutilmente,"Ah,"
129,sutilmente,ahn
130,sutilmente,Dentro
131,sutilmente,de
132,sutilmente,tudo
133,sutilmente,que
134,sutilmente,cabe
135,sutilmente,em
136,sutilmente,ti
137,sutilmente,Mesmo
138,sutilmente,que
139,sutilmente,o
140,sutilmente,mundo
141,sutilmente,acabe
142,sutilmente,enfim
143,sutilmente,Dentro
144,sutilmente,de
145,sutilmente,tudo
146,sutilmente,que
147,sutilmente,cabe
148,sutilmente,em
149,sutilmente,ti
150,sutilmente,None
554,vamos-fugir,Vamos
555,vamos-fugir,fugir
556,vamos-fugir,Tô
557,vamos-fugir,cansado
558,vamos-fugir,de
559,vamos-fugir,esperar
560,vamos-fugir,Que
561,vamos-fugir,você
562,vamos-fugir,me
563,vamos-fugir,carregue
564,vamos-fugir,Pr'outro
565,vamos-fugir,"lugar,"
566,vamos-fugir,baby!
567,vamos-fugir,Vamos
568,vamos-fugir,fugir
569,vamos-fugir,Pr'onde
570,vamos-fugir,quer
571,vamos-fugir,que
572,vamos-fugir,você
573,vamos-fugir,vá
574,vamos-fugir,Que
575,vamos-fugir,você
576,vamos-fugir,me
577,vamos-fugir,carregue
578,vamos-fugir,"Irajá,"
579,vamos-fugir,Irajá
580,vamos-fugir,Pra
581,vamos-fugir,onde
582,vamos-fugir,eu
583,vamos-fugir,só
584,vamos-fugir,veja
585,vamos-fugir,você
586,vamos-fugir,Você
587,vamos-fugir,veja
588,vamos-fugir,a
589,vamos-fugir,mim
590,vamos-fugir,só
591,vamos-fugir,"Marajó,"
592,vamos-fugir,Marajó
593,vamos-fugir,Qualquer
594,vamos-fugir,outro
595,vamos-fugir,lugar
596,vamos-fugir,comum
597,vamos-fugir,Outro
598,vamos-fugir,lugar
599,vamos-fugir,qualquer
600,vamos-fugir,"Guaporé,"
601,vamos-fugir,Guaporé
602,vamos-fugir,Qualquer
603,vamos-fugir,outro
604,vamos-fugir,lugar
605,vamos-fugir,ao
606,vamos-fugir,sol
607,vamos-fugir,Outro
608,vamos-fugir,lugar
609,vamos-fugir,ao
610,vamos-fugir,sul
611,vamos-fugir,Céu
612,vamos-fugir,"azul,"
613,vamos-fugir,Céu
614,vamos-fugir,azul
615,vamos-fugir,Onde
616,vamos-fugir,haja
617,vamos-fugir,só
618,vamos-fugir,meu
619,vamos-fugir,corpo
620,vamos-fugir,nu
621,vamos-fugir,Junto
622,vamos-fugir,ao
623,vamos-fugir,seu
624,vamos-fugir,corpo
625,vamos-fugir,nu
626,vamos-fugir,Pr'outro
627,vamos-fugir,"lugar,"
628,vamos-fugir,baby!
629,vamos-fugir,Vamos
630,vamos-fugir,fugir
631,vamos-fugir,Pr'onde
632,vamos-fugir,haja
633,vamos-fugir,um
634,vamos-fugir,tobogã
635,vamos-fugir,Onde
636,vamos-fugir,a
637,vamos-fugir,gente
638,vamos-fugir,escorregue
