,Musicas,Acordes
0,beija-flor,G
1,beija-flor,C
2,beija-flor,D#
3,beija-flor,G
4,beija-flor,C
5,beija-flor,D#
6,beija-flor,G
7,beija-flor,F
8,beija-flor,G
9,beija-flor,C
10,beija-flor,D#
11,beija-flor,G
12,beija-flor,C
13,beija-flor,D#
14,beija-flor,G
15,beija-flor,G
16,beija-flor,C
17,beija-flor,D#
18,beija-flor,G
19,beija-flor,C
20,beija-flor,D#
21,beija-flor,G
22,beija-flor,C
23,beija-flor,D#
24,beija-flor,G
25,beija-flor,C
26,beija-flor,F7
27,beija-flor,G7
28,beija-flor,C
29,beija-flor,F7
30,beija-flor,G7
31,beija-flor,G
32,beija-flor,C
33,beija-flor,D#
34,beija-flor,G
35,beija-flor,C
36,beija-flor,D#
37,beija-flor,G
38,beija-flor,G
39,beija-flor,C
40,beija-flor,D#
41,beija-flor,G
42,beija-flor,C
43,beija-flor,D#
44,beija-flor,F7
45,beija-flor,G7
46,beija-flor,C
47,beija-flor,F7
48,beija-flor,G7
49,beija-flor,G
50,beija-flor,C
51,beija-flor,D#
52,beija-flor,G
53,beija-flor,G
54,beija-flor,C
55,beija-flor,F7
56,beija-flor,G7
57,beija-flor,C
58,beija-flor,F7
59,beija-flor,G7
60,beija-flor,C
61,beija-flor,F7
62,beija-flor,G7
63,beija-flor,G
64,beija-flor,C
65,beija-flor,D#
66,beija-flor,G
67,beija-flor,C
68,beija-flor,D#
69,beija-flor,F7
70,beija-flor,G7
71,beija-flor,C
72,beija-flor,F7
73,beija-flor,G7
74,beija-flor,G
109,mimar-voce,A
110,mimar-voce,C#m7
111,mimar-voce,D
112,mimar-voce,E
113,mimar-voce,A
114,mimar-voce,C#m7
115,mimar-voce,D
116,mimar-voce,E
117,mimar-voce,D
118,mimar-voce,E
119,mimar-voce,A
120,mimar-voce,E
121,mimar-voce,E/G#
122,mimar-voce,F#m
123,mimar-voce,D
124,mimar-voce,E
125,mimar-voce,A
126,mimar-voce,A7
127,mimar-voce,D
128,mimar-voce,E
129,mimar-voce,A
130,mimar-voce,E
131,mimar-voce,E/G#
132,mimar-voce,F#m
133,mimar-voce,D
134,mimar-voce,E
135,mimar-voce,A
136,mimar-voce,A
137,mimar-voce,C#m7
138,mimar-voce,D
139,mimar-voce,E
140,mimar-voce,A
141,mimar-voce,C#m7
142,mimar-voce,D
143,mimar-voce,E
218,margarida-perfumada,Em7
219,margarida-perfumada,D
220,margarida-perfumada,G
221,margarida-perfumada,B7
222,margarida-perfumada,Em7
223,margarida-perfumada,Em7
224,margarida-perfumada,D
225,margarida-perfumada,G
226,margarida-perfumada,B7
227,margarida-perfumada,Em7
228,margarida-perfumada,Am7
229,margarida-perfumada,Em7
230,margarida-perfumada,Am7
231,margarida-perfumada,Em7
232,margarida-perfumada,Em7
233,margarida-perfumada,D
234,margarida-perfumada,G
235,margarida-perfumada,B7
236,margarida-perfumada,Em7
237,margarida-perfumada,Em7
238,margarida-perfumada,D
239,margarida-perfumada,G
240,margarida-perfumada,B7
241,margarida-perfumada,Em7
242,margarida-perfumada,Em7
243,margarida-perfumada,Am7
244,margarida-perfumada,B7
245,margarida-perfumada,Em7
246,margarida-perfumada,Am7
247,margarida-perfumada,Em7
327,minha-historia,A
328,minha-historia,A7M/G#
329,minha-historia,F#m
330,minha-historia,A6/E
331,minha-historia,D
332,minha-historia,C#m
333,minha-historia,Bm
334,minha-historia,E
335,minha-historia,A
