,Musicas,Acordes
0,epitafio,G5
1,epitafio,D/F#
2,epitafio,Em
3,epitafio,G7
4,epitafio,C
5,epitafio,Cm
6,epitafio,G5
7,epitafio,G5
8,epitafio,D/F#
9,epitafio,Em
10,epitafio,G7
11,epitafio,C
12,epitafio,Cm
13,epitafio,G5
14,epitafio,G5
15,epitafio,D/F#
16,epitafio,Em
17,epitafio,G7
18,epitafio,C
19,epitafio,Cm
20,epitafio,G5
21,epitafio,G5
22,epitafio,D/F#
23,epitafio,Em
24,epitafio,G7
25,epitafio,C
26,epitafio,Cm
27,epitafio,G5
28,epitafio,C
29,epitafio,Cm
30,epitafio,G5
31,epitafio,E7
32,epitafio,A7
33,epitafio,D7
34,epitafio,C
35,epitafio,Cm
36,epitafio,G5
37,epitafio,E7
38,epitafio,Cm
39,epitafio,G5
40,epitafio,C
41,epitafio,Cm
42,epitafio,G5
43,epitafio,E7
44,epitafio,A7
45,epitafio,D7
46,epitafio,C
47,epitafio,Cm
48,epitafio,G5
49,epitafio,E7
50,epitafio,Cm
51,epitafio,G5
52,epitafio,G5
53,epitafio,Am7
54,epitafio,Cm
55,epitafio,G5
56,epitafio,Am7
57,epitafio,Cm
58,epitafio,G5
59,epitafio,Am7
60,epitafio,Cm
61,epitafio,G5
62,epitafio,G5
63,epitafio,Am7
64,epitafio,Cm
65,epitafio,G5
66,epitafio,D/F#
67,epitafio,Em
68,epitafio,G7
69,epitafio,C
70,epitafio,Cm
71,epitafio,G5
72,epitafio,G5
73,epitafio,D/F#
74,epitafio,Em
75,epitafio,G7
76,epitafio,C
77,epitafio,Cm
78,epitafio,G5
79,epitafio,G5
80,epitafio,D/F#
81,epitafio,Em
82,epitafio,G7
83,epitafio,C
84,epitafio,Cm
85,epitafio,G5
86,epitafio,C
87,epitafio,Cm
88,epitafio,G5
89,epitafio,Em
90,epitafio,A7
91,epitafio,D7
92,epitafio,C
93,epitafio,Cm
94,epitafio,G5
95,epitafio,Em
96,epitafio,Cm
97,epitafio,G5
98,epitafio,C
99,epitafio,Cm
100,epitafio,G5
101,epitafio,Em
102,epitafio,A7
103,epitafio,D7
104,epitafio,C
105,epitafio,Cm
106,epitafio,G5
107,epitafio,Em
108,epitafio,Cm
109,epitafio,G5
110,epitafio,G5
111,epitafio,Am7
112,epitafio,Cm
113,epitafio,G5
114,epitafio,G
115,epitafio,Am7
116,epitafio,Cm
117,epitafio,G5
118,epitafio,Am7
119,epitafio,Cm
120,epitafio,G5
121,epitafio,G5
122,epitafio,Am7
123,epitafio,Cm
124,epitafio,G5
125,epitafio,D/F#
126,epitafio,Em
127,epitafio,G7
128,epitafio,C
129,epitafio,Cm
130,epitafio,G5
226,e-preciso-saber-viver,D
227,e-preciso-saber-viver,D7M
228,e-preciso-saber-viver,D7
229,e-preciso-saber-viver,G
230,e-preciso-saber-viver,Gm6
231,e-preciso-saber-viver,D
232,e-preciso-saber-viver,Bm
233,e-preciso-saber-viver,E
234,e-preciso-saber-viver,G
235,e-preciso-saber-viver,A7
236,e-preciso-saber-viver,D9
237,e-preciso-saber-viver,D7M
238,e-preciso-saber-viver,D7
239,e-preciso-saber-viver,G7
240,e-preciso-saber-viver,Gm6
241,e-preciso-saber-viver,D
242,e-preciso-saber-viver,Bm7
243,e-preciso-saber-viver,E7
244,e-preciso-saber-viver,G
245,e-preciso-saber-viver,A7
246,e-preciso-saber-viver,D9
247,e-preciso-saber-viver,D7M
248,e-preciso-saber-viver,D7
249,e-preciso-saber-viver,G7
250,e-preciso-saber-viver,Gm6
251,e-preciso-saber-viver,D
252,e-preciso-saber-viver,Bm7
253,e-preciso-saber-viver,E7
254,e-preciso-saber-viver,G
255,e-preciso-saber-viver,A7
256,e-preciso-saber-viver,G
257,e-preciso-saber-viver,D
258,e-preciso-saber-viver,Bm7
259,e-preciso-saber-viver,G
260,e-preciso-saber-viver,D
261,e-preciso-saber-viver,Bm7
262,e-preciso-saber-viver,G
263,e-preciso-saber-viver,D
264,e-preciso-saber-viver,Bm7
265,e-preciso-saber-viver,E7
266,e-preciso-saber-viver,G
267,e-preciso-saber-viver,A7
268,e-preciso-saber-viver,D
269,e-preciso-saber-viver,D7M
270,e-preciso-saber-viver,D7
271,e-preciso-saber-viver,G
272,e-preciso-saber-viver,Gm6
273,e-preciso-saber-viver,D
274,e-preciso-saber-viver,Bm
275,e-preciso-saber-viver,E
276,e-preciso-saber-viver,G
277,e-preciso-saber-viver,A7
278,e-preciso-saber-viver,D
279,e-preciso-saber-viver,D7M
280,e-preciso-saber-viver,D7
281,e-preciso-saber-viver,G
282,e-preciso-saber-viver,Gm6
283,e-preciso-saber-viver,D
284,e-preciso-saber-viver,Bm
285,e-preciso-saber-viver,E
286,e-preciso-saber-viver,G
287,e-preciso-saber-viver,A7
288,e-preciso-saber-viver,D
289,e-preciso-saber-viver,D7M
290,e-preciso-saber-viver,D7
291,e-preciso-saber-viver,G
292,e-preciso-saber-viver,Gm6
293,e-preciso-saber-viver,D
294,e-preciso-saber-viver,Bm
295,e-preciso-saber-viver,E
296,e-preciso-saber-viver,G
297,e-preciso-saber-viver,A7
298,e-preciso-saber-viver,D
299,e-preciso-saber-viver,D7M
300,e-preciso-saber-viver,D7
301,e-preciso-saber-viver,G
302,e-preciso-saber-viver,Gm6
303,e-preciso-saber-viver,D
304,e-preciso-saber-viver,Bm
305,e-preciso-saber-viver,E
306,e-preciso-saber-viver,G
307,e-preciso-saber-viver,A7
308,e-preciso-saber-viver,G
309,e-preciso-saber-viver,D
310,e-preciso-saber-viver,Bm
311,e-preciso-saber-viver,G
312,e-preciso-saber-viver,D
313,e-preciso-saber-viver,Bm
314,e-preciso-saber-viver,G
315,e-preciso-saber-viver,D
316,e-preciso-saber-viver,Bm
317,e-preciso-saber-viver,E
318,e-preciso-saber-viver,G
319,e-preciso-saber-viver,A7
320,e-preciso-saber-viver,G
321,e-preciso-saber-viver,D
322,e-preciso-saber-viver,Bm
323,e-preciso-saber-viver,G
324,e-preciso-saber-viver,D
325,e-preciso-saber-viver,Bm
326,e-preciso-saber-viver,G
327,e-preciso-saber-viver,D
328,e-preciso-saber-viver,Bm
329,e-preciso-saber-viver,E
330,e-preciso-saber-viver,G
331,e-preciso-saber-viver,A7
332,e-preciso-saber-viver,G
333,e-preciso-saber-viver,D
334,e-preciso-saber-viver,Bm
335,e-preciso-saber-viver,G
336,e-preciso-saber-viver,D
337,e-preciso-saber-viver,Bm
338,e-preciso-saber-viver,G
339,e-preciso-saber-viver,D
340,e-preciso-saber-viver,Bm
341,e-preciso-saber-viver,E
342,e-preciso-saber-viver,G
343,e-preciso-saber-viver,A7
344,e-preciso-saber-viver,D
452,flores,D5
453,flores,B
454,flores,E5
455,flores,D5
456,flores,B
457,flores,E5
458,flores,B5
459,flores,A5
460,flores,B5
461,flores,A5
462,flores,D5
463,flores,B
464,flores,E5
465,flores,B5
466,flores,A5
467,flores,D5
468,flores,B
469,flores,E5
470,flores,B5
471,flores,A5
472,flores,D5
473,flores,B
474,flores,E5
475,flores,B5
476,flores,A5
477,flores,D5
478,flores,B
479,flores,E5
480,flores,B5
481,flores,A5
482,flores,D5
483,flores,B
484,flores,E5
485,flores,B5
486,flores,A5
487,flores,E
488,flores,A
489,flores,E
490,flores,A
491,flores,E
492,flores,A
493,flores,E
494,flores,A
495,flores,B
496,flores,B
497,flores,E
498,flores,A
499,flores,E
678,marvin,G#/C
679,marvin,Bm
680,marvin,E9
681,marvin,F#
682,marvin,E
683,marvin,F#
684,marvin,E
685,marvin,F#
686,marvin,E
687,marvin,F#
688,marvin,E
689,marvin,Bm
690,marvin,E
691,marvin,Bm
692,marvin,E
693,marvin,B
694,marvin,B7M/A#
695,marvin,B7/A
696,marvin,E/G#
697,marvin,G#/C
698,marvin,C#m
699,marvin,F#
700,marvin,E
701,marvin,F#
702,marvin,E
703,marvin,F#
704,marvin,E
705,marvin,F#
706,marvin,E
707,marvin,Bm
708,marvin,E
709,marvin,Bm
710,marvin,E
711,marvin,B
712,marvin,B7M/A#
713,marvin,B7/A
714,marvin,E/G#
715,marvin,G#/C
716,marvin,C#m
717,marvin,F#
718,marvin,E
719,marvin,F#
720,marvin,E
721,marvin,F#
722,marvin,E
723,marvin,Bm
724,marvin,E
725,marvin,Bm
726,marvin,E
727,marvin,B
728,marvin,B7M/A#
729,marvin,B7/A
730,marvin,E/G#
731,marvin,G#/C
732,marvin,C#m
904,pra-dizer-adeus,G
905,pra-dizer-adeus,D
906,pra-dizer-adeus,C
907,pra-dizer-adeus,D
908,pra-dizer-adeus,C
909,pra-dizer-adeus,G
910,pra-dizer-adeus,D
911,pra-dizer-adeus,C
912,pra-dizer-adeus,G
913,pra-dizer-adeus,G
914,pra-dizer-adeus,D
915,pra-dizer-adeus,C
916,pra-dizer-adeus,G
917,pra-dizer-adeus,D
918,pra-dizer-adeus,C
919,pra-dizer-adeus,D
920,pra-dizer-adeus,C
921,pra-dizer-adeus,G
922,pra-dizer-adeus,D
923,pra-dizer-adeus,C
924,pra-dizer-adeus,G
925,pra-dizer-adeus,G
926,pra-dizer-adeus,D
927,pra-dizer-adeus,C
928,pra-dizer-adeus,G
929,pra-dizer-adeus,D
930,pra-dizer-adeus,G
931,pra-dizer-adeus,C
932,pra-dizer-adeus,D
933,pra-dizer-adeus,G
934,pra-dizer-adeus,B7
935,pra-dizer-adeus,C
936,pra-dizer-adeus,G
937,pra-dizer-adeus,D
938,pra-dizer-adeus,C
939,pra-dizer-adeus,G
940,pra-dizer-adeus,G
941,pra-dizer-adeus,B7
