,Musicas,Palavras
0,epitafio,Ter
1,epitafio,chorado
2,epitafio,mais
3,epitafio,Ter
4,epitafio,visto
5,epitafio,o
6,epitafio,Sol
7,epitafio,nascer
8,epitafio,Devia
9,epitafio,ter
10,epitafio,arriscado
11,epitafio,mais
12,epitafio,E
13,epitafio,até
14,epitafio,errado
15,epitafio,mais
16,epitafio,Ter
17,epitafio,feito
18,epitafio,o
19,epitafio,que
20,epitafio,eu
21,epitafio,queria
22,epitafio,fazer
23,epitafio,As
24,epitafio,pessoas
25,epitafio,como
26,epitafio,elas
27,epitafio,são
28,epitafio,Cada
29,epitafio,um
30,epitafio,sabe
31,epitafio,a
32,epitafio,alegria
33,epitafio,E
34,epitafio,a
35,epitafio,dor
36,epitafio,que
37,epitafio,traz
38,epitafio,no
39,epitafio,coração
40,epitafio,Enquanto
41,epitafio,eu
42,epitafio,andar
43,epitafio,distraído
44,epitafio,O
45,epitafio,acaso
46,epitafio,vai
47,epitafio,me
48,epitafio,proteger
49,epitafio,Enquanto
50,epitafio,eu
51,epitafio,andar
52,epitafio,Trabalhado
53,epitafio,menos
54,epitafio,Ter
55,epitafio,visto
56,epitafio,o
57,epitafio,Sol
58,epitafio,se
59,epitafio,pôr
60,epitafio,Devia
61,epitafio,ter
62,epitafio,me
63,epitafio,importado
64,epitafio,menos
65,epitafio,Com
66,epitafio,problemas
67,epitafio,pequenos
68,epitafio,Ter
69,epitafio,morrido
70,epitafio,de
71,epitafio,amor
72,epitafio,A
73,epitafio,vida
74,epitafio,como
75,epitafio,ela
76,epitafio,é
77,epitafio,A
78,epitafio,cada
79,epitafio,um
80,epitafio,cabe
81,epitafio,alegrias
82,epitafio,E
83,epitafio,a
84,epitafio,tristeza
85,epitafio,que
86,epitafio,vier
87,epitafio,Enquanto
88,epitafio,eu
89,epitafio,andar
90,epitafio,distraído
91,epitafio,O
92,epitafio,acaso
93,epitafio,vai
94,epitafio,me
95,epitafio,proteger
96,epitafio,Enquanto
97,epitafio,eu
98,epitafio,andar
99,epitafio,Enquanto
100,epitafio,eu
101,epitafio,andar
102,epitafio,distraído
103,epitafio,O
104,epitafio,acaso
105,epitafio,vai
106,epitafio,me
107,epitafio,proteger
108,epitafio,Enquanto
109,epitafio,eu
110,epitafio,andar
111,epitafio,Trabalhado
112,epitafio,menos
113,epitafio,Ter
114,epitafio,visto
115,epitafio,o
116,epitafio,Sol
117,epitafio,se
118,epitafio,pôr
119,epitafio,None
553,e-preciso-saber-viver,Seja
554,e-preciso-saber-viver,feita
555,e-preciso-saber-viver,de
556,e-preciso-saber-viver,ilusão
557,e-preciso-saber-viver,Pode
558,e-preciso-saber-viver,até
559,e-preciso-saber-viver,ficar
560,e-preciso-saber-viver,maluco
561,e-preciso-saber-viver,Ou
562,e-preciso-saber-viver,morrer
563,e-preciso-saber-viver,na
564,e-preciso-saber-viver,solidão
565,e-preciso-saber-viver,É
566,e-preciso-saber-viver,preciso
567,e-preciso-saber-viver,ter
568,e-preciso-saber-viver,cuidado
569,e-preciso-saber-viver,Pra
570,e-preciso-saber-viver,mais
571,e-preciso-saber-viver,tarde
572,e-preciso-saber-viver,não
573,e-preciso-saber-viver,sofrer
574,e-preciso-saber-viver,É
575,e-preciso-saber-viver,preciso
576,e-preciso-saber-viver,saber
577,e-preciso-saber-viver,viver
578,e-preciso-saber-viver,Você
579,e-preciso-saber-viver,pode
580,e-preciso-saber-viver,retirar
581,e-preciso-saber-viver,Numa
582,e-preciso-saber-viver,flor
583,e-preciso-saber-viver,que
584,e-preciso-saber-viver,tem
585,e-preciso-saber-viver,espinhos
586,e-preciso-saber-viver,Você
587,e-preciso-saber-viver,pode
588,e-preciso-saber-viver,se
589,e-preciso-saber-viver,arranhar
590,e-preciso-saber-viver,Se
591,e-preciso-saber-viver,o
592,e-preciso-saber-viver,bem
593,e-preciso-saber-viver,e
594,e-preciso-saber-viver,o
